date,open,high,low,close,volume
1999-11-01,2.2500,2.4700,2.2500,2.4700,11100
1999-11-02,2.3800,2.4400,2.2500,2.3800,12200
1999-11-03,2.4100,2.4100,2.3100,2.3100,10100
1999-11-04,2.3800,2.5000,2.1900,2.3800,25700
1999-11-05,2.4400,2.4400,2.4100,2.4100,4300
1999-11-08,2.4100,2.4400,2.2500,2.4400,25900
1999-11-09,2.5000,2.5000,2.3100,2.3800,12700
1999-11-10,2.3800,2.5000,2.3100,2.3100,25800
1999-11-11,2.3800,2.5600,2.3800,2.5000,16200
1999-11-12,2.5000,2.7500,2.5000,2.5600,25900
1999-11-15,2.6200,2.6900,2.4400,2.6200,30200
1999-11-16,2.6900,2.6900,2.4400,2.4700,30200
1999-11-17,2.5000,2.7500,2.3800,2.6900,17200
1999-11-18,2.7500,3.1900,2.7500,3.0000,125100
1999-11-19,3.0600,3.1200,3.0000,3.0000,46000
1999-11-22,3.0000,3.0600,2.8800,2.9400,35800
1999-11-23,2.9400,3.0600,2.9400,3.0600,54600
1999-11-24,3.0600,3.0600,2.8800,3.0300,58900
1999-11-26,3.0600,3.1200,3.0600,3.0600,32900
1999-11-29,3.0600,3.1900,2.8800,3.1900,98600
1999-11-30,3.0000,3.2500,2.8800,3.2500,90200
1999-12-01,3.2500,3.2500,3.0000,3.0600,20700
1999-12-02,3.0000,3.2500,3.0000,3.0900,78300
1999-12-03,3.0800,3.2500,3.0800,3.1200,60300
1999-12-06,3.2500,3.2500,3.0600,3.1200,37100
1999-12-07,3.1200,3.1200,3.0000,3.0000,47800
1999-12-08,3.0300,3.0600,2.8800,2.8800,19800
1999-12-09,2.9700,2.9700,2.8100,2.8100,7100
1999-12-10,2.8100,2.9700,2.8100,2.8800,16200
1999-12-13,2.8100,2.8800,2.7500,2.7500,25000
1999-12-14,2.7500,2.7800,2.5600,2.6900,56000
1999-12-15,2.6200,2.7500,2.5000,2.6600,35300
1999-12-16,2.7500,3.3100,2.7500,3.1900,154700
1999-12-17,3.3100,3.4400,3.1900,3.2500,65700
1999-12-20,2.8800,3.5000,2.8800,3.3100,62200
1999-12-21,3.2500,3.3800,3.0000,3.3800,18400
1999-12-22,3.2500,3.7500,3.2500,3.6600,309900
1999-12-23,3.6200,3.6900,3.0000,3.1200,155200
1999-12-27,3.1400,3.5300,3.1200,3.1200,73900
1999-12-28,3.0600,3.4100,3.0600,3.2500,64800
1999-12-29,3.3900,3.5000,3.2500,3.3100,86900
1999-12-30,3.3800,3.5000,3.0600,3.1200,79200
1999-12-31,3.1200,3.4700,3.0600,3.3800,48300
2000-01-03,3.3100,3.4400,3.2500,3.2500,7200
2000-01-04,3.1200,3.3100,3.1200,3.2200,57600
2000-01-05,3.2500,3.2500,3.0600,3.1900,33600
2000-01-06,3.1700,3.5000,3.1200,3.3800,137200
2000-01-07,3.0600,3.5000,3.0600,3.2500,17100
2000-01-10,3.5000,3.6200,3.2200,3.5000,103000
2000-01-11,3.5000,3.6900,3.4400,3.5000,77400
2000-01-12,3.5600,3.7500,3.4400,3.6200,55900
2000-01-13,3.6200,3.8100,3.6200,3.8100,67700
2000-01-14,3.8800,4.2500,3.8100,4.1200,79100
2000-01-18,4.2500,5.0000,4.2500,4.6200,241400
2000-01-19,5.0000,5.2500,4.7500,5.0000,252100
2000-01-20,4.8800,5.0600,4.8800,4.9700,140600
2000-01-21,4.9400,5.2500,4.7500,5.0000,192200
2000-01-24,5.0600,5.7500,4.9700,5.1200,285000
2000-01-25,5.1900,5.2500,5.0600,5.1200,326100
2000-01-26,5.1900,5.1900,4.5300,4.5300,175900
2000-01-27,4.7200,5.0000,4.6200,4.8100,52100
2000-01-28,4.8400,4.9400,4.4400,4.8800,69900
2000-01-31,4.7800,4.9400,4.1200,4.4800,66800
2000-02-01,4.4400,4.7500,4.3800,4.6900,52900
2000-02-02,4.7500,4.7500,4.3800,4.5000,10100
2000-02-03,4.5000,4.7500,4.1900,4.4400,40200
2000-02-04,4.6900,4.8800,4.3100,4.8800,66500
2000-02-07,4.8800,5.0000,4.7500,4.8100,64000
2000-02-08,4.9400,4.9400,4.7500,4.9400,32300
2000-02-09,4.8100,4.8100,4.5000,4.6900,38100
2000-02-10,4.6200,4.7500,4.3800,4.5000,30900
2000-02-11,4.3800,4.4400,4.3100,4.3800,29500
2000-02-14,4.4400,4.6200,4.3800,4.4400,45300
2000-02-15,4.5000,4.5600,4.4400,4.4400,47100
2000-02-16,4.5000,4.5000,4.2500,4.2500,74100
2000-02-17,4.2500,4.5000,4.2500,4.3800,36100
2000-02-18,4.6200,4.6200,4.1200,4.1200,42900
2000-02-22,4.0300,4.5900,4.0300,4.3800,69200
2000-02-23,4.5000,5.0000,4.5000,5.0000,112900
2000-02-24,4.9400,5.1900,4.8800,5.1900,158600
2000-02-25,5.2200,5.2500,5.0000,5.0600,41800
