date,open,high,low,close,volume
2014-09-12,6.9500,7.0000,5.6300,5.7000,3576217
2014-09-15,6.0000,6.4000,5.8500,6.4000,478887
2014-09-16,6.4000,6.4900,5.9100,6.2200,163319
2014-09-17,6.1700,6.3200,6.0200,6.2700,145346
2014-09-18,6.1200,6.2700,6.0000,6.1200,148704
2014-09-19,6.1100,6.3000,6.0300,6.1800,136259
2014-09-22,6.1900,6.4900,6.1001,6.3600,142004
2014-09-23,6.3700,6.5000,6.2000,6.3700,92254
2014-09-24,6.3500,6.3691,6.2000,6.3400,68110
2014-09-25,6.1000,6.3000,6.0900,6.2600,61266
2014-09-26,6.2800,6.4000,6.1500,6.4000,20265
2014-09-29,6.3800,6.3800,6.1601,6.1900,30568
2014-09-30,6.1500,6.3000,6.1500,6.3000,43616
2014-10-01,6.2900,6.2900,5.6300,6.0100,103050
2014-10-02,5.8700,6.1800,5.6800,6.0000,20896
2014-10-03,6.1800,6.3900,6.0270,6.3600,24137
2014-10-06,6.4000,6.4000,6.1601,6.3000,21786
2014-10-07,6.3300,6.3500,6.0000,6.1600,78786
2014-10-08,6.2400,6.2900,6.0600,6.0900,72939
2014-10-09,6.0700,6.2700,6.0000,6.1000,42402
2014-10-10,6.0800,6.3000,5.1900,5.2000,40017
2014-10-13,5.2200,5.8100,5.1000,5.1200,33253
2014-10-14,5.1600,5.6600,4.5600,5.2500,41734
2014-10-15,5.1600,5.4000,4.8000,5.3000,41425
2014-10-16,5.2900,5.5800,5.0000,5.2900,11099
2014-10-17,5.4100,5.4100,4.8800,5.0020,29299
2014-10-20,5.0300,5.2100,4.9050,4.9110,7855
2014-10-21,4.9201,5.2000,4.5200,4.5700,20091
2014-10-22,4.5800,4.9000,4.5800,4.6300,28738
2014-10-23,4.8300,4.8300,4.5100,4.6100,17967
2014-10-24,4.5800,4.8200,4.3100,4.4100,74485
2014-10-27,4.6100,4.7100,3.5500,4.1120,59002
2014-10-28,4.1800,4.5900,3.9100,4.5120,30372
2014-10-29,4.5200,4.7200,4.3000,4.5900,14077
2014-10-30,4.5800,4.6800,4.0501,4.4400,21218
2014-10-31,4.5200,4.8800,4.0500,4.7200,14194
2014-11-03,4.8500,4.9200,4.2600,4.5200,16586
2014-11-04,4.7800,4.7800,4.0700,4.3700,24675
2014-11-05,4.3000,4.9000,4.0700,4.9000,56003
2014-11-06,4.9300,5.0000,4.5400,4.9500,21104
2014-11-07,4.9300,5.0000,4.3700,5.0000,20636
2014-11-10,4.9800,5.0000,4.5600,4.5600,11816
2014-11-11,4.9700,4.9900,4.5700,4.7000,6202
2014-11-12,4.9500,5.0000,4.3275,4.7100,29874
2014-11-13,4.7600,5.0000,4.7600,4.9900,12267
2014-11-14,5.0000,5.4900,5.0000,5.4000,13788
2014-11-17,5.4800,6.1000,5.4700,6.0200,53271
2014-11-18,6.4900,6.5100,6.0501,6.2000,30482
2014-11-19,6.6300,6.6300,5.6400,5.7200,56953
2014-11-20,5.7400,6.2200,5.2900,5.6500,21979
2014-11-21,5.6600,6.2199,5.6600,5.9500,19596
2014-11-24,6.1600,6.2500,5.9850,6.2300,28120
2014-11-25,6.2501,6.6000,6.0200,6.6000,42445
2014-11-26,6.3200,7.0100,6.3200,7.0100,33632
2014-11-28,6.9999,7.7400,6.5000,7.6500,71495
2014-12-01,7.9900,8.0500,7.4980,7.5400,55278
2014-12-02,7.4900,7.9600,7.2500,7.4500,74515
