date,open,high,low,close,volume
2008-12-04,22.8900,23.1000,22.8000,22.8000,3825
2008-12-05,22.0700,22.8300,21.6000,22.7400,11644
2008-12-08,26.1200,27.1400,24.8601,25.5500,11176
2008-12-09,24.1800,25.0100,24.0300,24.4700,14747
2008-12-10,26.0500,26.5200,25.7000,26.4200,21460
2008-12-11,27.6200,28.0100,26.9200,27.0000,38484
2008-12-12,25.8700,26.8600,25.5800,26.3800,11185
2008-12-15,26.8300,28.8800,26.7600,28.5600,28918
2008-12-16,28.3400,33.7400,28.0000,31.2600,52898
2008-12-17,31.5000,33.7200,31.5000,32.7500,91467
2008-12-18,31.4200,31.6200,29.7500,30.1800,75172
2008-12-19,29.5200,30.0000,29.1000,29.4700,23138
2008-12-22,29.7600,29.8000,28.9500,29.1000,12555
2008-12-23,28.1900,28.6500,25.3900,26.3800,49024
2008-12-24,25.6900,26.9799,25.6900,26.7970,6200
2008-12-26,26.8600,28.7200,26.5400,28.7200,7582
2008-12-29,30.9600,30.9600,28.8500,29.0000,50967
2008-12-30,29.3300,30.4100,29.0800,29.4300,67867
2008-12-31,29.0700,32.0100,28.6700,31.5000,34447
2009-01-02,30.9800,32.8500,30.7900,32.7700,44721
2009-01-05,30.0000,31.3200,28.2000,31.3200,79051
2009-01-06,30.8100,32.7600,30.3300,32.3000,123402
2009-01-07,31.1900,31.2000,29.1700,29.7600,95805
2009-01-08,30.7000,30.7600,29.8239,30.3300,31048
2009-01-09,29.8600,32.7000,29.6600,30.7500,232897
2009-01-12,29.1700,30.0300,26.3900,27.6700,62655
2009-01-13,26.8500,28.3900,26.8500,28.1600,39819
2009-01-14,26.9400,27.2800,26.0000,26.8500,25353
2009-01-15,26.7700,27.6600,25.8500,27.4000,55787
2009-01-16,29.6700,30.8800,29.1400,30.6700,69416
2009-01-20,30.8900,31.4300,29.8800,30.0300,30692
2009-01-21,31.5000,31.5000,29.5000,30.9600,55763
2009-01-22,31.4700,31.9900,30.9600,31.7000,38302
2009-01-23,32.4000,35.2000,30.7000,34.4852,93659
2009-01-26,35.2200,36.4000,35.0100,35.1100,91077
2009-01-27,34.9400,35.9082,34.4700,34.5500,36769
2009-01-28,34.8600,35.5400,34.0100,34.5900,48000
2009-01-29,34.0200,37.0000,33.6300,37.0000,153722
2009-01-30,37.6000,38.6100,36.4700,38.5776,75188
2009-02-02,37.1200,38.0100,36.8200,36.8900,64352
2009-02-03,36.2100,37.2000,35.5200,37.2000,111186
2009-02-04,37.3600,38.0300,37.1800,37.6300,46021
2009-02-05,39.6500,40.1400,38.5900,39.8181,107867
2009-02-06,40.2800,41.5500,40.0400,41.1500,123158
2009-02-09,40.7000,40.7108,39.3700,39.6700,55541
2009-02-10,40.9000,41.9400,40.9000,41.2700,92475
2009-02-11,42.4700,46.4400,42.1100,43.5000,102493
2009-02-12,43.4600,44.1000,42.8100,43.7900,67419
2009-02-13,42.7600,44.8500,42.2500,44.8200,60606
2009-02-17,47.0100,48.0800,46.5500,47.3600,186580
2009-02-18,47.8300,49.3900,47.3164,48.9800,170970
2009-02-19,47.5300,47.9700,45.9000,46.9000,152450
2009-02-20,49.9600,50.7008,49.1200,49.5600,165023
2009-02-23,48.1700,50.8500,47.2313,49.9700,129327
2009-02-24,49.9200,50.1300,44.4800,45.4660,328230
