date,open,high,low,close,volume
2015-12-17,38.7500,38.7500,36.1200,36.1200,1181540
2015-12-18,36.5000,36.5200,32.4500,33.2600,9566146
2015-12-21,34.0300,34.6500,33.4400,33.8100,3980291
2015-12-22,34.0000,35.2000,33.7600,35.0800,3044807
2015-12-23,35.1000,37.0700,35.0500,36.9600,2195946
2015-12-24,37.0200,37.5400,37.0200,37.4500,904599
2015-12-28,37.0200,37.3101,36.5200,36.6000,1196783
2015-12-29,36.6000,37.9400,36.6000,37.6700,967409
2015-12-30,38.2200,38.7300,37.5300,38.2200,1107124
2015-12-31,38.3100,38.9000,38.0100,38.4000,609677
2016-01-04,38.7800,38.7800,37.5400,37.8500,522297
2016-01-05,37.9400,38.3000,37.5300,38.1300,680342
2016-01-06,37.5000,38.3700,37.5000,38.0500,623893
2016-01-07,37.5600,38.1000,37.5000,37.8000,504376
2016-01-08,38.0000,38.1500,37.4800,37.7600,321448
2016-01-11,37.9000,38.3000,37.3500,37.3900,371927
2016-01-12,37.6500,37.7250,37.0701,37.2700,302085
2016-01-13,37.2300,37.6000,36.6900,36.7200,328171
2016-01-14,36.6800,37.3600,36.3000,37.2000,529457
2016-01-15,36.0800,37.8700,36.0100,37.6100,432003
2016-01-19,38.0400,39.0500,37.5800,38.7200,589320
2016-01-20,38.7800,38.8304,37.2100,37.4700,402408
2016-01-21,38.3600,38.6900,36.7354,37.0900,831681
2016-01-22,37.4100,38.2200,36.7400,37.9900,406635
2016-01-25,38.0900,38.1900,36.8400,37.0500,447055
2016-01-26,37.4500,37.6700,37.1400,37.4100,351982
2016-01-27,37.5300,38.2050,37.3000,37.8000,247947
2016-01-28,37.9800,38.2600,37.6900,37.8000,283294
2016-01-29,38.0400,38.5700,37.9100,38.4500,366101
2016-02-01,38.7300,39.9200,38.2500,38.9900,788819
2016-02-02,38.8400,39.7500,38.7201,39.6000,491886
2016-02-03,40.0500,40.8000,40.0500,40.5600,754548
2016-02-04,40.7700,41.2400,40.2900,41.1200,733184
2016-02-05,40.6700,42.4000,40.0900,42.0100,1030058
2016-02-08,41.9900,42.0000,40.3650,41.4700,691559
2016-02-09,41.3600,42.0850,40.2200,41.2400,697898
2016-02-10,41.2500,41.8250,40.8300,41.5800,224959
2016-02-11,41.5400,41.5400,40.6300,40.9300,603780
2016-02-12,41.0600,41.0600,40.4700,40.5900,413605
2016-02-16,40.9800,41.0000,40.2000,40.6500,607237
2016-02-17,41.5500,41.5500,40.5000,41.3100,455261
2016-02-18,41.4900,41.9400,41.1400,41.5000,634841
2016-02-19,41.2500,41.6900,40.7150,41.5600,802144
2016-02-22,38.0000,39.2300,37.5400,38.7500,1560800
2016-02-23,37.6000,38.4700,36.7500,38.0600,1101039
2016-02-24,37.4000,39.4500,37.0600,39.2600,952218
2016-02-25,39.5000,39.5900,38.6800,39.0300,577352
2016-02-26,38.7500,39.2000,38.5000,38.9300,598610
2016-02-29,38.8500,39.2100,38.7300,38.7900,716439
2016-03-01,39.1800,39.4000,38.1400,38.5800,689335
2016-03-02,38.6900,38.8800,38.0000,38.7800,608644
2016-03-03,38.6400,39.2200,38.5308,38.5800,524717
2016-03-04,38.4900,38.8100,38.2400,38.5300,716643
2016-03-07,38.2500,39.6300,38.2500,39.2000,430473
2016-03-08,38.5600,39.1099,38.4450,38.5900,259279
2016-03-09,38.9700,39.0400,38.4700,38.6900,558299
2016-03-10,38.7200,39.0100,37.9800,38.1500,575796
2016-03-11,38.2700,38.7000,38.0900,38.3200,256433
2016-03-14,38.2500,38.9600,38.1100,38.8400,602982
2016-03-15,38.6700,39.4100,38.5300,38.6000,392088
2016-03-16,38.6800,39.2500,38.2100,39.1500,354502
2016-03-17,39.2100,39.9500,39.1600,39.6800,988959
2016-03-18,39.6100,40.7300,39.3300,40.4600,3107353
2016-03-21,39.9000,40.6900,39.6100,40.1700,508416
2016-03-22,39.8600,40.6800,39.8600,40.3100,293499
2016-03-23,40.2000,40.5600,40.0200,40.2800,669038
2016-03-24,40.3000,40.8325,40.2150,40.5100,454030
