date,open,high,low,close,volume
1999-11-01,11.5000,11.9400,11.5000,11.5600,49100
1999-11-02,11.5600,11.6300,11.5000,11.6300,86600
1999-11-03,11.5600,11.5600,11.3100,11.5000,34200
1999-11-04,11.5000,11.5600,11.0000,11.4400,44800
1999-11-05,11.3800,11.4400,11.0600,11.3800,26300
1999-11-08,11.5000,11.5000,11.1300,11.2500,129000
1999-11-09,11.4400,11.4400,11.1900,11.3100,93300
1999-11-10,11.1900,11.3800,11.0600,11.3100,41900
1999-11-11,11.2500,11.3100,11.1300,11.2500,42700
1999-11-12,11.1300,11.5600,11.0000,11.5000,126600
1999-11-15,11.3800,11.5000,11.3100,11.5000,44800
1999-11-16,11.5000,12.0000,11.5000,12.0000,72900
1999-11-17,11.9400,12.1900,11.8100,12.0600,52600
1999-11-18,12.1300,12.3800,12.0000,12.3100,66500
1999-11-19,12.2500,12.3100,12.0600,12.1300,22600
1999-11-22,12.1300,12.1300,11.6900,11.7500,44700
1999-11-23,11.8100,11.8100,11.2500,11.3100,78900
1999-11-24,11.1900,11.3100,10.8800,11.1900,149300
1999-11-26,11.1300,11.1300,11.0000,11.0600,4500
1999-11-29,10.9400,11.0600,10.5000,11.0600,71500
1999-11-30,11.0600,11.1300,10.8800,10.9400,112900
1999-12-01,10.8100,10.9400,10.3800,10.7500,132500
1999-12-02,10.7500,10.7500,10.3800,10.5000,329500
1999-12-03,10.5000,11.0600,10.5000,11.0000,189200
1999-12-06,10.8800,10.8800,10.4400,10.4400,347100
1999-12-07,10.5000,10.5000,9.9380,10.3800,186100
1999-12-08,10.3800,10.3800,9.7500,9.7500,55900
1999-12-09,9.8750,10.0000,9.8130,9.8130,72900
1999-12-10,9.8130,9.8130,9.5000,9.6250,77000
1999-12-13,9.7500,10.0000,9.5630,9.8130,129800
1999-12-14,9.7500,9.9380,9.7500,9.8130,142500
1999-12-15,9.8750,9.9380,9.5630,9.8130,68100
1999-12-16,9.6880,9.8750,9.6880,9.7500,123900
1999-12-17,9.6200,9.6900,9.3800,9.3800,160100
1999-12-20,9.3750,9.3750,9.1250,9.1250,191300
1999-12-21,9.0000,9.0000,7.6250,8.8130,191900
1999-12-22,8.8750,8.9380,8.5000,8.7500,196700
1999-12-23,8.6250,8.8130,8.5630,8.8130,73900
1999-12-27,8.8130,10.2500,8.6880,10.2500,337500
1999-12-28,10.1300,10.1900,9.3130,9.3130,152500
1999-12-29,9.3750,9.9380,9.3130,9.3130,106900
1999-12-30,9.4380,9.4380,9.0000,9.1880,102000
1999-12-31,9.3130,9.8750,9.0630,9.8750,44600
2000-01-03,9.8800,9.8800,9.0000,9.3100,215300
2000-01-04,9.4380,9.4380,8.5630,8.6880,104900
2000-01-05,8.6880,8.7500,8.4380,8.5000,264000
2000-01-06,8.5000,8.5000,8.3750,8.4380,149700
2000-01-07,8.5000,8.6250,8.4380,8.5000,141200
2000-01-10,8.5000,8.5000,8.4380,8.5000,156200
2000-01-11,8.5000,8.5630,8.3750,8.5000,250700
2000-01-12,8.5000,8.5000,8.3750,8.4380,195400
2000-01-13,8.5000,8.5630,7.8130,7.9380,913800
2000-01-14,7.9380,8.4380,7.8750,8.1880,2134700
2000-01-18,8.5630,9.5000,8.3750,8.8130,327900
2000-01-19,8.8130,9.5000,8.8130,9.5000,134300
2000-01-20,9.4380,9.8130,9.2500,9.7500,107100
2000-01-21,9.7500,10.0000,9.6250,9.8130,72800
2000-01-24,9.9380,9.9380,8.9380,8.9380,159500
2000-01-25,9.0630,9.0630,8.3130,8.6250,96600
2000-01-26,8.7500,8.7500,8.3130,8.3750,120700
2000-01-27,8.2500,8.4380,8.1880,8.4380,77500
2000-01-28,8.3130,8.7500,8.3130,8.7500,41000
2000-01-31,8.7500,8.8750,8.0000,8.1250,162100
2000-02-01,8.3130,8.4380,8.1250,8.1880,74500
2000-02-02,8.3750,8.4380,8.0630,8.0630,103000
2000-02-03,7.8130,7.9380,7.4380,7.6250,212200
2000-02-04,7.7500,8.0000,7.7500,7.8800,494200
2000-02-07,7.8750,7.9380,7.3750,7.6250,138700
2000-02-08,7.7500,7.7500,7.4380,7.4380,104800
2000-02-09,7.4380,7.5630,6.8750,7.3130,171900
2000-02-10,7.1880,7.3750,6.7500,6.7500,314300
2000-02-11,6.8750,7.3750,6.6250,6.8130,236500
2000-02-14,7.0630,7.5000,6.8750,7.3130,133300
2000-02-15,7.4380,8.0000,7.3750,7.7500,135400
2000-02-16,7.8750,8.1880,7.8130,7.9380,155100
2000-02-17,7.9380,7.9380,7.5630,7.8130,119900
2000-02-18,7.8130,8.3130,7.6250,7.8130,97300
2000-02-22,7.9380,7.9380,7.1880,7.5000,193400
2000-02-23,7.5000,7.5000,6.8130,7.1880,146000
2000-02-24,7.3130,7.3750,6.8750,6.9380,38800
2000-02-25,6.9380,7.4380,6.9380,7.1250,87100
2000-02-28,7.4380,7.8750,7.4380,7.8750,118600
2000-02-29,8.0000,8.0000,7.3130,7.7500,105700
2000-03-01,8.0000,8.1250,7.0000,7.0630,192400
2000-03-02,7.6880,7.8130,7.5000,7.6250,111800
2000-03-03,8.0000,8.0000,7.4380,7.6250,127300
2000-03-06,7.6250,8.0000,7.6250,8.0000,103100
2000-03-07,8.0000,8.0630,7.5000,7.6250,82200
2000-03-08,7.5630,7.5630,7.0630,7.3130,72300
2000-03-09,7.3130,7.3130,6.9380,6.9380,71500
2000-03-10,7.0000,7.2500,7.0000,7.0630,106100
2000-03-13,7.5000,7.6250,7.0630,7.1880,102600
2000-03-14,7.3750,7.8750,7.3130,7.6250,128300
2000-03-15,7.8130,8.2500,7.6880,8.0000,130800
2000-03-16,8.1250,8.3750,8.0000,8.3750,141400
2000-03-17,8.3130,8.4380,8.0000,8.1880,127300
2000-03-20,7.6250,8.3130,7.6250,8.1880,150300
2000-03-21,8.0630,8.0630,8.0000,8.0000,83300
2000-03-22,8.0630,8.1250,8.0000,8.0000,68500
2000-03-23,7.8130,8.1250,7.8130,8.0630,86600
2000-03-24,8.0000,8.3130,8.0000,8.3130,248200
2000-03-27,8.3130,8.6250,8.2500,8.6250,182500
2000-03-28,8.5000,8.6250,8.3750,8.6250,171200
2000-03-29,8.5630,8.8750,8.5000,8.7500,51200
2000-03-30,8.6250,9.0940,8.5630,8.8750,108500
2000-03-31,8.7500,8.8750,7.7500,7.7500,161800
2000-04-03,7.7500,8.3750,7.7500,8.3750,144800
2000-04-04,8.3130,8.6250,8.1250,8.4380,118300
2000-04-05,8.5000,8.5630,8.3130,8.5630,53200
2000-04-06,8.4380,8.6880,8.4380,8.5630,56900
2000-04-07,8.5630,8.5630,8.4380,8.5630,35100
2000-04-10,8.8130,8.8130,8.5630,8.6880,26300
2000-04-11,8.7500,8.7500,8.0630,8.1250,64500
2000-04-12,8.3750,8.5630,8.3750,8.5000,52700
2000-04-13,8.3750,8.6880,8.0630,8.6250,90000
2000-04-14,8.3750,8.7500,8.2500,8.4380,71700
2000-04-17,8.3130,8.7500,8.1250,8.7500,96600
2000-04-18,8.7500,9.2500,8.6880,8.7500,359900
2000-04-19,8.6250,8.8750,8.6250,8.8130,25900
2000-04-20,8.8130,9.2500,8.7500,8.9380,224000
2000-04-24,8.8130,9.2500,8.8130,9.1880,409800
2000-04-25,9.2500,9.8750,9.2500,9.7500,285000
2000-04-26,9.8750,9.9380,9.7500,9.8130,170000
2000-04-27,9.7500,10.0000,9.6250,10.0000,114700
2000-04-28,10.0000,10.1300,9.9380,10.0600,84400
2000-05-01,9.8750,10.0000,9.6880,9.8130,190200
2000-05-02,9.6880,9.7500,9.6250,9.6880,64500
2000-05-03,9.6880,9.6880,9.2500,9.5630,76800
2000-05-04,9.5000,10.0000,9.5000,9.9380,97100
2000-05-05,9.9380,10.3100,9.8750,10.3100,147300
2000-05-08,10.1900,10.4400,10.0600,10.4400,73600
2000-05-09,10.3100,10.8100,9.9380,10.5600,135000
2000-05-10,10.5600,10.5600,10.0600,10.1900,41300
2000-05-11,9.9380,10.3800,9.7500,10.3800,77100
2000-05-12,10.2500,10.3100,10.1300,10.1300,47900
2000-05-15,10.0000,10.2500,9.6880,10.1300,57300
2000-05-16,10.0600,10.1900,9.8750,10.1900,60500
2000-05-17,10.0000,10.0600,9.7500,10.0000,20000
2000-05-18,9.9380,10.0000,9.8130,9.8130,58100
2000-05-19,9.9380,9.9380,9.7500,9.8750,27800
2000-05-22,9.8130,9.8750,9.6880,9.7500,38900
2000-05-23,9.7500,9.9380,9.6250,9.6250,52000
2000-05-24,9.6250,9.6250,9.4380,9.6250,79000
2000-05-25,9.6250,9.7500,9.3130,9.6250,54400
2000-05-26,9.5000,10.0000,9.2500,9.9380,91000
2000-05-30,9.9380,10.0000,9.6880,9.9380,65500
2000-05-31,9.8130,10.0600,9.8130,10.0000,49900
2000-06-01,9.7500,10.0000,9.3130,9.3130,114500
2000-06-02,9.3750,9.5000,9.1250,9.1250,38300
2000-06-05,9.1880,9.2500,8.6880,9.0000,54500
2000-06-06,9.0630,9.4380,8.9380,9.0000,117300
2000-06-07,9.0000,9.0000,8.7500,9.0000,62400
2000-06-08,8.9380,8.9380,8.5000,8.6250,35600
2000-06-09,8.6880,8.6880,8.0000,8.3750,74000
2000-06-12,8.3750,8.6250,7.8750,8.5000,203400
2000-06-13,8.4380,8.4380,7.8750,8.1250,150500
2000-06-14,8.1880,8.3130,8.0630,8.0630,35300
2000-06-15,8.0630,8.1880,7.6250,7.7500,68700
2000-06-16,7.8750,8.3750,7.8750,7.9380,90700
2000-06-19,8.0000,8.0000,7.8130,8.0000,20700
2000-06-20,7.9380,7.9380,7.6250,7.8130,58900
2000-06-21,7.6250,8.0000,7.3750,7.9380,182700
2000-06-22,8.0000,8.0000,7.6250,7.6880,117800
2000-06-23,7.5000,8.0000,7.4380,7.9380,166400
2000-06-26,8.0000,8.0630,7.8130,7.9380,148400
2000-06-27,8.0000,8.0000,7.7500,8.0000,28700
2000-06-28,8.0000,8.0000,7.9380,8.0000,52000
2000-06-29,8.0000,8.0000,7.6880,7.7500,31100
2000-06-30,7.7500,8.0000,7.6880,8.0000,71600
2000-07-03,7.9380,8.3750,7.9380,8.3750,73600
2000-07-05,8.6250,8.6250,8.0000,8.0000,139600
2000-07-06,8.1250,8.2500,8.0000,8.0000,78700
2000-07-07,8.0630,8.1250,7.6880,8.0000,26400
2000-07-10,7.8750,8.1250,7.7500,8.1250,124200
2000-07-11,8.1880,8.2500,8.0000,8.0630,54100
2000-07-12,8.0000,8.5630,8.0000,8.5000,88900
2000-07-13,8.4380,9.1250,8.3750,9.0000,42600
2000-07-14,9.0000,9.1250,8.8130,8.8750,63800
2000-07-17,8.8750,9.1250,8.7500,8.9380,43700
2000-07-18,9.0630,9.1250,8.3750,8.6250,51300
2000-07-19,8.7500,9.2500,8.6880,8.8750,80200
2000-07-20,8.8130,8.9380,8.6250,8.8130,13900
2000-07-21,8.8750,9.0000,8.3750,8.3750,18200
2000-07-24,8.5000,8.5000,8.1250,8.2500,72400
2000-07-25,8.3750,8.5000,8.0000,8.4380,41000
2000-07-26,8.5000,8.5000,8.0630,8.5000,43600
2000-07-27,8.3750,8.7500,8.1250,8.7500,33100
2000-07-28,8.6250,8.6250,7.5000,7.6250,140900
2000-07-31,7.5000,8.0000,7.5000,7.9380,97400
2000-08-01,7.9380,7.9380,7.4380,7.5000,36600
2000-08-02,7.5000,7.6250,7.0000,7.2500,159900
2000-08-03,7.1250,7.1250,6.9380,7.0000,211300
2000-08-04,6.8130,7.2500,6.8130,7.0000,276200
2000-08-07,7.1250,7.4380,7.1250,7.2500,93400
2000-08-08,7.2500,7.5000,7.2500,7.3750,293900
2000-08-09,7.4380,7.5000,7.2500,7.3130,388400
2000-08-10,7.4380,7.4380,7.3130,7.3130,64100
2000-08-11,7.4380,7.4380,7.0630,7.2500,89200
2000-08-14,7.3750,7.3750,7.1250,7.3750,114600
2000-08-15,7.5000,7.5000,7.1880,7.1880,50700
2000-08-16,7.1880,7.3130,7.1880,7.2500,25200
2000-08-17,7.3130,7.3750,7.1250,7.1880,404100
