date,open,high,low,close,volume
2014-05-02,7.5000,7.6900,6.0100,7.2000,579860
2014-05-05,6.8000,7.0000,6.3000,6.7000,41045
2014-05-06,6.6500,6.8499,6.1000,6.1000,24840
2014-05-07,6.1200,6.2400,6.0500,6.0500,12670
2014-05-08,6.5001,6.9900,6.4900,6.9900,24183
2014-05-09,6.9799,6.9799,6.5500,6.5500,1260
2014-05-12,6.9800,6.9800,6.7000,6.9300,3060
2014-05-13,6.5000,6.9800,6.5000,6.9796,1428
2014-05-14,6.9540,6.9540,6.5200,6.5200,225
2014-05-15,6.9500,7.4400,6.8510,7.4400,4266
2014-05-16,6.9200,7.4399,6.9200,7.2200,1398
2014-05-19,7.4400,7.4400,7.0500,7.4100,5978
2014-05-20,7.3400,7.3400,7.3400,7.3400,600
2014-05-21,7.7800,7.7800,6.7200,6.7301,29866
2014-05-22,7.1100,7.1100,6.5501,6.7000,3400
2014-05-23,6.7500,7.0800,6.6000,6.7400,7786
2014-05-27,6.7200,6.7200,6.1100,6.3600,12550
2014-05-28,6.2900,6.2900,6.1600,6.1600,1931
2014-05-29,6.0201,6.3000,6.0201,6.2500,2151
2014-05-30,6.0600,6.2599,6.0100,6.1028,3091
2014-06-02,6.0900,6.0901,6.0801,6.0901,1751
2014-06-03,6.0900,6.2800,6.0900,6.2799,4500
2014-06-04,6.1400,6.1490,6.0100,6.0900,5794
2014-06-05,6.0000,6.5500,6.0000,6.5500,10930
2014-06-06,6.0100,6.6399,6.0000,6.5800,5550
2014-06-09,6.0000,6.6500,6.0000,6.5700,5334
2014-06-10,6.0301,6.9900,6.0301,6.9900,12082
2014-06-11,6.9897,6.9900,6.4200,6.5100,5925
2014-06-12,6.5400,6.9800,6.1300,6.6700,11117
2014-06-13,6.8000,6.8000,6.5200,6.7900,3063
2014-06-16,6.5100,7.0000,6.5100,6.9200,6784
2014-06-17,6.5100,7.2000,6.5100,7.2000,7299
2014-06-18,7.0000,7.0000,6.5000,6.6900,26246
2014-06-19,7.6500,8.2223,7.3201,7.5100,134905
2014-06-20,7.8700,7.8700,6.9500,6.9500,50598
2014-06-23,6.9500,7.2500,6.7900,7.2000,15764
2014-06-24,7.0500,7.1910,6.5900,6.6500,28976
2014-06-25,6.7500,6.9699,6.7000,6.7000,2102
2014-06-26,6.7200,6.7200,6.5700,6.6500,6618
2014-06-27,6.7000,6.9500,6.6900,6.7200,16273
2014-06-30,7.0000,7.0000,6.5000,6.5600,9185
2014-07-01,6.7600,6.7600,6.5800,6.6600,975
2014-07-02,6.6200,7.0100,6.5501,6.5900,4702
2014-07-03,6.5900,6.5900,6.5900,6.5900,29
2014-07-07,6.5100,6.7000,6.5100,6.5940,4663
2014-07-08,6.7400,6.7500,6.5000,6.5000,18507
2014-07-09,6.5001,7.0000,6.5001,6.7000,1716
2014-07-10,6.6000,6.6000,6.3100,6.3100,6155
2014-07-11,6.5400,6.9001,6.5400,6.5400,1000
2014-07-14,6.5001,6.5001,6.0980,6.1000,35351
2014-07-15,6.4000,6.4000,6.0000,6.0000,7690
2014-07-16,5.5800,5.7500,4.7501,5.3497,35399
2014-07-17,5.3490,5.3500,4.7100,4.8399,16468
2014-07-18,4.6001,5.0000,4.6001,4.8300,12640
2014-07-21,4.8561,5.1799,4.7500,4.9900,14575
2014-07-22,4.9400,4.9520,4.7100,4.7500,5710
2014-07-23,4.6400,4.7395,4.4500,4.5000,17026
2014-07-24,4.6700,4.6700,4.2500,4.2900,13925
2014-07-25,4.2500,4.3700,4.2500,4.2700,9504
2014-07-28,4.2600,4.2620,3.5400,3.6300,55586
2014-07-29,3.6400,4.1000,3.6400,3.8450,42160
2014-07-30,3.9000,3.9450,3.6500,3.7000,7114
2014-07-31,3.6500,3.6500,3.2800,3.5700,19538
2014-08-01,3.5800,3.5800,3.1100,3.5000,6354
2014-08-04,3.5000,3.5000,3.0000,3.3400,20521
2014-08-05,3.4500,3.5000,3.2500,3.2800,12019
2014-08-06,3.6400,3.8800,3.2800,3.6101,13633
2014-08-07,4.7400,4.7400,3.8200,3.8400,14209
2014-08-08,3.9600,4.1499,3.8500,4.1499,5084
