date,open,high,low,close,volume
2021-09-28,50.0000,54.9000,50.0000,54.8000,11534515
2021-09-29,53.2500,54.7500,51.7000,54.0100,2927599
2021-09-30,53.3200,54.4300,52.2637,54.3400,1830915
2021-10-01,54.0000,54.7400,50.3700,54.5100,1900949
2021-10-04,53.8300,55.0000,52.0400,54.0000,3777812
2021-10-05,53.5400,53.9700,51.6000,52.2500,859307
2021-10-06,51.2100,51.4500,49.5352,50.1700,937057
2021-10-07,50.1800,52.2000,50.1800,51.9500,233086
2021-10-08,52.5100,52.8200,49.5900,49.6900,194004
2021-10-11,50.0000,50.7200,48.8610,49.1200,364406
2021-10-12,49.2600,50.4548,49.1300,50.0000,389389
2021-10-13,50.0000,53.6800,49.5800,53.6000,520004
2021-10-14,53.6000,54.9700,53.0800,54.4500,682235
2021-10-15,54.7500,56.1300,54.0450,56.0200,790964
2021-10-18,55.1200,64.9300,55.1200,63.5200,1931975
2021-10-19,63.3900,65.0000,60.6000,63.7900,694812
2021-10-20,64.2400,65.6174,62.9200,64.8400,491163
2021-10-21,64.4500,69.4600,64.1000,66.6900,539066
2021-10-22,65.5100,70.5200,65.3290,67.4100,567469
2021-10-25,67.2500,72.1200,67.0001,68.9500,902547
2021-10-26,69.4100,73.6100,68.5200,71.1700,585345
2021-10-27,69.0500,71.1800,66.7700,70.5200,1048407
2021-10-28,70.5000,73.2100,68.0000,73.0700,590736
2021-10-29,72.3400,74.8000,72.3200,74.2900,727248
2021-11-01,76.3000,78.0300,73.6601,77.9100,896015
2021-11-02,77.9100,83.9000,76.6100,78.7200,1201704
2021-11-03,79.0800,84.4800,79.0800,80.8000,942228
2021-11-04,81.1300,87.9800,80.6000,82.1900,1269372
2021-11-05,83.0000,84.9900,80.1401,83.6800,661273
2021-11-08,85.0000,86.1100,77.9000,80.2700,1082801
2021-11-09,80.2700,85.1300,77.3600,84.8000,693711
2021-11-10,79.6200,83.2779,74.3000,74.7200,1436523
2021-11-11,78.4100,78.8600,74.5900,75.5700,457418
2021-11-12,72.9600,75.3940,72.0400,73.8600,1549604
2021-11-15,72.0800,73.6300,67.0700,72.6900,2045709
2021-11-16,72.1300,74.1900,69.6900,72.6100,1213975
2021-11-17,71.5900,73.3489,70.3800,71.1000,674466
2021-11-18,69.8800,71.3400,68.1300,68.4700,493092
2021-11-19,68.9200,69.9900,67.8800,68.4000,532580
2021-11-22,69.1500,69.5000,61.5500,67.1700,1346135
