date,open,high,low,close,volume
2017-06-29,10.0000,11.0000,10.0000,10.0000,41055425
2017-06-30,9.9800,10.1000,9.1700,9.3400,12405090
2017-07-03,9.4800,9.6700,8.8800,9.6700,4270843
2017-07-05,9.6000,9.6300,8.7800,8.8400,5103758
2017-07-06,8.8300,8.8400,7.9500,8.0600,12546889
2017-07-07,8.1100,8.2400,7.3600,7.7300,8187054
2017-07-10,7.8100,8.3200,7.6200,8.1400,4947767
2017-07-11,7.6000,7.8800,7.0800,7.1400,6541211
2017-07-12,7.1300,7.6400,7.1000,7.5600,3514921
2017-07-13,7.3600,7.8000,7.3545,7.4000,1987263
2017-07-14,7.3100,7.4900,7.2000,7.3600,1567926
2017-07-17,6.8800,6.9000,6.4500,6.5900,8296164
2017-07-18,6.5700,6.6200,6.2300,6.3600,5093255
2017-07-19,6.3900,6.8800,6.3500,6.6500,4015310
2017-07-20,6.6000,6.7300,6.4200,6.5200,1505637
2017-07-21,6.4900,6.6800,6.4500,6.5500,1104560
2017-07-24,7.2200,7.8650,7.0000,7.4100,16012157
2017-07-25,7.8103,7.8400,7.3900,7.5000,4631361
2017-07-26,7.4205,7.4400,6.7500,6.7500,4532914
2017-07-27,6.9000,6.9500,6.5700,6.7200,2097613
2017-07-28,6.8800,6.9000,6.6500,6.7400,1938890
2017-07-31,6.8900,6.9000,6.5900,6.6100,1391903
2017-08-01,6.6700,6.7000,6.3000,6.3700,2116467
2017-08-02,6.3700,6.3700,6.0500,6.2000,3824951
2017-08-03,6.2500,6.4200,6.0500,6.2200,2775047
2017-08-04,6.2700,6.3500,5.7000,5.8300,7592675
2017-08-07,5.9000,5.9390,5.8000,5.8500,3644380
2017-08-08,5.8000,5.9500,5.7300,5.8100,2329735
2017-08-09,5.7200,6.5500,5.5100,6.2400,4903103
2017-08-10,5.3800,5.7000,5.0300,5.1400,16568811
2017-08-11,5.0800,5.2000,4.9999,5.1200,3297560
2017-08-14,5.0800,5.4500,5.0300,5.3600,3221344
2017-08-15,5.4500,5.8200,5.3100,5.6500,3195937
2017-08-16,5.6800,5.7200,5.4700,5.5000,1540521
2017-08-17,5.4600,5.6900,5.3300,5.3900,2288528
2017-08-18,5.3000,5.3600,5.1200,5.3100,1515159
2017-08-21,5.2900,5.2937,5.0800,5.2400,1700252
2017-08-22,5.1400,5.3100,5.1100,5.2500,3160404
2017-08-23,5.2000,5.5500,5.1600,5.4700,1757724
2017-08-24,5.4400,5.6500,5.4200,5.4800,1677001
2017-08-25,5.4500,5.5300,5.3300,5.3900,1173262
2017-08-28,5.3500,5.4545,5.1837,5.3800,1097015
2017-08-29,5.3000,5.3800,5.1600,5.1700,1594414
2017-08-30,5.2000,5.3500,5.1800,5.3300,906984
2017-08-31,5.4300,5.4700,5.2200,5.2400,1084042
2017-09-01,5.2200,5.2580,5.1600,5.2200,1000669
2017-09-05,5.2100,5.3500,5.1900,5.2200,998196
2017-09-06,5.2000,5.6200,5.1800,5.4700,3236983
2017-09-07,5.4900,5.5500,5.2720,5.3400,1779710
2017-09-08,5.3800,5.4900,5.3100,5.3800,1507647
2017-09-11,5.4400,5.4653,5.3100,5.4100,1179071
2017-09-12,5.4500,5.4500,5.2800,5.3700,1740610
2017-09-13,5.3200,5.4500,5.3000,5.3900,1055623
2017-09-14,5.3900,5.9300,5.3900,5.6500,4657437
2017-09-15,5.7900,6.1600,5.7100,6.0600,4237294
2017-09-18,6.2400,6.2500,5.6500,5.6700,3237443
2017-09-19,5.6600,5.7900,5.3600,5.5100,3618125
2017-09-20,5.5000,5.5300,5.2000,5.2200,3375706
2017-09-21,5.5500,5.6800,5.2000,5.2300,3505068
2017-09-22,5.2400,5.3000,5.1200,5.1900,2737609
2017-09-25,5.3200,5.5725,5.2300,5.5400,5736537
2017-09-26,5.6000,5.9050,5.5150,5.8000,3540608
2017-09-27,5.8900,5.9300,5.5100,5.8000,2499027
2017-09-28,5.8000,5.8400,5.4600,5.5900,2126285
2017-09-29,5.5600,5.5900,5.4400,5.4500,1341855
2017-10-02,5.4200,5.5400,5.4000,5.4400,1149539
2017-10-03,5.4100,5.4900,5.3050,5.3400,2435599
2017-10-04,5.3700,5.3900,5.2800,5.3400,1099187
2017-10-05,5.3400,5.3900,5.2500,5.3200,1373473
2017-10-06,5.3000,5.3400,5.2500,5.2500,845365
2017-10-09,5.2500,5.2929,5.1500,5.1500,2382336
2017-10-10,5.1500,5.2300,5.0600,5.0900,1707531
2017-10-11,5.1000,5.1400,5.0500,5.0900,936070
2017-10-12,5.0900,5.1200,5.0300,5.0800,1044256
2017-10-13,5.1000,5.2800,5.0600,5.1600,2225592
2017-10-16,5.2500,5.3250,5.1500,5.2500,1695860
2017-10-17,5.2700,5.3800,5.2000,5.3800,2381508
2017-10-18,5.3700,5.5452,5.2900,5.3000,2151192
2017-10-19,5.2200,5.3000,5.1000,5.1700,1933797
2017-10-20,5.2100,5.2100,5.0700,5.0800,1858093
2017-10-23,5.0700,5.1600,5.0100,5.1500,1577173
2017-10-24,5.0900,5.1800,5.0500,5.0800,977700
2017-10-25,5.0500,5.0903,4.8300,5.0100,2609722
2017-10-26,4.9800,5.1400,4.9200,5.0300,1085280
2017-10-27,5.0300,5.1400,4.9700,5.1300,1054239
2017-10-30,5.0700,5.1800,4.9900,5.0100,1433183
2017-10-31,4.9900,5.0300,4.7500,4.7700,2581452
2017-11-01,4.7500,4.8500,4.6100,4.6700,2294265
2017-11-02,4.7600,4.8900,3.7500,3.8000,6929710
2017-11-03,3.8100,3.8700,3.5624,3.7900,2773574
2017-11-06,3.7600,3.9900,3.7600,3.8800,2136002
2017-11-07,3.8500,3.9000,3.0300,3.0500,12101049
2017-11-08,3.0900,3.2500,3.0700,3.1900,1974208
2017-11-09,3.1600,3.2350,3.0750,3.0900,2971985
2017-11-10,3.0800,3.2400,3.0800,3.1700,1146177
2017-11-13,3.1500,3.1900,3.0600,3.0600,1285798
2017-11-14,3.1000,3.1000,3.0200,3.0600,1092005
2017-11-15,3.0500,3.1100,3.0200,3.0900,1139369
2017-11-16,3.0900,3.1200,3.0630,3.0800,949308
2017-11-17,3.0700,3.1000,3.0400,3.0400,1150445
2017-11-20,3.0800,3.1000,2.9700,3.0100,1375160
2017-11-21,3.0300,3.0700,2.9900,2.9900,701549
2017-11-22,3.0100,3.0198,2.9400,2.9700,1188007
2017-11-24,2.9800,3.2000,2.9800,3.1300,2207368
2017-11-27,3.1200,3.2300,3.0600,3.0700,1333000
2017-11-28,3.0600,3.1350,3.0100,3.0500,2559166
2017-11-29,3.0500,3.0698,2.9900,2.9900,1474314
2017-11-30,3.0100,3.0650,2.9600,2.9900,1056639
2017-12-01,3.1500,3.3500,3.0508,3.2300,6356041
2017-12-04,3.4400,4.3100,3.4116,3.7600,11563206
2017-12-05,3.8500,3.8600,3.5000,3.7600,3083027
2017-12-06,3.8100,3.8100,3.6000,3.7400,1289476
2017-12-07,3.7900,3.8400,3.7000,3.7800,1688484
2017-12-08,3.7800,3.8400,3.7600,3.8400,1302260
2017-12-11,3.8200,3.9300,3.8110,3.8500,1681240
