date,open,high,low,close,volume
1999-11-01,0.7000,0.7000,0.7000,0.7000,6500
1999-11-02,0.7300,0.7700,0.7300,0.7700,14000
1999-11-03,0.7200,0.7200,0.7200,0.7200,5700
1999-11-04,0.7200,0.7200,0.7200,0.7200,4000
1999-11-05,0.7300,0.8100,0.7300,0.8000,68600
1999-11-08,0.7700,0.7700,0.7700,0.7700,5000
1999-11-09,0.7700,0.7800,0.7500,0.7800,18400
1999-11-10,0.7800,0.7800,0.7500,0.7500,8200
1999-11-11,0.7500,0.7500,0.7500,0.7500,12000
1999-11-12,0.7700,0.7700,0.7500,0.7500,24000
1999-11-15,0.7000,0.7200,0.7000,0.7200,6200
1999-11-16,0.7700,0.7700,0.7000,0.7700,9800
1999-11-17,0.7000,0.7000,0.7000,0.7000,3400
1999-11-18,0.7000,0.7000,0.7000,0.7000,0
1999-11-19,0.7500,0.7500,0.7500,0.7500,200
1999-11-22,0.7500,0.7500,0.7500,0.7500,0
1999-11-23,0.7000,0.7300,0.5600,0.5900,108100
1999-11-24,0.5600,0.6900,0.5300,0.6900,179200
1999-11-26,0.6900,0.7300,0.6400,0.6900,16600
1999-11-29,0.7300,0.7300,0.6900,0.7200,8300
1999-11-30,0.6900,0.7200,0.6600,0.6600,26500
1999-12-01,0.6600,0.6700,0.6600,0.6600,19500
1999-12-02,0.7000,0.7000,0.6600,0.6600,12500
1999-12-03,0.6600,0.7000,0.6600,0.7000,50300
1999-12-06,0.7000,0.7300,0.6900,0.7300,31500
1999-12-07,0.6600,0.7500,0.6600,0.6600,8500
1999-12-08,0.6700,0.6700,0.6700,0.6700,3000
1999-12-09,0.6700,0.6700,0.6700,0.6700,300
1999-12-10,0.6700,0.7500,0.6700,0.7000,68500
1999-12-13,0.6600,0.7300,0.6600,0.7300,4500
1999-12-14,0.6600,0.7300,0.6600,0.7300,89700
1999-12-15,0.7500,1.0000,0.7500,0.9800,219900
1999-12-16,1.0000,1.0500,0.9100,0.9700,151000
1999-12-17,1.0300,1.0500,0.9200,1.0000,115300
1999-12-20,0.9700,0.9700,0.8800,0.8800,237000
1999-12-21,0.8800,0.9200,0.8800,0.9100,68600
1999-12-22,0.9100,0.9100,0.8100,0.8800,53200
1999-12-23,0.8100,0.8800,0.8100,0.8100,20600
1999-12-27,0.9100,0.9100,0.8100,0.8400,31000
1999-12-28,0.8100,0.8300,0.6900,0.8000,66400
1999-12-29,0.7800,0.8400,0.7800,0.7800,82000
1999-12-30,0.7800,0.8400,0.7700,0.7700,88200
1999-12-31,0.7700,0.8300,0.7700,0.8100,34000
2000-01-03,0.8300,0.8300,0.7700,0.8300,14200
2000-01-04,0.7700,0.9100,0.7700,0.9100,36900
2000-01-05,0.8100,0.8100,0.8100,0.8100,1000
2000-01-06,0.8300,0.8400,0.8300,0.8400,20600
2000-01-07,0.8300,0.8400,0.8100,0.8300,60900
2000-01-10,0.8300,0.8300,0.8000,0.8000,22100
2000-01-11,0.8300,0.8300,0.7700,0.7700,19900
2000-01-12,0.7700,0.8400,0.7200,0.8100,46600
2000-01-13,0.7500,0.8000,0.7500,0.7500,15800
2000-01-14,0.8100,0.8100,0.7500,0.7500,75300
2000-01-18,0.8000,0.9200,0.7300,0.8600,130600
2000-01-19,0.9200,0.9200,0.8300,0.9100,141200
2000-01-20,0.9100,0.9400,0.8900,0.9200,283900
2000-01-21,0.9200,1.0200,0.9200,0.9800,302500
2000-01-24,1.0000,1.0900,1.0000,1.0200,428900
2000-01-25,1.0300,1.0900,0.9800,1.0500,216900
2000-01-26,1.0900,1.4700,1.0200,1.2800,552600
2000-01-27,1.4700,1.5300,1.2800,1.3100,284200
