date,open,high,low,close,volume
2013-10-10,54.1500,55.0200,51.5600,52.0100,29240900
2013-10-11,52.2600,55.4400,51.8500,53.3000,3245300
2013-10-14,53.1800,56.5000,53.0000,55.6400,1018700
2013-10-15,56.3800,57.6700,55.8700,57.0600,1566100
2013-10-16,57.4000,57.8000,55.9800,57.5600,2233300
2013-10-17,57.5000,57.6200,53.9000,54.9000,1985800
2013-10-18,55.3000,56.5600,52.9100,55.1300,1017200
2013-10-21,55.0000,55.4800,54.6200,55.1300,849200
2013-10-22,54.7000,56.0100,53.8500,54.3500,1071600
2013-10-23,53.2500,55.0000,53.1200,54.8200,781600
2013-10-24,54.8200,55.4500,54.4800,55.2000,629700
2013-10-25,55.0500,56.5200,54.3100,56.3800,536900
2013-10-28,56.0000,57.1500,55.5900,57.0000,518900
2013-10-29,57.0000,57.2200,56.0400,56.3300,1172600
2013-10-30,55.8500,57.0800,55.5500,56.8400,979300
2013-10-31,56.5000,57.7600,56.0200,56.4900,396100
2013-11-01,56.7500,57.0000,54.5100,55.1500,987600
2013-11-04,56.9500,57.1200,54.2300,54.9800,810100
2013-11-05,55.9900,56.0000,54.5800,55.1900,521300
2013-11-06,55.9600,56.0600,54.8800,55.0400,719300
2013-11-07,54.7000,54.7000,53.3100,54.0000,1566500
2013-11-08,56.7200,56.7200,54.0000,55.6400,708700
2013-11-11,55.1500,55.8500,54.1600,54.2800,646400
2013-11-12,54.2800,55.0600,53.6000,54.2400,523700
2013-11-13,54.4800,54.4800,53.7700,54.0700,433100
2013-11-14,54.0400,54.1300,53.3600,53.8000,362400
2013-11-15,54.0000,54.5200,53.4000,53.5200,384200
2013-11-18,53.6400,54.1500,51.8300,52.0600,395600
2013-11-19,52.0000,52.9900,51.8900,52.7000,569800
2013-11-20,52.5500,53.2800,51.9700,52.6700,383800
2013-11-21,52.7500,53.7800,52.4100,53.4900,349800
2013-11-22,54.7600,55.9800,54.1000,55.4000,910900
2013-11-25,55.4500,55.4500,54.4300,55.1800,48800
2013-11-26,55.0600,55.6200,54.9500,55.1000,409900
2013-11-27,55.1200,56.3300,54.8500,54.8600,253700
2013-11-29,55.1400,55.7100,54.6600,54.9000,92400
2013-12-02,54.8400,55.1400,52.7200,54.2300,623300
2013-12-03,54.3400,55.0600,53.7200,54.3400,885400
2013-12-04,54.0000,54.9300,53.8200,54.4000,769200
2013-12-05,54.2800,55.0100,54.0000,54.6900,741700
2013-12-06,54.9900,55.7700,54.1600,54.1800,733400
2013-12-09,53.1100,54.7100,53.1000,54.3000,575200
2013-12-10,55.7400,58.2300,55.7400,56.8400,2043800
2013-12-11,57.0000,57.4800,55.9100,56.0500,1287800
2013-12-12,55.9000,56.9800,55.3900,56.6800,815700
2013-12-13,57.0600,57.0700,56.2600,56.4100,551600
2013-12-16,56.8000,57.2400,56.3400,56.5700,712700
2013-12-17,56.7100,58.8200,56.3500,58.4600,787400
2013-12-18,58.5600,59.5700,58.1500,59.5400,1041000
2013-12-19,60.3500,60.9900,58.9400,59.0000,927200
2013-12-20,59.3900,60.2500,58.3700,59.9100,3382100
2013-12-23,59.8100,60.5300,58.5400,60.3300,967200
2013-12-24,60.2400,61.1600,60.2400,61.0800,272200
2013-12-26,61.3700,62.0300,60.5600,61.0000,242800
2013-12-27,61.2600,62.4600,60.7200,62.3800,318900
2013-12-30,62.2700,63.1900,61.8600,62.2500,423600
2013-12-31,62.5100,63.5700,61.3400,63.4400,510200
2014-01-02,63.1500,63.2100,60.0700,60.9800,1022400
2014-01-03,61.2800,61.3800,59.6500,60.7200,524600
2014-01-06,60.8100,60.8100,58.0000,58.9500,687600
2014-01-07,58.7500,59.1000,56.5500,57.2900,1084400
2014-01-08,57.5200,58.3700,56.8100,57.9400,680600
2014-01-09,58.2600,58.4500,54.7900,56.1000,1136100
2014-01-10,56.0600,56.3800,54.7800,55.1300,637900
2014-01-13,55.0700,55.4400,53.6100,54.4500,1125300
2014-01-14,54.5600,55.6000,54.1000,55.3700,550100
2014-01-15,55.6400,56.9400,55.0800,56.0300,973500
2014-01-16,56.5000,57.5600,56.1000,57.0500,867700
2014-01-17,57.2700,57.8400,56.3700,56.5100,688300
2014-01-21,58.3000,58.3000,56.3400,57.2000,658800
2014-01-22,57.5000,58.2700,57.3300,58.1800,542900
2014-01-23,58.1800,58.7000,57.5200,58.5200,766500
2014-01-24,57.9700,58.7200,55.0100,57.9900,1273300
2014-01-27,58.0900,58.4100,56.6700,57.0200,795800
2014-01-28,57.9500,59.6400,57.5800,58.9600,755400
2014-01-29,58.3100,60.0300,57.6000,59.8600,725100
2014-01-30,59.9900,60.0000,58.0000,58.8700,1405100
2014-01-31,58.3400,59.4300,57.4700,58.7400,437700
2014-02-03,59.1200,59.2600,56.8700,57.5300,372700
2014-02-04,57.7600,58.4300,56.0800,57.5800,1137300
2014-02-05,57.3200,58.1200,56.5000,56.7800,627100
2014-02-06,57.0000,57.7000,56.5600,57.0500,1391200
2014-02-07,58.2900,58.2900,55.3300,55.6800,1050300
2014-02-10,55.7000,56.2500,55.1000,55.4200,597500
2014-02-11,55.3400,57.0700,55.2500,56.7300,558100
2014-02-12,57.1500,57.5700,56.3900,56.7500,565200
2014-02-13,56.6100,57.5000,55.5900,56.7900,711100
2014-02-14,57.0000,58.3100,56.5000,57.1400,710800
2014-02-18,57.2600,58.2700,57.0300,57.1400,410100
2014-02-19,57.3800,58.9000,56.8100,58.3600,629500
2014-02-20,58.2800,58.4200,57.0700,57.6400,369800
2014-02-21,58.0800,58.1300,55.9600,57.1400,1462400
2014-02-24,57.4700,58.9800,57.0900,58.2700,965500
2014-02-25,57.9800,58.9500,57.7600,58.6100,561200
2014-02-26,58.5700,59.0900,58.0300,58.5800,787400
2014-02-27,59.1400,62.0400,56.8200,60.6700,1676900
2014-02-28,60.8300,61.0400,58.9000,60.3400,756300
2014-03-03,60.3400,61.4000,57.7700,59.4900,989700
2014-03-04,59.6500,60.0900,58.5000,59.3500,542800
2014-03-05,59.7000,61.1500,59.0500,59.3600,897700
2014-03-06,59.7900,61.5700,59.3500,61.0100,836400
2014-03-07,60.9700,61.4700,60.7000,61.2400,454700
2014-03-10,61.1800,61.5400,60.0000,60.7800,451500
2014-03-11,61.0600,61.8300,59.9500,60.5900,429600
2014-03-12,60.3700,61.0700,59.5600,60.2400,422800
