date,open,high,low,close,volume
2021-09-07,9.2500,26.0000,8.8800,11.3000,3532842
2021-09-08,14.0100,19.0000,13.0100,14.0100,14936949
2021-09-09,12.7536,15.2630,12.2401,14.2000,1743230
2021-09-10,14.5700,15.5000,14.2395,15.2100,1009055
2021-09-13,14.7900,16.2199,14.6700,14.9800,619226
2021-09-14,14.9900,15.4561,12.5500,12.5900,842826
2021-09-15,13.6000,14.5831,13.0000,14.1900,854670
2021-09-16,14.1800,22.8300,13.9100,17.9500,3767299
2021-09-17,17.1500,20.9900,17.0500,18.2600,1902137
2021-09-20,17.2000,26.4800,17.1000,24.9400,3538335
2021-09-21,24.6000,33.0000,23.6800,31.5700,5279594
2021-09-22,30.0700,38.8799,28.5500,35.6000,4660418
2021-09-23,36.7100,41.5200,26.1000,28.0000,2719324
2021-09-24,26.5900,30.9400,21.6850,24.2400,1738340
2021-09-27,25.5379,25.6199,19.3800,20.6500,1307788
2021-09-28,20.5900,21.4700,19.0118,19.0700,964235
2021-09-29,19.5900,23.6000,19.4500,21.1400,1710634
2021-09-30,21.1000,22.2000,18.7500,20.0700,484582
2021-10-01,20.1500,20.7300,17.5500,18.3000,694265
2021-10-04,18.6300,22.4900,18.5000,20.7600,1093528
2021-10-05,20.8600,23.0000,20.5800,21.3600,811074
2021-10-06,21.2800,21.9500,18.5000,18.5000,535267
2021-10-07,19.5700,21.9000,18.7812,18.8600,881440
2021-10-08,18.6100,19.0679,16.5500,17.6800,1232404
2021-10-11,17.1900,17.4700,15.5000,15.6100,476305
2021-10-12,15.8000,16.3000,14.6120,14.6200,785809
2021-10-13,14.1000,14.5800,13.0000,13.9500,1071070
2021-10-14,14.6200,14.7772,13.6000,13.9500,767969
2021-10-15,14.1300,15.4245,13.1800,14.6500,1041316
2021-10-18,14.6300,15.0500,14.0200,14.3700,618010
2021-10-19,14.6300,17.3000,14.4800,15.5600,1603092
2021-10-20,15.4800,19.9700,15.2500,17.4800,1915711
2021-10-21,18.5200,18.9300,16.1600,16.7000,956520
2021-10-22,16.4000,16.9600,15.7200,16.5800,313761
2021-10-25,16.7700,21.0000,16.7400,20.1300,979739
2021-10-26,18.9500,25.7490,18.6800,22.0000,2037829
2021-10-27,22.1800,22.7899,18.7500,19.1100,655708
2021-10-28,19.5600,20.1574,17.7000,17.9400,619495
2021-10-29,18.3000,22.7840,17.8500,21.8700,1475016
2021-11-01,23.0100,26.4600,21.5200,22.9600,1103207
2021-11-02,22.4700,23.9999,20.0700,20.4000,669256
2021-11-03,21.1000,23.1500,20.9000,22.5000,528496
2021-11-04,23.1100,24.6500,21.7700,22.8500,388018
2021-11-05,23.3500,23.7000,21.5301,21.7700,374350
2021-11-08,22.3100,22.9900,19.7200,20.4800,542074
2021-11-09,20.8300,21.0000,19.5135,19.9000,283775
2021-11-10,19.3600,20.7200,19.1900,20.1100,345018
2021-11-11,20.2000,20.5900,19.4400,19.7000,81714
2021-11-12,20.1700,25.1000,20.0200,22.5800,1525722
2021-11-15,23.1300,23.3500,21.2000,22.2700,360441
2021-11-16,21.9300,24.7000,21.2800,23.9300,1211723
2021-11-17,24.6700,27.9300,23.2800,25.3600,1958384
2021-11-18,26.3000,27.5400,24.4000,25.7900,839981
2021-11-19,25.7900,26.0000,23.5100,24.5000,572338
2021-11-22,24.9900,27.2800,23.8300,26.9700,718130
2021-11-23,26.2300,28.6900,26.0000,26.7900,445386
2021-11-24,26.5100,30.7300,26.5100,30.7000,681176
2021-11-26,29.1800,37.3800,29.1200,34.8500,1076650
2021-11-29,35.5000,38.8499,34.3400,35.8000,967809
2021-11-30,35.0600,38.2000,34.7100,38.0600,867815
2021-12-01,38.1200,41.0000,32.1100,35.1800,1479680
2021-12-02,33.3500,39.2800,32.5100,37.8800,601257
2021-12-03,38.0000,41.4555,35.3000,37.4100,576515
