date,open,high,low,close,volume
2016-08-05,8.1300,8.7000,7.8600,8.0800,139996
2016-08-08,8.0000,8.3999,7.9000,8.0000,17820
2016-08-09,7.7800,8.0000,7.7800,7.8900,17028
2016-08-10,7.9732,8.0647,7.9000,7.9900,12115
2016-08-11,8.0500,8.0500,7.8600,7.8600,12477
2016-08-12,7.9500,7.9999,7.8000,7.8100,20141
2016-08-15,8.0100,8.1000,7.8200,7.9500,28138
2016-08-16,7.9500,8.1000,7.9152,8.1000,29342
2016-08-17,8.0000,8.1000,7.9500,8.0500,7832
2016-08-18,8.0800,8.0800,7.9816,8.0500,6637
2016-08-19,8.0700,8.0700,7.9500,8.0300,3933
2016-08-22,8.0200,8.1000,7.8500,8.1000,30772
2016-08-23,8.0400,8.0522,8.0000,8.0500,10506
2016-08-24,8.0400,8.0500,7.9175,8.0400,3947
2016-08-25,8.0000,8.0500,8.0000,8.0500,4112
2016-08-26,8.0500,8.0500,7.9800,8.0400,4461
2016-08-29,8.0500,8.3000,8.0400,8.2600,31853
2016-08-30,8.2600,10.2500,8.2424,9.6500,506412
2016-08-31,9.9500,10.1500,9.0300,9.3400,277144
2016-09-01,9.3782,9.4900,8.9001,9.2400,54995
2016-09-02,8.9400,9.4700,8.9400,9.2500,40761
2016-09-06,9.4900,9.9985,9.0200,9.1000,147458
2016-09-07,9.4899,9.9699,9.2400,9.7000,95884
2016-09-08,10.0000,10.0000,8.9000,9.6000,109243
2016-09-09,9.5000,9.6000,8.9000,9.1600,62448
2016-09-12,9.1000,9.6000,9.0100,9.0900,32311
2016-09-13,9.1500,9.1500,8.5001,9.0000,35814
2016-09-14,8.8200,9.1000,8.5400,9.0200,50904
2016-09-15,8.9200,9.3500,8.5300,8.5800,57599
2016-09-16,8.8400,9.0800,8.1100,8.1100,71419
2016-09-19,8.3900,8.7000,8.1000,8.3400,56013
2016-09-20,8.1400,8.7400,8.1200,8.7400,42947
2016-09-21,8.5564,8.8900,8.4500,8.8000,60562
2016-09-22,8.8300,8.9890,8.1000,8.1700,79924
2016-09-23,8.3800,8.5889,8.1465,8.2700,13261
2016-09-26,8.3000,8.3100,7.9900,8.0500,43305
2016-09-27,8.0700,8.2500,7.9900,8.0600,12878
2016-09-28,8.0384,8.3500,7.9400,8.0400,20526
2016-09-29,8.0900,8.3300,8.0400,8.2100,38348
2016-09-30,8.2000,8.3200,7.8000,7.8000,44216
2016-10-03,7.9800,8.1500,7.8000,7.9700,15880
2016-10-04,7.9000,8.3000,7.8500,7.8500,76453
2016-10-05,7.8700,8.2400,7.2000,7.8000,61320
2016-10-06,7.7800,8.0199,7.7500,7.7500,60881
2016-10-07,7.7500,7.8430,7.5000,7.5000,30407
2016-10-10,7.7000,7.9600,7.6100,7.6890,4612
2016-10-11,7.6700,7.6700,7.2500,7.2500,22215
2016-10-12,7.5300,7.7500,7.0600,7.6500,56621
2016-10-13,7.6000,7.6700,7.2810,7.3500,3065
2016-10-14,7.6800,7.7600,7.2800,7.5100,46225
2016-10-17,7.6600,7.6600,7.4650,7.4650,3770
2016-10-18,7.4200,7.6800,7.4000,7.5400,4297
2016-10-19,7.6000,7.7256,7.5100,7.6900,5821
2016-10-20,7.5985,7.9800,7.5594,7.9600,7203
2016-10-21,7.7597,7.8800,7.7287,7.8800,5192
2016-10-24,7.8200,7.9400,7.6800,7.9400,35243
2016-10-25,7.9500,8.3000,7.9200,8.0000,34555
2016-10-26,7.7545,8.0000,7.6200,7.6200,3278
2016-10-27,7.6300,7.6900,7.5000,7.6700,3435
2016-10-28,7.6100,7.6700,7.5500,7.6600,1987
2016-10-31,7.6400,7.6400,7.4200,7.4200,4404
2016-11-01,7.4200,7.6400,7.0000,7.0000,42691
2016-11-02,7.0300,7.0908,7.0000,7.0100,8195
2016-11-03,7.0300,7.2000,7.0000,7.0501,2630
2016-11-04,7.0300,7.0600,6.9000,6.9000,12673
2016-11-07,6.9800,6.9800,6.9000,6.9000,1905
2016-11-08,7.0700,7.2500,6.7500,6.7600,7355
2016-11-09,6.7500,6.8000,6.6100,6.7500,8353
2016-11-10,7.3100,7.3100,6.8000,6.8000,10202
2016-11-11,6.6000,6.9300,6.6000,6.6500,9615
2016-11-14,6.6500,6.6566,6.6000,6.6566,3997
2016-11-15,6.6500,6.6900,6.6500,6.6900,458
2016-11-16,7.0048,7.0048,6.8200,6.9500,4173
2016-11-17,7.5000,7.5000,7.0500,7.2000,2903
2016-11-18,7.8000,7.8000,6.9000,7.2000,2420
2016-11-21,7.1500,7.1900,6.6000,6.6100,4211
2016-11-22,7.0500,7.0500,6.9024,6.9800,1556
2016-11-23,7.0500,7.0500,6.7000,6.8500,5538
2016-11-25,6.6600,7.0500,6.6600,7.0500,531
2016-11-28,6.6100,6.6400,6.6000,6.6000,1922
2016-11-29,6.6540,6.9869,6.6000,6.9800,9195
2016-11-30,6.6200,6.8507,6.5000,6.7500,4500
2016-12-01,6.8100,6.8112,6.5200,6.5200,3833
2016-12-02,6.8800,6.8800,6.8800,6.8800,122
2016-12-05,6.7870,6.7870,6.5000,6.5000,4257
2016-12-06,6.5001,6.5117,6.5000,6.5117,3072
2016-12-07,6.5100,6.8238,6.5000,6.8238,2907
2016-12-08,6.7900,6.8000,6.4500,6.7970,8168
2016-12-09,6.8200,7.0500,6.8200,6.9999,16420
2016-12-12,6.9100,7.0200,6.9100,7.0100,9259
2016-12-13,7.0200,7.0500,6.9900,7.0500,2981
2016-12-14,7.0500,7.3089,6.7700,6.9000,24354
2016-12-15,7.0000,7.0000,7.0000,7.0000,220
2016-12-16,6.9700,6.9700,6.5976,6.8000,7724
