date,open,high,low,close,volume
1999-11-01,27.5600,27.5600,26.8800,27.0000,247600
1999-11-02,27.0600,27.3100,27.0000,27.3100,420700
1999-11-03,27.3800,28.0000,27.3100,27.5600,190600
1999-11-04,28.0600,28.3800,28.0000,28.2500,133300
1999-11-05,28.8100,28.9400,28.5000,28.6300,328100
1999-11-08,28.1900,28.4400,27.9400,28.3800,224600
1999-11-09,28.1300,28.9400,27.6300,28.6300,267600
1999-11-10,28.6300,29.1900,28.6300,29.1300,426400
1999-11-11,28.9400,28.9400,28.6900,28.7500,155600
1999-11-12,28.5000,28.8800,28.3800,28.6300,121700
1999-11-15,28.5000,28.6300,28.4400,28.6300,140600
1999-11-16,28.6300,28.6900,28.0000,28.4400,280800
1999-11-17,28.4400,28.6900,28.3100,28.3800,292600
1999-11-18,28.5000,28.5000,28.0000,28.0000,223200
1999-11-19,28.0000,28.0600,27.6300,27.6300,151100
1999-11-22,27.3100,27.3100,26.2500,26.7500,396400
1999-11-23,27.2500,27.6300,27.1300,27.5600,342300
1999-11-24,27.7500,27.9400,27.4400,27.9400,370000
1999-11-26,27.6300,27.6300,27.5000,27.6300,209800
1999-11-29,26.7500,26.7500,25.6900,26.2500,440500
1999-11-30,26.1300,26.1300,25.5600,25.6900,166000
1999-12-01,25.6900,25.8100,25.1900,25.2500,286800
1999-12-02,25.1900,25.3800,24.5600,24.8100,349900
1999-12-03,24.8800,25.3100,24.8800,25.1900,201600
1999-12-06,24.5000,24.7500,24.4400,24.5600,310800
1999-12-07,24.5600,25.1900,24.5000,25.0000,310200
1999-12-08,24.7500,25.1900,24.5600,24.7500,193600
1999-12-09,24.5600,24.5600,23.8800,23.8800,348800
1999-12-10,23.9400,24.2500,23.7500,23.7500,201400
1999-12-13,23.5600,23.8800,23.5600,23.8100,257000
1999-12-14,23.9400,23.9400,23.6900,23.7500,69400
1999-12-15,23.9400,24.5000,23.9400,24.3100,342600
1999-12-16,23.9400,24.3800,23.8100,24.1300,225600
1999-12-17,25.3100,25.3100,25.3100,25.3100,296100
1999-12-20,25.8100,25.8100,24.8800,24.8800,234400
1999-12-21,25.5600,26.4400,25.3100,25.8800,266700
1999-12-22,26.1300,26.1300,25.0600,25.5000,117800
1999-12-23,25.5600,26.2500,25.5600,25.6900,183300
1999-12-27,25.6900,25.9400,25.4400,25.8100,111200
1999-12-28,25.9400,25.9400,25.1900,25.3800,129500
1999-12-29,25.5000,25.8100,25.1300,25.3100,150300
1999-12-30,25.1900,25.4400,25.1300,25.3800,90900
1999-12-31,25.3800,25.8100,25.3800,25.6900,112400
2000-01-03,25.5000,25.6300,25.3800,25.5600,56300
2000-01-04,24.6300,25.6900,24.5600,24.9400,143400
2000-01-05,24.6900,25.0600,24.6300,24.7500,117500
2000-01-06,24.5600,24.9400,24.5600,24.8800,41500
2000-01-07,25.3100,26.0000,25.3100,25.8100,151000
2000-01-10,26.5000,26.5600,26.0000,26.0000,140900
2000-01-11,26.0600,26.0600,25.7500,26.0600,101300
2000-01-12,25.9400,26.0000,25.6900,25.6900,74200
