date,open,high,low,close,volume
1999-11-01,49.6900,50.5000,48.6300,48.7500,268200
1999-11-02,48.8100,50.0000,48.8100,49.5000,309400
1999-11-03,49.3800,49.6300,49.1900,49.4400,141400
1999-11-04,49.1900,49.4400,49.1300,49.1900,39800
1999-11-05,49.0600,49.0600,48.7500,49.0000,178900
1999-11-08,49.0000,49.1300,48.6900,48.6900,194700
1999-11-09,48.7500,48.7500,48.0600,48.1300,82400
1999-11-10,47.8800,50.8100,47.8800,50.0000,218300
1999-11-11,50.0000,53.5000,50.0000,53.0600,176100
1999-11-12,53.1300,58.2500,53.1300,56.5000,504100
1999-11-15,56.5000,56.5000,52.6300,52.6900,203500
1999-11-16,52.6300,53.2500,52.3100,52.9400,172800
1999-11-17,53.0000,53.0000,52.5000,52.5600,17400
1999-11-18,52.5600,53.6300,52.1300,53.6300,107700
1999-11-19,53.6300,53.6300,53.0000,53.0000,16300
1999-11-22,53.1300,53.8100,53.0000,53.3100,90000
1999-11-23,53.5000,53.5000,53.1300,53.3100,19800
1999-11-24,53.3100,55.1300,53.3100,54.3800,215500
1999-11-26,54.4400,54.6900,54.3800,54.3800,13500
1999-11-29,54.2500,56.3800,54.0600,56.1900,73700
1999-11-30,56.1900,57.6900,56.1900,57.1900,84400
1999-12-01,57.0600,58.1300,57.0600,57.3100,38000
1999-12-02,57.1900,58.5000,57.0000,57.8800,112300
1999-12-03,58.0000,59.5000,58.0000,59.3100,113100
1999-12-06,59.5600,60.6300,59.5600,59.8100,67800
1999-12-07,60.0600,62.1300,60.0600,62.1300,153100
1999-12-08,62.0000,65.4400,62.0000,64.5000,204200
1999-12-09,64.0000,64.0000,60.7500,60.7500,182900
1999-12-10,60.7500,60.7500,57.1900,57.5000,98100
1999-12-13,57.4400,58.3800,57.3100,57.5600,83500
1999-12-14,57.4400,58.0600,57.4400,58.0600,19500
1999-12-15,57.8100,59.6300,57.5000,59.5600,63100
1999-12-16,59.5600,62.5000,59.5000,62.3100,72700
1999-12-17,61.6900,61.6900,61.6900,61.6900,79600
1999-12-20,61.7500,63.0000,61.6900,62.0600,158500
1999-12-21,62.0600,65.1900,61.8100,65.0000,105400
1999-12-22,64.7500,64.8800,62.0600,62.9400,163100
1999-12-23,62.9400,62.9400,62.3800,62.6900,87600
1999-12-27,62.7500,64.3800,62.7500,64.1300,80900
1999-12-28,64.1900,67.0000,64.1300,66.5000,113800
1999-12-29,66.3800,66.5000,65.8100,65.8800,52600
1999-12-30,65.6300,66.0000,65.6300,66.0000,52400
1999-12-31,66.0000,67.7500,66.0000,66.2500,66800
2000-01-03,66.0000,66.0600,64.1300,64.3100,127900
2000-01-04,63.8800,63.9400,56.0000,57.5600,152800
2000-01-05,57.3100,57.3100,52.6900,53.5000,322800
2000-01-06,53.3800,56.3800,53.3800,56.0000,298800
2000-01-07,56.0000,57.1900,55.0000,55.5000,158400
2000-01-10,56.2500,58.0000,56.2500,57.1900,246500
2000-01-11,57.4400,57.9400,57.3800,57.6900,188300
2000-01-12,57.4400,57.5600,57.0000,57.3100,36500
2000-01-13,57.3800,59.1900,57.3800,59.0000,102000
2000-01-14,59.0000,60.0600,59.0000,59.4400,31700
2000-01-18,59.4400,59.5600,59.1900,59.4400,40800
2000-01-19,59.3100,64.1300,59.1900,63.5600,229400
2000-01-20,63.8100,65.8100,63.1900,63.5600,124700
2000-01-21,64.5600,67.7500,64.5600,66.5600,160700
2000-01-24,68.0000,68.6900,64.0000,64.0000,424200
2000-01-25,64.0600,64.5000,60.7500,62.3800,117900
2000-01-26,62.6300,63.4400,61.9400,62.0000,93500
2000-01-27,62.0600,63.1300,58.2500,59.3800,210700
2000-01-28,59.5000,59.5000,53.2500,54.0600,108600
2000-01-31,54.3100,55.6900,52.4400,53.1300,122500
2000-02-01,53.3800,53.5000,51.2500,51.5000,383000
2000-02-02,52.0000,59.0000,52.0000,58.8800,272400
2000-02-03,58.6300,62.6900,58.2500,62.6900,258100
