date,open,high,low,close,volume
2018-06-15,35.0000,44.9400,35.0000,44.9400,7882188
2018-06-18,46.5100,53.6400,42.5150,44.1100,4120677
2018-06-19,43.4900,47.0000,41.5800,45.9900,1142350
2018-06-20,46.9400,47.0000,43.2100,45.0100,741304
2018-06-21,44.5500,59.3965,40.6300,51.0400,5913762
2018-06-22,53.9700,54.0900,50.6000,51.0000,1148478
2018-06-25,49.9000,53.1000,48.5000,49.6000,967855
2018-06-26,50.0600,50.9300,45.9366,47.8500,584863
2018-06-27,48.0500,49.7400,45.5000,45.7000,391402
2018-06-28,45.5300,46.7600,42.5500,44.5800,557874
2018-06-29,44.5800,53.4000,44.5800,53.3700,1164108
2018-07-02,52.8000,56.1300,47.6000,48.7200,1361991
2018-07-03,48.4400,51.8895,48.1500,49.5900,305676
2018-07-05,50.2900,51.9250,48.7731,49.1000,304004
2018-07-06,49.2000,50.0600,47.0100,47.3900,268936
2018-07-09,47.7500,48.2003,45.3500,47.5000,361683
2018-07-10,46.1600,46.8000,44.8100,44.9600,555547
2018-07-11,44.4700,44.6070,42.3400,42.4000,589817
2018-07-12,42.5300,44.8775,42.3500,43.9900,547588
2018-07-13,44.4800,44.4995,43.1900,43.7500,242536
2018-07-16,43.4300,44.4179,42.3766,43.6200,446123
2018-07-17,43.3200,44.3500,42.6500,44.1700,293708
2018-07-18,44.3900,44.3900,42.5912,43.0700,354236
2018-07-19,43.0000,43.1784,41.7135,42.2900,323126
2018-07-20,42.2000,43.6500,42.2000,42.9300,273115
2018-07-23,42.7300,43.5800,42.0001,42.2600,139767
2018-07-24,42.3300,42.9800,40.2110,41.1900,401911
2018-07-25,41.0300,44.4100,41.0280,44.3500,326188
2018-07-26,44.0300,46.3800,42.6618,45.3100,324313
2018-07-27,45.5000,46.0000,42.2200,42.8200,268533
2018-07-30,42.9300,42.9300,39.8500,40.4000,483710
2018-07-31,40.7200,41.3300,38.1300,38.3400,329580
2018-08-01,38.3900,39.7697,37.6100,38.1800,335829
2018-08-02,37.9300,38.0400,37.0100,37.1300,282369
2018-08-03,37.5000,37.5000,36.1600,37.1600,191165
2018-08-06,37.0000,41.3900,36.9900,40.7500,381993
2018-08-07,41.2100,42.6300,40.5600,42.2100,249912
2018-08-08,42.4000,43.2850,41.6500,42.5100,201325
2018-08-09,43.2900,46.1700,42.8000,45.9700,628490
2018-08-10,38.2000,44.1000,38.2000,42.4100,1799413
2018-08-13,42.6500,42.8528,38.3800,38.5100,368012
2018-08-14,38.7600,38.7600,35.8700,36.0300,513301
2018-08-15,35.8500,35.8700,32.1000,34.6700,748987
2018-08-16,38.3900,39.7999,37.5100,39.7600,609680
2018-08-17,39.9800,39.9800,37.8800,39.2500,293095
2018-08-20,39.0900,40.8800,38.3466,40.5600,228217
2018-08-21,41.2700,43.6199,41.2700,42.3500,279340
2018-08-22,42.2300,42.9200,41.3200,41.7200,167519
2018-08-23,41.8200,42.4986,40.1700,40.2400,165169
2018-08-24,40.3100,40.6000,39.2900,39.5200,299355
2018-08-27,39.7000,40.4000,39.1500,39.5100,257775
2018-08-28,39.5700,40.3500,39.3953,39.9100,285871
2018-08-29,39.9800,40.3350,38.8300,39.0000,402025
2018-08-30,38.8500,39.2250,37.3800,37.4200,326040
2018-08-31,37.3300,37.9900,36.7900,36.9900,779263
2018-09-04,37.0700,40.3400,37.0246,39.8700,387820
2018-09-05,39.5400,39.9400,37.5700,39.6200,219101
2018-09-06,39.6000,42.2551,38.9150,40.8300,387391
2018-09-07,40.5800,42.2800,40.5500,41.2200,189394
2018-09-10,41.3200,42.7100,41.1900,42.2200,145565
2018-09-11,42.0600,42.5000,39.6401,41.0000,293918
2018-09-12,40.8500,41.7400,39.8101,40.9100,104111
2018-09-13,41.1200,42.4400,41.0350,42.2700,229605
