date,open,high,low,close,volume
2020-05-12,0.2476,0.2476,0.2476,0.2476,2500
2020-06-02,0.2490,0.2490,0.2490,0.2490,2500
2020-06-04,0.2492,0.2492,0.2492,0.2492,2500
2020-06-05,0.3000,0.3000,0.3000,0.3000,500
2020-06-08,0.2476,0.2476,0.2476,0.2476,5000
2020-06-09,0.2500,0.2500,0.2500,0.2500,100
2020-06-10,0.3148,0.3148,0.2863,0.3116,117100
2020-06-23,0.3116,0.3116,0.3116,0.3116,6
2020-06-24,0.2994,0.2994,0.2994,0.2994,965
2020-07-02,0.2589,0.2628,0.2477,0.2628,10434
2020-07-07,0.2479,0.2587,0.2479,0.2587,11000
2020-07-08,0.2485,0.2485,0.2485,0.2485,1500
2020-07-09,0.2494,0.2494,0.2457,0.2457,3500
2020-07-17,0.2457,0.2457,0.2457,0.2457,100
2020-07-21,0.2280,0.2465,0.2280,0.2464,26000
2020-07-22,0.2469,0.2883,0.2469,0.2883,18971
2020-07-23,0.2883,0.2883,0.2883,0.2883,0
2020-07-24,0.2883,0.2883,0.2883,0.2883,0
2020-07-27,0.2900,0.2900,0.2900,0.2900,3000
2020-07-28,0.2900,0.2900,0.2900,0.2900,0
2020-07-29,0.2900,0.2900,0.2900,0.2900,0
2020-07-30,0.2474,0.2474,0.2474,0.2474,1005
2020-07-31,0.2474,0.2474,0.2474,0.2474,0
2020-08-03,0.2474,0.2474,0.2474,0.2474,0
2020-08-04,0.2474,0.2474,0.2474,0.2474,0
2020-08-05,0.2474,0.2474,0.2474,0.2474,0
2020-08-06,0.2474,0.2474,0.2474,0.2474,0
2020-08-07,0.2474,0.2474,0.2474,0.2474,0
2020-08-10,0.2474,0.2474,0.2474,0.2474,0
2020-08-11,0.2269,0.2800,0.2269,0.2793,86750
2020-08-12,0.2350,0.3630,0.2239,0.2540,88160
2020-08-13,0.2472,0.2479,0.2472,0.2479,2000
2020-08-14,0.2424,0.3300,0.2424,0.3300,91400
2020-08-17,0.3453,0.3717,0.2932,0.3717,155600
2020-08-18,0.3000,0.3850,0.3000,0.3200,135277
2020-08-19,0.3650,0.3654,0.3500,0.3654,35527
2020-08-20,0.3487,0.4378,0.3487,0.4100,111150
2020-08-21,0.4287,0.4640,0.4287,0.4560,110021
2020-08-24,0.4593,0.4928,0.4584,0.4928,85241
2020-08-25,0.5000,0.5427,0.4907,0.5426,214107
2020-08-26,0.5600,0.6850,0.5100,0.6125,399061
2020-08-27,0.6600,0.6800,0.5760,0.5810,186361
2020-08-28,0.5900,0.5900,0.5072,0.5473,76864
2020-08-31,0.5699,0.6065,0.4500,0.5300,277519
2020-09-01,0.4658,0.5724,0.4600,0.5100,98504
2020-09-02,0.5150,0.5375,0.4941,0.5000,34900
2020-09-03,0.5300,0.5744,0.4502,0.5700,110085
2020-09-04,0.5361,0.5572,0.5015,0.5400,72247
2020-09-08,0.5700,0.6150,0.5651,0.5700,138140
2020-09-09,0.5710,0.6246,0.5647,0.6200,102095
2020-09-10,0.6300,0.6363,0.4800,0.5300,120078
2020-09-11,0.5418,0.5800,0.5200,0.5653,76143
2020-09-14,0.5600,0.5600,0.5110,0.5295,44923
2020-09-15,0.5114,0.5114,0.4800,0.4900,26964
2020-09-16,0.5350,0.6061,0.5300,0.5700,84689
2020-09-17,0.5959,0.5959,0.5200,0.5520,42451
2020-09-18,0.5600,0.5600,0.5044,0.5600,92951
2020-09-21,0.5200,0.5400,0.4510,0.5400,100997
2020-09-22,0.5200,0.5235,0.4801,0.5100,85133
2020-09-23,0.5139,0.5910,0.5139,0.5910,76986
2020-09-24,0.5500,0.5601,0.5500,0.5601,3431
2020-09-25,0.5598,0.5598,0.5570,0.5570,3621
2020-09-28,0.5731,0.5898,0.4680,0.5807,56875
2020-09-29,0.6050,0.6050,0.5500,0.5500,14950
2020-09-30,0.5936,0.6550,0.5902,0.6300,107336
2020-10-01,0.6220,0.6390,0.6025,0.6176,51601
2020-10-02,0.6008,0.6179,0.6000,0.6179,56500
2020-10-05,0.5716,0.6032,0.5400,0.6032,17375
2020-10-06,0.5400,0.5964,0.5400,0.5695,53551
2020-10-07,0.5652,0.5660,0.5310,0.5660,105158
2020-10-08,0.5817,0.6612,0.5700,0.6320,123250
2020-10-09,0.5983,0.6587,0.5690,0.6187,119185
2020-10-12,0.6587,0.7390,0.6587,0.6738,66951
2020-10-13,0.6450,0.6510,0.5210,0.5987,82650
2020-10-14,0.5862,0.6390,0.5840,0.6390,89408
2020-10-15,0.6200,0.6800,0.5850,0.6300,78930
2020-10-16,0.6150,0.6549,0.6150,0.6549,80019
2020-10-19,0.6500,0.6702,0.6250,0.6413,126748
2020-10-20,0.6010,0.6286,0.6001,0.6286,11522
2020-10-21,0.6100,0.6290,0.5720,0.6290,34347
2020-10-22,0.6300,0.6300,0.5600,0.5900,34683
2020-10-23,0.5365,0.5980,0.5328,0.5980,12855
2020-10-26,0.5500,0.5740,0.5500,0.5710,20419
2020-10-27,0.5780,0.5781,0.5310,0.5310,15749
2020-10-28,0.5580,0.5850,0.5500,0.5615,21487
2020-10-29,0.5800,0.5800,0.5300,0.5401,20078
2020-10-30,0.5200,0.5420,0.4174,0.5420,74828
2020-11-02,0.5418,0.5418,0.5418,0.5418,500
2020-11-03,0.5056,0.5056,0.5056,0.5056,8094
2020-11-04,0.5085,0.5155,0.4930,0.5155,23425
2020-11-05,0.5100,0.5165,0.4300,0.5165,49760
2020-11-06,0.4600,0.5000,0.4600,0.5000,27718
2020-11-09,0.4950,0.5100,0.4750,0.5000,87001
2020-11-10,0.4674,0.5009,0.4674,0.5009,11261
2020-11-11,0.4851,0.5100,0.4550,0.5100,20400
2020-11-12,0.4749,0.4749,0.4749,0.4749,4600
2020-11-13,0.4561,0.4923,0.4561,0.4620,16500
2020-11-16,0.4509,0.5247,0.4509,0.5206,70578
2020-11-17,0.5245,0.5300,0.5150,0.5209,57236
2020-11-18,0.5200,0.5850,0.5200,0.5800,58600
2020-11-19,0.5800,0.6000,0.5600,0.5861,49257
2020-11-20,0.5777,0.5790,0.5100,0.5300,52500
2020-11-23,0.5900,0.5900,0.4600,0.5698,14670
2020-11-24,0.5110,0.5850,0.5110,0.5850,25907
2020-11-25,0.5804,0.5900,0.5525,0.5736,25600
2020-11-27,0.5650,0.5650,0.5650,0.5650,3055
2020-11-30,0.6058,0.6058,0.5460,0.5600,10700
2020-12-01,0.6047,0.6047,0.4124,0.5141,145760
2020-12-02,0.5700,0.6050,0.5496,0.5850,117645
2020-12-03,0.5853,0.5853,0.5300,0.5700,32462
2020-12-04,0.4410,0.5699,0.4410,0.5058,75020
2020-12-07,0.5324,0.5324,0.4430,0.4800,45700
2020-12-08,0.5046,0.5046,0.4503,0.4503,310
