date,open,high,low,close,volume
2012-04-17,0.7000,0.7000,0.3500,0.3500,700
2012-04-18,0.5000,0.5000,0.4000,0.5000,12565
2012-04-19,0.4000,0.4000,0.3500,0.3500,18500
2012-04-20,0.3800,0.3800,0.3800,0.3800,17906
2012-04-23,0.5000,0.5000,0.4300,0.4300,400
2012-04-24,0.4300,0.4300,0.4300,0.4300,0
2012-04-25,0.4000,0.4000,0.4000,0.4000,7533
2012-04-26,0.3200,0.4000,0.3200,0.4000,26525
2012-04-27,0.4000,0.4000,0.4000,0.4000,0
2012-04-30,0.4100,0.4100,0.4000,0.4000,12500
2012-05-01,0.5000,0.5000,0.4900,0.4900,23514
2012-05-02,0.4900,0.4900,0.4900,0.4900,20328
2012-05-03,0.4500,0.4500,0.4500,0.4500,4000
2012-05-04,0.5000,0.5500,0.5000,0.5500,4700
2012-05-07,0.6000,0.6000,0.6000,0.6000,7438
2012-05-08,0.6000,0.7900,0.6000,0.7500,49255
2012-05-09,0.7500,0.8400,0.7200,0.7700,16801
2012-05-10,0.7700,0.7700,0.7700,0.7700,0
2012-05-11,0.7600,0.7600,0.7600,0.7600,10000
2012-05-14,0.6000,0.6500,0.6000,0.6500,3200
2012-05-15,0.6000,0.6000,0.6000,0.6000,100
2012-05-16,0.6500,0.6500,0.6500,0.6500,15801
2012-05-17,0.6610,0.6610,0.6610,0.6610,6250
2012-05-18,0.6610,0.6610,0.6610,0.6610,0
2012-05-21,0.6610,0.6610,0.6610,0.6610,735
2012-05-22,0.6610,0.6610,0.6610,0.6610,0
2012-05-23,0.6610,0.6610,0.6610,0.6610,0
2012-05-24,0.6500,0.6500,0.6500,0.6500,983
2012-05-25,0.6000,0.6500,0.6000,0.6500,17801
2012-05-29,0.6500,0.6500,0.6500,0.6500,0
2012-05-30,0.5100,0.6500,0.5100,0.6500,300
2012-05-31,0.5100,0.5500,0.5100,0.5500,7489
2012-06-01,0.5500,0.5500,0.5500,0.5500,0
2012-06-04,0.5600,0.5600,0.5600,0.5600,15000
2012-06-05,0.5600,0.5600,0.5600,0.5600,0
2012-06-06,0.5600,0.5600,0.5600,0.5600,0
2012-06-07,0.5100,0.5100,0.4900,0.4900,8500
2012-06-08,0.5100,0.5100,0.5100,0.5100,10000
2012-06-11,0.5100,0.5100,0.5100,0.5100,0
2012-06-12,0.5100,0.5100,0.5100,0.5100,0
2012-06-13,0.5100,0.5100,0.5100,0.5100,0
2012-06-14,0.5100,0.5100,0.5100,0.5100,0
2012-06-15,0.5100,0.5100,0.5100,0.5100,0
2012-06-18,0.5100,0.5100,0.5100,0.5100,0
2012-06-19,0.5000,0.5000,0.4800,0.4900,19900
2012-06-20,0.3500,0.3500,0.3500,0.3500,188
2012-06-21,0.3500,0.3500,0.3500,0.3500,0
2012-06-22,0.3700,0.3700,0.3700,0.3700,1000
2012-06-25,0.3700,0.3700,0.3700,0.3700,0
2012-06-26,0.3700,0.3700,0.3700,0.3700,0
2012-06-27,0.3700,0.3700,0.3700,0.3700,0
2012-06-28,0.3700,0.3700,0.3700,0.3700,0
2012-06-29,0.3700,0.3700,0.3700,0.3700,0
2012-07-02,0.3700,0.3700,0.3700,0.3700,0
2012-07-03,0.3700,0.3700,0.3700,0.3700,0
2012-07-05,0.4300,0.4300,0.4300,0.4300,21000
2012-07-06,0.4300,0.4300,0.4300,0.4300,0
2012-07-09,0.4300,0.4300,0.4300,0.4300,13471
2012-07-10,0.4300,0.4300,0.4300,0.4300,0
2012-07-11,0.4300,0.4300,0.4300,0.4300,7294
2012-07-12,0.4300,0.4300,0.4300,0.4300,0
2012-07-13,0.4300,0.4300,0.4300,0.4300,0
2012-07-16,0.4000,0.4000,0.2000,0.2000,76797
2012-07-17,0.1700,0.1900,0.1300,0.1500,87366
2012-07-18,0.1500,0.1500,0.1500,0.1500,0
2012-07-19,0.2500,0.2500,0.2500,0.2500,12500
2012-07-20,0.3000,0.3000,0.3000,0.3000,2000
2012-07-23,0.3000,0.3000,0.3000,0.3000,0
2012-07-24,0.3000,0.3000,0.3000,0.3000,0
2012-07-25,0.3000,0.3000,0.3000,0.3000,0
2012-07-26,0.2800,0.2800,0.2800,0.2800,2250
2012-07-27,0.2800,0.2800,0.2800,0.2800,10000
2012-07-30,0.2800,0.2800,0.2800,0.2800,0
2012-07-31,0.3000,0.3000,0.3000,0.3000,333
2012-08-01,0.3000,0.3500,0.3000,0.3500,3667
2012-08-02,0.3500,0.3500,0.3500,0.3500,0
2012-08-03,0.3500,0.3500,0.3500,0.3500,0
2012-08-06,0.3500,0.3500,0.3500,0.3500,0
2012-08-07,0.3500,0.3500,0.3500,0.3500,0
2012-08-08,0.3500,0.3500,0.3500,0.3500,0
2012-08-09,0.3500,0.3500,0.3500,0.3500,0
2012-08-10,0.3500,0.3500,0.3500,0.3500,0
2012-08-13,0.3500,0.3500,0.3500,0.3500,0
2012-08-14,0.3500,0.3500,0.3500,0.3500,0
2012-08-15,0.3000,0.3000,0.3000,0.3000,313
2012-08-16,0.3000,0.3000,0.3000,0.3000,0
2012-08-17,0.3000,0.3000,0.3000,0.3000,0
2012-08-20,0.3000,0.3000,0.3000,0.3000,0
2012-08-21,0.3000,0.3000,0.3000,0.3000,0
2012-08-22,0.3000,0.3000,0.3000,0.3000,0
2012-08-23,0.3000,0.3000,0.3000,0.3000,5000
2012-08-24,0.3000,0.3000,0.3000,0.3000,0
2012-08-27,0.2600,0.2600,0.2600,0.2600,10000
2012-08-28,0.2600,0.2600,0.2600,0.2600,0
2012-08-29,0.2600,0.2600,0.2600,0.2600,3000
2012-08-30,0.2600,0.2600,0.2600,0.2600,0
2012-08-31,0.2600,0.2600,0.2600,0.2600,0
2012-09-04,0.2600,0.2600,0.2600,0.2600,0
2012-09-05,0.3000,0.3000,0.3000,0.3000,6000
2012-09-06,0.3000,0.3000,0.3000,0.3000,0
2012-09-07,0.3000,0.3000,0.3000,0.3000,0
2012-09-10,0.3000,0.3000,0.3000,0.3000,22750
2012-09-11,0.3000,0.3000,0.3000,0.3000,11250
2012-09-12,0.3100,0.3100,0.3100,0.3100,400
2012-09-13,0.3100,0.3100,0.3100,0.3100,0
2012-09-14,0.3100,0.3100,0.3100,0.3100,625
2012-09-17,0.4500,0.4500,0.4500,0.4500,3320
2012-09-18,0.4200,0.4200,0.4200,0.4200,2222
2012-09-19,0.4200,0.4200,0.4200,0.4200,0
2012-09-20,0.4200,0.4200,0.4200,0.4200,0
2012-09-21,0.4200,0.4200,0.3400,0.3400,2657
2012-09-24,0.3715,0.3715,0.3400,0.3400,525
2012-09-25,0.3400,0.3400,0.3400,0.3400,0
2012-09-26,0.3400,0.3400,0.3400,0.3400,0
2012-09-27,0.3400,0.3400,0.3400,0.3400,600
2012-09-28,0.3400,0.3400,0.3400,0.3400,700
2012-10-01,0.3400,0.3400,0.3400,0.3400,125
2012-10-02,0.3400,0.3400,0.3400,0.3400,10240
2012-10-03,0.3400,0.3400,0.3400,0.3400,0
2012-10-04,0.3400,0.3400,0.3400,0.3400,0
2012-10-05,0.3400,0.3400,0.3400,0.3400,0
2012-10-08,0.3400,0.3400,0.3400,0.3400,0
2012-10-09,0.3400,0.3400,0.3100,0.3100,10287
2012-10-10,0.3100,0.3100,0.3100,0.3100,0
2012-10-11,0.3100,0.3100,0.3100,0.3100,0
2012-10-12,0.3100,0.3100,0.3100,0.3100,0
2012-10-15,0.3100,0.3100,0.3100,0.3100,0
2012-10-16,0.2800,0.2800,0.2800,0.2800,3150
2012-10-17,0.2800,0.2800,0.2600,0.2600,12600
2012-10-18,0.2600,0.2600,0.2600,0.2600,0
2012-10-19,0.2600,0.2600,0.2600,0.2600,0
2012-10-22,0.2600,0.2600,0.2600,0.2600,0
2012-10-23,0.2600,0.2600,0.2600,0.2600,0
2012-10-24,0.2600,0.2600,0.2500,0.2500,10000
2012-10-25,0.2200,0.2200,0.2200,0.2200,4935
2012-10-26,0.2200,0.2200,0.2200,0.2200,0
2012-10-31,0.2200,0.2200,0.2200,0.2200,0
2012-11-01,0.2000,0.2000,0.2000,0.2000,7500
2012-11-02,0.2000,0.2000,0.2000,0.2000,0
2012-11-05,0.2200,0.2200,0.1900,0.1900,20125
2012-11-06,0.1900,0.1900,0.1900,0.1900,0
2012-11-07,0.1500,0.1700,0.1500,0.1700,16250
2012-11-08,0.1700,0.1700,0.1700,0.1700,0
2012-11-09,0.1700,0.1700,0.1700,0.1700,0
2012-11-12,0.1700,0.1700,0.1700,0.1700,0
2012-11-13,0.1700,0.1700,0.1700,0.1700,0
2012-11-14,0.1500,0.1500,0.1500,0.1500,5225
2012-11-15,0.1500,0.1500,0.1500,0.1500,0
2012-11-16,0.1500,0.1500,0.1500,0.1500,0
2012-11-19,0.1800,0.2480,0.1800,0.2300,45625
2012-11-20,0.2300,0.2300,0.2300,0.2300,0
2012-11-21,0.2300,0.2300,0.2300,0.2300,0
2012-11-23,0.1900,0.1900,0.1900,0.1900,2750
2012-11-26,0.1900,0.1900,0.1900,0.1900,0
2012-11-27,0.1900,0.1900,0.1900,0.1900,0
2012-11-28,0.1900,0.1900,0.1900,0.1900,0
2012-11-29,0.1900,0.1900,0.1900,0.1900,0
2012-11-30,0.1900,0.1900,0.1900,0.1900,0
2012-12-03,0.1900,0.1900,0.1900,0.1900,0
2012-12-04,0.1900,0.1900,0.1900,0.1900,0
2012-12-05,0.2300,0.2300,0.2300,0.2300,10000
2012-12-06,0.2300,0.2300,0.2300,0.2300,0
2012-12-07,0.2300,0.2300,0.2300,0.2300,0
2012-12-10,0.2300,0.2300,0.2300,0.2300,0
2012-12-11,0.2300,0.2300,0.2300,0.2300,0
2012-12-12,0.2200,0.2200,0.2200,0.2200,1813
2012-12-13,0.2200,0.2200,0.2200,0.2200,0
2012-12-14,0.2400,0.2700,0.2400,0.2700,2800
2012-12-17,0.2700,0.2700,0.2700,0.2700,3187
2012-12-18,0.2700,0.2700,0.2700,0.2700,0
2012-12-19,0.2400,0.2400,0.1800,0.1900,12925
2012-12-20,0.1900,0.1900,0.1900,0.1900,0
2012-12-21,0.1900,0.1900,0.1900,0.1900,0
2012-12-24,0.1900,0.1900,0.1900,0.1900,0
2012-12-26,0.1900,0.1900,0.1900,0.1900,0
2012-12-27,0.1900,0.1900,0.1900,0.1900,0
2012-12-28,0.1900,0.1900,0.1900,0.1900,0
2012-12-31,0.1900,0.1900,0.1900,0.1900,0
2013-01-02,0.1900,0.1900,0.1900,0.1900,0
2013-01-03,0.1900,0.1900,0.1900,0.1900,5200
2013-01-04,0.1900,0.1900,0.1900,0.1900,0
2013-01-07,0.1700,0.1700,0.1700,0.1700,4500
2013-01-08,0.1700,0.1700,0.1700,0.1700,5350
2013-01-09,0.1700,0.2500,0.1700,0.1700,60500
2013-01-10,0.1700,0.1700,0.1700,0.1700,0
2013-01-11,0.1700,0.1700,0.1700,0.1700,0
2013-01-14,0.1700,0.1700,0.1700,0.1700,0
2013-01-15,0.1900,0.2100,0.1900,0.2000,33000
2013-01-16,0.2000,0.2000,0.2000,0.2000,500
2013-01-17,0.2000,0.2000,0.2000,0.2000,0
2013-01-18,0.1700,0.1700,0.1700,0.1700,5000
2013-01-22,0.1700,0.1700,0.1700,0.1700,0
2013-01-23,0.1700,0.1700,0.1700,0.1700,5000
2013-01-24,0.1700,0.1700,0.1700,0.1700,0
2013-01-25,0.1700,0.1700,0.1700,0.1700,0
2013-01-28,0.1500,0.1500,0.1300,0.1500,28000
2013-01-29,0.1500,0.1500,0.1500,0.1500,0
2013-01-30,0.1500,0.1500,0.1100,0.1100,36750
2013-01-31,0.1200,0.1300,0.1200,0.1300,10000
2013-02-01,0.1300,0.1300,0.1300,0.1300,15500
2013-02-04,0.1300,0.1300,0.1300,0.1300,0
2013-02-05,0.1300,0.1300,0.1300,0.1300,0
2013-02-06,0.1300,0.1300,0.1300,0.1300,0
2013-02-07,0.1300,0.1300,0.1300,0.1300,0
2013-02-08,0.1500,0.1500,0.1500,0.1500,125
2013-02-11,0.1500,0.1500,0.1500,0.1500,5375
2013-02-12,0.1500,0.1500,0.1500,0.1500,0
2013-02-13,0.1500,0.1500,0.1500,0.1500,1000
2013-02-14,0.1500,0.1500,0.1500,0.1500,1000
2013-02-15,0.1500,0.1500,0.1500,0.1500,0
2013-02-19,0.1300,0.1300,0.1300,0.1300,125
2013-02-20,0.1500,0.1500,0.1500,0.1500,12100
2013-02-21,0.1500,0.1500,0.1500,0.1500,0
2013-02-22,0.1500,0.1500,0.1500,0.1500,0
2013-02-25,0.1500,0.1500,0.1500,0.1500,0
2013-02-26,0.1500,0.1500,0.1500,0.1500,0
2013-02-27,0.1300,0.1300,0.1300,0.1300,7000
2013-02-28,0.1300,0.1300,0.1300,0.1300,0
2013-03-01,0.1300,0.1300,0.1300,0.1300,0
2013-03-04,0.1300,0.1300,0.1300,0.1300,0
2013-03-05,0.1300,0.1300,0.1300,0.1300,0
2013-03-06,0.1300,0.1300,0.1300,0.1300,0
2013-03-07,0.1300,0.1300,0.1300,0.1300,0
2013-03-08,0.1300,0.1300,0.1300,0.1300,0
2013-03-11,0.1300,0.1300,0.1300,0.1300,0
2013-03-12,0.1200,0.1200,0.1200,0.1200,5000
2013-03-13,0.1200,0.1200,0.1200,0.1200,0
2013-03-14,0.1200,0.1200,0.1200,0.1200,0
2013-03-15,0.0700,0.0750,0.0700,0.0750,53686
2013-03-18,0.0750,0.0750,0.0750,0.0750,0
2013-03-19,0.0750,0.0750,0.0750,0.0750,0
2013-03-20,0.0750,0.0750,0.0750,0.0750,0
2013-03-21,0.0750,0.0750,0.0750,0.0750,0
2013-03-22,0.0900,0.1100,0.0900,0.1100,23000
2013-03-25,0.1200,0.1200,0.1200,0.1200,5000
2013-03-26,0.1200,0.1200,0.1200,0.1200,0
2013-03-27,0.1200,0.1200,0.1200,0.1200,0
2013-03-28,0.1200,0.1200,0.1200,0.1200,0
2013-04-01,0.1200,0.1200,0.1200,0.1200,0
2013-04-02,0.1200,0.1200,0.1200,0.1200,0
2013-04-03,0.1200,0.1200,0.1200,0.1200,0
2013-04-04,0.1200,0.1200,0.1200,0.1200,0
2013-04-05,0.1200,0.1200,0.1200,0.1200,0
2013-04-08,0.1200,0.1200,0.1200,0.1200,0
2013-04-09,0.1200,0.1200,0.1200,0.1200,0
2013-04-10,0.1000,0.1000,0.1000,0.1000,5000
2013-04-11,0.1000,0.1000,0.1000,0.1000,0
2013-04-12,0.0800,0.0800,0.0800,0.0800,563
2013-04-15,0.0820,0.0820,0.0820,0.0820,11000
2013-04-16,0.0820,0.0820,0.0820,0.0820,0
2013-04-17,0.0820,0.0820,0.0820,0.0820,2500
2013-04-18,0.0820,0.0820,0.0820,0.0820,0
2013-04-19,0.0820,0.0820,0.0820,0.0820,0
2013-04-22,0.0820,0.0820,0.0820,0.0820,0
2013-04-23,0.0820,0.0820,0.0820,0.0820,0
2013-04-24,0.0900,0.0900,0.0900,0.0900,7500
2013-04-25,0.0900,0.0900,0.0900,0.0900,0
2013-04-26,0.0900,0.0900,0.0900,0.0900,0
2013-04-29,0.0900,0.0900,0.0900,0.0900,0
2013-04-30,0.0800,0.0800,0.0800,0.0800,10337
2013-05-01,0.0700,0.0700,0.0700,0.0700,112
2013-05-02,0.0700,0.0700,0.0700,0.0700,0
2013-05-03,0.0700,0.0700,0.0700,0.0700,0
2013-05-06,0.0700,0.0700,0.0700,0.0700,0
2013-05-07,0.0700,0.0700,0.0700,0.0700,0
2013-05-08,0.0700,0.0700,0.0700,0.0700,0
2013-05-09,0.0700,0.0700,0.0700,0.0700,0
2013-05-10,0.0700,0.0700,0.0700,0.0700,0
2013-05-13,0.0700,0.0700,0.0700,0.0700,0
2013-05-14,0.0700,0.0700,0.0700,0.0700,0
2013-05-15,0.0700,0.0700,0.0700,0.0700,0
2013-05-16,0.0700,0.0700,0.0700,0.0700,0
2013-05-17,0.0700,0.0700,0.0700,0.0700,0
2013-05-20,0.0700,0.0700,0.0700,0.0700,0
2013-05-21,0.0700,0.0700,0.0700,0.0700,0
2013-05-22,0.0700,0.0700,0.0700,0.0700,0
2013-05-23,0.0700,0.0700,0.0700,0.0700,0
2013-05-24,0.0700,0.0700,0.0700,0.0700,0
2013-05-28,0.0700,0.0700,0.0700,0.0700,0
2013-05-29,0.0700,0.0700,0.0700,0.0700,0
2013-05-30,0.0800,0.1000,0.0800,0.1000,30900
2013-05-31,0.1000,0.1000,0.1000,0.1000,0
2013-06-03,0.1000,0.1000,0.1000,0.1000,0
2013-06-04,0.1000,0.1000,0.1000,0.1000,0
2013-06-05,0.1000,0.1000,0.1000,0.1000,0
2013-06-06,0.1000,0.1000,0.1000,0.1000,0
2013-06-07,0.1000,0.1000,0.1000,0.1000,0
2013-06-10,0.1000,0.1000,0.1000,0.1000,0
2013-06-11,0.1000,0.1000,0.1000,0.1000,0
2013-06-12,0.1000,0.1000,0.1000,0.1000,0
2013-06-13,0.1000,0.1000,0.1000,0.1000,0
2013-06-14,0.1000,0.1000,0.1000,0.1000,0
2013-06-17,0.1000,0.1000,0.1000,0.1000,0
2013-06-18,0.0700,0.0700,0.0700,0.0700,725
2013-06-19,0.0700,0.0700,0.0700,0.0700,0
2013-06-20,0.0700,0.0700,0.0700,0.0700,0
2013-06-21,0.0700,0.0700,0.0700,0.0700,0
2013-06-24,0.0700,0.0700,0.0700,0.0700,0
2013-06-25,0.0700,0.0700,0.0700,0.0700,0
2013-06-26,0.0700,0.0700,0.0700,0.0700,0
2013-06-27,0.0700,0.0700,0.0700,0.0700,10000
2013-06-28,0.0600,0.0600,0.0600,0.0600,6000
2013-07-01,0.0600,0.0600,0.0600,0.0600,0
2013-07-02,0.0600,0.0600,0.0600,0.0600,0
2013-07-03,0.0600,0.0600,0.0600,0.0600,0
2013-07-05,0.0600,0.0600,0.0600,0.0600,0
2013-07-08,0.0600,0.0600,0.0600,0.0600,0
2013-07-09,0.0600,0.0600,0.0600,0.0600,2500
2013-07-10,0.0600,0.0600,0.0600,0.0600,0
2013-07-11,0.0600,0.0600,0.0600,0.0600,0
2013-07-12,0.0620,0.0620,0.0620,0.0620,2500
2013-07-15,0.0620,0.0620,0.0620,0.0620,0
2013-07-16,0.0620,0.0620,0.0620,0.0620,0
2013-07-17,0.0620,0.0620,0.0620,0.0620,0
2013-07-18,0.0620,0.0620,0.0620,0.0620,0
2013-07-19,0.0620,0.0620,0.0620,0.0620,0
2013-07-22,0.0620,0.0620,0.0620,0.0620,0
2013-07-23,0.0620,0.0620,0.0620,0.0620,0
2013-07-24,0.0620,0.0620,0.0620,0.0620,0
2013-07-25,0.0620,0.0620,0.0620,0.0620,0
2013-07-26,0.0620,0.0620,0.0620,0.0620,0
2013-07-29,0.0620,0.0620,0.0620,0.0620,0
2013-07-30,0.0620,0.0620,0.0620,0.0620,0
2013-07-31,0.0620,0.0620,0.0620,0.0620,0
2013-08-01,0.0620,0.0620,0.0620,0.0620,0
2013-08-02,0.0620,0.0620,0.0620,0.0620,0
2013-08-05,0.0620,0.0620,0.0620,0.0620,0
2013-08-06,0.0620,0.0620,0.0620,0.0620,0
2013-08-07,0.0620,0.0620,0.0620,0.0620,0
2013-08-08,0.0620,0.0620,0.0620,0.0620,0
