date,open,high,low,close,volume
1999-11-01,33.6200,34.9400,33.5600,34.7500,2931600
1999-11-02,34.7500,35.8800,33.7500,34.2500,5200000
1999-11-03,34.0000,35.7800,34.0000,35.7500,3904800
1999-11-04,35.7500,37.0000,35.5000,36.5600,5527600
1999-11-05,37.0000,37.0000,34.0600,35.0000,1961600
1999-11-08,34.5600,35.5000,34.4400,35.2500,1579400
1999-11-09,35.6200,35.7500,34.1200,35.2500,1070600
1999-11-10,35.1200,35.6200,34.1200,34.3100,1248800
1999-11-11,34.8800,34.9400,33.0000,34.1200,1371200
1999-11-12,34.4400,34.7500,32.6200,34.7500,2014800
1999-11-15,34.5000,35.2500,33.8800,34.5600,894800
1999-11-16,34.5600,35.5600,34.3800,35.0600,2001600
1999-11-17,35.1900,35.1900,34.2500,34.3100,1727400
1999-11-18,34.3800,34.4400,33.5000,33.9400,2527800
1999-11-19,34.1200,34.1900,33.3800,33.6900,2328600
1999-11-22,33.5000,33.5000,31.5000,31.6900,2818000
1999-11-23,31.6900,31.7500,30.2500,30.2500,3640600
1999-11-24,30.2500,32.1200,30.2500,31.8800,3078400
1999-11-26,32.0000,32.2500,31.4400,31.8100,643800
1999-11-29,32.3100,32.8800,32.0600,32.4400,4355000
1999-11-30,32.5000,32.7500,31.0000,31.2500,2286400
1999-12-01,31.8800,32.2500,30.9400,31.0600,3855400
1999-12-02,31.1900,32.9400,31.0000,32.6200,8484400
1999-12-03,33.3800,35.1200,33.0600,33.6900,5305000
1999-12-06,33.9400,34.8800,33.7500,34.1900,3444200
1999-12-07,34.1200,34.3800,32.8100,33.0000,2944200
1999-12-08,32.8800,33.9400,32.0000,32.1900,3665800
1999-12-09,32.2500,33.2500,31.2500,31.5000,2317000
1999-12-10,31.9400,32.1200,30.8800,30.9400,2871400
1999-12-13,31.0000,33.4400,30.6200,33.0000,3284200
1999-12-14,33.7500,33.7500,30.7500,30.7500,2309000
1999-12-15,30.6900,32.1200,29.3800,32.0600,5779200
1999-12-16,31.0000,31.1200,29.1200,30.0000,9210000
1999-12-17,31.5000,32.1200,30.6900,32.0000,7318600
1999-12-20,31.9400,31.9400,30.6200,31.2500,2996600
1999-12-21,31.3800,31.7500,30.8100,31.0000,2274200
1999-12-22,30.9400,31.3800,30.9400,31.2500,2986600
1999-12-23,31.4400,32.3800,31.3800,31.5600,1259200
1999-12-27,31.9400,32.1900,31.5000,32.1200,1487400
1999-12-28,31.9400,32.6900,31.1200,32.5600,1415200
1999-12-29,32.1200,32.1900,31.0000,32.1200,1524000
1999-12-30,31.9400,34.1200,31.7500,33.9400,2145200
1999-12-31,34.0000,36.0000,33.9400,34.7500,3591800
2000-01-03,33.7500,34.6200,32.6900,33.0000,3056600
2000-01-04,33.8800,33.8800,30.8100,30.9400,3169600
2000-01-05,30.9400,32.0000,30.6200,31.3800,3022000
2000-01-06,31.1200,32.4400,30.8800,32.1200,4017600
2000-01-07,31.2500,33.7500,31.2500,33.5600,2746400
2000-01-10,33.9700,35.2500,33.6200,35.2500,3255000
2000-01-11,34.4400,35.0600,32.9400,33.0000,5179600
2000-01-12,33.0500,33.3800,32.5000,33.0000,2239600
2000-01-13,32.8400,34.9400,32.8100,34.7500,2258000
2000-01-14,34.8400,35.3800,33.6900,34.3800,2601000
2000-01-18,33.7800,34.1200,33.1200,33.1200,2074200
2000-01-19,33.4400,33.4400,31.8800,32.3100,2896400
2000-01-20,32.3800,32.3800,29.6200,29.8100,5598800
2000-01-21,29.8800,29.8800,28.0000,28.0600,7507000
2000-01-24,28.0600,28.5000,26.5000,26.5000,4965800
2000-01-25,27.0600,28.2500,25.8800,27.1900,7229000
2000-01-26,27.6200,27.8800,26.5000,26.8100,5319000
2000-01-27,27.7500,27.9400,27.0600,27.6900,3597400
2000-01-28,27.6200,28.5000,27.3100,27.5600,3107800
2000-01-31,27.6200,27.7500,26.7500,27.1900,3943600
2000-02-01,27.5000,30.7500,27.2500,30.7500,2881600
2000-02-02,30.8100,32.0000,30.3800,30.8100,4579400
2000-02-03,31.3100,31.3800,30.6200,30.8800,2956400
2000-02-04,31.5900,32.1200,31.0000,32.0600,3042200
2000-02-07,32.0600,32.0600,30.3800,30.6900,1873800
2000-02-08,31.0000,32.1200,30.7500,31.3100,2728000
2000-02-09,31.0000,31.9400,30.6900,30.8100,2061200
2000-02-10,31.2500,31.7500,30.8800,31.5600,1949000
2000-02-11,31.5600,31.6200,29.6200,29.9400,2862600
2000-02-14,29.6900,30.7500,29.3100,30.6900,2415800
2000-02-15,30.2500,31.4400,29.5600,31.1900,2035800
2000-02-16,30.8800,30.9400,27.5000,27.9400,6552200
2000-02-17,28.5600,28.6900,27.6200,28.2500,4343800
2000-02-18,28.5000,28.5600,25.0000,25.2500,7342400
2000-02-22,25.9400,26.3800,24.9400,25.4400,5387400
2000-02-23,25.4400,27.0600,25.1200,26.5600,4942600
2000-02-24,26.8100,27.0000,22.4400,24.3800,6843000
2000-02-25,24.5000,25.2500,23.6900,23.9400,4985200
2000-02-28,23.7500,26.2500,23.6200,26.1200,4942600
2000-02-29,26.2500,28.7500,25.8800,28.3800,5867200
2000-03-01,28.2500,28.5000,26.5000,26.7500,5716800
2000-03-02,27.1900,27.6200,26.9400,27.2500,3341800
2000-03-03,27.2500,27.3800,26.1200,26.8800,3162000
2000-03-06,26.5600,26.6200,23.3800,24.0600,5278400
2000-03-07,24.6200,24.7500,22.0000,23.0600,4972600
2000-03-08,23.0900,23.8800,22.7500,23.6200,4421400
2000-03-09,23.5600,24.0900,23.0000,24.0600,7286200
2000-03-10,23.8800,24.0000,23.4400,23.6200,2788400
2000-03-13,23.3800,23.3800,22.5000,22.7500,3670200
2000-03-14,23.0000,23.5000,22.7500,22.8100,3709000
2000-03-15,23.0000,26.9400,22.9400,26.9400,7987200
2000-03-16,27.0000,31.2500,26.7500,31.1900,14014800
2000-03-17,30.6700,32.0000,29.9400,31.9400,11677200
2000-03-20,31.3800,32.2500,31.0000,31.0600,8672800
2000-03-21,31.1700,32.6200,30.5600,32.3100,3572600
2000-03-22,32.6200,32.6200,29.5600,29.8100,4612800
2000-03-23,29.1200,29.9400,28.8800,29.4400,3157000
2000-03-24,29.6200,30.0000,28.3800,29.3800,2937800
2000-03-27,29.6900,31.3100,28.9400,30.4400,4751000
2000-03-28,30.4400,32.3800,30.3100,31.7500,2746800
2000-03-29,31.7500,33.8100,31.6900,33.5000,3529400
2000-03-30,34.1200,45.5000,34.1200,43.6200,38071600
2000-03-31,41.5000,41.7500,39.0000,39.3800,26784200
2000-04-03,39.2500,40.1200,37.8800,39.6200,6127800
2000-04-04,39.8800,41.2500,36.3800,40.6900,6592000
2000-04-05,39.6200,41.0600,39.0000,40.8100,2803000
2000-04-06,40.3800,42.1200,38.0000,41.5000,5675200
2000-04-07,41.6200,41.9400,38.6200,41.5000,3267600
2000-04-10,40.8800,41.1200,38.0000,38.1200,2856400
2000-04-11,38.0000,41.1200,37.2500,40.5600,3315800
2000-04-12,40.0600,44.0000,39.9400,42.4400,5043400
2000-04-13,42.0000,42.6100,39.5000,40.3300,2698400
2000-04-14,39.5000,40.3800,35.0000,35.5600,4875000
2000-04-17,35.0000,39.2500,35.0000,38.6900,7055600
2000-04-18,38.3100,39.2500,37.0000,38.9400,3103800
2000-04-19,38.6200,38.7500,36.5600,37.4400,2823800
2000-04-20,37.8800,39.5000,37.4400,39.0600,2401800
2000-04-24,38.9400,39.6900,38.3800,39.2500,2191200
2000-04-25,39.6900,41.4400,39.3800,41.4400,3368800
2000-04-26,41.4400,41.4400,39.5000,39.6200,2819000
2000-04-27,39.2500,39.2500,36.9400,36.9400,3279000
2000-04-28,37.1200,37.1200,35.3800,36.6900,3730800
2000-05-01,36.5600,36.6200,35.4400,35.6900,3546400
2000-05-02,35.7500,36.5000,35.0000,35.6900,4127600
2000-05-03,35.1200,35.3800,32.0600,33.5600,9467200
2000-05-04,33.3100,35.6200,32.7500,35.3100,2895800
2000-05-05,34.0000,36.1200,33.8800,35.3100,1946800
2000-05-08,34.9400,35.6200,33.3800,33.6200,1996800
2000-05-09,33.9800,35.4400,32.8800,35.4400,1444200
2000-05-10,34.9400,39.2500,34.8800,37.6200,5766600
2000-05-11,38.1100,40.1200,37.3800,39.9400,3153400
2000-05-12,39.8800,39.8800,37.0600,38.9400,1950400
2000-05-15,38.6200,40.5000,37.2500,40.4400,2375000
2000-05-16,41.1200,41.7500,38.5000,39.3800,2412800
2000-05-17,38.9400,39.0000,36.7500,37.3100,1584400
2000-05-18,37.4400,38.2500,36.6200,36.6200,1528800
2000-05-19,36.2500,37.0000,35.0000,36.0000,1443000
2000-05-22,35.6900,37.5000,34.5000,37.4400,1478800
2000-05-23,37.6900,38.0000,36.2500,36.2500,1372600
2000-05-24,36.1200,36.1200,31.9400,33.7500,3829000
2000-05-25,34.0000,35.5000,33.5000,33.8800,1835400
2000-05-26,34.2500,36.5000,33.6900,33.8800,2281800
2000-05-30,34.5000,36.6200,34.1200,35.4400,1994800
2000-05-31,36.0000,37.6200,35.7500,36.8100,2829800
2000-06-01,36.5600,37.4400,35.7500,37.1200,2312800
