date,open,high,low,close,volume
2020-07-13,10.1600,10.1600,9.8000,9.9000,2001300
2020-07-14,9.9000,9.9300,9.8900,9.9200,783800
2020-07-15,9.9400,10.0000,9.9100,10.0000,566800
2020-07-16,10.0500,10.1000,10.0000,10.1000,4300
2020-07-17,10.1000,10.1500,10.0500,10.1200,269600
2020-07-20,10.1100,10.1100,10.1000,10.1000,1897
2020-07-21,10.1200,10.1200,10.0000,10.0700,691301
2020-07-22,10.0000,10.1200,10.0000,10.1200,16444
2020-07-23,10.0750,10.0750,9.9500,9.9900,108504
2020-07-24,10.0000,10.0000,9.9750,9.9850,3564
2020-07-27,10.0800,10.1000,9.9801,10.1000,25977
2020-07-28,10.0500,10.1200,10.0500,10.0800,29425
2020-07-29,10.0000,10.1000,10.0000,10.0500,580427
2020-07-30,10.0500,10.0600,10.0100,10.0250,104404
2020-07-31,10.0300,10.0300,9.9700,9.9700,278379
2020-08-03,10.0200,10.0200,9.9200,9.9200,79746
2020-08-04,9.9500,9.9500,9.9200,9.9200,101907
2020-08-05,9.9200,9.9200,9.9200,9.9200,5205
2020-08-06,9.9400,9.9400,9.9000,9.9000,303864
2020-08-07,9.9000,9.9000,9.8800,9.9000,443908
2020-08-10,9.9000,9.9000,9.8800,9.8800,158320
2020-08-11,9.8700,9.9200,9.8700,9.9200,18117
2020-08-12,9.9000,9.9000,9.8700,9.8700,956017
2020-08-13,9.8700,9.8900,9.8700,9.8900,15995
2020-08-14,9.8700,9.9000,9.8700,9.9000,1112
2020-08-17,9.9200,10.0000,9.8800,9.9050,14184
2020-08-18,9.8900,9.9000,9.8900,9.8900,19645
2020-08-19,9.8800,9.8800,9.8400,9.8500,1950
2020-08-20,9.8500,9.8500,9.8250,9.8500,25600
2020-08-21,9.8500,9.8700,9.8000,9.8000,75316
2020-08-24,9.8300,9.8300,9.8300,9.8300,102
2020-08-25,9.8400,9.8600,9.8000,9.8200,332097
2020-08-26,9.8000,9.8200,9.8000,9.8200,85231
2020-08-27,9.8000,9.8900,9.8000,9.8000,209830
2020-08-28,9.8000,9.9000,9.7600,9.9000,593061
2020-08-31,9.8500,9.9000,9.7900,9.9000,82578
2020-09-01,9.9000,9.9000,9.8900,9.9000,1000
2020-09-02,9.8400,9.9500,9.8400,9.9000,19049
2020-09-03,9.9000,10.0000,9.8400,9.9000,74309
2020-09-04,9.9300,10.0000,9.8500,9.9500,367508
2020-09-08,9.9000,9.9750,9.8400,9.8750,53093
2020-09-09,9.9000,9.9000,9.8400,9.8400,32566
2020-09-10,9.8500,9.8500,9.7800,9.7800,121426
2020-09-11,9.7800,9.7895,9.7700,9.7800,9359
2020-09-14,9.7900,9.8500,9.7900,9.8500,7810
2020-09-15,9.8150,9.8500,9.7800,9.8200,3176
2020-09-16,9.8400,9.8900,9.8000,9.8900,51222
2020-09-17,9.8600,9.9500,9.8500,9.8900,51245
2020-09-18,9.9200,9.9800,9.8500,9.8600,32842
2020-09-21,9.8500,9.9500,9.8400,9.8400,100257
2020-09-22,9.8500,9.8600,9.8400,9.8400,405454
2020-09-23,9.8500,9.8600,9.8300,9.8500,47771
2020-09-24,9.9000,9.9000,9.8000,9.8100,24892
2020-09-25,9.8100,9.8500,9.8100,9.8100,7594
2020-09-28,9.8200,9.8800,9.8200,9.8200,26318
2020-09-29,9.8500,9.8500,9.8400,9.8400,288
2020-09-30,9.8500,9.8800,9.8200,9.8200,35685
2020-10-01,9.8200,9.8500,9.8200,9.8300,24309
2020-10-02,9.8646,9.9000,9.8200,9.8300,55229
2020-10-05,9.8600,9.8700,9.8218,9.8500,164384
2020-10-06,9.8700,9.8700,9.8350,9.8600,277001
2020-10-07,9.8700,9.8700,9.7800,9.8000,225616
2020-10-08,9.8100,9.9000,9.7200,9.9000,482942
2020-10-09,9.8500,9.8500,9.7600,9.8000,3560
2020-10-12,9.8000,9.8300,9.8000,9.8162,288058
2020-10-13,9.7800,9.8800,9.3400,9.3400,115887
2020-10-14,9.7500,9.8600,9.7500,9.7800,62280
2020-10-15,9.7701,9.7900,9.7500,9.7500,4372
2020-10-16,9.7750,9.7750,9.7500,9.7700,47963
2020-10-19,9.8900,9.8900,9.7500,9.7500,41518
2020-10-20,9.7972,9.7972,9.7880,9.7880,805
2020-10-21,9.8900,9.8900,9.7500,9.7600,15099
2020-10-22,9.8300,9.8300,9.7200,9.7500,10280
2020-10-23,9.7500,9.7500,9.7500,9.7500,220
2020-10-26,9.7800,9.7900,9.7500,9.7900,3235
2020-10-27,9.7800,9.7800,9.7500,9.7500,4884
2020-10-28,9.7201,9.7500,9.7200,9.7200,131198
