date,open,high,low,close,volume
2021-09-15,32.5000,40.1000,32.4200,36.6800,15620667
2021-09-16,42.4050,52.0000,40.5000,48.0000,12215815
2021-09-17,48.6600,54.3900,42.0000,43.5500,10074484
2021-09-20,42.2600,52.0000,41.1000,51.5600,4817951
2021-09-21,51.8100,62.0000,47.3900,54.8900,10088471
2021-09-22,56.4000,59.2500,49.3100,50.8800,5088673
2021-09-23,52.2465,54.9000,50.0300,52.0100,1952900
2021-09-24,52.9300,54.6899,50.1300,52.8900,1853365
2021-09-27,52.8000,53.4380,47.3400,47.4500,3525026
2021-09-28,47.0000,47.3492,42.8400,43.9000,3578775
2021-09-29,44.9999,48.3700,43.7500,44.9500,2319933
2021-09-30,45.2400,45.3400,41.4800,43.3200,2160164
2021-10-01,43.7500,46.8000,42.8200,46.0600,2133856
2021-10-04,45.8600,47.9200,44.4750,44.9700,1250474
2021-10-05,45.0000,45.3000,42.3500,43.0700,1594653
2021-10-06,42.4000,43.4999,41.3200,41.6900,1442164
2021-10-07,42.3100,44.7800,42.1000,42.8200,1069339
2021-10-08,43.4100,43.5000,42.5000,42.6500,448183
2021-10-11,43.5000,50.2500,43.5000,49.0000,4044105
2021-10-12,48.2700,49.9000,46.8500,47.7200,1959261
2021-10-13,48.1700,52.1000,47.8700,50.9000,2773206
2021-10-14,51.6900,55.8700,51.2500,53.0000,2626470
2021-10-15,54.8899,56.8700,51.6200,53.0300,2599531
2021-10-18,53.2000,59.0700,53.0000,57.3500,2725827
2021-10-19,58.9500,65.8000,57.7545,64.7300,5039373
2021-10-20,65.8800,67.2900,59.4000,61.4200,3641784
2021-10-21,61.1100,64.7400,59.2500,60.5800,2100291
2021-10-22,60.8300,69.5400,60.5100,68.8600,3742764
2021-10-25,69.5000,72.5000,64.5200,66.9400,3054451
2021-10-26,68.0000,72.0600,67.0024,70.4100,2239263
2021-10-27,70.6600,70.6890,67.1000,67.8700,1385542
2021-10-28,68.7000,74.2000,68.5000,68.9800,2159637
2021-10-29,69.2400,76.7700,69.1000,76.2400,2360624
2021-11-01,77.5000,81.4000,73.7500,76.2500,3058075
2021-11-02,77.2600,77.7500,69.0200,71.6000,2876703
2021-11-03,71.6000,72.5540,66.6688,67.7800,2215735
2021-11-04,67.7800,71.7499,67.5400,69.7100,1622332
2021-11-05,70.7400,71.0000,64.1001,67.9800,2290112
2021-11-08,67.7000,70.0500,65.8001,67.8000,1279464
2021-11-09,67.9800,68.3342,62.7800,64.5800,1703897
2021-11-10,62.7200,66.0000,60.6100,62.3000,2219653
2021-11-11,68.6500,72.5900,62.3101,66.0000,4614847
2021-11-12,66.2800,66.5100,61.2600,62.0600,2522403
2021-11-15,63.4900,63.8050,60.8500,62.5600,2034022
2021-11-16,61.9300,62.4399,57.9000,60.5400,3288740
2021-11-17,59.5000,59.8000,55.6700,56.8600,3550393
2021-11-18,57.1400,57.4000,53.8100,53.9700,2574377
2021-11-19,53.5700,55.4800,52.1850,54.9900,2121790
2021-11-22,55.8000,56.2000,49.8400,51.2800,2192764
2021-11-23,51.8300,54.1000,50.2713,52.1600,1853124
2021-11-24,51.5000,54.9800,51.2000,54.0800,1363825
2021-11-26,52.2000,54.6900,50.7849,54.2700,978945
2021-11-29,55.1000,55.7500,50.7700,52.8700,1642251
2021-11-30,52.0100,53.3950,49.2601,52.8400,2699511
2021-12-01,52.3300,54.9900,47.0500,48.0600,3151285
2021-12-02,48.4700,49.7399,46.2500,48.2700,1915495
2021-12-03,48.7500,49.3199,44.0000,46.3900,2885984
2021-12-06,44.9600,47.5500,43.8000,46.2000,1906147
2021-12-07,47.7300,51.2700,47.7300,50.3200,1483295
2021-12-08,50.2500,53.5999,49.5900,51.6900,1365656
2021-12-09,51.2000,52.1800,50.2700,50.3500,785656
2021-12-10,50.2900,51.9800,49.4000,50.3000,1421362
2021-12-13,50.0000,50.9900,47.1400,48.4400,1292844
2021-12-14,47.1700,50.2600,47.0340,49.6900,1111430
2021-12-15,47.4600,49.1200,45.0200,48.6400,2158628
2021-12-16,49.3100,52.4300,45.9400,47.2100,1363150
2021-12-17,45.6000,48.6150,43.5500,48.0400,3032347
2021-12-20,47.0000,48.4689,46.2000,48.2000,788509
2021-12-21,49.7700,50.7000,48.0500,49.1400,1115995
2021-12-22,49.4300,49.7800,47.2500,49.1300,632794
2021-12-23,49.4800,54.2900,48.9000,52.8500,1571001
2021-12-27,53.2000,55.4800,51.5000,53.6700,1060902
2021-12-28,53.2499,55.2400,50.2000,50.4400,1245768
2021-12-29,50.6000,52.4600,49.0501,52.2400,747441
2021-12-30,52.2200,54.8000,52.0500,52.1400,887209
2021-12-31,52.1500,52.6600,50.6800,50.9100,519111
2022-01-03,51.4700,52.9900,49.2500,52.4200,640152
2022-01-04,52.8000,53.8000,49.3400,50.9200,956038
2022-01-05,50.5100,50.9300,45.8244,46.4500,1836898
2022-01-06,46.0500,47.6594,44.7500,46.6300,1174421
2022-01-07,46.7500,47.9899,45.0200,46.4700,806839
2022-01-10,45.7000,47.9400,42.3800,47.8100,2281491
2022-01-11,48.3200,50.9099,46.7837,50.2100,3856811
2022-01-12,50.5000,50.6699,45.9200,45.9900,2929987
2022-01-13,46.9700,47.0000,44.3900,45.8800,2054699
2022-01-14,45.6700,46.7000,44.1100,45.1700,1841233
2022-01-18,44.4400,46.4600,42.8900,43.8700,2065588
2022-01-19,43.5600,44.5941,40.1400,41.5700,3540957
2022-01-20,42.1000,44.7500,41.8500,42.0000,1852788
2022-01-21,41.3600,43.5400,40.0500,41.3100,1771971
2022-01-24,40.0000,45.5200,38.1100,45.5100,3020728
2022-01-25,45.6300,49.9800,43.5600,48.9100,3728298
2022-01-26,49.9200,52.1200,47.5600,48.8500,2117061
2022-01-27,49.0000,50.5100,47.0300,47.9900,1417061
2022-01-28,47.5000,49.5600,45.5900,47.5200,1717808
2022-01-31,47.7400,52.4800,47.5100,52.1500,2303964
2022-02-01,52.0200,59.7100,51.3000,58.4100,5479987
2022-02-02,56.9200,59.3676,54.5100,56.2900,2409541
2022-02-03,54.5000,58.9000,53.0900,54.7500,1826979
2022-02-04,55.7000,57.9900,54.2500,57.7400,1995433
