date,open,high,low,close,volume
2014-03-05,1.2500,1.2500,0.9400,0.9800,861931
2014-03-06,0.9750,1.0000,0.7800,0.8000,367421
2014-03-07,0.8300,0.8500,0.3750,0.4300,2289529
2014-03-10,0.4550,0.7450,0.4500,0.6750,1962834
2014-03-11,0.7500,0.7501,0.5000,0.5300,1671789
2014-03-12,0.5300,0.5450,0.4400,0.4800,1108241
2014-03-13,0.4950,0.5350,0.4600,0.5100,728915
2014-03-14,0.5125,0.5490,0.5000,0.5000,481267
2014-03-17,0.5075,0.5450,0.4900,0.5100,187274
2014-03-18,0.5050,0.5400,0.4900,0.5000,228305
2014-03-19,0.5100,0.5150,0.4710,0.4808,362353
2014-03-20,0.4900,0.4900,0.4700,0.4800,278322
2014-03-21,0.4850,0.5250,0.4800,0.4950,595492
2014-03-24,0.5100,0.5200,0.4520,0.4750,392949
2014-03-25,0.4750,0.4900,0.4500,0.4800,299686
2014-03-26,0.5000,0.5000,0.4000,0.4100,808124
2014-03-27,0.4075,0.4250,0.3710,0.3900,1312669
2014-03-28,0.3999,0.4000,0.3720,0.3900,269958
2014-03-31,0.4150,0.4150,0.3200,0.3200,721665
2014-04-01,0.3200,0.3400,0.2200,0.2650,1202917
2014-04-02,0.2550,0.2650,0.2210,0.2300,489293
2014-04-03,0.2250,0.2750,0.1810,0.2000,3284576
2014-04-04,0.2300,0.2310,0.2000,0.2060,2026649
2014-04-07,0.2300,0.2300,0.1900,0.2040,612064
2014-04-08,0.1965,0.2030,0.1520,0.1570,1341120
2014-04-09,0.1725,0.1800,0.1550,0.1570,933168
2014-04-10,0.1585,0.1700,0.1585,0.1615,1064176
2014-04-11,0.1650,0.1700,0.1550,0.1670,597607
2014-04-14,0.1700,0.1840,0.1670,0.1840,1466948
2014-04-15,0.1850,0.2090,0.1830,0.1930,1489763
2014-04-16,0.1900,0.1900,0.1650,0.1700,1863633
2014-04-17,0.1725,0.1750,0.1360,0.1530,1175347
2014-04-21,0.1700,0.1720,0.1555,0.1700,1461462
2014-04-22,0.1720,0.2000,0.1700,0.1940,2022825
2014-04-23,0.2020,0.2400,0.2020,0.2200,1564770
2014-04-24,0.2600,0.2700,0.2350,0.2690,2977766
2014-04-25,0.2800,0.3700,0.2700,0.3575,3868143
2014-04-28,0.3995,0.4400,0.3530,0.3660,5920180
2014-04-29,0.3780,0.3780,0.2060,0.2300,6182708
2014-04-30,0.2560,0.2560,0.2000,0.2250,3911579
2014-05-01,0.2399,0.2400,0.2003,0.2300,1631985
2014-05-02,0.2370,0.2370,0.2160,0.2250,1270139
2014-05-05,0.2247,0.2275,0.1700,0.1875,1704979
