date,open,high,low,close,volume
2012-08-30,25.0000,25.1200,25.0000,25.1000,97100
2012-08-31,25.1200,25.1500,25.0300,25.0500,62500
2012-09-04,25.0900,25.1200,25.0700,25.1100,62800
2012-09-05,25.1000,25.1000,25.0300,25.0900,117500
2012-09-06,25.1100,25.1100,25.0000,25.0200,39785
2012-09-07,25.0800,25.1000,25.0100,25.0600,59056
2012-09-10,25.0800,25.0900,25.0100,25.0400,69000
2012-09-11,25.0500,25.1000,25.0100,25.0600,61100
2012-09-12,25.0800,25.0900,25.0400,25.0500,20076
2012-09-13,25.0900,25.1000,25.0000,25.0300,10455
2012-09-14,25.0200,25.0700,25.0000,25.0000,77800
2012-09-17,25.0400,25.0500,25.0000,25.0500,52600
2012-09-18,25.4500,25.4500,25.0252,25.0300,99100
2012-09-19,25.1700,25.1700,25.0500,25.0500,75900
2012-09-20,25.0400,25.0900,25.0000,25.0100,53400
2012-09-21,25.0000,25.0200,25.0000,25.0000,26500
2012-09-24,25.0000,25.0500,25.0000,25.0000,42250
2012-09-25,25.0000,25.3500,25.0000,25.1900,141700
2012-09-26,25.1500,25.3700,25.0500,25.2000,47000
2012-09-27,25.1900,25.1900,25.1100,25.1500,80600
2012-09-28,25.2000,25.2684,25.1030,25.1800,32900
2012-10-01,25.1300,25.2900,25.1000,25.2300,50100
2012-10-02,25.1600,25.3500,25.1500,25.3500,88300
2012-10-03,25.3500,25.3900,25.1600,25.2800,82100
2012-10-04,25.2500,25.3500,25.2010,25.3500,64900
2012-10-05,25.3400,25.4900,25.2300,25.4000,83000
2012-10-08,25.0000,25.1000,24.9300,25.0799,492800
2012-10-09,25.0100,25.0900,25.0000,25.0900,134500
2012-10-10,25.0000,25.1400,25.0000,25.0700,164900
2012-10-11,25.0000,25.1500,25.0000,25.1400,92300
2012-10-12,25.1100,25.2300,25.1000,25.1500,59000
2012-10-15,25.1000,25.2200,25.0500,25.2200,106800
2012-10-16,25.2400,25.2500,25.1000,25.1700,89100
2012-10-17,25.1900,25.1900,24.9900,25.1000,133400
2012-10-18,25.0100,25.1000,24.9801,25.0600,74600
2012-10-19,25.0500,25.1000,24.9501,25.0000,86100
2012-10-22,25.0000,25.0699,24.8000,24.8000,104100
2012-10-23,24.8500,25.0000,24.7700,25.0000,148500
2012-10-24,25.0000,25.0300,24.9300,24.9600,113800
2012-10-25,24.9300,24.9999,24.8500,24.9188,100600
2012-10-26,24.8700,25.0000,24.8700,24.9200,98800
2012-10-31,25.0000,25.0200,24.6600,24.8300,185800
2012-11-01,24.9300,24.9500,24.7900,24.9500,64200
2012-11-02,24.9100,24.9200,24.7100,24.8000,76100
2012-11-05,24.8600,24.8900,24.6100,24.8100,123700
2012-11-06,24.8500,25.0000,24.7641,25.0000,107500
2012-11-07,24.9500,25.1000,24.9500,25.0400,144700
2012-11-08,24.7900,25.1400,24.7900,25.0100,210600
2012-11-09,25.0000,25.2300,24.9100,25.2200,180000
2012-11-12,25.1900,25.2500,25.0100,25.1800,114100
2012-11-13,25.1700,25.1700,24.9585,25.1100,125500
2012-11-14,25.1300,25.1300,25.0000,25.0000,143900
2012-11-15,25.0500,25.0500,24.8000,24.8200,79000
2012-11-16,24.7500,25.0800,24.5300,24.9322,127700
2012-11-19,25.0900,25.1000,24.9200,25.0300,133800
2012-11-20,25.1000,25.1500,24.9700,25.0400,108200
2012-11-21,25.0800,25.1500,24.9100,24.9100,91800
2012-11-23,25.0900,25.1100,24.9276,25.0040,37900
2012-11-26,25.1200,25.1200,24.9800,25.0500,127400
2012-11-27,25.0600,25.1300,24.9500,24.9700,179300
2012-11-28,25.0500,25.1000,25.0038,25.0790,85400
2012-11-29,25.0800,25.1300,25.0000,25.0000,106000
2012-11-30,25.0500,25.1200,25.0200,25.0800,72700
2012-12-03,25.1800,25.1800,24.9700,25.0000,133700
2012-12-04,25.0600,25.0700,24.9500,25.0600,121200
2012-12-05,25.0000,25.0900,24.9900,25.0700,139700
2012-12-06,25.1000,25.2100,24.9100,24.9900,220200
2012-12-07,25.0400,25.0578,24.9200,24.9400,120200
2012-12-10,24.9400,25.1300,24.9400,25.0800,97600
2012-12-11,25.0100,25.1400,24.9800,25.0500,127900
2012-12-12,24.9400,25.0890,24.9000,25.0200,35600
2012-12-13,25.0700,25.0800,24.9300,24.9300,132600
2012-12-14,24.8800,24.9900,24.7500,24.8400,197300
2012-12-17,25.0700,25.0700,24.4619,24.7200,187200
2012-12-18,24.6300,24.8699,23.9500,24.1200,205400
2012-12-19,24.6000,24.6000,24.0000,24.1200,203200
2012-12-20,24.1000,24.3200,23.8000,23.9000,243800
2012-12-21,23.8000,24.0690,23.2000,23.8660,357900
2012-12-24,23.7000,23.9900,23.2600,23.3500,205000
2012-12-26,23.4000,23.7200,23.1000,23.5200,295600
2012-12-27,23.4500,23.4900,22.8000,23.0500,655400
2012-12-28,23.1800,23.6200,23.0000,23.3043,278400
2012-12-31,23.5100,23.7000,22.7500,23.3600,428100
2013-01-02,23.5100,23.8300,23.2610,23.7900,262500
2013-01-03,23.8500,24.2700,23.8500,23.9600,171800
2013-01-04,24.0000,24.3800,23.8400,24.3723,123500
2013-01-07,24.3240,24.4040,24.2200,24.3600,86500
2013-01-08,24.3600,24.5900,24.3200,24.5200,119600
2013-01-09,24.6000,24.8100,24.6000,24.6500,141300
2013-01-10,24.6700,24.7000,24.4100,24.6500,126000
2013-01-11,24.6300,24.7000,24.4900,24.6300,77200
2013-01-14,24.6000,24.7000,24.5300,24.6000,112000
2013-01-15,24.6700,24.7000,24.4500,24.5400,102700
2013-01-16,24.4500,24.6700,24.4500,24.5600,132900
2013-01-17,24.6400,24.6900,24.5000,24.5700,89700
2013-01-18,24.6000,24.7000,24.4700,24.4700,113800
2013-01-22,24.5000,24.6500,24.0000,24.1300,160600
2013-01-23,24.1500,24.3000,23.9500,24.2900,127900
2013-01-24,24.3500,24.3500,24.0300,24.3100,160800
2013-01-25,24.1900,24.3300,24.0600,24.1900,115200
2013-01-28,24.0800,24.1700,23.7600,24.0160,232300
2013-01-29,24.0500,24.1900,23.8200,23.9100,156100
2013-01-30,23.9000,24.0200,23.8000,23.9100,120000
2013-01-31,24.0000,24.1790,23.7600,23.9300,148800
2013-02-01,24.1700,24.2200,23.9500,24.0000,105800
2013-02-04,24.0500,24.1100,23.7700,23.8000,144900
2013-02-05,23.8900,24.1600,23.8601,24.0600,134700
2013-02-06,24.1100,24.2400,24.0400,24.2300,86700
2013-02-07,24.2400,24.4900,24.1801,24.4100,95100
2013-02-08,24.3700,24.4700,24.2000,24.2500,115800
2013-02-11,24.3000,24.3500,24.2100,24.3400,79800
2013-02-12,24.2300,24.3700,24.2000,24.2400,147500
2013-02-13,24.1400,24.2500,23.9500,23.9900,150400
2013-02-14,24.0200,24.0900,23.7000,23.8800,205100
2013-02-15,23.7600,23.8399,23.5900,23.7800,161500
2013-02-19,23.9700,23.9700,23.6700,23.8690,126800
2013-02-20,23.7600,23.8100,23.5900,23.6500,182100
2013-02-21,23.6100,23.8000,23.5000,23.5500,200300
2013-02-22,23.5600,23.6500,23.4400,23.5200,180600
2013-02-25,23.5500,23.6000,23.3500,23.4690,139200
