date,open,high,low,close,volume
2017-04-03,30.0300,31.5000,30.0300,31.0000,155
2017-04-04,32.0000,32.5000,26.5100,27.2500,3711275
2017-04-05,27.9900,28.5000,26.0000,28.0000,3178535
2017-04-06,28.1500,28.6200,27.0100,27.5500,1614392
2017-04-07,27.4500,27.8817,27.1200,27.5700,418384
2017-04-10,28.0000,28.4700,27.2600,27.9800,816334
2017-04-11,27.6500,27.9000,27.0200,27.4900,593483
2017-04-12,27.4300,27.6100,25.4800,25.7500,1003122
2017-04-13,25.7800,25.8900,23.2800,23.8200,3701438
2017-04-17,23.9500,23.9900,22.6100,23.4200,1934769
2017-04-18,23.4100,24.6500,23.4100,24.0000,3042244
2017-04-19,24.5000,25.1500,24.4300,24.9400,1081120
2017-04-20,25.0600,25.2900,24.7200,25.0000,491404
2017-04-21,25.1200,25.9500,25.1200,25.6900,524642
2017-04-24,26.7000,26.9500,26.0101,26.3900,261384
2017-04-25,26.9900,27.0000,25.4600,26.1000,543122
2017-04-26,26.7500,27.0000,26.0000,26.5300,851839
2017-04-27,26.7300,26.7500,26.0300,26.2100,568140
2017-04-28,26.5000,26.5000,25.1900,25.4100,415130
2017-05-01,25.7400,26.0100,25.3100,25.7500,461813
2017-05-02,25.9000,26.5000,25.7500,26.0300,915658
2017-05-03,26.0500,26.8300,24.8010,25.0700,2050932
2017-05-04,25.0400,25.1000,23.7800,23.7900,4988207
2017-05-05,24.1600,24.3600,23.6300,23.9600,1169106
2017-05-08,24.0000,24.7050,23.8800,24.2000,1351213
2017-05-09,24.2300,25.0800,24.1100,24.9600,703792
2017-05-10,24.9600,25.6300,24.6900,25.2600,990851
2017-05-11,25.1400,25.3400,24.5300,24.7400,560257
2017-05-12,24.6200,25.0900,24.4500,25.0100,536028
2017-05-15,24.9700,25.2500,24.6400,24.7600,445491
2017-05-16,24.6400,24.8900,23.8300,24.1300,1434327
2017-05-17,23.9700,24.4700,22.9700,23.4000,930699
2017-05-18,23.3300,24.1900,22.8700,23.4600,582348
2017-05-19,23.2100,24.0643,23.1000,23.3000,736662
2017-05-22,23.3500,23.7500,23.0700,23.2900,983239
2017-05-23,23.3500,23.8600,23.0800,23.5700,720811
2017-05-24,23.5100,24.4800,23.3300,24.0000,511173
2017-05-25,24.2800,24.6000,23.5700,23.9700,715878
2017-05-26,23.9300,24.7600,23.7410,24.7600,551188
2017-05-30,24.8400,24.9300,24.4600,24.8400,609950
2017-05-31,24.7900,24.7900,23.9100,24.2900,463884
2017-06-01,24.3000,24.4500,23.5200,24.1300,570303
2017-06-02,24.1600,24.1600,22.8000,23.4000,1578712
2017-06-05,23.5100,24.2000,23.2710,24.0000,1154894
2017-06-06,24.0200,24.7750,23.9600,24.2500,786783
2017-06-07,24.2000,24.9000,23.7900,24.2400,1127033
2017-06-08,24.1400,24.2900,23.6000,23.7900,796325
2017-06-09,23.7700,24.6400,23.6800,24.4300,1202447
2017-06-12,24.4300,24.9050,24.2300,24.7700,1064198
2017-06-13,24.6800,25.6800,24.6000,25.1200,1543401
2017-06-14,25.2300,26.1800,25.1225,25.6300,1686898
2017-06-15,25.5400,25.6100,23.6700,24.1000,1417829
2017-06-16,24.1000,24.1000,22.5900,23.4600,9049874
2017-06-19,23.4800,23.6100,22.8772,23.5100,1111463
2017-06-20,23.2700,23.5000,22.7700,23.4100,935658
2017-06-21,23.4100,23.5800,23.0000,23.3600,1244538
2017-06-22,23.4400,23.8100,23.1700,23.4400,964764
2017-06-23,23.4100,23.4100,22.5800,23.0100,6442947
2017-06-26,22.9000,23.4600,22.7600,23.3100,1348913
2017-06-27,23.5100,23.8700,23.2900,23.4900,1397071
2017-06-28,23.5500,23.7400,23.3350,23.5300,712081
2017-06-29,23.5200,24.4500,23.4200,24.3500,1085891
2017-06-30,24.4500,24.6000,24.1500,24.4500,932552
2017-07-03,24.4700,25.0000,24.3700,24.8500,544116
2017-07-05,24.9600,25.4100,24.5600,25.3900,770696
2017-07-06,25.3200,25.7650,25.0000,25.0900,968535
2017-07-07,25.0900,25.3600,24.6450,25.3100,653318
2017-07-10,25.3100,25.7850,24.9300,25.7300,562251
2017-07-11,25.5200,25.9600,25.4200,25.8800,871736
2017-07-12,26.2000,26.7000,26.0800,26.3700,1178846
2017-07-13,26.3800,27.4800,26.3400,27.3400,1135998
2017-07-14,27.3300,27.8800,27.1600,27.3100,844138
2017-07-17,27.1600,27.6400,26.8500,26.9400,588245
2017-07-18,26.7600,27.0500,26.3100,26.3800,795244
2017-07-19,26.5000,27.1786,26.4350,26.9200,1298282
2017-07-20,27.1900,27.2500,26.6700,26.7000,1023686
2017-07-21,26.9600,27.1650,26.7500,26.9900,965869
2017-07-24,27.2400,27.4200,26.8200,27.2500,905205
2017-07-25,27.4000,27.9200,27.1200,27.3500,845150
2017-07-26,27.6100,27.8000,27.2800,27.5700,741487
2017-07-27,27.7000,27.8300,26.8410,27.0500,1076092
2017-07-28,26.9500,27.4600,26.6100,27.4000,685120
2017-07-31,27.4000,28.3800,27.2000,28.0400,1621501
2017-08-01,29.8300,30.9500,29.2950,30.1000,4065688
2017-08-02,30.3000,30.6300,29.9200,30.2100,1031159
2017-08-03,30.2800,30.2800,28.6400,28.7300,1477595
2017-08-04,28.7000,28.7800,28.1500,28.2200,1723240
2017-08-07,28.2500,29.2400,28.2500,29.0100,1484829
2017-08-08,29.0600,29.5900,28.7200,28.7600,764749
2017-08-09,28.7300,28.9300,28.2500,28.4200,852857
2017-08-10,28.4100,28.5360,28.1450,28.4100,838268
2017-08-11,28.2200,28.7000,27.7100,28.2500,905625
2017-08-14,28.4800,28.7900,28.2700,28.5300,685260
2017-08-15,28.5500,28.6500,28.0500,28.2200,1017063
2017-08-16,28.2200,28.3300,27.7700,28.2100,1659940
2017-08-17,28.0100,28.2500,27.8900,27.9400,534067
2017-08-18,27.3300,27.3300,26.7300,27.2100,4176026
2017-08-21,27.2900,27.9400,27.0000,27.8400,1102061
2017-08-22,28.0000,28.0400,27.4800,27.4800,790642
2017-08-23,27.4500,28.1600,27.4100,27.9900,1058294
2017-08-24,28.0500,28.0500,27.7400,27.8100,2346309
2017-08-25,28.0000,28.1600,27.8300,27.8800,990444
2017-08-28,27.8800,28.6200,27.7500,28.5900,1343124
2017-08-29,28.3300,28.5200,27.9200,27.9700,1086560
2017-08-30,27.9500,28.2500,27.8400,28.1200,1014209
2017-08-31,28.2400,29.1700,28.2200,29.0000,2322962
2017-09-01,29.1700,30.5600,29.1700,30.1000,1048925
2017-09-05,30.1200,30.3000,29.0450,29.0900,682159
2017-09-06,30.0000,30.2800,29.2800,30.0800,893850
2017-09-07,30.0300,30.2750,29.0300,29.9000,1315472
2017-09-08,29.6900,29.8100,29.0300,29.2900,1053590
2017-09-11,29.4400,30.3600,29.4400,29.6000,1033544
2017-09-12,29.5900,30.0900,29.5200,29.7900,587606
2017-09-13,29.7100,30.6900,29.7100,30.6100,1127936
2017-09-14,30.4500,30.5200,30.0600,30.1700,616892
2017-09-15,30.1700,30.1700,29.4600,29.5800,2544896
2017-09-18,29.6600,30.0000,29.6600,29.8100,612296
2017-09-19,29.8500,29.8800,29.1500,29.3200,551266
2017-09-20,29.3500,29.5600,29.0600,29.0900,563773
2017-09-21,28.9300,29.5200,28.8400,29.4100,1253995
2017-09-22,29.1500,30.0900,29.1500,29.5200,2369184
2017-09-25,29.6400,30.2499,29.6400,29.7600,1091623
2017-09-26,29.6900,30.0600,29.6200,29.6800,714482
2017-09-27,29.7500,30.2300,29.4300,29.5200,812284
2017-09-28,29.4100,29.5600,29.0450,29.1100,736347
2017-09-29,29.0000,29.1300,28.6200,29.0100,1354954
2017-10-02,29.1100,30.1300,28.9800,29.9000,1279441
2017-10-03,29.9000,30.1000,29.4400,29.6200,804700
2017-10-04,29.5300,29.9800,29.4900,29.6200,595075
2017-10-05,29.6800,30.4200,29.6800,29.8400,746519
2017-10-06,29.7300,29.8300,29.3900,29.4900,659105
2017-10-09,29.6200,29.9100,29.2000,29.3400,619731
2017-10-10,29.5900,29.8800,28.9600,29.4000,733488
