date,open,high,low,close,volume
2007-06-22,36.4500,38.0000,34.2500,35.0600,113095700
2007-06-25,35.7400,35.7700,31.9000,32.4400,35668600
2007-06-26,32.2800,32.4900,30.3200,30.7500,29614000
2007-06-27,30.4000,30.7500,29.1300,29.9200,18087600
2007-06-28,29.6100,30.9800,29.5400,29.6900,8660300
2007-06-29,30.0000,30.2000,28.7500,29.2700,7559700
2007-07-02,29.2700,29.7400,29.0800,29.2700,3175900
2007-07-03,29.5000,29.8800,29.4200,29.7200,2763700
2007-07-05,30.9500,30.9700,30.2000,30.6300,6950900
2007-07-06,30.9000,31.7000,30.8000,31.5000,7652900
2007-07-09,31.9000,31.9900,31.3900,31.4800,4301400
2007-07-10,31.2800,31.3400,29.8400,29.9300,6388700
2007-07-11,29.9400,30.0800,28.9600,29.1800,5982800
2007-07-12,29.5000,30.2900,29.3100,30.0000,5144200
2007-07-13,29.8800,30.0000,29.2800,29.8500,3318400
2007-07-16,29.8500,29.9800,29.3300,29.6900,3109000
2007-07-17,29.6900,29.8500,29.1100,29.2100,2666800
2007-07-18,29.0000,29.1000,28.0000,28.4000,5156100
2007-07-19,28.4000,28.5000,27.0000,27.3300,9902100
2007-07-20,27.0000,27.1100,25.6300,25.9500,9614600
2007-07-23,25.8300,26.9000,25.5100,26.3700,6372700
2007-07-24,25.9100,26.4500,25.6000,25.7100,5614800
2007-07-25,25.7600,26.0500,25.2500,25.5100,4737600
2007-07-26,25.1800,25.9500,23.2700,25.7000,11174800
2007-07-27,24.6600,24.8500,23.6800,24.3000,9253500
2007-07-30,24.4200,24.8800,23.5500,24.4800,5226600
2007-07-31,24.9700,25.2100,23.8100,24.0100,5088700
2007-08-01,24.3400,24.5000,23.6000,24.3100,6489200
2007-08-02,25.2500,25.5800,24.4300,25.3300,8273800
2007-08-03,25.3900,25.4700,24.2000,24.3900,5322900
2007-08-06,24.6800,24.6800,22.7600,24.5300,7314800
2007-08-07,24.5000,25.9800,24.0100,24.9000,5855100
2007-08-08,25.6400,25.9000,25.0000,25.2700,4775000
2007-08-09,24.9900,25.3900,24.5000,24.9200,4345000
2007-08-10,24.5000,25.7900,23.9800,25.2800,4781400
2007-08-13,27.2600,27.2600,25.6500,25.7100,10928800
2007-08-14,26.0000,26.0000,24.2800,24.5700,5373500
2007-08-15,24.4000,24.6900,23.6000,23.6900,4758100
2007-08-16,23.1100,23.9000,22.0400,23.9000,7714200
2007-08-17,24.7100,25.3800,23.9000,24.0800,7715300
2007-08-20,24.1000,24.7400,23.0500,23.3900,5682700
2007-08-21,23.5000,23.7600,23.1100,23.5100,2324900
2007-08-22,23.9000,25.0000,23.9000,24.9400,3957200
2007-08-23,25.2300,25.6600,24.8600,25.2700,3318700
2007-08-24,25.0600,25.1200,24.3600,24.4200,3022100
2007-08-27,24.4200,24.5500,23.6500,23.8000,3043900
2007-08-28,23.5500,23.6100,22.9100,23.0400,3580800
2007-08-29,23.3800,23.4400,22.8700,22.9800,3489700
2007-08-30,22.7400,23.1300,22.5500,22.7400,3920200
2007-08-31,23.1200,23.2700,22.8000,23.1300,3050000
2007-09-04,23.0900,23.3000,23.0300,23.1100,3441600
2007-09-05,23.0000,23.0000,21.9500,21.9800,8045500
2007-09-06,22.0100,22.3900,21.9700,22.1600,4475400
2007-09-07,21.6900,21.8900,21.3000,21.5400,5580800
2007-09-10,21.7500,22.0000,21.3200,21.8800,2727300
2007-09-11,22.3400,23.0000,22.2000,22.8900,5993300
2007-09-12,22.7900,23.5000,22.6200,23.2600,3485100
2007-09-13,23.4900,23.7400,23.3100,23.4100,2364200
2007-09-14,23.3700,24.0000,22.8000,23.9200,2549300
2007-09-17,23.7000,24.3500,23.5500,23.6500,2530200
2007-09-18,23.8300,24.6000,23.3100,24.5500,5219100
2007-09-19,24.7300,26.0000,24.5700,25.6600,9381600
2007-09-20,25.9200,26.7900,25.6000,25.9500,6117700
2007-09-21,26.4800,26.5000,25.0100,25.3200,4168300
2007-09-24,25.3900,25.4400,24.4600,24.5300,3019700
2007-09-25,24.4200,24.6700,24.0000,24.3900,3427200
2007-09-26,24.7500,25.0500,24.3100,24.8900,5567600
2007-09-27,25.0000,25.3500,24.5800,25.1100,4444300
2007-09-28,24.9000,25.4400,24.8600,25.0800,2179100
2007-10-01,24.7200,25.7400,24.7000,25.5800,2571700
2007-10-02,25.7700,26.4000,25.3500,26.0800,3068500
2007-10-03,26.0000,27.6500,25.9800,27.1700,5524800
2007-10-04,27.2500,28.0000,27.2500,27.5800,3997000
2007-10-05,28.0500,29.1000,27.8600,29.0800,5094500
2007-10-08,29.4900,29.7500,28.2100,28.2200,5069100
2007-10-09,28.6100,28.6400,28.0200,28.4500,3392800
2007-10-10,28.6300,28.6700,28.0100,28.6600,2061600
2007-10-11,29.0000,29.3800,28.0800,28.3500,3274200
2007-10-12,28.1100,28.2700,27.7000,27.7500,1895600
2007-10-15,27.7500,28.0000,26.9500,27.0900,1927000
2007-10-16,26.7400,26.7500,25.5300,26.0500,4527300
