date,open,high,low,close,volume
2000-07-28,6.5000,7.0000,4.5000,6.0000,4252900
2000-07-31,6.2500,6.3750,5.8130,6.0630,876100
2000-08-01,6.0630,6.5000,6.0310,6.3750,267400
2000-08-02,6.4380,6.7500,6.0000,6.6250,239700
2000-08-03,6.6880,6.6880,6.3130,6.3750,98400
2000-08-04,6.8750,6.8750,6.2500,6.3750,120200
2000-08-07,6.9380,7.7500,6.5000,7.0630,439400
2000-08-08,7.6250,7.6250,6.7500,6.8750,202200
2000-08-09,6.9380,7.0630,6.8130,7.0000,89700
2000-08-10,7.1250,7.1250,6.7500,6.7500,32500
2000-08-11,6.6880,6.8130,6.5630,6.5630,81100
2000-08-14,6.5940,8.6880,6.5940,7.7660,669400
2000-08-15,7.7500,8.1250,7.3130,7.5630,232300
2000-08-16,7.5000,7.8130,7.4380,7.6880,141600
2000-08-17,7.8750,7.8750,6.7500,6.7500,276700
2000-08-18,7.0000,7.5000,6.8750,7.3750,97300
2000-08-21,7.0630,7.7500,6.8750,7.3750,134400
2000-08-22,7.6250,8.1880,7.0000,7.6880,229200
2000-08-23,7.6880,8.6250,7.1880,8.4380,966500
2000-08-24,8.8750,9.1250,8.0630,9.0000,365900
2000-08-25,9.1880,9.4060,8.5000,8.8130,229600
2000-08-28,9.0000,9.2500,8.7500,8.8750,249300
2000-08-29,8.9060,9.0000,8.5000,8.7500,136600
2000-08-30,9.0000,9.2500,8.7500,9.0000,152300
2000-08-31,9.1250,10.0000,9.0000,9.5000,244000
2000-09-01,9.6250,11.3800,9.5940,11.0600,346600
2000-09-05,11.2500,11.5000,10.5000,10.5600,396700
2000-09-06,10.6900,11.0000,10.0000,10.0600,265900
2000-09-07,10.1600,10.3800,10.0000,10.2500,132800
2000-09-08,10.3800,10.3800,9.7500,9.7500,108600
2000-09-11,9.7500,10.0600,9.4380,9.4530,152000
2000-09-12,10.0600,10.2500,9.5000,9.5000,176200
2000-09-13,9.4380,9.9840,8.8750,9.3750,97800
2000-09-14,9.8440,10.4400,9.6250,9.8130,150900
2000-09-15,10.0000,10.2500,9.2500,9.6250,42500
2000-09-18,9.7500,9.7500,8.7500,9.0000,106800
2000-09-19,8.9060,9.8750,8.7500,9.8750,125800
2000-09-20,9.9060,9.9060,9.2500,9.4380,67000
2000-09-21,10.0000,10.0000,9.2190,9.2190,94700
2000-09-22,8.1250,9.4380,7.8750,9.4380,280300
2000-09-25,9.4690,10.0000,9.2500,9.2810,169500
2000-09-26,9.3750,9.3750,8.5630,9.0000,158300
2000-09-27,9.0000,9.1250,8.0630,8.1880,276100
2000-09-28,8.5000,8.6250,8.3130,8.5630,449800
2000-09-29,8.5630,8.6250,8.3750,8.4380,38900
2000-10-02,8.6880,9.0000,8.4380,8.5000,87300
2000-10-03,8.8130,8.9690,8.4380,8.5000,50500
2000-10-04,8.6410,8.7500,8.3750,8.5000,161100
2000-10-05,8.7030,8.7500,8.1250,8.2500,82400
2000-10-06,8.4380,8.4380,7.3750,7.8130,99200
2000-10-09,7.8130,7.8130,6.1880,6.8750,326300
2000-10-10,6.8750,6.9380,6.3130,6.4060,176200
2000-10-11,6.5000,6.6880,6.4380,6.6250,271200
2000-10-12,6.8750,7.0000,6.5630,6.8130,178500
2000-10-13,7.0630,7.1250,5.8130,6.1250,454600
2000-10-16,6.5000,6.6880,6.3750,6.5000,163500
