date,open,high,low,close,volume
2015-07-01,16.0000,16.6800,14.6000,16.5100,11665424
2015-07-02,16.4300,16.5100,15.9000,16.5100,6632011
2015-07-06,16.0000,16.1800,15.6600,16.0400,3389242
2015-07-07,15.8900,16.1200,14.8000,14.9900,4827355
2015-07-08,14.0700,14.1000,12.3200,13.0200,9970744
2015-07-09,13.0400,13.2300,11.8100,11.8100,10485197
2015-07-10,11.9200,12.2499,11.1450,11.6600,8528108
2015-07-13,11.2300,11.6600,11.0600,11.4000,6951504
2015-07-14,11.2400,12.7600,11.2400,12.6600,6311882
2015-07-15,12.7200,13.6300,12.5000,12.9900,4837710
2015-07-16,12.8200,13.1700,12.7600,13.1100,4385392
2015-07-17,13.0400,13.1000,12.9200,13.0400,2720572
2015-07-20,12.8600,12.9300,12.3900,12.4900,4101929
2015-07-21,12.3700,12.5500,12.3300,12.3800,2186561
2015-07-22,12.1500,12.4500,11.6400,12.0400,3388608
2015-07-23,12.0600,12.2100,11.7300,11.8500,2225339
2015-07-24,11.7000,11.7600,11.2400,11.3100,3445432
2015-07-27,11.2400,11.2500,10.6550,10.7500,3738880
2015-07-28,10.3500,11.3100,9.8600,11.3000,3192896
2015-07-29,11.0400,12.3000,10.9580,12.1900,2757389
2015-07-30,11.5500,11.9400,11.2475,11.5900,2405609
2015-07-31,11.4800,11.5000,10.8200,10.9200,2664835
2015-08-03,10.8900,10.9500,10.4600,10.6400,2471747
2015-08-04,10.5000,10.6707,9.8600,9.9700,3585467
2015-08-05,9.7600,10.1600,9.3300,9.4700,7555564
2015-08-06,9.5600,12.2600,9.5100,11.1000,7460866
2015-08-07,11.2100,11.2800,10.2500,11.0100,3591612
2015-08-10,11.0600,11.5000,10.8000,11.1000,2924021
2015-08-11,11.0000,11.1400,10.4601,10.6900,1639161
2015-08-12,10.2600,10.6500,9.7600,10.0200,2454861
2015-08-13,9.9100,11.2300,9.6200,10.7900,2375536
2015-08-14,10.6200,11.0000,10.2700,10.6100,1290347
2015-08-17,10.5800,11.1232,10.5600,10.9800,2152081
2015-08-18,10.7800,10.7900,9.8625,10.0200,3776452
2015-08-19,9.9300,9.9600,9.6200,9.7600,1829399
2015-08-20,10.0300,10.0300,9.3400,9.6200,3043303
2015-08-21,9.5000,9.7500,9.0600,9.2000,2015822
2015-08-24,8.8300,9.5850,8.3000,9.2000,2239663
2015-08-25,9.4400,9.5200,8.3000,8.3100,2858897
2015-08-26,8.5400,9.1400,8.3600,9.1200,2748368
2015-08-27,9.1600,9.7300,9.1400,9.5700,2765408
2015-08-28,9.2500,9.7100,9.0500,9.6800,1947622
2015-08-31,9.5100,9.8200,9.3700,9.6700,1878976
2015-09-01,9.2600,9.6500,9.2600,9.3700,2239685
2015-09-02,9.2800,9.4200,8.6400,8.6700,3103692
2015-09-03,8.8000,10.0300,8.7100,9.3900,3929241
2015-09-04,9.2700,9.3400,8.9600,8.9700,1683627
2015-09-08,9.0500,9.1600,8.9900,9.1200,2071676
2015-09-09,9.3500,9.6300,9.2600,9.3000,2977988
2015-09-10,9.4000,9.4800,9.0550,9.1600,2363085
2015-09-11,9.2300,9.3700,9.0300,9.0700,2222903
2015-09-14,9.1000,9.1000,8.7900,8.9600,1665983
2015-09-15,9.0300,9.4400,9.0300,9.4000,1911614
2015-09-16,9.4500,9.7900,9.3600,9.6100,1925278
2015-09-17,9.6200,9.8600,9.4000,9.4500,1228319
2015-09-18,9.3200,9.3700,8.7200,8.7600,3589777
2015-09-21,8.9400,9.1900,8.7300,9.1400,1975788
2015-09-22,9.0000,9.0200,8.4700,8.6900,1576753
2015-09-23,8.6400,9.1500,7.8900,7.9800,2612664
2015-09-24,7.9400,7.9700,7.2000,7.5800,4411818
2015-09-25,7.7200,7.7400,7.0500,7.0600,3415131
2015-09-28,7.0000,7.0400,6.4350,6.4800,4068519
2015-09-29,6.5600,6.7000,6.1500,6.1800,4047597
2015-09-30,6.2500,6.4900,5.9400,6.4700,4604707
2015-10-01,6.5000,6.6300,6.3100,6.5700,2215532
2015-10-02,6.5000,7.2150,6.4600,7.0800,2886126
2015-10-05,7.2300,7.7600,7.1501,7.5600,4462637
2015-10-06,7.5700,8.4600,7.5500,8.2100,3942014
2015-10-07,8.2500,8.6000,7.7450,7.8700,4311381
2015-10-08,8.2600,8.5800,7.0000,8.4300,6624110
2015-10-09,8.5500,8.6800,7.9301,8.0300,2952243
2015-10-12,8.0300,8.1500,7.7950,8.0500,1297624
2015-10-13,7.9300,7.9900,7.3200,7.3400,1585753
2015-10-14,7.3500,7.4300,7.1300,7.2100,2139884
2015-10-15,7.2000,7.2000,6.9000,7.0700,2159477
2015-10-16,7.1000,7.1700,6.3500,6.3900,2677765
2015-10-19,6.3900,6.4600,5.9500,6.0800,2638338
2015-10-20,6.1100,6.4700,6.0100,6.4100,2369377
2015-10-21,6.5000,6.5500,6.2000,6.2600,1373430
2015-10-22,6.4000,6.5400,6.2300,6.3500,1437392
2015-10-23,6.4200,6.6600,6.3400,6.5600,1340952
2015-10-26,6.7500,6.7500,6.4200,6.4500,1120143
2015-10-27,6.4300,6.5700,6.2133,6.5600,1143144
2015-10-28,6.6400,6.8300,6.5299,6.6600,1762326
2015-10-29,6.6400,6.9450,6.5900,6.9100,1358181
2015-10-30,6.7800,7.0000,6.7000,6.9300,1407404
2015-11-02,6.9000,7.7200,6.8500,7.6000,2071317
2015-11-03,7.3500,8.7200,7.3500,8.4800,3794066
2015-11-04,8.4400,8.8000,8.0500,8.1300,4209275
2015-11-05,8.3200,8.6500,7.3001,7.5200,2561136
2015-11-06,7.3700,7.5000,6.6650,6.7300,2997336
2015-11-09,6.6000,6.6800,6.3501,6.4300,1819126
2015-11-10,6.3300,6.4200,6.1000,6.1500,2550455
2015-11-11,6.1800,6.2100,5.9000,5.9000,3530902
2015-11-12,5.9200,5.9500,5.7500,5.8500,2166341
2015-11-13,5.8200,5.9000,5.6300,5.6900,1366275
2015-11-16,5.7800,5.9700,5.6550,5.8600,1940964
2015-11-17,5.8200,6.0100,5.6000,5.6200,5758024
2015-11-18,5.6300,5.8900,5.6050,5.8400,4077236
2015-11-19,5.8500,6.2600,5.8500,6.0400,3734097
2015-11-20,6.0500,6.1400,5.8750,5.9900,2116421
2015-11-23,5.9900,6.0200,5.7600,5.9400,2500877
2015-11-24,5.9400,6.2600,5.9400,6.1500,2704878
2015-11-25,6.1500,6.3900,6.0900,6.3100,1348717
2015-11-27,6.3700,6.4400,6.3000,6.3400,503736
2015-11-30,6.3100,6.4000,6.2000,6.2500,1155614
2015-12-01,6.2500,6.3400,5.8500,6.0500,2204064
2015-12-02,6.0000,6.1900,5.9000,6.1200,1985183
2015-12-03,6.1300,6.2500,5.8800,5.9700,2763119
2015-12-04,5.9500,6.2700,5.8600,6.2100,1928055
2015-12-07,6.1600,6.2100,5.9850,6.0100,1627703
2015-12-08,5.9200,6.0000,5.7300,5.7800,2391472
2015-12-09,5.8100,6.2750,5.8100,6.0400,2008419
2015-12-10,6.0000,6.2300,5.9600,6.1300,1174522
2015-12-11,6.0100,6.1000,5.6100,5.6900,2624665
2015-12-14,5.6500,5.7800,5.1900,5.2600,2557037
2015-12-15,5.2600,5.4200,5.2450,5.3600,2089256
2015-12-16,5.4500,5.8200,5.3700,5.6500,2309621
2015-12-17,5.5800,5.5800,4.5800,4.7200,5230903
2015-12-18,4.7000,6.2900,4.7000,5.9600,7555329
2015-12-21,5.9900,6.1650,5.2501,5.5700,4845802
2015-12-22,5.5400,5.9400,5.4550,5.7300,2116242
2015-12-23,5.7300,5.9400,5.6500,5.7600,1784027
2015-12-24,5.7100,5.8500,5.7100,5.7400,438936
2015-12-28,5.7000,5.7000,5.3850,5.4000,1442807
2015-12-29,5.4300,5.5000,5.3110,5.4800,1138653
2015-12-30,5.3800,5.4400,5.2100,5.2500,1329462
2015-12-31,5.2100,5.5100,5.1900,5.3600,1958220
2016-01-04,5.2000,5.4900,5.2000,5.4800,2783070
2016-01-05,5.4800,5.4900,5.2700,5.4200,3089500
2016-01-06,5.2800,5.3100,5.0500,5.1200,3036328
2016-01-07,5.0000,5.2200,4.6400,4.7500,3905956
2016-01-08,4.8300,5.0200,4.6100,4.8000,2813229
2016-01-11,4.8000,4.8200,4.2900,4.3800,3551864
2016-01-12,4.4400,4.4650,3.8200,3.9100,6644120
2016-01-13,3.9700,3.9700,3.2400,3.3000,4251042
2016-01-14,3.3000,3.8500,3.2200,3.5100,6322629
2016-01-15,3.4400,3.9900,3.4000,3.9800,3023851
2016-01-19,4.0300,4.1700,3.5000,3.5900,2604043
2016-01-20,3.4800,3.7400,3.2200,3.6500,2659620
2016-01-21,3.6400,4.1237,3.6015,3.6200,2163886
2016-01-22,3.7300,3.8600,3.5300,3.8000,2421539
2016-01-25,3.7900,3.8500,3.4800,3.4900,1498810
2016-01-26,3.5000,3.5101,3.2500,3.3300,3404803
2016-01-27,3.3600,3.4000,3.0600,3.1200,3900478
2016-01-28,3.1600,3.2800,3.1200,3.1400,2833268
2016-01-29,3.1700,4.0000,3.1600,3.9400,30270133
2016-02-01,3.9700,4.4900,3.7000,3.9100,4579548
2016-02-02,3.8700,3.9600,3.5500,3.6600,3294951
2016-02-03,3.7100,4.0900,3.7000,4.0000,3998527
2016-02-04,4.0200,4.4300,3.9800,4.4000,2776024
2016-02-05,4.3900,4.4000,4.0500,4.1700,1629766
2016-02-08,4.0600,4.1600,3.9500,4.1400,1885227
2016-02-09,4.0300,4.1200,3.8000,3.9800,2551586
2016-02-10,4.0100,4.0200,3.6000,3.6000,1578992
2016-02-11,3.5900,4.0600,3.5000,3.8700,1581129
2016-02-12,3.9800,3.9900,3.6400,3.8800,1844894
2016-02-16,3.8400,3.8600,3.5200,3.6900,2078026
