date,open,high,low,close,volume
1999-11-01,16.8100,16.8100,16.8100,16.8100,600
1999-11-02,17.0000,17.6300,17.0000,17.5600,1400
1999-11-03,17.3800,17.3800,16.6300,17.2500,4600
1999-11-04,17.0000,17.0000,16.4400,16.5000,34200
1999-11-05,16.3800,16.4400,16.0600,16.3100,3300
1999-11-08,16.4400,16.4400,15.7500,16.0000,2600
1999-11-09,15.8800,16.0000,15.4400,16.0000,6600
1999-11-10,15.7500,15.9400,15.5000,15.5000,5600
1999-11-11,15.3800,15.3800,15.3800,15.3800,1500
1999-11-12,15.3800,15.7500,15.3800,15.6300,5200
1999-11-15,15.6300,16.0600,15.6300,16.0600,3600
1999-11-16,15.8100,15.8800,15.6300,15.7500,5700
1999-11-17,15.6300,15.7500,15.5000,15.5000,5500
1999-11-18,15.5000,15.8800,15.5000,15.6900,6800
1999-11-19,15.6900,15.8100,15.6300,15.8100,6300
1999-11-22,15.8100,15.8800,15.7500,15.7500,4500
1999-11-23,16.0000,16.0000,15.3800,15.6300,58400
1999-11-24,15.6300,15.8100,15.5000,15.5000,2400
1999-11-26,15.0000,15.5000,15.0000,15.4400,3600
1999-11-29,15.3800,15.3800,15.0000,15.1300,9500
1999-11-30,15.2500,15.2500,15.1900,15.1900,900
1999-12-01,15.1300,15.5000,15.0600,15.5000,4000
1999-12-02,15.3800,15.3800,15.0600,15.1900,2500
1999-12-03,15.3800,15.3800,15.0600,15.0600,5900
1999-12-06,15.0000,15.0600,14.7500,15.0600,11500
1999-12-07,15.0600,15.0600,14.8100,14.9400,10500
1999-12-08,14.8800,14.8800,14.7500,14.7500,700
1999-12-09,14.8800,15.3100,14.8800,15.3100,6600
1999-12-10,15.4400,16.0000,15.3100,15.3100,9100
1999-12-13,15.3800,15.3800,14.6900,14.8100,7500
1999-12-14,14.7500,15.4400,14.7500,15.3100,3200
1999-12-15,15.3100,15.3100,15.0600,15.1300,2500
1999-12-16,15.3800,15.3800,15.3800,15.3800,200
1999-12-17,15.2500,15.2500,15.2500,15.2500,800
1999-12-20,15.1300,15.2500,15.0000,15.1300,4800
1999-12-21,15.1300,15.1300,14.8800,15.0000,5200
1999-12-22,14.9400,15.0000,14.5600,14.5600,2000
1999-12-23,14.5000,14.8800,14.3800,14.6300,6000
1999-12-27,14.5000,14.5000,14.3800,14.4400,4300
1999-12-28,14.4400,14.4400,14.3800,14.3800,1200
