date,open,high,low,close,volume
2008-07-15,3.0000,3.7500,3.0000,3.0000,2000
2008-07-16,2.7500,3.5000,2.2500,2.2500,3500
2008-07-17,3.0000,3.0000,3.0000,3.0000,1000
2008-07-18,3.0000,3.0000,3.0000,3.0000,0
2008-07-21,3.0000,3.0000,3.0000,3.0000,1500
2008-07-22,3.2500,5.0000,3.2500,4.5000,3500
2008-07-23,4.5000,4.5000,4.5000,4.5000,0
2008-07-24,4.5000,4.5000,4.5000,4.5000,0
2008-07-25,4.5000,4.5000,4.5000,4.5000,0
2008-07-28,4.5000,4.5000,4.5000,4.5000,0
2008-07-29,4.0000,4.5000,4.0000,4.4000,700
2008-07-30,4.4000,4.4000,4.4000,4.4000,0
2008-07-31,4.4000,4.4000,4.4000,4.4000,0
2008-08-01,4.4000,4.4000,4.4000,4.4000,0
2008-08-04,4.5000,4.5000,4.5000,4.5000,500
2008-08-05,4.5000,4.5000,4.5000,4.5000,0
2008-08-06,4.5000,4.5000,4.5000,4.5000,0
2008-08-07,4.5000,4.5000,4.5000,4.5000,0
2008-08-08,4.5000,4.5000,4.5000,4.5000,0
2008-08-11,4.5000,4.5000,4.5000,4.5000,0
2008-08-12,4.5000,4.5000,4.5000,4.5000,0
2008-08-13,4.5000,4.5000,4.5000,4.5000,0
2008-08-14,4.5000,4.5000,4.5000,4.5000,0
2008-08-15,4.5000,4.5000,4.5000,4.5000,0
2008-08-18,3.5000,3.5000,3.5000,3.5000,1000
2008-08-19,3.0000,5.0000,3.0000,5.0000,600
2008-08-20,5.0000,5.0000,5.0000,5.0000,0
2008-08-21,5.0000,5.0000,5.0000,5.0000,0
2008-08-22,5.0000,5.0000,5.0000,5.0000,0
2008-08-25,5.0000,5.0000,5.0000,5.0000,0
2008-08-26,5.0000,5.0000,5.0000,5.0000,0
2008-08-27,5.0000,5.0000,5.0000,5.0000,0
2008-08-28,5.0000,5.0000,5.0000,5.0000,0
2008-08-29,5.0000,5.0000,5.0000,5.0000,0
2008-09-02,5.0000,5.0000,5.0000,5.0000,0
2008-09-03,4.5000,5.0000,4.5000,5.0000,200
2008-09-04,5.0000,5.0000,5.0000,5.0000,0
2008-09-05,5.0000,5.0000,5.0000,5.0000,0
2008-09-08,5.0000,5.0000,5.0000,5.0000,0
2008-09-09,5.0000,5.0000,5.0000,5.0000,0
2008-09-10,5.0000,5.0000,5.0000,5.0000,0
2008-09-11,5.0000,5.0000,5.0000,5.0000,0
2008-09-12,5.0000,5.0000,5.0000,5.0000,0
2008-09-15,5.0000,5.0000,5.0000,5.0000,0
2008-09-16,5.0000,5.0000,5.0000,5.0000,0
2008-09-17,5.0000,5.0000,5.0000,5.0000,0
2008-09-18,5.0000,5.0000,5.0000,5.0000,0
2008-09-19,5.0000,5.0000,5.0000,5.0000,0
2008-09-22,2.2500,2.2500,2.2500,2.2500,500
2008-09-23,1.5000,2.0000,1.1000,2.0000,4000
2008-09-24,2.0000,2.0000,2.0000,2.0000,500
2008-09-25,2.0000,2.2500,1.5000,1.8500,57000
