date,open,high,low,close,volume
1999-11-01,30.3800,33.4400,30.3800,33.2500,314900
1999-11-02,33.1300,33.3800,30.5000,31.3800,254800
1999-11-03,32.2500,35.0000,31.8100,35.0000,265100
1999-11-04,35.3100,38.2500,35.1900,36.2500,536600
1999-11-05,38.0000,38.1300,35.6300,35.7500,283400
1999-11-08,35.8100,37.1900,35.6900,37.1300,214700
1999-11-09,37.2500,38.5000,36.8800,38.2500,203300
1999-11-10,38.4700,43.2500,38.4400,41.8800,893800
1999-11-11,42.0600,42.3800,41.6300,42.0000,337600
1999-11-12,42.0900,42.1900,39.7500,40.0000,144900
1999-11-15,40.2500,41.2500,39.5000,41.0000,147300
1999-11-16,40.9700,41.6300,40.8800,41.1300,261200
1999-11-17,41.4400,48.0000,41.3800,47.5600,554200
1999-11-18,53.5000,57.5000,48.5000,48.7500,1369100
1999-11-19,49.1300,54.7500,49.0000,54.0000,717400
1999-11-22,55.0600,62.7500,54.2500,62.7500,972000
1999-11-23,65.0000,67.6900,59.7500,62.4400,1548500
1999-11-24,61.5000,61.5600,57.7500,59.7500,687600
1999-11-26,59.2500,59.5000,55.7500,57.1300,312500
1999-11-29,56.7500,58.5000,51.8800,57.7500,559700
1999-11-30,58.5000,61.0000,58.0000,59.7500,458700
1999-12-01,59.7500,64.7500,59.6300,63.6700,967800
1999-12-02,64.7500,65.5000,62.3800,62.8100,274700
1999-12-03,62.5000,66.1300,61.5600,63.1300,303200
1999-12-06,63.5600,65.3800,62.5000,62.7500,433900
1999-12-07,63.0000,64.3800,55.7500,59.5000,554900
1999-12-08,58.2500,58.6900,55.3800,56.8800,273600
1999-12-09,57.1300,57.6300,54.2500,54.2500,451400
1999-12-10,55.2500,55.2500,49.2500,54.8800,659800
1999-12-13,55.5000,56.2500,53.5000,54.9700,243500
1999-12-14,55.5000,58.7500,54.8800,57.3800,230400
1999-12-15,57.8800,59.1300,56.8800,59.0900,266600
1999-12-16,58.2500,61.9400,58.2500,61.9400,279400
1999-12-17,61.0000,63.7500,60.7500,63.0600,338700
1999-12-20,62.2500,63.6300,61.1300,62.6300,364100
1999-12-21,63.2500,63.2500,61.7500,62.2500,104000
1999-12-22,62.5000,64.0000,62.0000,63.5000,197300
1999-12-23,63.3800,69.7500,63.3800,68.3800,526400
1999-12-27,69.6300,69.6300,66.5600,67.8800,352200
1999-12-28,68.7500,72.1300,67.5000,70.0000,416300
1999-12-29,70.0600,72.6300,70.0000,71.2500,191700
1999-12-30,71.0000,72.1300,66.1300,69.4400,201800
1999-12-31,69.3800,70.5000,66.5000,70.0000,40700
2000-01-03,70.0000,70.3700,67.2500,67.6900,349500
2000-01-04,66.7500,67.0000,61.2500,62.2500,254600
2000-01-05,61.1300,63.8800,61.0000,63.2200,580800
2000-01-06,62.9400,63.5000,61.5000,61.5000,239700
2000-01-07,61.5000,61.7500,58.7500,61.0000,282000
2000-01-10,60.5000,64.0000,57.5000,61.1300,479200
2000-01-11,61.2500,61.6100,58.2500,58.3800,172500
2000-01-12,58.3800,58.6900,55.0000,56.7500,249300
2000-01-13,57.1300,61.7500,56.8800,59.6300,157700
2000-01-14,59.3800,64.8800,59.3800,63.6300,227500
2000-01-18,62.8800,64.3800,60.3800,63.6900,116600
2000-01-19,60.6900,64.5000,59.3100,63.0000,165200
2000-01-20,63.0000,67.7500,62.2500,67.2500,289100
2000-01-21,68.1900,68.5000,63.5000,64.8800,457000
2000-01-24,66.0000,70.5000,66.0000,68.2500,618500
2000-01-25,67.9400,70.4800,64.8800,67.2500,395200
2000-01-26,68.7500,81.5000,68.1300,80.5000,768400
2000-01-27,79.6300,80.0000,71.7500,75.5000,300300
2000-01-28,66.2500,76.1300,65.5000,73.2500,254200
2000-01-31,72.0000,74.3100,68.7500,69.7500,249000
2000-02-01,71.0000,72.6300,68.0000,71.6300,221600
2000-02-02,71.0000,75.0000,71.0000,75.0000,254000
2000-02-03,75.3100,78.0000,75.0000,77.3800,180600
2000-02-04,77.2500,91.1300,77.2500,91.1300,673800
2000-02-07,85.9400,100.3000,85.7500,95.6900,714800
2000-02-08,97.5000,104.4000,96.1300,99.7500,730800
2000-02-09,97.8800,110.0000,96.5000,107.5000,644800
2000-02-10,106.5000,112.0000,103.0000,103.0000,363700
2000-02-11,108.0000,120.5000,107.5000,118.4000,2523000
2000-02-14,118.0000,118.3000,115.8000,115.9000,792400
2000-02-15,115.9000,116.3000,113.3000,113.8000,746600
2000-02-16,113.9000,142.0000,113.8000,134.0000,1074900
2000-02-17,139.5000,147.5000,136.5000,143.0000,680400
