date,open,high,low,close,volume
2013-11-13,11.0000,11.2500,9.5000,9.6800,17261600
2013-11-14,9.8000,9.9300,8.5600,8.8800,3125200
2013-11-15,9.0000,9.6000,8.8200,9.1300,1987500
2013-11-18,9.2500,9.5000,8.8900,9.0000,724600
2013-11-19,9.0000,9.1000,8.6800,8.7200,671800
2013-11-20,8.6900,8.9080,7.9300,7.9700,777400
2013-11-21,8.2900,8.2900,7.8100,7.8600,738900
2013-11-22,7.9600,7.9800,7.4500,7.4900,1239100
2013-11-25,7.3700,7.8900,7.3100,7.7200,894200
2013-11-26,7.7600,8.4700,7.7300,8.1500,1395400
2013-11-27,8.1000,8.6000,8.1000,8.3900,677900
2013-11-29,8.4500,8.5300,8.2100,8.2100,258800
2013-12-02,8.2900,8.8900,8.2000,8.8300,833600
2013-12-03,8.8500,9.2500,8.6200,9.2000,1089400
2013-12-04,9.0800,9.5100,8.8500,9.4400,842600
2013-12-05,9.2800,9.6599,9.2800,9.4900,615200
2013-12-06,9.7000,9.7999,9.2300,9.5700,455400
2013-12-09,9.6600,9.6799,8.8400,8.8900,1050900
2013-12-10,9.0100,9.1900,8.9500,9.0000,622000
2013-12-11,8.9900,9.1599,8.5100,8.5800,593000
2013-12-12,8.5100,8.6799,8.0000,8.2000,840400
2013-12-13,8.2000,8.3400,7.9600,8.0100,812700
2013-12-16,8.0200,8.4999,8.0200,8.2800,530200
2013-12-17,8.3300,8.4000,8.0900,8.2900,402000
2013-12-18,8.3500,8.3700,8.1500,8.2800,342300
2013-12-19,8.2400,8.6400,8.2301,8.5900,513100
2013-12-20,8.6100,8.7000,8.2500,8.4100,2072900
2013-12-23,8.4200,8.5800,8.2500,8.3600,536800
2013-12-24,8.3900,8.5000,8.2500,8.3100,417900
2013-12-26,8.4000,8.4800,8.2200,8.3300,239900
2013-12-27,8.3200,8.4000,8.3000,8.3500,121600
2013-12-30,8.4000,8.7500,8.3400,8.6400,403200
2013-12-31,8.6900,8.9000,8.4500,8.5100,643700
2014-01-02,8.5200,8.6400,8.2100,8.3100,549700
2014-01-03,8.3200,8.5000,8.1280,8.2100,419000
2014-01-06,8.2400,8.5000,8.1800,8.2600,671300
2014-01-07,8.2700,8.4900,8.1800,8.2200,872000
2014-01-08,8.2900,8.2900,7.7500,7.7800,1296300
2014-01-09,7.9000,7.9999,7.6300,7.8000,467800
2014-01-10,7.8600,7.8799,7.5700,7.6100,481800
2014-01-13,7.6100,7.6500,7.1000,7.1800,1164400
2014-01-14,7.2500,7.2900,7.1600,7.2100,513400
2014-01-15,7.2500,7.3000,7.1000,7.1800,747500
2014-01-16,7.1500,7.2700,7.0500,7.2300,738900
2014-01-17,7.2300,7.3499,7.1500,7.2500,580200
2014-01-21,7.3400,7.3900,7.2100,7.2500,571300
2014-01-22,7.2800,7.2900,7.1100,7.2500,446000
2014-01-23,7.2500,7.2900,7.1600,7.2300,352400
2014-01-24,7.1900,7.2500,7.1100,7.2100,331100
2014-01-27,7.2000,7.2900,6.8600,6.9000,688000
2014-01-28,6.9000,7.0000,6.7680,6.9800,702400
2014-01-29,7.0000,7.0100,6.6400,6.7400,707900
2014-01-30,6.8000,6.9500,6.7100,6.7500,345300
2014-01-31,6.7100,6.7800,6.6500,6.6700,458500
2014-02-03,6.6400,6.9100,6.3200,6.9000,1222100
2014-02-04,6.9700,7.1300,6.8400,6.8700,722000
2014-02-05,6.8800,7.0500,6.6800,6.8600,470500
2014-02-06,6.9200,6.9200,6.7600,6.9200,297500
2014-02-07,6.9700,7.1500,6.9200,7.1200,583000
2014-02-10,7.1700,7.2500,7.0200,7.2200,481500
2014-02-11,7.2200,7.4300,7.1400,7.3800,518000
2014-02-12,7.4500,7.5000,7.1500,7.4700,641900
2014-02-13,7.6500,7.9900,7.4600,7.9400,1935100
2014-02-14,6.9700,7.0000,6.0800,6.1700,4283400
2014-02-18,6.2300,6.5400,6.0900,6.4500,2116500
2014-02-19,6.5000,6.7100,6.3810,6.4700,658100
2014-02-20,6.5100,6.6400,6.4000,6.5600,363400
2014-02-21,6.6400,6.6400,6.3400,6.4000,343000
2014-02-24,6.6500,6.6500,6.4500,6.5600,474300
2014-02-25,6.5800,6.5800,6.3850,6.4300,330600
2014-02-26,6.4700,6.5699,6.3500,6.3600,650200
2014-02-27,6.3700,6.4600,6.3500,6.3700,435300
2014-02-28,6.4200,6.5400,6.2800,6.3000,918800
2014-03-03,6.2700,6.4500,6.2500,6.3500,256200
2014-03-04,6.4000,6.4500,6.3100,6.3900,259700
2014-03-05,6.3700,6.4100,6.3200,6.3500,208400
2014-03-06,6.3300,6.4000,6.2300,6.2900,331500
2014-03-07,6.3000,6.3900,6.2300,6.3800,493100
2014-03-10,6.3900,6.4280,6.2600,6.3700,216100
2014-03-11,6.4000,6.4800,6.3000,6.3700,248600
2014-03-12,6.4000,6.4600,6.2500,6.4200,275900
2014-03-13,6.5700,6.7800,6.5200,6.5600,720100
2014-03-14,6.5100,6.6400,6.4800,6.5300,173000
2014-03-17,6.5300,6.8800,6.5300,6.8800,388200
2014-03-18,6.8500,6.9700,6.7500,6.9200,450000
2014-03-19,6.9300,7.1900,6.9000,7.0400,563800
2014-03-20,7.0000,7.0800,6.9000,7.0800,293200
2014-03-21,7.0900,7.1900,6.9549,7.1900,627700
2014-03-24,7.1500,7.2500,6.8600,7.1600,1010400
2014-03-25,7.2300,7.4400,7.0700,7.2400,679600
2014-03-26,7.2500,7.3400,7.0900,7.1100,209300
2014-03-27,7.0800,7.2080,6.8301,6.9400,313500
2014-03-28,6.9200,7.1100,6.8000,6.9300,222700
2014-03-31,6.9500,7.1200,6.9100,7.0000,280300
2014-04-01,6.9800,7.2700,6.9800,7.2700,260200
