date,open,high,low,close,volume
2016-08-08,8.0000,8.3000,5.9000,6.5000,10900
2016-08-09,6.2500,8.2000,6.2500,8.2000,8422
2016-08-10,8.0000,11.5000,8.0000,10.0000,6878
2016-08-11,10.5000,14.0000,10.0000,12.5000,6096
2016-08-12,11.5000,11.5000,8.2500,8.5000,12365
2016-08-15,8.5000,9.5000,7.7300,8.0000,12697
2016-08-16,7.6500,9.5000,7.6500,8.0000,24539
2016-08-17,8.0900,8.3650,7.9500,8.2000,11296
2016-08-18,8.0200,8.0200,7.2600,7.3000,4767
2016-08-19,7.2900,7.2900,7.2000,7.2000,2142
2016-08-22,7.1750,7.1750,7.0500,7.0500,1905
2016-08-23,7.1750,7.2000,6.4100,6.8500,6473
2016-08-24,6.6000,6.6000,6.3500,6.3500,7018
2016-08-25,6.3900,6.3900,5.5000,6.1000,10085
2016-08-26,5.8100,6.5000,5.6000,6.5000,3555
2016-08-29,6.5000,6.9000,6.5000,6.9000,2583
2016-08-30,6.7900,6.7900,6.0000,6.1000,4652
2016-08-31,6.1000,8.0000,5.4000,6.0500,3125
2016-09-01,6.5000,6.5000,5.6500,6.0500,4359
2016-09-02,5.8400,6.0000,5.6800,5.8200,6440
2016-09-06,5.8000,5.8000,5.7600,5.7600,4698
2016-09-07,5.7700,5.7700,5.7500,5.7700,3191
2016-09-08,5.6400,5.7800,5.5000,5.5400,1298
2016-09-09,5.5400,6.6400,5.5400,6.6400,4379
2016-09-12,6.7400,6.7400,6.0000,6.7400,3630
2016-09-13,7.2500,7.2500,6.7300,6.7300,480
2016-09-14,6.7400,6.7400,6.7400,6.7400,826
2016-09-15,7.2500,7.2500,7.2500,7.2500,481
2016-09-16,7.2000,7.2000,6.4900,6.5000,4847
2016-09-19,7.1000,7.2000,7.1000,7.2000,1750
2016-09-20,7.2000,7.2000,7.2000,7.2000,0
2016-09-21,7.2500,7.2500,6.9000,6.9000,1603
2016-09-22,7.2500,7.2500,7.0000,7.0000,1202
2016-09-23,6.9500,7.5000,6.9000,6.9100,6382
2016-09-26,7.2900,7.2900,6.9100,6.9100,1130
2016-09-27,6.9100,6.9500,6.8500,6.8655,4642
2016-09-28,6.9000,6.9000,6.1000,6.7500,1572
2016-09-29,6.7500,6.7500,6.7500,6.7500,0
2016-09-30,6.4500,6.4500,6.0400,6.0400,2337
2016-10-03,6.1500,6.3000,6.1500,6.3000,1877
2016-10-04,6.0500,6.0500,6.0500,6.0500,125
2016-10-05,6.0500,6.3000,6.0400,6.1000,2055
2016-10-06,6.0400,6.0400,6.0000,6.0000,717
2016-10-07,6.0500,6.0500,5.8500,6.0000,2458
2016-10-10,6.0900,6.0900,6.0900,6.0900,220
2016-10-11,5.8500,6.0000,5.8500,6.0000,495
2016-10-12,5.8500,5.8500,5.7500,5.7500,880
2016-10-13,5.7500,5.7500,5.0000,5.4400,8150
2016-10-14,5.4500,5.4500,5.0500,5.3000,7287
2016-10-17,5.3000,5.3000,5.0000,5.0000,4032
2016-10-18,5.0000,5.0000,3.5100,4.3500,13443
2016-10-19,4.3500,5.0000,3.8500,5.0000,15680
2016-10-20,4.6000,5.0000,4.6000,5.0000,11261
2016-10-21,5.0000,5.0200,5.0000,5.0000,10536
2016-10-24,4.9900,4.9900,4.9800,4.9800,1781
2016-10-25,5.0000,5.0000,4.8800,4.8800,3127
2016-10-26,4.8800,5.0000,4.8000,4.8000,5630
2016-10-27,4.6800,4.7300,4.6800,4.7300,1533
2016-10-28,4.7300,4.8500,4.7299,4.8500,825
2016-10-31,4.8500,4.8500,4.8500,4.8500,800
2016-11-01,4.6600,4.8400,4.6600,4.8400,2163
2016-11-02,4.8500,4.8500,4.8500,4.8500,368
2016-11-03,4.7500,4.7500,4.7500,4.7500,136
2016-11-04,5.0000,5.0000,5.0000,5.0000,134
2016-11-07,5.0000,5.0000,4.7600,4.9000,11035
2016-11-08,4.7400,4.7400,3.7150,3.9000,9455
2016-11-09,4.2000,4.6800,4.2000,4.6000,2086
2016-11-10,4.6100,4.6100,3.6870,3.9100,3055
2016-11-11,4.5100,4.6500,4.0000,4.0000,1800
2016-11-14,4.0000,4.1600,3.0200,3.7500,8102
2016-11-15,3.6500,3.6950,2.5300,3.5000,12679
2016-11-16,3.4700,4.2000,3.1000,3.4000,6423
2016-11-17,3.4200,3.4200,3.3000,3.3000,5700
2016-11-18,3.3000,3.5000,3.3000,3.4500,5210
2016-11-21,3.4500,3.4500,2.6000,3.1000,23703
2016-11-22,2.7400,3.1000,2.5600,3.0500,5743
2016-11-23,2.6200,2.8000,1.9900,2.5500,26858
2016-11-25,2.1250,2.1250,2.1200,2.1200,1100
2016-11-28,2.5100,2.6000,2.5000,2.5000,2999
