date,open,high,low,close,volume
2019-07-23,24.6500,24.6500,24.2970,24.3120,18340
2019-07-24,24.4100,24.4100,24.0000,24.1260,19612
2019-07-25,24.0400,24.3600,23.9050,23.9080,19232
2019-07-26,23.9100,24.1200,23.8990,24.0400,12453
2019-07-29,24.0800,24.1500,23.4340,23.7200,13171
2019-07-30,23.5700,24.0090,23.5500,23.9000,17548
2019-07-31,23.9500,24.1890,23.6950,23.8080,22141
2019-08-01,23.8000,23.8000,23.3500,23.3800,15220
2019-08-02,23.8000,24.5800,23.8000,24.5800,14896
2019-08-05,24.3600,24.3600,23.9400,24.1220,11739
2019-08-06,24.9800,24.9800,24.3200,24.5970,7811
2019-08-07,24.5300,24.6190,24.2320,24.5730,5125
2019-08-08,24.8200,24.8470,24.5270,24.7530,73157
2019-08-09,24.8300,24.9000,24.3700,24.4000,7727
2019-08-12,24.2900,24.2900,24.0400,24.0720,9204
2019-08-13,24.2200,24.9320,24.2200,24.9310,37262
2019-08-14,24.4800,24.4800,23.6180,23.8250,26117
2019-08-15,23.6200,23.6200,22.2900,22.4380,20673
2019-08-16,22.6800,23.0196,22.6600,22.9410,7272
2019-08-19,23.3900,23.3900,22.7560,22.7830,6565
2019-08-20,22.7100,22.9610,22.6530,22.7870,4527
2019-08-21,22.9900,22.9900,22.5500,22.6370,8938
2019-08-22,22.5090,22.5090,22.0350,22.0350,6054
2019-08-23,22.0000,22.0130,21.3800,21.4370,5263
2019-08-26,21.6300,21.6300,21.1400,21.2550,5123
2019-08-27,21.2790,21.2790,20.2710,20.3060,7668
2019-08-28,20.1900,20.7950,19.8840,20.7950,7389
2019-08-29,21.0800,21.1130,20.7980,20.7980,8193
2019-08-30,20.8900,20.9800,20.5280,20.5930,6536
2019-09-03,20.4900,20.9460,20.4400,20.9460,3739
2019-09-04,20.9400,21.0400,20.7200,20.9470,8210
2019-09-05,21.2000,21.7400,21.1660,21.7060,24536
2019-09-06,21.8000,22.3790,21.7100,22.1670,22383
2019-09-09,22.3900,22.4890,21.6600,21.6600,12653
2019-09-10,21.6600,21.9910,21.3440,21.9910,20429
2019-09-11,22.1590,22.2300,22.0900,22.0900,4854
2019-09-12,21.7830,21.8900,21.6100,21.6160,21895
2019-09-13,21.6720,21.7890,21.5410,21.7760,4292
2019-09-16,21.6610,21.6610,21.3580,21.3580,2243
2019-09-17,21.4200,21.4200,21.0200,21.1390,6548
2019-09-18,21.0000,21.0300,20.6800,20.9140,4228
2019-09-19,21.0100,21.0100,20.4310,20.4480,6754
2019-09-20,20.5000,20.5000,20.2100,20.2790,7683
2019-09-23,20.3300,20.4360,20.0800,20.0810,3754
2019-09-24,20.1300,20.1300,19.2190,19.3070,18386
2019-09-25,19.3000,19.3000,18.6820,19.1200,15858
2019-09-26,19.3300,19.3300,18.8800,19.0470,4880
2019-09-27,19.0100,19.0800,18.5030,18.5620,7638
2019-09-30,18.3110,18.3110,17.8160,17.9870,9601
2019-10-01,17.9300,17.9340,17.1900,17.2720,19889
2019-10-02,17.1900,17.5950,16.4910,17.3450,10256
2019-10-03,17.6160,17.9700,17.3700,17.9700,8546
2019-10-04,18.2900,18.2900,17.9630,17.9630,8668
2019-10-07,17.8300,17.8780,17.5330,17.5330,2850
2019-10-08,17.1200,17.3300,17.0930,17.1960,4820
2019-10-09,17.3800,17.3800,17.1390,17.1390,1170
2019-10-10,17.0600,17.0600,15.9620,15.9700,15750
2019-10-11,16.1700,16.5000,16.0000,16.0190,4273
2019-10-14,15.8800,15.9600,15.7500,15.9270,5737
2019-10-15,16.1400,16.7400,16.1400,16.6150,16869
2019-10-16,16.6300,16.6800,16.3700,16.4060,1489
2019-10-17,16.5990,16.9460,16.5990,16.9460,6165
2019-10-18,16.7400,16.9100,16.4150,16.5990,10943
2019-10-21,16.5900,16.7050,16.3200,16.6310,6746
2019-10-22,16.7300,16.7300,16.5240,16.5240,4606
2019-10-23,16.4600,16.8750,16.4600,16.8750,3149
2019-10-24,16.8800,16.9800,16.7700,16.9490,4214
2019-10-25,16.8300,17.1200,16.7600,17.0590,4865
2019-10-28,17.1400,17.3100,16.8030,16.8030,7668
2019-10-29,16.7500,16.7500,16.1760,16.1760,2168
2019-10-30,16.1800,16.2800,16.0500,16.0500,3201
2019-10-31,16.0000,16.0000,15.7200,15.8850,4114
2019-11-01,15.9950,16.0900,15.9600,16.0810,3688
2019-11-04,16.2000,16.2000,15.8750,15.8750,4769
2019-11-05,15.9130,16.2100,15.9130,16.0320,5821
2019-11-06,15.9100,15.9800,15.7690,15.7800,3444
2019-11-07,15.7700,15.8200,15.5610,15.5910,5301
2019-11-08,15.6200,16.3200,15.6200,16.3200,5382
2019-11-11,16.3200,16.3200,15.7460,15.8300,3066
2019-11-12,15.7600,15.7600,15.3400,15.3400,2193
2019-11-13,15.3300,15.3300,14.8560,14.8560,5326
2019-11-14,14.5500,14.5500,13.9600,14.1560,13209
2019-11-15,13.9400,14.1390,13.7960,13.9280,5313
2019-11-18,13.6190,13.6190,13.2560,13.2560,6945
2019-11-19,13.1600,13.8500,13.1600,13.6960,9187
2019-11-20,14.0000,14.3800,14.0000,14.2140,7823
2019-11-21,14.5500,15.5900,14.5500,15.2300,21032
