date,open,high,low,close,volume
2009-04-27,0.0055,0.0055,0.0055,0.0055,3500
2009-04-28,0.0060,0.0124,0.0060,0.0124,14000
2009-04-29,0.0061,0.0061,0.0061,0.0061,500
2009-04-30,0.0061,0.0061,0.0061,0.0061,0
2009-05-01,0.0061,0.0061,0.0061,0.0061,1437
2009-05-04,0.0061,0.0080,0.0061,0.0080,1100
2009-05-05,0.0120,0.0120,0.0061,0.0061,63300
2009-05-06,0.0066,0.0066,0.0066,0.0066,4040
2009-05-07,0.0070,0.0070,0.0061,0.0061,43563
2009-05-08,0.0070,0.0070,0.0061,0.0061,0
2009-05-11,0.0100,0.0100,0.0100,0.0100,1000
2009-05-12,0.0090,0.0090,0.0070,0.0070,33137
2009-05-13,0.0075,0.0130,0.0075,0.0120,69500
2009-05-14,0.0120,0.0120,0.0100,0.0120,67905
2009-05-15,0.0120,0.0160,0.0100,0.0160,237600
2009-05-18,0.0179,0.0179,0.0120,0.0120,84000
2009-05-19,0.0100,0.0200,0.0070,0.0200,168700
2009-05-20,0.0200,0.0200,0.0070,0.0200,90600
2009-05-21,0.0200,0.0200,0.0200,0.0200,5000
2009-05-22,0.0055,0.0200,0.0055,0.0080,24850
2009-05-26,0.0080,0.0200,0.0080,0.0200,18900
2009-05-27,0.0110,0.0110,0.0110,0.0110,6500
2009-05-28,0.0150,0.0200,0.0150,0.0200,6600
2009-05-29,0.0170,0.0200,0.0150,0.0150,56200
2009-06-01,0.0150,0.0200,0.0150,0.0150,43000
2009-06-02,0.0150,0.0200,0.0110,0.0110,89100
2009-06-03,0.0150,0.0200,0.0110,0.0110,0
2009-06-04,0.0150,0.0200,0.0110,0.0110,0
2009-06-05,0.0120,0.0199,0.0120,0.0150,55835
2009-06-08,0.0120,0.0150,0.0120,0.0120,20000
2009-06-09,0.0120,0.0120,0.0120,0.0120,100
2009-06-10,0.0200,0.0200,0.0120,0.0120,27000
2009-06-11,0.0150,0.0150,0.0150,0.0150,2300
2009-06-12,0.0200,0.0200,0.0200,0.0200,2000
2009-06-15,0.0120,0.0120,0.0120,0.0120,33130
2009-06-16,0.0120,0.0120,0.0120,0.0120,12100
2009-06-17,0.0120,0.0120,0.0120,0.0120,0
2009-06-18,0.0200,0.0200,0.0120,0.0120,15000
2009-06-19,0.0200,0.0200,0.0120,0.0120,0
2009-06-22,0.0120,0.0120,0.0120,0.0120,11700
2009-06-23,0.0120,0.0120,0.0120,0.0120,5000
2009-06-24,0.0100,0.0100,0.0100,0.0100,5600
2009-06-25,0.0200,0.0200,0.0120,0.0120,9150
2009-06-26,0.0110,0.0110,0.0110,0.0110,5000
2009-06-29,0.0110,0.0200,0.0110,0.0200,13500
2009-06-30,0.0110,0.0110,0.0110,0.0110,1000
2009-07-01,0.0110,0.0110,0.0110,0.0110,0
2009-07-02,0.0110,0.0110,0.0110,0.0110,0
2009-07-06,0.0100,0.0110,0.0100,0.0100,46255
2009-07-07,0.0100,0.0110,0.0100,0.0110,34100
2009-07-08,0.0150,0.0150,0.0110,0.0110,8779
2009-07-09,0.0150,0.0150,0.0150,0.0150,16267
2009-07-10,0.0150,0.0150,0.0110,0.0150,99000
2009-07-13,0.0150,0.0150,0.0110,0.0150,0
2009-07-14,0.0110,0.0110,0.0110,0.0110,1000
2009-07-15,0.0110,0.0110,0.0110,0.0110,850
2009-07-16,0.0110,0.0110,0.0110,0.0110,3500
2009-07-17,0.0150,0.0150,0.0150,0.0150,20982
2009-07-20,0.0200,0.0200,0.0110,0.0110,12450
2009-07-21,0.0200,0.0200,0.0110,0.0110,0
2009-07-22,0.0100,0.0150,0.0100,0.0110,78013
2009-07-23,0.0110,0.0110,0.0110,0.0110,3000
2009-07-24,0.0110,0.0110,0.0110,0.0110,6067
2009-07-27,0.0150,0.0150,0.0110,0.0110,13833
2009-07-28,0.0100,0.0120,0.0100,0.0120,23300
2009-07-29,0.0110,0.0110,0.0110,0.0110,400
2009-07-30,0.0110,0.0110,0.0100,0.0100,14000
2009-07-31,0.0100,0.0100,0.0100,0.0100,2000
2009-08-03,0.0100,0.0100,0.0100,0.0100,750
2009-08-04,0.0100,0.0100,0.0100,0.0100,1500
2009-08-05,0.0100,0.0100,0.0100,0.0100,27000
2009-08-06,0.0150,0.0150,0.0150,0.0150,25100
2009-08-07,0.0150,0.0150,0.0150,0.0150,0
2009-08-10,0.0100,0.0100,0.0100,0.0100,4000
2009-08-11,0.0100,0.0100,0.0100,0.0100,0
2009-08-12,0.0100,0.0100,0.0100,0.0100,10000
2009-08-13,0.0100,0.0150,0.0100,0.0100,55103
2009-08-14,0.0100,0.0100,0.0100,0.0100,1000
2009-08-17,0.0100,0.0100,0.0100,0.0100,6000
2009-08-18,0.0150,0.0200,0.0100,0.0200,148200
2009-08-19,0.0100,0.0200,0.0100,0.0200,268591
2009-08-20,0.0100,0.0200,0.0100,0.0200,0
2009-08-21,0.0111,0.0111,0.0110,0.0110,36200
2009-08-24,0.0150,0.0150,0.0150,0.0150,25000
2009-08-25,0.0100,0.0100,0.0100,0.0100,100
2009-08-26,0.0100,0.0100,0.0100,0.0100,2500
2009-08-27,0.0150,0.0150,0.0100,0.0100,8400
2009-08-28,0.0110,0.0150,0.0110,0.0150,92000
2009-08-31,0.0150,0.0150,0.0120,0.0120,45266
2009-09-01,0.0150,0.0150,0.0120,0.0120,0
2009-09-02,0.0120,0.0120,0.0120,0.0120,770
2009-09-03,0.0120,0.0120,0.0100,0.0100,309333
2009-09-04,0.0200,0.0200,0.0110,0.0150,41000
2009-09-08,0.0110,0.0110,0.0110,0.0110,4800
2009-09-09,0.0120,0.0150,0.0120,0.0150,40250
2009-09-10,0.0120,0.0150,0.0120,0.0150,0
2009-09-11,0.0150,0.0150,0.0100,0.0100,409100
2009-09-14,0.0100,0.0100,0.0100,0.0100,10000
2009-09-15,0.0150,0.0150,0.0150,0.0150,25500
2009-09-16,0.0100,0.0100,0.0100,0.0100,20000
2009-09-17,0.0100,0.0100,0.0100,0.0100,880
2009-09-18,0.0150,0.0150,0.0100,0.0100,31933
2009-09-21,0.0100,0.0100,0.0100,0.0100,1500
2009-09-22,0.0100,0.0100,0.0100,0.0100,25000
2009-09-23,0.0100,0.0100,0.0100,0.0100,0
2009-09-24,0.0100,0.0100,0.0100,0.0100,0
2009-09-25,0.0100,0.0100,0.0100,0.0100,2416
2009-09-28,0.0100,0.0120,0.0100,0.0120,6200
2009-09-29,0.0120,0.0130,0.0120,0.0130,34000
2009-09-30,0.0130,0.0130,0.0130,0.0130,30000
2009-10-01,0.0130,0.0130,0.0130,0.0130,10000
2009-10-02,0.0130,0.0130,0.0130,0.0130,0
2009-10-05,0.0100,0.0125,0.0100,0.0125,6100
2009-10-06,0.0150,0.0150,0.0100,0.0100,249844
2009-10-07,0.0100,0.0100,0.0100,0.0100,1000
2009-10-08,0.0100,0.0100,0.0100,0.0100,0
2009-10-09,0.0100,0.0100,0.0100,0.0100,11364
2009-10-12,0.0100,0.0100,0.0100,0.0100,36500
2009-10-13,0.0120,0.0120,0.0100,0.0100,3164
2009-10-14,0.0100,0.0100,0.0100,0.0100,7500
2009-10-15,0.0100,0.0100,0.0100,0.0100,100000
2009-10-16,0.0100,0.0100,0.0100,0.0100,7000
2009-10-19,0.0100,0.0100,0.0100,0.0100,8900
2009-10-20,0.0100,0.0100,0.0100,0.0100,1225
2009-10-21,0.0100,0.0100,0.0100,0.0100,34980
2009-10-22,0.0100,0.0100,0.0100,0.0100,6150
2009-10-23,0.0100,0.0100,0.0100,0.0100,2000
2009-10-26,0.0100,0.0100,0.0100,0.0100,48500
2009-10-27,0.0100,0.0100,0.0100,0.0100,14000
2009-10-28,0.0100,0.0100,0.0100,0.0100,0
2009-10-29,0.0100,0.0120,0.0100,0.0100,15100
2009-10-30,0.0150,0.0150,0.0100,0.0100,13369
2009-11-02,0.0150,0.0150,0.0150,0.0150,3000
2009-11-03,0.0100,0.0101,0.0100,0.0101,11771
2009-11-04,0.0101,0.0101,0.0101,0.0101,7000
2009-11-05,0.0150,0.0150,0.0085,0.0085,69700
2009-11-06,0.0100,0.0150,0.0100,0.0150,79227
2009-11-09,0.0100,0.0150,0.0100,0.0150,0
2009-11-10,0.0150,0.0150,0.0135,0.0135,15100
2009-11-11,0.0150,0.0150,0.0135,0.0135,0
2009-11-12,0.0135,0.0135,0.0135,0.0135,9807
2009-11-13,0.0100,0.0100,0.0100,0.0100,89954
2009-11-16,0.0135,0.0135,0.0135,0.0135,13000
2009-11-17,0.0128,0.0128,0.0128,0.0128,1000
2009-11-18,0.0120,0.0120,0.0120,0.0120,1000
2009-11-19,0.0120,0.0120,0.0120,0.0120,0
2009-11-20,0.0090,0.0100,0.0090,0.0100,3123
2009-11-23,0.0090,0.0100,0.0090,0.0100,0
2009-11-24,0.0100,0.0100,0.0100,0.0100,600
2009-11-25,0.0100,0.0100,0.0100,0.0100,0
2009-11-27,0.0100,0.0100,0.0100,0.0100,0
2009-11-30,0.0135,0.0135,0.0100,0.0100,42250
2009-12-01,0.0100,0.0110,0.0100,0.0100,23800
2009-12-02,0.0100,0.0100,0.0100,0.0100,15000
2009-12-03,0.0120,0.0150,0.0100,0.0130,177300
2009-12-04,0.0100,0.0130,0.0100,0.0130,53000
2009-12-07,0.0100,0.0130,0.0095,0.0130,128700
2009-12-08,0.0100,0.0100,0.0095,0.0096,9500
2009-12-09,0.0100,0.0100,0.0100,0.0100,30000
2009-12-10,0.0130,0.0140,0.0120,0.0140,76000
2009-12-11,0.0120,0.0140,0.0120,0.0140,21835
2009-12-14,0.0100,0.0120,0.0100,0.0120,12300
2009-12-15,0.0120,0.0120,0.0120,0.0120,11000
2009-12-16,0.0100,0.0100,0.0100,0.0100,10500
2009-12-17,0.0119,0.0140,0.0113,0.0130,141000
2009-12-18,0.0100,0.0140,0.0100,0.0100,113000
2009-12-21,0.0110,0.0110,0.0110,0.0110,100
2009-12-22,0.0120,0.0170,0.0120,0.0120,103128
2009-12-23,0.0120,0.0130,0.0120,0.0130,29000
2009-12-24,0.0120,0.0120,0.0120,0.0120,13274
2009-12-28,0.0110,0.0200,0.0110,0.0130,4000
2009-12-29,0.0110,0.0160,0.0110,0.0150,58641
2009-12-30,0.0150,0.0150,0.0120,0.0120,19500
2009-12-31,0.0120,0.0120,0.0120,0.0120,17000
2010-01-04,0.0120,0.0140,0.0120,0.0140,33800
2010-01-05,0.0120,0.0140,0.0120,0.0140,0
2010-01-06,0.0120,0.0140,0.0120,0.0140,4800
2010-01-07,0.0140,0.0140,0.0140,0.0140,44174
2010-01-08,0.0140,0.0180,0.0140,0.0160,252534
