date,open,high,low,close,volume
2000-07-31,28.5000,28.5000,27.8800,27.8800,13000
2000-08-01,28.0000,28.0000,27.4400,28.0000,7800
2000-08-02,29.0000,29.4400,29.0000,29.2500,5800
2000-08-03,29.2500,29.6900,29.1900,29.3100,9300
2000-08-04,29.2500,29.4400,29.0000,29.3800,7700
2000-08-07,29.2500,29.2500,28.5000,28.5600,3900
2000-08-08,29.4400,30.0000,29.1900,29.4400,6800
2000-08-09,29.3100,30.0000,29.3100,29.7500,14300
2000-08-10,30.2500,30.2500,30.0600,30.2500,5600
2000-08-11,30.2500,30.5600,30.2500,30.5600,1500
2000-08-14,30.7500,31.0000,30.7500,30.8800,14500
2000-08-15,31.3100,31.3800,30.6900,30.6900,3200
2000-08-16,30.6200,31.4400,30.6200,31.3800,6200
2000-08-17,31.6900,32.1900,31.6900,32.0600,6700
2000-08-18,32.1200,32.1200,31.6200,31.8100,5800
2000-08-21,31.9400,31.9400,31.6900,31.7500,2800
2000-08-22,31.7500,31.7500,31.3800,31.5600,3400
2000-08-23,31.6900,32.5000,31.6900,32.5000,27300
2000-08-24,32.3800,32.3800,32.1200,32.1200,8200
2000-08-25,32.4400,32.6900,32.3100,32.6200,2400
2000-08-28,32.6200,33.2500,32.5600,33.2500,12700
2000-08-29,33.3100,33.8100,32.3800,32.3800,8200
2000-08-30,32.1900,32.3100,32.1900,32.1900,1700
2000-08-31,32.4400,32.7500,32.4400,32.5000,1900
2000-09-01,32.5000,32.5000,32.0000,32.0000,6500
2000-09-05,32.3100,32.6200,32.1200,32.6200,4000
2000-09-06,32.5000,33.6200,32.3800,33.5000,6100
2000-09-07,33.6200,34.0000,33.5000,33.8100,7200
2000-09-08,33.4400,33.4400,33.3800,33.3800,2100
2000-09-11,33.5600,34.0000,33.5600,33.7500,4000
2000-09-12,34.2500,35.2500,34.0000,35.2500,7900
2000-09-13,35.5000,35.8800,35.3100,35.7500,11700
2000-09-14,35.7500,35.8800,35.3800,35.3800,7400
2000-09-15,35.5600,37.2500,35.5600,37.2500,12800
2000-09-18,37.2500,37.8800,36.1200,36.8800,14100
2000-09-19,37.1900,37.1900,36.4400,36.5600,8600
2000-09-20,37.5600,37.5600,36.0000,36.0000,6900
2000-09-21,34.7500,35.0000,34.6200,34.7500,3800
2000-09-22,33.8100,34.7500,33.2500,33.5000,11200
2000-09-25,32.9400,32.9400,32.1900,32.9400,15900
2000-09-26,33.6200,33.6200,33.5600,33.5600,800
2000-09-27,34.0000,34.0000,33.5600,33.6200,1700
2000-09-28,33.0600,33.4400,33.0600,33.3100,65600
2000-09-29,33.1200,33.5000,33.0000,33.5000,3000
2000-10-02,34.0000,34.3800,33.5000,34.2500,3800
2000-10-03,34.2500,34.5600,33.8100,33.8100,2000
2000-10-04,34.2500,34.3100,33.8800,34.1900,6700
2000-10-05,33.5600,33.5600,32.8800,32.8800,1900
