date,open,high,low,close,volume
1999-11-01,1.0938,1.0938,0.9375,0.9375,4800
1999-11-02,1.1250,1.1250,1.1250,1.1250,1500
1999-11-03,1.0625,1.0625,1.0625,1.0625,4500
1999-11-04,1.0625,1.0625,1.0625,1.0625,0
1999-11-05,1.1250,1.1875,1.1250,1.1875,10800
1999-11-08,1.1875,1.1875,1.1875,1.1875,3700
1999-11-09,1.1875,1.1875,1.1875,1.1875,0
1999-11-10,1.1875,1.1875,1.1875,1.1875,0
1999-11-11,1.0625,1.0625,0.9375,1.0625,11000
1999-11-12,1.0000,1.0938,1.0000,1.0000,2500
1999-11-15,0.9375,1.1250,0.9375,1.1250,25400
1999-11-16,1.1250,1.1875,1.1250,1.1875,9100
1999-11-17,1.1875,1.1875,1.1875,1.1875,0
1999-11-18,1.1250,1.1250,0.9375,1.0000,25500
1999-11-19,1.0000,1.0000,1.0000,1.0000,0
1999-11-22,1.0313,1.0625,1.0313,1.0625,4000
1999-11-23,1.0625,1.0625,1.0625,1.0625,13500
1999-11-24,1.0313,1.0313,1.0313,1.0313,500
1999-11-26,1.0313,1.0313,1.0313,1.0313,4500
1999-11-29,1.0313,1.0313,1.0313,1.0313,2000
1999-11-30,1.0313,1.0625,1.0313,1.0625,4400
1999-12-01,1.0313,1.0313,1.0313,1.0313,1000
1999-12-02,1.0313,1.0625,1.0313,1.0625,6300
1999-12-03,1.0000,1.0000,0.9688,1.0000,9500
1999-12-06,1.0000,1.0000,1.0000,1.0000,0
1999-12-07,1.0000,1.0000,0.9688,0.9688,18500
1999-12-08,0.9688,0.9688,0.9688,0.9688,0
1999-12-09,0.9688,0.9688,0.9688,0.9688,1000
1999-12-10,0.9688,1.0313,0.9688,0.9688,3200
1999-12-13,0.9688,0.9688,0.9688,0.9688,0
1999-12-14,0.9688,0.9688,0.9688,0.9688,3500
1999-12-15,0.9688,0.9688,0.9688,0.9688,0
1999-12-16,0.9688,0.9688,0.5000,0.6250,595700
1999-12-17,0.6250,0.7500,0.6250,0.6250,3200
1999-12-20,0.6563,0.7500,0.6563,0.6563,40300
1999-12-21,0.6563,0.6563,0.6563,0.6563,2500
1999-12-22,0.6563,0.6563,0.6563,0.6563,2500
1999-12-23,0.6563,0.6563,0.6563,0.6563,4200
1999-12-27,0.8125,0.8125,0.8125,0.8125,200
1999-12-28,0.8125,0.8125,0.8125,0.8125,4400
1999-12-29,0.6250,0.6250,0.6250,0.6250,6200
1999-12-30,0.8125,0.8125,0.6250,0.6875,52200
1999-12-31,0.6250,0.6250,0.6250,0.6250,1500
2000-01-03,0.8125,0.8125,0.6250,0.6250,700
2000-01-04,0.6250,0.6250,0.6250,0.6250,0
2000-01-05,0.6250,0.6250,0.6250,0.6250,0
2000-01-06,0.6250,0.6250,0.6250,0.6250,0
2000-01-07,0.6250,0.7500,0.6250,0.7500,31600
2000-01-10,0.7500,0.7500,0.7500,0.7500,5000
2000-01-11,0.7500,0.7500,0.7500,0.7500,13000
2000-01-12,0.6250,0.6875,0.6250,0.6250,58800
2000-01-13,0.6250,0.6250,0.6250,0.6250,0
2000-01-14,0.5938,0.6563,0.5938,0.6563,18000
2000-01-18,0.5938,0.6250,0.5938,0.6250,13000
2000-01-19,0.6250,0.7813,0.5938,0.7813,353200
2000-01-20,0.8750,0.9063,0.8750,0.9063,36300
2000-01-21,0.9375,0.9375,0.9375,0.9375,29000
2000-01-24,0.9688,1.0938,0.9375,1.0938,62400
2000-01-25,1.0938,1.0938,1.0625,1.0625,21100
2000-01-26,1.0625,1.0625,1.0156,1.0156,144800
2000-01-27,1.0625,1.0625,1.0625,1.0625,47900
2000-01-28,1.0625,1.0625,1.0156,1.0313,33300
2000-01-31,1.0313,1.0625,0.9375,1.0000,112900
2000-02-01,0.9375,0.9688,0.9375,0.9375,37800
2000-02-02,0.9375,0.9375,0.7500,0.8750,17500
2000-02-03,0.8750,0.9375,0.7500,0.8750,188500
2000-02-04,0.8750,0.8750,0.7500,0.7813,154200
2000-02-07,0.8750,0.8750,0.8125,0.8438,119300
2000-02-08,0.8438,1.6875,0.8438,1.6250,227500
2000-02-09,1.4375,1.6563,1.0625,1.0625,75100
2000-02-10,1.1875,1.1875,1.0625,1.1875,91300
2000-02-11,1.1875,1.1875,1.0625,1.1563,13500
2000-02-14,1.1875,1.3750,1.1563,1.3750,83100
2000-02-15,1.3750,1.3750,1.2500,1.3438,18000
2000-02-16,1.3125,1.3125,1.0313,1.2188,67500
2000-02-17,1.2188,1.5000,1.1875,1.5000,93700
2000-02-18,1.5156,1.7500,1.5000,1.5625,140600
2000-02-22,1.5625,1.8125,1.5625,1.6875,126200
2000-02-23,2.2188,2.2500,2.0000,2.1250,649800
2000-02-24,2.1563,2.2188,1.9375,2.0313,224500
2000-02-25,2.0000,2.5000,1.8125,2.3125,370100
2000-02-28,3.5625,5.0000,3.4375,4.6250,718900
2000-02-29,4.5625,4.8750,3.6250,4.1875,305700
2000-03-01,4.1250,4.2500,3.7500,3.7500,175100
2000-03-02,3.8750,3.8750,3.3750,3.5000,131600
2000-03-03,3.3750,3.8125,3.3750,3.7500,106200
2000-03-06,3.7500,4.5000,3.6875,4.0000,127500
2000-03-07,4.2500,4.5000,3.8438,4.0000,164700
2000-03-08,3.8750,4.0000,3.2500,3.6250,46100
2000-03-09,3.3750,3.6250,3.0000,3.0938,134100
2000-03-10,3.0625,3.4375,3.0000,3.4375,91200
2000-03-13,3.5000,3.8750,3.2500,3.7500,51100
2000-03-14,3.8125,4.6250,3.8125,3.8750,113700
2000-03-15,4.0000,4.0000,3.0000,3.0625,129300
2000-03-16,2.9063,3.0625,2.8750,3.0625,35500
2000-03-17,2.9688,3.1250,2.9688,2.9688,86900
2000-03-20,3.0313,3.0313,2.8750,2.9375,43500
2000-03-21,2.9375,2.9375,2.6250,2.6875,37100
2000-03-22,2.7500,3.0000,2.7500,2.8750,26400
2000-03-23,2.8750,2.8750,2.6875,2.7500,59800
2000-03-24,2.8125,3.0000,2.6250,2.6250,90500
2000-03-27,2.6250,2.8750,2.6250,2.8125,22700
2000-03-28,2.8125,2.8750,2.6875,2.7500,39000
2000-03-29,2.8750,3.0000,2.6250,2.6875,39400
2000-03-30,2.6875,2.9688,2.5625,2.7500,65100
2000-03-31,2.8125,2.8125,2.5000,2.5625,30800
2000-04-03,2.5000,2.5625,2.5000,2.5000,14000
2000-04-04,2.5000,2.5000,1.5000,2.0000,123500
2000-04-05,1.1875,2.0625,1.1875,1.9688,102500
2000-04-06,2.0625,2.1250,2.0000,2.0000,23300
2000-04-07,2.0000,2.2500,2.0000,2.1250,24700
2000-04-10,2.1250,2.1875,2.1250,2.1250,18600
2000-04-11,2.0000,2.0000,1.7500,2.0000,17600
2000-04-12,1.8750,2.0000,1.6875,1.7500,65900
2000-04-13,1.7500,1.8750,1.5156,1.5625,84500
2000-04-14,1.5625,1.7500,1.3750,1.6250,114700
2000-04-17,1.4375,1.6875,1.4375,1.4375,49900
2000-04-18,1.5625,1.6250,1.3750,1.5000,54000
2000-04-19,1.6250,1.6875,1.4375,1.4375,11300
2000-04-20,1.4375,1.7188,1.4375,1.5938,14700
2000-04-24,1.5000,1.7188,1.3750,1.7188,32900
2000-04-25,1.4375,1.8750,1.4375,1.8750,10800
2000-04-26,1.6875,1.6875,1.6875,1.6875,1000
2000-04-27,1.6875,1.9375,1.6875,1.6875,4900
2000-04-28,1.6875,1.6875,1.6875,1.6875,1700
2000-05-01,1.6875,1.8750,1.6875,1.7500,3900
2000-05-02,1.8750,1.8750,1.7500,1.8125,5600
2000-05-03,1.7500,1.7500,1.7188,1.7500,32700
2000-05-04,1.6875,1.7500,1.6875,1.7500,29000
2000-05-05,1.7500,1.7500,1.6563,1.6875,28800
2000-05-08,1.6875,1.6875,1.6875,1.6875,1900
2000-05-09,1.6875,1.6875,1.6875,1.6875,0
2000-05-10,1.6875,1.6875,1.6875,1.6875,30900
2000-05-11,1.6875,1.6875,1.6875,1.6875,6900
2000-05-12,1.6875,1.6875,1.6875,1.6875,1300
2000-05-15,1.6875,1.7500,1.6875,1.7500,11300
2000-05-16,1.6875,1.6875,1.6875,1.6875,1500
2000-05-17,1.8125,1.8125,1.6875,1.7500,6100
2000-05-18,1.6875,1.7500,1.6875,1.7500,10200
2000-05-19,1.8125,1.8125,1.6875,1.7500,62000
2000-05-22,1.7188,1.7500,1.7188,1.7188,16600
2000-05-23,1.7188,1.7500,1.7188,1.7500,19500
2000-05-24,1.7500,1.8438,1.6875,1.6875,38600
2000-05-25,1.6875,1.6875,1.5000,1.5625,6500
2000-05-26,1.5000,1.5000,1.2500,1.2500,12500
2000-05-30,1.2500,1.5000,1.2500,1.3750,43200
2000-05-31,1.5000,1.5000,1.4375,1.5000,10800
2000-06-01,1.4375,1.4375,1.4375,1.4375,4600
2000-06-02,1.5000,1.7500,1.4375,1.7500,24500
2000-06-05,1.7500,1.7500,1.7500,1.7500,0
2000-06-06,1.5000,1.6250,1.5000,1.6250,7000
2000-06-07,1.5625,1.6250,1.5625,1.5625,3500
2000-06-08,1.5625,1.5625,1.5625,1.5625,0
2000-06-09,1.5000,1.5000,1.5000,1.5000,500
2000-06-12,1.4375,1.4375,1.4375,1.4375,1000
2000-06-13,1.4375,1.4375,1.4375,1.4375,0
2000-06-14,1.4375,1.4375,1.4375,1.4375,0
2000-06-15,1.5625,1.5625,1.5000,1.5000,9600
2000-06-16,1.4688,1.4688,1.2500,1.2500,3000
2000-06-19,1.5000,1.6250,1.5000,1.5000,9500
2000-06-20,1.5000,1.5000,1.5000,1.5000,0
2000-06-21,1.4375,1.4375,1.4375,1.4375,500
2000-06-22,1.3125,1.3750,1.3125,1.3750,3000
2000-06-23,1.3750,1.4375,1.2500,1.3750,25500
2000-06-26,1.3438,1.3438,1.3438,1.3438,500
2000-06-27,1.5000,1.5000,1.5000,1.5000,500
2000-06-28,1.5000,1.5000,1.5000,1.5000,0
2000-06-29,1.5000,1.5000,1.5000,1.5000,0
2000-06-30,1.3125,1.5625,1.3125,1.5625,7900
2000-07-03,1.5625,1.5625,1.5625,1.5625,0
2000-07-05,1.4688,1.4688,1.4688,1.4688,100
2000-07-06,1.4688,1.4688,1.4688,1.4688,2200
