date,open,high,low,close,volume
2016-07-12,0.1660,0.1667,0.1650,0.1650,30000
2016-07-13,0.1650,0.1650,0.1650,0.1650,0
2016-07-14,0.1650,0.1650,0.1650,0.1650,0
2016-07-15,0.2430,0.2530,0.2289,0.2400,97500
2016-07-18,0.2370,0.2370,0.2370,0.2370,635
2016-07-19,0.2370,0.2370,0.2370,0.2370,0
2016-07-20,0.2732,0.2749,0.2712,0.2739,27500
2016-07-21,0.2730,0.2730,0.2690,0.2690,2750
2016-07-22,0.2690,0.2690,0.2690,0.2690,0
2016-07-25,0.2930,0.2930,0.2930,0.2930,45000
2016-07-26,0.2930,0.2930,0.2930,0.2930,5000
2016-07-27,0.2930,0.2930,0.2930,0.2930,500
2016-07-28,0.2940,0.3207,0.2940,0.3207,6000
2016-07-29,0.3090,0.3090,0.3000,0.3000,7090
2016-08-01,0.3000,0.3000,0.3000,0.3000,0
2016-08-02,0.3890,0.3890,0.3680,0.3680,99457
2016-08-03,0.3535,0.3870,0.3535,0.3870,8910
2016-08-04,0.3810,0.3810,0.3810,0.3810,5400
2016-08-05,0.3850,0.3850,0.3814,0.3814,2052
2016-08-08,0.4198,0.4198,0.3470,0.3470,14803
2016-08-09,0.3780,0.3780,0.3670,0.3670,4000
2016-08-10,0.3670,0.3670,0.3670,0.3670,0
2016-08-11,0.3670,0.3670,0.3670,0.3670,0
2016-08-12,0.3670,0.3670,0.3670,0.3670,0
2016-08-15,0.3730,0.3730,0.3660,0.3660,3000
2016-08-16,0.3440,0.3440,0.3440,0.3440,4500
2016-08-17,0.3440,0.3440,0.3440,0.3440,0
2016-08-18,0.3476,0.3476,0.3476,0.3476,1000
2016-08-19,0.3437,0.3517,0.3397,0.3517,9650
2016-08-22,0.3517,0.3517,0.3517,0.3517,0
2016-08-23,0.3659,0.3903,0.3659,0.3903,71267
2016-08-24,0.3511,0.3511,0.3511,0.3511,5000
2016-08-25,0.3511,0.3511,0.3511,0.3511,12500
2016-08-26,0.3300,0.3300,0.3300,0.3300,1470
2016-08-29,0.3357,0.3478,0.3198,0.3478,41698
2016-08-30,0.3552,0.3580,0.3466,0.3580,20699
2016-08-31,0.3593,0.3864,0.3485,0.3864,42500
2016-09-01,0.3799,0.3837,0.3761,0.3837,13100
2016-09-02,0.3825,0.3864,0.3825,0.3864,5000
2016-09-06,0.3894,0.3950,0.3860,0.3880,77998
2016-09-07,0.3839,0.3930,0.3839,0.3900,21780
2016-09-08,0.3905,0.3905,0.3654,0.3750,75995
2016-09-09,0.3850,0.3850,0.3850,0.3850,7000
2016-09-12,0.3833,0.4100,0.3794,0.4100,33909
2016-09-13,0.3901,0.3901,0.3901,0.3901,1000
2016-09-14,0.4055,0.4566,0.4055,0.4566,59000
2016-09-15,0.4748,0.5060,0.4641,0.5060,368299
2016-09-16,0.5839,0.6564,0.5836,0.6000,65099
2016-09-19,0.6197,0.6313,0.5968,0.6000,17166
2016-09-20,0.5988,0.6000,0.5647,0.5708,37240
2016-09-21,0.5860,0.5900,0.5860,0.5860,4500
2016-09-22,0.6207,0.6229,0.6000,0.6070,14290
2016-09-23,0.6262,0.6280,0.6095,0.6095,35435
2016-09-26,0.6046,0.6190,0.6046,0.6190,4170
2016-09-27,0.6000,0.6000,0.6000,0.6000,350
2016-09-28,0.6030,0.6206,0.6030,0.6197,15299
2016-09-29,0.6134,0.6210,0.5981,0.5981,55163
2016-09-30,0.6533,0.7115,0.6533,0.6838,54125
2016-10-03,0.7114,0.7132,0.6801,0.7132,45238
2016-10-04,0.7580,0.7700,0.7458,0.7480,57996
2016-10-05,0.7640,0.9067,0.7637,0.9067,150907
2016-10-06,1.0301,1.0301,0.8190,0.8380,143370
2016-10-07,0.8653,0.8928,0.7934,0.8628,40904
2016-10-10,0.8400,0.8400,0.8400,0.8400,1000
2016-10-11,0.9359,0.9772,0.9228,0.9535,63862
2016-10-12,0.9840,0.9840,0.9234,0.9473,5872
2016-10-13,0.9260,0.9268,0.8925,0.9150,23412
2016-10-14,0.8940,0.9155,0.8940,0.9000,14138
2016-10-17,0.8927,0.9237,0.8926,0.9118,14770
2016-10-18,0.9128,0.9880,0.9128,0.9627,42240
