date,open,high,low,close,volume
2019-05-09,20.0000,34.7300,19.5000,32.8900,1344064
2019-05-10,33.0000,33.5000,23.8500,23.8600,791665
2019-05-13,23.5000,26.4717,23.3250,23.9000,214529
2019-05-14,23.5100,25.4300,23.5100,24.0000,156387
2019-05-15,24.0100,25.9475,24.0100,25.0000,99044
2019-05-16,25.0100,26.4490,24.7300,25.1500,136799
2019-05-17,25.1500,26.0000,25.1500,26.0000,23057
2019-05-20,26.0000,26.4500,25.5000,26.0900,113239
2019-05-21,26.4400,27.3700,26.1716,27.3200,130645
2019-05-22,27.3400,27.9508,27.0358,27.3500,162081
2019-05-23,27.1200,27.4900,26.5000,27.4900,91730
2019-05-24,27.4900,27.4900,26.6727,27.3600,77778
2019-05-28,27.0300,27.2400,26.8100,26.8600,64198
2019-05-29,26.7000,26.7000,26.0211,26.2700,113500
2019-05-30,26.3000,26.6500,25.5859,26.6500,31132
2019-05-31,26.7500,26.7500,24.6200,25.6700,55730
2019-06-03,25.0200,26.1110,23.0300,24.1300,107800
2019-06-04,23.9100,25.9999,23.2301,24.6000,54741
2019-06-05,25.0200,25.5900,24.4000,24.4000,79364
2019-06-06,24.4900,25.7300,24.2930,25.7300,79646
2019-06-07,25.7500,25.7500,24.5600,24.9700,72429
2019-06-10,24.9500,25.9700,24.3250,25.6000,62646
2019-06-11,26.0000,26.4800,25.2000,26.0600,39460
2019-06-12,26.3600,28.0000,25.5300,27.5200,91455
2019-06-13,28.0000,31.6300,27.6834,31.4200,96880
2019-06-14,31.9200,31.9200,29.9800,31.4100,32081
2019-06-17,31.2300,39.8300,31.2300,38.2200,146886
2019-06-18,38.2200,47.5000,37.8800,42.0000,158259
2019-06-19,42.9700,42.9700,39.3500,40.9700,112184
2019-06-20,40.9500,41.3600,35.1900,36.1800,120621
2019-06-21,36.0600,38.9299,34.3100,35.8900,221423
2019-06-24,36.0000,38.1599,35.0700,35.5000,71276
2019-06-25,35.5000,38.7400,35.5000,38.0500,56396
2019-06-26,38.2700,40.2000,38.2700,38.6100,67609
2019-06-27,39.0500,40.5000,39.0500,39.8000,43832
2019-06-28,40.5000,43.6850,39.3400,42.5100,628490
2019-07-01,42.7900,45.4200,42.6600,45.2800,51916
2019-07-02,45.8600,45.9509,39.8200,40.3100,102849
2019-07-03,40.1400,41.5000,39.2400,40.0700,38661
2019-07-05,39.8700,41.9800,36.7500,37.5800,44745
2019-07-08,37.5900,38.7600,37.1200,37.8500,76066
2019-07-09,37.7100,41.0000,37.0700,40.5100,111637
2019-07-10,40.6200,41.5000,38.8678,40.6000,49754
