date,open,high,low,close,volume
1999-11-01,2.2500,2.2500,2.2500,2.2500,100
1999-11-02,2.2500,2.2500,2.2500,2.2500,0
1999-11-03,2.2500,2.3750,2.2500,2.3750,800
1999-11-04,2.3800,2.3800,2.3800,2.3800,0
1999-11-05,2.3750,2.3750,2.3130,2.3130,13500
1999-11-08,2.3750,2.3750,2.2500,2.3130,3300
1999-11-09,2.2500,2.3750,2.2500,2.3750,200
1999-11-10,2.3130,2.3130,2.3130,2.3130,500
1999-11-11,2.3130,2.3750,2.3130,2.3130,3600
1999-11-12,2.3130,2.3130,2.3130,2.3130,3700
1999-11-15,2.3130,2.3130,2.1250,2.1250,11400
1999-11-16,2.1250,2.1880,2.1250,2.1880,3300
1999-11-17,2.1900,2.1900,2.1900,2.1900,0
1999-11-18,2.1900,2.1900,2.1900,2.1900,0
1999-11-19,2.2500,2.2500,2.1250,2.1250,1600
1999-11-22,2.1250,2.1250,2.1250,2.1250,300
1999-11-23,2.1250,2.1250,2.1250,2.1250,4000
1999-11-24,2.1200,2.1200,2.1200,2.1200,0
1999-11-26,2.1200,2.1200,2.1200,2.1200,0
1999-11-29,2.1200,2.1200,2.1200,2.1200,0
1999-11-30,2.1250,2.1250,2.0630,2.0630,5000
1999-12-01,2.0630,2.0630,2.0630,2.0630,200
1999-12-02,2.0000,2.0000,2.0000,2.0000,4000
1999-12-03,2.0000,2.0000,2.0000,2.0000,0
1999-12-06,2.0000,2.2500,2.0000,2.2500,6700
1999-12-07,2.2500,2.2500,2.0630,2.2500,6500
1999-12-08,2.3750,2.3750,2.2500,2.2500,2000
1999-12-09,2.2500,2.2500,2.2500,2.2500,2300
1999-12-10,2.1250,2.1880,2.0630,2.1880,3100
1999-12-13,2.0630,2.0630,1.9380,2.0000,10200
1999-12-14,2.0000,2.0000,2.0000,2.0000,0
1999-12-15,2.0000,2.0000,2.0000,2.0000,0
1999-12-16,2.0000,2.0000,2.0000,2.0000,1600
1999-12-17,2.0000,2.0000,2.0000,2.0000,0
1999-12-20,2.0000,2.0000,2.0000,2.0000,0
1999-12-21,2.0000,2.0000,2.0000,2.0000,800
1999-12-22,1.8750,1.8750,1.8750,1.8750,2000
1999-12-23,2.0000,2.0000,2.0000,2.0000,7000
1999-12-27,1.8750,1.8750,1.8750,1.8750,4100
1999-12-28,2.0000,2.1250,2.0000,2.1250,3100
1999-12-29,2.0000,2.2500,2.0000,2.2500,10400
1999-12-30,2.0000,2.0000,2.0000,2.0000,60300
1999-12-31,2.1250,2.5000,2.1250,2.5000,6000
2000-01-03,2.3750,2.3750,2.3750,2.3750,500
2000-01-04,2.3800,2.3800,2.3800,2.3800,0
2000-01-05,2.3800,2.3800,2.3800,2.3800,0
2000-01-06,2.2500,2.2500,2.2500,2.2500,300
2000-01-07,2.2500,2.2500,2.2500,2.2500,0
2000-01-10,2.1250,2.1250,2.0000,2.0000,1000
2000-01-11,2.0000,2.0000,1.8750,2.0000,9400
2000-01-12,2.0000,2.0000,1.9380,1.9380,6700
2000-01-13,2.0630,2.0630,2.0000,2.0000,7700
2000-01-14,2.0000,2.0000,2.0000,2.0000,7000
2000-01-18,2.0630,2.0630,2.0630,2.0630,10500
2000-01-19,2.1250,2.1250,2.1250,2.1250,4000
2000-01-20,2.1250,2.1250,2.1250,2.1250,2000
2000-01-21,2.0000,2.0000,2.0000,2.0000,1600
2000-01-24,2.0000,2.0000,2.0000,2.0000,100
2000-01-25,2.0000,2.0000,1.9380,1.9380,800
2000-01-26,1.9380,2.0000,1.9380,2.0000,1600
2000-01-27,2.0000,2.0000,2.0000,2.0000,0
2000-01-28,2.0000,2.2500,2.0000,2.2500,1600
2000-01-31,2.2500,2.2500,2.2500,2.2500,0
2000-02-01,2.1250,2.1250,2.0000,2.0000,1000
2000-02-02,2.1250,2.1250,2.1250,2.1250,500
2000-02-03,2.1200,2.1200,2.1200,2.1200,0
2000-02-04,2.0000,2.0000,2.0000,2.0000,3000
2000-02-07,2.1250,2.1250,2.1250,2.1250,1700
2000-02-08,2.1200,2.1200,2.1200,2.1200,0
2000-02-09,2.0630,2.0630,2.0630,2.0630,300
2000-02-10,2.1880,2.1880,2.1880,2.1880,400
2000-02-11,2.0630,2.2500,2.0630,2.1880,1400
2000-02-14,2.1250,2.1250,2.0000,2.0630,3500
2000-02-15,2.0630,2.0630,2.0630,2.0630,700
2000-02-16,2.0600,2.0600,2.0600,2.0600,0
2000-02-17,2.0600,2.0600,2.0600,2.0600,0
2000-02-18,2.0940,2.1880,2.0940,2.1250,5300
2000-02-22,2.0630,2.0630,2.0630,2.0630,2000
2000-02-23,2.0600,2.0600,2.0600,2.0600,0
2000-02-24,2.0600,2.0600,2.0600,2.0600,0
2000-02-25,2.0600,2.0600,2.0600,2.0600,0
