date,open,high,low,close,volume
2009-11-17,25.0000,25.0000,25.0000,25.0000,100
2009-11-18,25.0000,25.0000,25.0000,25.0000,0
2009-11-19,25.2000,25.2000,25.2000,25.2000,100
2009-11-20,25.3900,25.4500,25.3500,25.4400,5100
2009-11-23,25.4400,25.4400,25.4400,25.4400,0
2009-11-24,25.4400,25.4400,25.4400,25.4400,0
2009-11-25,25.4400,25.4400,25.4400,25.4400,0
2009-11-27,24.7500,26.0000,24.5000,26.0000,1100
2009-11-30,26.0000,26.0000,26.0000,26.0000,0
2009-12-01,26.0000,26.0000,26.0000,26.0000,0
2009-12-02,25.7500,25.7500,25.0200,25.0200,400
2009-12-03,25.0600,25.0600,24.2600,24.6600,9000
2009-12-04,25.0100,25.4300,24.5000,24.7500,7900
2009-12-07,24.4200,24.6200,24.2400,24.6200,2300
2009-12-08,24.2500,24.2900,23.7500,23.7500,4900
2009-12-09,23.5500,24.0800,23.5000,23.5000,1754600
2009-12-10,23.3700,24.2900,23.3700,24.0000,1316100
2009-12-11,24.5000,24.5200,24.1500,24.5200,1267900
2009-12-14,24.3500,25.0000,23.4200,24.9500,1398200
2009-12-15,24.5100,25.6400,24.1500,25.4400,2306200
2009-12-16,25.7000,25.7000,25.1800,25.5200,1603700
2009-12-17,25.1000,25.1300,24.2900,24.4400,2110300
2009-12-18,24.4500,24.5400,23.5800,23.9700,1182100
2009-12-21,24.1700,24.1800,23.7000,24.0300,2474400
2009-12-22,23.8400,24.4500,23.8400,24.3100,2029500
2009-12-23,24.5100,24.5100,24.1900,24.4000,1604600
2009-12-24,24.3400,24.6600,24.1200,24.3800,433600
2009-12-28,24.1900,24.5500,23.9300,24.2700,631200
2009-12-29,24.5600,24.7900,24.3700,24.5200,1329000
2009-12-30,24.4500,24.6700,24.1500,24.6400,1492200
2009-12-31,24.7500,25.4800,24.7500,25.2000,1592200
2010-01-04,26.0600,26.6800,25.5400,26.6000,2117700
2010-01-05,26.7300,26.7900,26.2000,26.3700,1140700
2010-01-06,26.3600,26.6900,25.8000,26.1400,1145600
2010-01-07,25.8700,26.1300,25.7300,25.9900,873100
2010-01-08,25.9100,26.2600,25.6600,26.2300,985300
2010-01-11,26.2000,26.4300,25.9200,26.1500,1759200
2010-01-12,25.5200,25.8800,25.2400,25.7500,1394500
2010-01-13,25.6400,25.8600,25.3800,25.8100,853600
2010-01-14,25.8400,25.9600,25.5800,25.7300,974000
2010-01-15,25.7700,25.8300,25.0100,25.2500,1361400
2010-01-19,25.1400,25.2600,24.9400,25.2000,1060900
2010-01-20,24.8100,24.8100,24.0200,24.2800,1605100
2010-01-21,24.2500,24.3900,23.9300,24.2400,2198900
2010-01-22,24.1800,24.2100,23.6300,23.7200,1228700
2010-01-25,23.5800,24.0500,23.5700,23.7600,1113700
2010-01-26,23.4100,23.4100,23.0600,23.2100,1000900
2010-01-27,23.1900,23.4300,22.9600,23.1900,1461900
2010-01-28,23.4600,23.6200,23.0700,23.5000,1229100
2010-01-29,23.6500,24.5900,23.1000,23.1500,1411600
2010-02-01,23.3000,24.3800,23.2900,24.3600,1215900
2010-02-02,24.3900,24.9300,24.0300,24.8000,1329200
2010-02-03,24.4200,25.1300,24.2000,24.9600,1002100
2010-02-04,24.4900,24.6100,24.1300,24.2600,1033900
2010-02-05,24.1400,24.3500,23.3000,23.7400,1052400
2010-02-08,23.7400,23.9600,23.2200,23.2700,936000
2010-02-09,23.6000,24.1900,23.3400,23.7400,753900
