date,open,high,low,close,volume
2005-11-17,0.8000,1.0500,0.5000,0.6500,19000
2005-11-18,1.0000,2.1000,0.7500,2.1000,132600
2005-11-21,2.0000,3.2500,1.4500,2.6500,187700
2005-11-22,2.7500,2.7500,2.3500,2.7500,22400
2005-11-23,2.9000,3.0000,2.3000,2.4000,37300
2005-11-25,2.4000,2.4000,2.3500,2.3500,5600
2005-11-28,2.7500,2.7500,2.5250,2.5250,4700
2005-11-29,2.6000,2.6000,2.1000,2.1000,6200
2005-11-30,2.1000,2.4000,2.1000,2.4000,1400
2005-12-01,2.0500,2.1000,2.0000,2.0000,10400
2005-12-02,2.0000,2.0000,1.8000,1.9000,8200
2005-12-05,2.0000,2.0000,1.7000,1.9000,11200
2005-12-06,2.0000,2.2500,1.9000,2.2500,31300
2005-12-07,2.0500,2.0500,1.5000,1.5000,6800
2005-12-08,2.0500,2.0500,2.0000,2.0500,2400
2005-12-09,1.7500,2.0000,1.7500,1.7500,1100
2005-12-12,2.0500,2.0500,1.6000,1.6000,9200
2005-12-13,1.9000,1.9000,1.9000,1.9000,1100
2005-12-14,1.9000,2.0000,1.9000,2.0000,4100
2005-12-15,1.9000,1.9000,1.9000,1.9000,1700
2005-12-16,1.9000,1.9000,1.9000,1.9000,0
2005-12-19,1.9000,1.9000,1.9000,1.9000,0
2005-12-20,1.9000,1.9000,1.9000,1.9000,0
2005-12-21,1.6500,1.7800,1.6000,1.6000,4000
2005-12-22,1.7500,1.7500,1.7500,1.7500,4800
2005-12-23,1.7500,1.9000,1.7500,1.9000,1000
2005-12-27,1.8000,1.9000,1.7500,1.7500,3000
2005-12-28,1.7500,1.7500,1.7500,1.7500,0
2005-12-29,1.7500,1.7500,1.7500,1.7500,1000
2005-12-30,1.8500,1.8500,1.8500,1.8500,500
2006-01-03,1.8500,1.8500,1.8500,1.8500,0
2006-01-04,1.8500,1.8500,1.8500,1.8500,0
2006-01-05,1.9000,1.9000,1.7000,1.7500,6900
2006-01-06,1.7000,1.9000,1.7000,1.9000,1800
2006-01-09,1.9000,1.9000,1.9000,1.9000,400
2006-01-10,1.8000,1.9000,1.8000,1.8000,2400
2006-01-11,1.8000,1.8500,1.8000,1.8000,9400
2006-01-12,1.8500,1.8500,1.8000,1.8000,5700
2006-01-13,1.8000,1.9000,1.8000,1.9000,7700
2006-01-17,1.9000,1.9000,1.6000,1.9000,13900
2006-01-18,1.9000,1.9000,1.9000,1.9000,0
2006-01-19,1.8000,1.9000,1.8000,1.9000,4400
2006-01-20,1.8500,1.9000,1.6000,1.8000,21400
2006-01-23,1.8000,1.8000,1.8000,1.8000,0
2006-01-24,1.7500,1.8000,1.7500,1.8000,1100
2006-01-25,1.7500,1.8000,1.7000,1.8000,2200
2006-01-26,1.8000,1.8000,1.6900,1.7000,8500
2006-01-27,1.7000,1.7000,1.7000,1.7000,0
2006-01-30,1.6000,1.7000,1.5900,1.7000,1500
2006-01-31,1.5500,1.6000,1.5000,1.6000,3100
2006-02-01,1.6000,1.6000,1.6000,1.6000,600
2006-02-02,1.6000,1.6000,1.3400,1.3500,34400
2006-02-03,1.5500,1.5500,1.5000,1.5500,2300
2006-02-06,1.5500,1.7000,1.4000,1.5500,6700
2006-02-07,1.3500,1.3500,1.3500,1.3500,500
2006-02-08,1.5000,1.5000,1.5000,1.5000,1000
2006-02-09,1.5000,1.5500,1.5000,1.5500,700
2006-02-10,1.5000,1.5500,1.5000,1.5500,2900
2006-02-13,1.6500,1.6500,1.6500,1.6500,100
2006-02-14,1.6500,1.8000,1.6000,1.8000,8200
2006-02-15,2.0000,2.2500,2.0000,2.2500,59400
2006-02-16,2.3000,2.3000,2.2500,2.2500,2400
2006-02-17,2.2500,2.2500,2.0500,2.2500,3200
2006-02-21,2.2500,2.4500,2.2500,2.3500,13800
2006-02-22,2.3500,2.3500,2.2500,2.3000,7400
2006-02-23,2.3500,2.3500,2.3000,2.3200,7200
2006-02-24,2.3200,2.4500,2.3200,2.4500,11300
2006-02-27,2.4500,2.4800,2.3000,2.4500,24700
2006-02-28,2.4500,2.5000,2.3000,2.5000,15800
2006-03-01,2.5000,2.5000,2.5000,2.5000,100
2006-03-02,2.5000,2.5000,2.4700,2.5000,2800
2006-03-03,2.5000,2.5000,2.4500,2.5000,3100
2006-03-06,2.5000,2.6000,2.3000,2.5000,8500
2006-03-07,2.6000,2.6000,2.2500,2.6000,4400
2006-03-08,2.6000,2.6000,2.5000,2.6000,1400
2006-03-09,2.6000,2.7000,2.5000,2.6000,10300
2006-03-10,2.6000,2.7000,2.6000,2.7000,2300
2006-03-13,2.7000,2.7000,2.6500,2.7000,5700
2006-03-14,2.5000,2.7000,2.5000,2.7000,3900
2006-03-15,2.6800,2.7000,2.6800,2.7000,1500
2006-03-16,2.6800,2.7000,2.6000,2.7000,4700
2006-03-17,2.7000,2.7000,2.7000,2.7000,100
2006-03-20,2.6500,2.7000,2.5000,2.6800,3300
2006-03-21,2.7000,2.8000,2.6800,2.6800,20000
2006-03-22,2.7500,2.8000,2.7000,2.8000,13200
2006-03-23,2.7500,2.8000,2.6500,2.8000,21000
2006-03-24,2.7800,2.9500,2.7800,2.9000,4300
2006-03-27,2.8800,2.9000,2.7800,2.9000,5200
2006-03-28,2.9000,3.0000,2.8000,3.0000,15700
2006-03-29,3.0000,3.0400,2.8500,2.9800,12200
2006-03-30,2.9800,3.0000,2.9000,2.9500,16700
2006-03-31,2.9000,2.9500,2.6500,2.7900,28500
2006-04-03,2.8000,3.0400,2.7000,3.0400,4700
2006-04-04,3.0200,3.0200,2.8000,3.0200,4500
2006-04-05,3.0000,3.0400,2.8100,2.9800,6900
2006-04-06,3.0000,3.0000,2.8000,2.9800,1300
2006-04-07,3.0000,3.0000,3.0000,3.0000,300
2006-04-10,2.9800,3.0000,2.7500,2.9800,11100
2006-04-11,2.9000,3.0400,2.8500,2.9800,10400
2006-04-12,2.9800,2.9800,2.8500,2.9800,2400
2006-04-13,3.0000,3.0000,2.8500,2.9800,2300
2006-04-17,2.5000,3.0000,2.5000,2.9700,5300
2006-04-19,2.5000,2.8000,2.5000,2.8000,1600
2006-04-20,2.5000,2.8000,2.4500,2.8000,3000
2006-04-21,2.8000,2.8000,2.8000,2.8000,0
