date,open,high,low,close,volume
2014-10-23,25.0900,25.2700,25.0900,25.2500,7401
2014-10-24,25.1400,25.1900,25.1400,25.1900,15250
2014-10-27,25.0280,25.0280,25.0280,25.0280,340
2014-10-28,25.4400,25.5100,25.4400,25.5100,3800
2014-10-29,25.6600,25.6700,25.6600,25.6700,13640
2014-10-30,25.3900,25.3900,25.3900,25.3900,140
2014-10-31,25.5000,25.7500,25.5000,25.7500,10100
2014-11-03,26.0500,26.0500,26.0500,26.0500,213
2014-11-04,25.5000,25.5000,25.5000,25.5000,2500
2014-11-05,25.6400,25.6400,25.6400,25.6400,300
2014-11-06,25.5600,25.5600,25.5600,25.5600,153
2014-11-07,25.4600,25.4600,25.4600,25.4600,100
2014-11-10,25.4600,25.4600,25.4600,25.4600,0
2014-11-11,25.7599,25.7599,25.7599,25.7599,200
2014-11-12,25.2500,25.2500,25.2500,25.2500,1000
2014-11-13,25.2500,25.2500,25.2500,25.2500,0
2014-11-14,25.2500,25.2500,25.2500,25.2500,0
2014-11-17,25.2500,25.2500,25.2500,25.2500,5
2014-11-18,26.5800,26.5800,26.0010,26.1900,2247
2014-11-19,26.2000,26.2000,26.2000,26.2000,235
2014-11-20,26.2000,26.2000,26.2000,26.2000,0
2014-11-21,26.5400,26.5403,26.4560,26.4899,1015
2014-11-24,27.3400,27.3400,26.8100,26.8500,3514
2014-11-25,27.1000,27.1000,27.1000,27.1000,200
2014-11-26,27.2601,27.2920,27.2601,27.2920,400
2014-11-28,27.3300,27.3300,27.3300,27.3300,100
2014-12-01,28.0100,28.0100,27.3700,27.3700,310
2014-12-02,27.1490,27.1490,27.1490,27.1490,100
2014-12-03,27.0799,27.0799,27.0799,27.0799,440
2014-12-04,27.0250,27.0250,26.9500,26.9500,261
2014-12-05,29.0000,29.0000,27.2599,27.2599,343
2014-12-08,27.1000,27.1000,27.1000,27.1000,100
2014-12-09,26.8000,26.8000,26.8000,26.8000,240
2014-12-10,26.8400,26.8400,26.6645,26.6645,1101
2014-12-11,26.7100,26.7100,26.7100,26.7100,100
2014-12-12,26.4100,26.4100,26.4100,26.4100,174
2014-12-15,24.4000,25.6592,24.4000,25.6200,470
2014-12-16,25.8701,26.2400,25.8701,26.2400,700
2014-12-17,26.2500,26.2500,26.1000,26.1000,645
2014-12-18,26.5000,26.5000,26.5000,26.5000,1110
2014-12-19,26.4500,26.4500,26.4500,26.4500,120
2014-12-22,26.5900,26.6079,26.5900,26.6079,300
2014-12-23,26.6099,26.6200,26.6099,26.6200,379
2014-12-24,26.7080,26.7080,26.6642,26.6642,200
2014-12-26,26.7500,26.7500,26.6000,26.6000,522
2014-12-29,26.4802,26.5500,26.4802,26.5499,1178
2014-12-30,26.1633,26.1633,26.1633,26.1633,132
2014-12-31,26.1633,26.1633,26.1633,26.1633,0
2015-01-02,26.1633,26.1633,26.1633,26.1633,0
2015-01-05,25.8500,25.8500,24.8800,24.8800,2700
2015-01-06,24.8800,24.8800,24.8800,24.8800,0
2015-01-07,24.8800,24.8800,24.8800,24.8800,4
2015-01-08,25.4399,25.5800,25.4399,25.5800,1220
2015-01-09,25.5800,25.5800,25.5800,25.5800,0
2015-01-12,26.0000,26.0000,25.2900,25.4500,1865
2015-01-13,25.8204,25.8420,25.5300,25.5300,1804
2015-01-14,25.5300,25.5300,25.5300,25.5300,0
2015-01-15,25.9550,25.9550,25.7469,25.7469,394
2015-01-16,25.8640,26.1200,25.8640,26.1200,1474
2015-01-20,26.2100,26.2100,26.1688,26.1772,914
2015-01-21,26.2000,26.2000,26.0920,26.0920,590
2015-01-22,26.2099,26.4400,26.1780,26.3200,93615
2015-01-23,26.8700,26.8700,26.2300,26.2300,106060
2015-01-26,26.4600,26.9100,26.4600,26.8500,14855
2015-01-27,26.6600,26.7690,26.5790,26.6690,11493
2015-01-28,26.6790,26.8250,26.5000,26.5000,8039
2015-01-29,26.4800,27.0000,26.4800,26.9734,35342
2015-01-30,26.9800,26.9800,26.4067,26.5000,19778
2015-02-02,27.0600,27.1500,26.8501,27.1300,11655
2015-02-03,27.8900,27.8900,27.3901,27.6675,52282
2015-02-04,27.6700,27.6700,27.0300,27.1400,80800
2015-02-05,27.2000,27.7970,27.2000,27.5600,7345
2015-02-06,27.3600,27.3600,26.7316,26.8300,30567
2015-02-09,26.3200,26.6000,26.3200,26.5499,20286
2015-02-10,26.7690,26.8072,26.5600,26.8000,7566
2015-02-11,26.6999,26.7580,26.6528,26.6528,1152
2015-02-12,26.9900,27.5300,26.9800,27.5300,15152
2015-02-13,28.0000,28.0000,27.4301,27.5499,56218
2015-02-17,27.8800,27.8800,27.2000,27.3726,57083
2015-02-18,27.3899,27.4203,27.2900,27.4203,1736
2015-02-19,27.3380,27.5700,27.3380,27.4600,6431
2015-02-20,27.2700,27.9437,27.2700,27.8600,22350
2015-02-23,28.0300,28.0300,27.6605,27.7400,17966
2015-02-24,27.8600,28.0200,27.6700,27.9720,32796
2015-02-25,27.9800,28.0300,27.8500,28.0300,20139
2015-02-26,27.9000,27.9500,27.8100,27.8420,11630
2015-02-27,28.0100,28.1100,27.7960,28.0210,15808
2015-03-02,28.5600,28.5600,27.7840,28.1300,37710
2015-03-03,28.5900,28.5900,27.7399,27.7999,9412
2015-03-04,27.5800,27.8300,27.4407,27.8000,8676
2015-03-05,27.9183,27.9500,27.7701,27.8100,15893
2015-03-06,28.0400,28.0400,27.4000,27.4900,12270
2015-03-09,28.1900,28.1900,27.5401,27.7100,10505
2015-03-10,27.6900,27.6900,27.0400,27.1100,12726
2015-03-11,27.4200,27.5400,27.2400,27.4100,25666
2015-03-12,28.0400,28.0400,27.4500,27.7400,32257
2015-03-13,27.8000,27.8000,27.2000,27.5500,41407
2015-03-16,27.8200,28.4500,27.8200,28.4000,100822
2015-03-17,28.4700,28.4700,27.8510,27.9401,112012
2015-03-18,27.9300,28.3501,27.7600,28.3500,48465
2015-03-19,28.3700,28.3700,27.6699,27.7800,31578
2015-03-20,28.2700,28.7300,28.2700,28.6500,57110
2015-03-23,28.6500,28.6500,28.4201,28.6300,20804
2015-03-24,28.5000,28.8300,28.5000,28.7400,7338
2015-03-25,29.1800,29.1800,28.5300,28.5900,37952
2015-03-26,28.5000,28.5000,28.0700,28.4100,22920
2015-03-27,28.4100,28.4899,28.2294,28.4500,35891
2015-03-30,28.9300,28.9300,28.4800,28.7599,13695
2015-03-31,28.3300,28.4001,28.1000,28.2200,30092
2015-04-01,28.4100,28.4900,28.2200,28.4600,63945
2015-04-02,28.6400,29.2000,28.5601,28.6499,68680
2015-04-06,28.6300,28.9700,28.6300,28.9000,39581
2015-04-07,29.1500,29.1500,28.6730,28.6730,23244
2015-04-08,28.9000,28.9000,28.4500,28.6181,15724
2015-04-09,28.8700,28.8700,28.4600,28.5450,18303
2015-04-10,28.5200,28.8600,28.5200,28.8600,27666
2015-04-13,28.9600,28.9600,28.5001,28.5700,25876
2015-04-14,28.8400,28.8400,28.6140,28.6900,14897
2015-04-15,28.8300,28.8300,28.5100,28.6900,20867
2015-04-16,28.6600,28.6600,28.1500,28.3001,17950
2015-04-17,28.0500,28.0500,27.5330,27.7212,30423
2015-04-20,27.7200,28.1500,27.7200,27.9800,9889
2015-04-21,28.1000,28.2600,28.1000,28.2200,20330
2015-04-22,28.1400,28.1400,27.8000,28.0800,13643
2015-04-23,27.8700,28.0500,27.6000,27.9200,274716
2015-04-24,27.9488,28.1882,27.8500,28.1100,26323
2015-04-27,28.3100,28.8120,28.3100,28.6000,33060
2015-04-28,28.7400,28.7400,28.2800,28.3300,256485
2015-04-29,28.0700,28.1800,27.8000,27.9000,24197
2015-04-30,28.1444,28.1800,27.9010,27.9010,10649
2015-05-01,28.2900,28.3600,28.1300,28.2400,9470
2015-05-04,28.5800,28.5800,28.3400,28.3400,18364
2015-05-05,28.4200,28.4200,27.7305,27.7400,259724
2015-05-06,28.0300,28.3098,27.9860,28.1800,4954
2015-05-07,28.3400,28.3400,28.0200,28.0648,11366
2015-05-08,28.5200,28.8299,28.5200,28.7400,12761
2015-05-11,28.6600,28.6600,28.3259,28.3259,4615
2015-05-12,28.1400,28.2500,28.0901,28.1940,5140
2015-05-13,28.4400,28.4400,28.0500,28.0900,3056
2015-05-14,28.3900,28.8199,28.3900,28.7900,6089
2015-05-15,28.6700,28.7300,28.4100,28.7300,10402
2015-05-18,28.5000,28.8100,28.5000,28.7499,12437
2015-05-19,28.9600,28.9600,28.7200,28.8200,10218
2015-05-20,28.9300,28.9300,28.6105,28.7700,5358
2015-05-21,28.8800,28.8800,28.7880,28.8100,1203
2015-05-22,28.3800,28.5499,28.3735,28.4539,6467
2015-05-26,28.1200,28.1200,27.5100,27.5101,41323
2015-05-27,27.5600,28.0500,27.5100,28.0093,13758
2015-05-28,27.8700,27.8900,27.7499,27.8301,4916
2015-05-29,27.8000,27.8000,27.3300,27.3900,6753
2015-06-01,27.5300,27.5300,27.0300,27.3468,4778
2015-06-02,27.4700,27.7499,27.4030,27.6000,9898
2015-06-03,28.0800,28.2110,27.8900,28.0700,14484
2015-06-04,28.0400,28.0400,27.5900,27.6900,30633
2015-06-05,27.5700,27.5700,27.0210,27.1466,18638
2015-06-08,27.1900,27.2540,27.0524,27.0750,5533
2015-06-09,26.7500,27.0700,26.7300,26.9900,12606
2015-06-10,27.3300,27.9000,27.3300,27.8500,6905
2015-06-11,28.1500,28.1500,27.7001,27.8000,31568
2015-06-12,27.5800,27.5800,27.2000,27.5399,3238
2015-06-15,27.4700,27.4700,26.7700,27.1100,22108
2015-06-16,27.1800,27.1800,26.9100,27.0900,18175
2015-06-17,27.3500,27.3500,26.7501,26.9900,4335
2015-06-18,27.1500,28.0150,27.1500,27.6001,10325
2015-06-19,27.6700,27.6700,27.1820,27.3100,19048
2015-06-22,28.4300,28.5280,28.1600,28.3599,16657
2015-06-23,28.8200,28.8200,28.1470,28.1470,17068
2015-06-24,27.9600,27.9600,27.5556,27.5556,12679
2015-06-25,27.5800,27.7640,27.5620,27.6720,256730
2015-06-26,28.0300,28.0300,27.6700,27.7500,256210
2015-06-29,26.9000,27.1400,26.3900,26.6900,274734
2015-06-30,26.8300,26.8993,26.3700,26.4809,31694
2015-07-01,27.1900,27.1900,26.5701,26.6000,10449
