date,open,high,low,close,volume
1999-11-01,71.6300,72.0000,71.2500,71.6300,27100
1999-11-02,72.0000,72.5000,71.0000,72.0000,395600
1999-11-03,72.2500,73.0000,72.0000,72.2500,20200
1999-11-04,72.1200,73.6200,71.7500,72.1200,19600
1999-11-05,72.2500,73.0000,72.1200,72.2500,49300
1999-11-08,71.5000,72.8700,71.1300,71.5000,13700
1999-11-09,72.0000,73.0000,71.7500,72.0000,19000
1999-11-10,73.0000,73.5000,72.7500,73.0000,18400
1999-11-11,74.0000,74.3800,73.2500,74.0000,3200
1999-11-12,73.1200,73.7500,72.5000,73.1200,7800
1999-11-15,72.1200,73.1200,71.5000,72.1200,63500
1999-11-16,72.3700,73.5000,72.0000,72.3700,26700
1999-11-17,73.1200,73.8700,72.3700,73.1200,270700
1999-11-18,71.8800,72.5000,71.0000,71.8800,19900
1999-11-19,71.2500,72.0000,70.5000,71.2500,11000
1999-11-22,68.2500,69.0000,68.0000,68.2500,25500
1999-11-23,69.8800,70.5000,69.3700,69.8800,7800
1999-11-24,70.0000,73.0000,68.2500,70.0000,18400
1999-11-26,67.1200,67.6200,66.3700,67.1200,2900
1999-11-29,66.0000,66.1200,65.2500,66.0000,10400
1999-11-30,65.6200,65.7500,65.1300,65.6200,30800
1999-12-01,66.3700,72.8700,66.0000,66.3700,6500
1999-12-02,67.3800,67.7500,66.7500,67.3800,15100
1999-12-03,69.6300,71.1300,68.3700,69.6300,12200
1999-12-06,70.5000,71.0000,70.0000,70.5000,63700
1999-12-07,70.5000,71.5000,69.5000,70.5000,50800
1999-12-08,70.6200,70.6200,69.2500,70.6200,7300
1999-12-09,70.0000,70.5000,69.3700,70.0000,10300
1999-12-10,70.7500,71.5000,70.2500,70.7500,12800
1999-12-13,71.7500,72.2500,71.0000,71.7500,6000
1999-12-14,71.5000,71.8800,71.0000,71.5000,9400
1999-12-15,70.5000,70.6200,70.0000,70.5000,13000
1999-12-16,71.5000,72.7500,70.7500,71.5000,13700
1999-12-17,71.0000,71.3800,70.5000,71.0000,4700
1999-12-20,69.8800,70.3700,69.2500,69.8800,12500
1999-12-21,70.0000,70.7500,68.7500,70.0000,3000
1999-12-22,71.2500,71.7500,70.5000,71.2500,14300
1999-12-23,82.7500,83.2500,77.7500,82.7500,61000
1999-12-27,88.7500,89.5000,85.5000,88.7500,49300
1999-12-28,87.0000,88.4100,84.2500,87.0000,38800
1999-12-29,84.7500,85.2500,84.0000,84.7500,24400
1999-12-30,85.0000,85.0000,83.7500,85.0000,19500
1999-12-31,85.0000,86.0000,84.0000,85.0000,9100
2000-01-03,81.5000,86.0000,80.2500,81.5000,32200
2000-01-04,80.3700,81.7500,80.0000,80.3700,24900
2000-01-05,82.3700,84.2500,82.0000,82.3700,21700
2000-01-06,84.2500,86.0000,84.2500,84.2500,20100
2000-01-07,88.0000,88.0000,87.0000,88.0000,27400
2000-01-10,86.0000,86.5000,84.2500,86.0000,80700
2000-01-11,85.2500,86.5000,85.0000,85.2500,110500
2000-01-12,83.2500,84.0000,82.5000,83.2500,17700
2000-01-13,85.2500,86.2500,85.2500,85.2500,11000
2000-01-14,85.2500,86.7500,84.8800,85.2500,14300
2000-01-18,86.5000,86.8700,85.3700,86.5000,41200
2000-01-19,85.5000,86.7500,85.2500,85.5000,25200
2000-01-20,85.5000,86.0000,85.1300,85.5000,13700
2000-01-21,82.7500,84.5000,82.7500,82.7500,23400
2000-01-24,81.5000,82.5000,80.2500,81.5000,15900
2000-01-25,79.2500,80.0000,78.0000,79.2500,140500
2000-01-26,79.3700,80.7500,78.7500,79.3700,24300
2000-01-27,77.8800,78.7500,77.3700,77.8800,42300
2000-01-28,76.7500,79.0200,76.2500,76.7500,257900
2000-01-31,75.5000,79.5000,74.2500,75.5000,34200
2000-02-01,77.2500,77.5000,75.5000,77.2500,42400
2000-02-02,80.0000,81.1200,78.5000,80.0000,13700
2000-02-03,81.7500,82.5000,81.2500,81.7500,16100
2000-02-04,81.7500,81.7500,80.0000,81.7500,5400
2000-02-07,80.7500,81.1200,79.5000,80.7500,40500
2000-02-08,81.3800,82.1200,80.2500,81.3800,48200
2000-02-09,82.8800,84.0000,81.6200,82.8800,53100
2000-02-10,84.8800,85.3700,80.1200,84.8800,54300
2000-02-11,84.0000,85.0000,83.0000,84.0000,38300
2000-02-14,83.2500,83.5000,80.5000,83.2500,20100
2000-02-15,80.5000,81.8700,79.0000,80.5000,61100
2000-02-16,79.5000,80.6200,79.5000,79.5000,17300
2000-02-17,78.7500,80.0000,78.6200,78.7500,63900
2000-02-18,79.0000,80.1200,78.7500,79.0000,16900
2000-02-22,88.7500,90.0000,88.0000,88.7500,135400
2000-02-23,89.7500,90.5000,89.0000,89.7500,10100
2000-02-24,87.0000,87.2500,86.2500,87.0000,37000
2000-02-25,87.1200,87.8700,86.6200,87.1200,22000
2000-02-28,86.0000,86.0000,84.0000,86.0000,80100
2000-02-29,84.2500,85.0000,84.0000,84.2500,30800
2000-03-01,84.0000,84.5000,82.2500,84.0000,113900
2000-03-02,85.0000,85.2500,83.1200,85.0000,25000
2000-03-03,84.7500,85.8700,83.2500,84.7500,43400
2000-03-06,83.2500,85.0000,83.0000,83.2500,13000
2000-03-07,91.5000,91.5000,87.7500,91.5000,21000
2000-03-08,89.0000,89.5000,86.7500,89.0000,14400
2000-03-09,78.3800,81.0000,77.7500,78.3800,53300
2000-03-10,73.0000,74.3800,71.1300,73.0000,24900
2000-03-13,69.7500,79.2500,69.0000,69.7500,61700
2000-03-14,71.0000,72.5000,69.8800,71.0000,436900
2000-03-15,71.5000,73.0000,69.5000,71.5000,26900
2000-03-16,71.2500,72.0000,70.3700,71.2500,22000
2000-03-17,72.3700,73.5000,72.0000,72.3700,23600
2000-03-20,71.2500,71.3800,60.7500,71.2500,82200
2000-03-21,69.7500,71.0000,69.0000,69.7500,123500
2000-03-22,69.5000,70.2500,67.5000,69.5000,22800
2000-03-23,69.0200,73.0000,67.0000,69.0200,22200
2000-03-24,71.1300,73.0000,69.2500,71.1300,20300
2000-03-27,69.2500,71.0000,68.0000,69.2500,33300
2000-03-28,69.2500,70.5000,69.2500,69.2500,35900
2000-03-29,68.5000,71.0000,67.5000,68.5000,48400
2000-03-30,67.8700,70.0000,66.0000,67.8700,18100
2000-03-31,65.7500,71.0000,65.7500,65.7500,13400
2000-04-03,71.1300,71.5000,69.0000,71.1300,21900
2000-04-04,75.0000,75.0000,72.0000,75.0000,12300
2000-04-05,76.8800,78.0000,69.5000,76.8800,27900
2000-04-06,74.2500,75.3700,73.2500,74.2500,8800
2000-04-07,74.5000,76.0000,74.2500,74.5000,17500
2000-04-10,74.5000,74.5000,73.2500,74.5000,65600
2000-04-11,74.8700,75.2500,73.2500,74.8700,27000
2000-04-12,75.0000,75.0000,73.1200,75.0000,39100
2000-04-13,73.3700,75.0000,73.1200,73.3700,23300
2000-04-14,73.3700,75.5000,72.7500,73.3700,21600
2000-04-17,70.7500,71.0000,69.0000,70.7500,13600
2000-04-18,69.3700,71.0000,68.5000,69.3700,19400
2000-04-19,68.2500,70.0000,68.2500,68.2500,9700
2000-04-20,68.5000,70.5000,68.0000,68.5000,9400
2000-04-24,69.2500,70.0000,68.2500,69.2500,11300
2000-04-25,70.0000,70.0000,61.0000,70.0000,6800
2000-04-26,68.3700,68.7500,67.1200,68.3700,7300
2000-04-27,66.5000,67.1200,66.2500,66.5000,4200
2000-04-28,67.6200,67.7500,66.7500,67.6200,6900
2000-05-01,68.2500,71.2500,66.7500,68.2500,57600
2000-05-02,68.0000,68.7500,67.3800,68.0000,163900
2000-05-03,66.2500,66.7500,65.1300,66.2500,45600
2000-05-04,67.8700,68.5000,67.0000,67.8700,31500
2000-05-05,68.0000,69.0000,67.7500,68.0000,15300
2000-05-08,68.0000,69.0000,68.0000,68.0000,11100
2000-05-09,68.0000,70.7500,68.0000,68.0000,10000
2000-05-10,71.1300,71.6300,70.3700,71.1300,14300
2000-05-11,71.6300,72.5000,71.1300,71.6300,5700
2000-05-12,72.2500,73.0000,71.5000,72.2500,4200
2000-05-15,73.0000,74.2500,72.0000,73.0000,5600
2000-05-16,75.1200,75.1200,74.1200,75.1200,21100
2000-05-17,73.8700,74.0000,72.6200,73.8700,8300
2000-05-18,73.3700,74.0000,73.0000,73.3700,3400
2000-05-19,72.2500,72.7500,70.5000,72.2500,11100
2000-05-22,72.8700,73.2500,72.1200,72.8700,67700
2000-05-23,74.3800,74.3800,73.5000,74.3800,10800
2000-05-24,73.5000,74.0000,72.7500,73.5000,17500
2000-05-25,73.0000,73.4400,72.5000,73.0000,47200
2000-05-26,72.3700,72.5000,70.6200,72.3700,16600
2000-05-30,74.8700,76.2500,71.5000,74.8700,6300
2000-05-31,77.5000,77.6200,75.1200,77.5000,6800
2000-06-01,79.3700,80.0000,78.2500,79.3700,3100
2000-06-02,82.0000,82.0000,79.5000,82.0000,6600
2000-06-05,81.0000,82.0000,80.2500,81.0000,10100
2000-06-06,83.0000,83.0000,81.1200,83.0000,4900
2000-06-07,83.0000,83.0000,81.7500,83.0000,4900
2000-06-08,82.3700,84.3800,82.3700,82.3700,2600
2000-06-09,83.1200,83.5000,82.0000,83.1200,76700
2000-06-12,82.7500,83.5000,82.5000,82.7500,31100
2000-06-13,84.2500,85.2500,84.2500,84.2500,10000
2000-06-14,87.1200,87.1200,85.7500,87.1200,7000
2000-06-15,84.5600,85.7500,84.1300,84.5600,12900
2000-06-16,84.0000,86.0000,83.3700,84.0000,10400
2000-06-19,83.2500,84.0000,82.3700,83.2500,5700
2000-06-20,81.5000,82.5000,81.0000,81.5000,6100
2000-06-21,79.3700,80.3700,78.5000,79.3700,21500
2000-06-22,78.6200,79.3700,77.7500,78.6200,9700
2000-06-23,78.1300,78.8700,77.6200,78.1300,8000
2000-06-26,79.5000,80.2500,79.0000,79.5000,4900
2000-06-27,80.5000,81.0000,80.0000,80.5000,4300
2000-06-28,82.3700,83.0000,82.0000,82.3700,4300
2000-06-29,83.8800,84.0000,82.7500,83.8800,8500
2000-06-30,82.5600,83.3700,81.7500,82.5600,6400
2000-07-03,84.6200,85.0000,83.0000,84.6200,20600
2000-07-05,85.7500,86.0000,84.3800,85.7500,36500
2000-07-06,84.3800,85.2500,83.5000,84.3800,32600
2000-07-07,85.0000,86.0000,83.8800,85.0000,27500
2000-07-10,87.0000,87.5000,86.1200,87.0000,8200
2000-07-11,87.0000,87.3700,86.5000,87.0000,5300
2000-07-12,84.2500,86.2500,83.6300,84.2500,4200
2000-07-13,83.5000,85.0000,83.5000,83.5000,16100
2000-07-14,87.2500,88.2500,87.0000,87.2500,9900
2000-07-17,91.1300,91.2500,89.5000,91.1300,19100
2000-07-18,90.0000,92.5000,90.0000,90.0000,15100
2000-07-19,88.5000,89.0000,88.1200,88.5000,16200
2000-07-20,91.2500,91.6200,89.2500,91.2500,10300
2000-07-21,91.5000,92.3000,91.1300,91.5000,6800
2000-07-24,92.2500,93.3700,91.5000,92.2500,40100
2000-07-25,94.0000,94.2500,93.0000,94.0000,16800
2000-07-26,91.0000,92.7500,89.8800,91.0000,34000
2000-07-27,90.7500,91.8700,90.0000,90.7500,33500
2000-07-28,88.8700,91.0000,88.0000,88.8700,18800
2000-07-31,89.2500,90.8800,88.2500,89.2500,14900
2000-08-01,87.2500,88.7500,86.3700,87.2500,11400
2000-08-02,90.2500,90.5000,89.0000,90.2500,6100
2000-08-03,87.0000,87.7500,85.0000,87.0000,10800
2000-08-04,85.5000,86.7500,85.5000,85.5000,7100
2000-08-07,88.8700,90.0000,87.7500,88.8700,6300
2000-08-08,89.1200,89.8400,88.1200,89.1200,11500
2000-08-09,87.7500,87.8700,86.8700,87.7500,23700
2000-08-10,88.6300,89.7500,88.0000,88.6300,16200
2000-08-11,88.2500,88.2500,87.3700,88.2500,17300
2000-08-14,88.5000,88.5000,87.6200,88.5000,32600
2000-08-15,90.0000,91.0000,89.7500,90.0000,36700
2000-08-16,92.2500,95.0000,92.2500,92.2500,19900
2000-08-17,91.1300,93.7500,90.2500,91.1300,15700
2000-08-18,88.6300,89.6300,88.0000,88.6300,20100
2000-08-21,87.3700,88.3800,86.7500,87.3700,9900
2000-08-22,88.2500,88.5000,86.2500,88.2500,13700
2000-08-23,90.0000,91.5000,89.0000,90.0000,12200
2000-08-24,90.1200,90.5000,89.5000,90.1200,16800
2000-08-25,89.5000,90.2500,88.3800,89.5000,10500
2000-08-28,88.5000,89.5000,88.5000,88.5000,11500
2000-08-29,88.5000,88.8700,88.5000,88.5000,9000
2000-08-30,87.2500,88.1600,86.0000,87.2500,15000
2000-08-31,87.0000,88.3800,86.8700,87.0000,5600
2000-09-01,89.0000,89.6300,88.5000,89.0000,12200
2000-09-05,87.7500,87.7500,86.0000,87.7500,36900
2000-09-06,84.5000,85.0000,83.5000,84.5000,28300
2000-09-07,84.7500,85.1300,83.7500,84.7500,15000
2000-09-08,84.3800,86.0000,84.0000,84.3800,12200
2000-09-11,84.0000,84.6200,83.0000,84.0000,10900
2000-09-12,81.3800,84.5000,80.8700,81.3800,18000
2000-09-13,82.0000,82.5000,81.3800,82.0000,3000
2000-09-14,82.6300,83.3700,82.0000,82.6300,10700
2000-09-15,82.5000,83.0000,81.7500,82.5000,7500
2000-09-18,82.8800,83.0000,82.0000,82.8800,6900
2000-09-19,82.5000,82.5000,81.0000,82.5000,62100
2000-09-20,80.0000,81.6200,80.0000,80.0000,7700
2000-09-21,81.0000,82.5000,80.5000,81.0000,22600
2000-09-22,82.8800,83.2500,82.0000,82.8800,5900
2000-09-25,81.5000,82.5000,81.0000,81.5000,32800
2000-09-26,83.5000,84.5000,82.5000,83.5000,23400
2000-09-27,85.2500,86.0000,84.3800,85.2500,9100
2000-09-28,85.6200,85.7500,84.5000,85.6200,30900
2000-09-29,82.7500,83.7500,82.2500,82.7500,11700
2000-10-02,82.7500,83.5000,82.3700,82.7500,9500
2000-10-03,83.3700,83.3700,82.1200,83.3700,13900
2000-10-04,85.5000,85.5000,83.5000,85.5000,11400
2000-10-05,85.5000,87.2500,85.0000,85.5000,6900
2000-10-06,83.3700,86.0000,83.0000,83.3700,13300
2000-10-09,82.0000,82.7500,81.7500,82.0000,5100
2000-10-10,79.6200,81.0000,79.0000,79.6200,18100
2000-10-11,74.5000,75.5000,73.5000,74.5000,66400
2000-10-12,74.2500,77.0000,73.7500,74.2500,4500
2000-10-13,74.2500,75.1200,73.0000,74.2500,11100
2000-10-16,74.8700,75.0000,74.1200,74.8700,54700
2000-10-17,75.5000,76.2500,74.6200,75.5000,8200
2000-10-18,70.3700,72.5000,70.3700,70.3700,20900
2000-10-19,74.2500,76.0000,73.3700,74.2500,10700
2000-10-20,78.1300,78.6200,76.0000,78.1300,19100
2000-10-23,76.2500,78.8700,76.2500,76.2500,7300
2000-10-24,77.8800,78.6200,77.5000,77.8800,5600
2000-10-25,77.5000,78.0000,76.5000,77.5000,6900
2000-10-26,77.3700,78.0000,73.5000,77.3700,5300
2000-10-27,78.2500,78.5000,77.0000,78.2500,8200
2000-10-30,78.2500,79.7500,77.7500,78.2500,6200
2000-10-31,82.5000,82.7500,81.2500,82.5000,12700
2000-11-01,81.2500,83.5000,80.7500,81.2500,4600
2000-11-02,84.7500,85.7500,83.5200,84.7500,7800
2000-11-03,87.5000,87.5000,85.5000,87.5000,7300
2000-11-06,85.3700,86.0000,84.3800,85.3700,49900
2000-11-07,84.7500,85.0000,83.2500,84.7500,33500
2000-11-08,83.6300,85.2500,83.2500,83.6300,13700
2000-11-09,86.5000,86.5000,85.2500,86.5000,10700
2000-11-10,84.2500,85.6700,84.0000,84.2500,11700
2000-11-13,82.5000,83.5000,82.0000,82.5000,34300
2000-11-14,84.7500,85.7500,83.8800,84.7500,7000
2000-11-15,85.1300,86.0000,84.5000,85.1300,32500
2000-11-16,82.6300,84.0000,82.2500,82.6300,7000
2000-11-17,82.1200,83.2500,81.2500,82.1200,17400
2000-11-20,79.8700,81.5000,79.5000,79.8700,20900
2000-11-21,78.7500,80.1200,78.0000,78.7500,36400
2000-11-22,75.2500,75.7500,74.7500,75.2500,9400
2000-11-24,75.3700,75.5000,74.5000,75.3700,3500
2000-11-27,76.8800,78.0000,76.3700,76.8800,38400
2000-11-28,75.7500,80.0000,74.0000,75.7500,38700
2000-11-29,74.6200,74.7500,73.2500,74.6200,20900
2000-11-30,72.2500,73.5000,72.0000,72.2500,17800
2000-12-01,75.5000,75.7500,74.0000,75.5000,19900
2000-12-04,72.8700,74.5000,71.2500,72.8700,10700
2000-12-05,76.0000,76.7500,75.0000,76.0000,12200
2000-12-06,80.1200,82.0000,79.5000,80.1200,9400
2000-12-07,79.6200,79.7500,78.2500,79.6200,62800
2000-12-08,79.5000,80.6200,79.5000,79.5000,5800
2000-12-11,82.1200,83.0000,81.8700,82.1200,4900
2000-12-12,81.8700,82.0000,81.2500,81.8700,10500
2000-12-13,80.5000,80.7500,79.3700,80.5000,53900
2000-12-14,77.0000,77.6200,76.1200,77.0000,13400
2000-12-15,75.2500,75.8800,74.8700,75.2500,17700
2000-12-18,77.3700,77.5000,76.2500,77.3700,38100
2000-12-19,78.5000,79.3700,75.7500,78.5000,52000
2000-12-20,76.2500,77.0000,75.1200,76.2500,21700
2000-12-21,78.0000,78.7500,77.1600,78.0000,52900
2000-12-22,80.5000,80.5000,79.0000,80.5000,19200
2000-12-26,80.1200,81.1200,79.6200,80.1200,11600
2000-12-27,81.5000,82.0000,81.0000,81.5000,3900
2000-12-28,82.0000,83.2500,82.0000,82.0000,8800
2000-12-29,83.8800,84.2500,82.7500,83.8800,9300
2001-01-02,81.6200,83.3700,81.5000,81.6200,22800
2001-01-03,82.5000,84.0000,79.0900,82.5000,131200
2001-01-04,87.3700,88.0000,82.2500,87.3700,155000
2001-01-05,87.1200,87.8700,86.1200,87.1200,34100
2001-01-08,85.7500,86.8700,85.4500,85.7500,98300
2001-01-09,86.3700,88.0000,85.6200,86.3700,45100
2001-01-10,86.3700,86.3700,86.3700,86.3700,0
2001-01-11,89.5000,91.1900,89.5000,89.5000,19600
2001-01-12,89.0000,89.7500,88.5000,89.0000,8700
2001-01-16,88.2500,89.0000,87.5000,88.2500,6300
2001-01-17,91.6200,91.8700,90.5000,91.6200,8400
2001-01-18,94.2500,94.5000,91.2500,94.2500,128200
2001-01-19,92.2500,93.2500,91.7500,92.2500,6400
2001-01-22,93.7500,94.2500,91.8700,93.7500,10000
2001-01-23,94.5000,95.2500,93.7500,94.5000,9900
2001-01-24,94.7500,95.8400,93.6200,94.7500,17400
2001-01-25,94.5000,95.1200,93.1200,94.5000,10900
2001-01-26,92.7500,93.2500,91.0000,92.7500,705900
2001-01-29,96.5000,96.7500,94.5000,96.5000,29700
2001-01-30,96.3700,97.0000,94.5000,96.3700,28200
2001-01-31,98.0000,98.0000,94.5000,98.0000,16000
2001-02-01,92.1200,92.7500,91.5000,92.1200,8500
2001-02-02,90.0000,91.3800,89.3700,90.0000,7200
2001-02-05,90.0000,90.0000,90.0000,90.0000,0
2001-02-06,92.2500,93.0000,91.3800,92.2500,6100
2001-02-07,92.0000,92.7000,91.5900,92.0000,11000
2001-02-08,91.0900,91.7000,91.0000,91.0900,5900
2001-02-09,91.0900,91.0900,91.0900,91.0900,0
2001-02-12,93.2500,93.5000,91.8700,93.2500,184300
2001-02-13,92.5000,93.7500,91.8700,92.5000,11700
2001-02-14,89.5900,90.5000,88.0000,89.5900,5400
2001-02-15,88.7500,89.6300,87.6200,88.7500,5800
2001-02-16,87.5000,88.7000,86.7000,87.5000,13600
2001-02-20,87.5000,89.0000,86.3000,87.5000,40000
2001-02-21,82.0900,84.5000,82.0000,82.0900,23900
