date,open,high,low,close,volume
2007-01-05,24.9290,25.0500,24.8500,25.0200,27800
2007-01-08,35.9400,35.9400,24.8400,24.9800,143500
2007-01-09,24.8000,24.8200,24.6000,24.6600,136700
2007-01-10,24.7000,24.8200,24.5000,24.7300,144200
2007-01-11,24.9000,25.1300,24.8000,25.1000,160000
2007-01-12,25.3000,27.3000,25.3000,27.1000,341400
2007-01-16,27.5000,28.1500,25.9150,26.0000,1685800
2007-01-17,26.0000,26.1500,25.6000,25.8700,719800
2007-01-18,26.2400,26.2700,25.7200,26.0000,1264200
2007-01-19,25.9500,25.9999,25.7500,25.8500,349300
2007-01-22,25.8100,26.1200,25.7501,26.1000,296700
2007-01-23,26.2500,26.5800,26.0500,26.5700,542900
2007-01-24,26.3500,26.3500,25.9000,26.0500,603800
2007-01-25,26.0100,26.1500,25.7700,25.9300,226100
2007-01-26,25.9500,26.0500,25.7600,26.0401,189700
2007-01-29,25.9500,25.9500,25.5800,25.6000,229300
2007-01-30,25.5100,25.9200,25.4000,25.9200,159800
2007-01-31,25.9800,26.0800,25.8000,25.9000,274400
2007-02-01,25.9600,26.0600,25.7700,25.8000,110600
2007-02-02,25.7500,26.0300,25.6700,26.0300,109500
2007-02-05,26.0500,26.1399,25.9200,26.0800,348700
2007-02-06,26.0400,26.0400,25.5901,25.7000,281200
2007-02-07,25.6000,25.7300,25.5400,25.6600,132200
2007-02-08,25.6600,25.9200,25.5600,25.8800,65200
2007-02-09,26.0000,26.2500,25.7500,26.1600,174200
2007-02-12,26.1900,26.2200,25.8600,25.9400,161900
2007-02-13,25.9900,26.2800,25.9001,26.1700,283800
2007-02-14,26.1900,26.2200,25.8600,26.0000,406100
2007-02-15,26.1000,26.3600,26.1000,26.3200,176600
2007-02-16,26.2200,26.7800,26.2200,26.7400,226300
2007-02-20,26.7400,26.7500,26.5000,26.6600,299800
2007-02-21,26.5600,27.0500,26.4500,26.9600,269700
2007-02-22,27.2000,27.6600,27.1250,27.5000,788100
2007-02-23,27.4000,27.4500,27.1000,27.1900,698100
2007-02-26,27.5000,27.5400,27.1500,27.1600,231900
2007-02-27,27.0200,27.0400,26.3000,26.5300,573900
2007-02-28,26.6900,27.0000,26.4800,27.0000,196200
2007-03-01,26.7400,26.7700,26.2300,26.6400,167400
2007-03-02,26.4100,26.7800,26.3900,26.3900,121900
2007-03-05,26.0600,26.3400,25.7000,26.3399,259300
2007-03-06,26.5000,26.5300,26.1600,26.2000,127400
2007-03-07,26.2500,26.5699,26.1500,26.4400,175400
2007-03-08,26.5400,26.6500,26.3200,26.4200,109600
2007-03-09,26.4400,26.4900,26.0800,26.3100,97000
2007-03-12,26.3400,26.3420,26.0000,26.1300,91700
2007-03-13,26.1800,26.2500,25.8701,25.8900,111900
2007-03-14,25.7000,25.9800,25.5300,25.9800,172900
2007-03-15,25.9700,26.0500,25.5800,25.6000,131400
2007-03-16,25.5300,26.0900,25.5000,25.9200,83000
2007-03-19,25.8800,26.1200,25.7000,25.9900,96500
2007-03-20,25.9000,26.2000,25.8800,26.1800,95100
2007-03-21,26.2900,26.3400,26.1600,26.3200,148100
2007-03-22,26.2100,26.3900,26.1400,26.3500,103400
2007-03-23,26.3900,26.4300,26.1700,26.2800,99700
2007-03-26,26.0100,26.1500,25.6401,25.8000,194700
2007-03-27,25.8900,25.9499,25.7800,25.9200,100800
2007-03-28,26.0400,26.1100,25.8000,26.0700,149600
2007-03-29,26.0400,26.1400,25.7600,26.0900,214600
2007-03-30,26.0300,26.0800,24.9000,25.1900,692200
2007-04-02,24.8800,25.2200,24.5300,25.0700,291800
2007-04-03,25.1700,25.2200,24.7200,24.8800,506800
2007-04-04,25.0500,25.3000,24.8700,25.1800,270800
2007-04-05,25.2000,25.5400,25.1200,25.4300,171800
2007-04-09,26.0100,26.1000,25.3500,25.4600,373300
2007-04-10,25.5100,25.7099,25.2700,25.5500,211000
2007-04-11,25.7800,25.7900,25.4000,25.5700,153500
2007-04-12,25.4900,25.5500,25.1000,25.4900,226700
2007-04-13,25.5500,25.9700,25.4900,25.8200,208000
2007-04-16,25.7100,25.8500,25.5000,25.6100,221800
2007-04-17,25.6500,25.8100,25.2400,25.2700,169600
2007-04-18,25.3400,25.3400,25.0300,25.1200,178100
2007-04-19,25.1000,25.4300,25.1000,25.4300,123400
2007-04-20,25.4200,25.5000,25.2000,25.5000,107000
2007-04-23,25.2500,25.2900,24.9600,25.0000,323000
2007-04-24,24.8700,25.0299,24.8300,24.9500,130800
2007-04-25,25.0800,25.9600,25.0000,25.5500,203100
2007-04-26,25.8500,25.9000,25.3199,25.4400,185600
2007-04-27,25.3700,25.3700,25.0000,25.1100,326800
2007-04-30,24.9200,25.1900,24.8200,24.8500,281700
2007-05-01,24.9400,25.3700,24.7000,25.2600,151600
2007-05-02,25.4000,25.4200,25.0600,25.1200,266300
2007-05-03,25.2250,25.6600,25.1500,25.4400,2226200
2007-05-04,25.5000,25.6100,25.3000,25.6100,402000
2007-05-07,25.6600,25.6800,25.1500,25.3200,160700
2007-05-08,24.9400,25.0400,24.7800,24.8300,334500
2007-05-09,24.7800,24.9600,24.7800,24.9000,310300
2007-05-10,24.8000,25.0000,24.6000,24.7200,163100
2007-05-11,24.6200,25.4000,24.6200,25.3301,281300
2007-05-14,25.4700,25.5100,25.2600,25.2600,170200
2007-05-15,25.0000,25.4200,24.8800,25.3400,313300
2007-05-16,25.3700,25.5600,25.2400,25.3000,190400
2007-05-17,25.3000,25.4100,25.1100,25.1300,255000
2007-05-18,25.1600,25.2500,24.8100,24.8800,144200
2007-05-21,25.0500,25.4000,25.0100,25.3400,289700
2007-05-22,25.1000,25.3000,24.9000,24.9900,164200
2007-05-23,25.2500,25.2500,25.0400,25.1000,110400
2007-05-24,25.3100,25.5600,25.1800,25.5500,178200
2007-05-25,25.7900,26.1200,25.7000,26.0000,208000
2007-05-29,25.8300,25.8900,25.5000,25.5800,158800
2007-05-30,25.6900,26.2400,25.5100,26.2300,235400
2007-05-31,26.3600,26.5000,26.0000,26.3500,278900
2007-06-01,26.2600,26.6200,26.1100,26.3900,290800
2007-06-04,26.3900,26.4900,26.1200,26.2300,193800
2007-06-05,26.3000,26.5200,26.1400,26.3100,154900
2007-06-06,26.4100,26.4100,25.9600,26.1100,131700
2007-06-07,26.0700,26.5700,25.9700,26.5600,163900
2007-06-08,26.3700,26.5000,26.0300,26.4300,84700
2007-06-11,26.5800,27.1500,26.5200,26.8600,265500
2007-06-12,26.9100,27.1000,26.7200,26.9700,277000
2007-06-13,26.7300,27.3000,26.6100,27.2800,394200
2007-06-14,27.3000,27.6200,27.1500,27.5000,446300
2007-06-15,27.4780,27.8700,27.4300,27.8700,473800
2007-06-18,28.1500,28.3500,27.6100,28.1500,948800
2007-06-19,28.1000,28.1000,27.0500,27.1200,836900
2007-06-20,27.1000,27.7400,27.0000,27.4900,738600
2007-06-21,27.5800,27.8500,27.0400,27.1700,352900
2007-06-22,27.1500,27.2600,26.3400,26.6900,535100
2007-06-25,26.7000,26.7000,26.2000,26.3000,258000
2007-06-26,26.4600,26.8100,26.4200,26.6700,308400
2007-06-27,26.6500,26.7100,25.9700,26.2400,303400
2007-06-28,26.7000,26.7000,26.2000,26.3100,466100
2007-06-29,26.9000,27.1000,26.2000,26.4000,496600
2007-07-02,26.8100,27.3000,25.8500,26.3100,270000
2007-07-03,26.2700,26.3900,25.9300,25.9700,213300
2007-07-05,26.3400,26.4600,26.1800,26.3700,262600
2007-07-06,26.4600,26.7300,26.3400,26.7100,343700
2007-07-09,26.5000,26.7200,26.4000,26.6400,276700
2007-07-10,26.7300,27.2400,26.5501,27.1600,425200
2007-07-11,27.0900,27.2000,27.0000,27.1800,277900
2007-07-12,27.2900,27.5400,27.0300,27.4500,278500
2007-07-13,27.5464,27.6800,27.3300,27.5700,190900
2007-07-16,27.0800,27.2100,26.5000,26.6400,532600
2007-07-17,26.7000,26.7900,25.9600,26.1000,510600
2007-07-18,26.3500,26.5700,26.2700,26.5699,197000
2007-07-19,26.6000,26.7300,26.2700,26.4500,307500
2007-07-20,26.5400,26.7300,26.2600,26.3800,229100
2007-07-23,26.2300,26.2600,25.5800,25.7000,344100
2007-07-24,26.2100,26.2100,25.8400,25.9300,382500
2007-07-25,26.2500,26.2500,25.9000,26.0300,145700
2007-07-26,26.3100,26.4300,26.0300,26.1200,241900
2007-07-27,26.3500,26.3500,25.9101,26.1500,167500
2007-07-30,26.2600,26.3000,25.7500,25.8300,261100
2007-07-31,26.2600,26.2600,26.0000,26.2100,110600
2007-08-01,26.1300,26.2600,25.8100,25.9100,91300
2007-08-02,26.2900,26.2900,26.0400,26.1500,100500
2007-08-03,26.1900,26.2900,26.0310,26.0310,167700
2007-08-06,25.8600,26.0900,25.6100,26.0900,183200
2007-08-07,26.0000,26.3000,25.9300,26.2500,94000
2007-08-08,26.3000,26.5800,26.3000,26.5200,134300
2007-08-09,26.6700,26.7500,26.2500,26.3000,88500
2007-08-10,26.1700,26.5800,25.8800,26.3800,150400
2007-08-13,26.4600,26.5599,26.2700,26.4300,196000
2007-08-14,26.6900,26.6900,26.2201,26.3600,79000
2007-08-15,26.4300,26.5100,26.0400,26.1300,264500
2007-08-16,25.8100,25.8500,24.5800,25.6000,782800
2007-08-17,25.5200,25.9899,25.0000,25.7800,422000
2007-08-20,25.8500,26.0000,25.6350,25.9000,104600
2007-08-21,26.0800,26.3200,26.0000,26.0600,173400
2007-08-22,26.4300,26.7200,26.2900,26.6900,202800
2007-08-23,26.7500,27.1200,26.5000,26.6000,133300
2007-08-24,26.7300,26.7800,26.5001,26.7300,345100
2007-08-27,26.5200,26.7300,26.3401,26.6100,140200
2007-08-28,26.7300,26.8300,26.4000,26.4900,112100
2007-08-29,26.5700,26.6200,26.3400,26.5400,118800
2007-08-30,26.8700,27.0500,26.6700,26.8900,141200
2007-08-31,27.2100,27.2599,26.5400,26.6385,189800
2007-09-04,26.9700,27.5000,26.9700,27.3400,155300
2007-09-05,27.6000,27.6500,27.1400,27.3200,162700
2007-09-06,27.0900,27.1500,26.7500,26.8800,421200
2007-09-07,26.7200,27.0700,26.5100,27.0000,170900
2007-09-10,27.1700,27.1700,26.6900,26.8800,127900
