date,open,high,low,close,volume
2017-09-26,0.0002,0.0005,0.0001,0.0005,2200000
2017-09-27,0.0008,0.0008,0.0008,0.0008,200000
2017-10-02,0.0007,0.0007,0.0007,0.0007,46001
2017-10-03,0.0008,0.0008,0.0008,0.0008,40000
2017-10-05,0.0003,0.0008,0.0003,0.0008,41300
2017-10-09,0.0002,0.0008,0.0002,0.0008,100000
2017-10-10,0.0003,0.0007,0.0003,0.0007,10112
2017-10-11,0.0007,0.0007,0.0007,0.0007,1
2017-10-12,0.0007,0.0007,0.0003,0.0003,300265
2017-10-13,0.0006,0.0006,0.0006,0.0006,175000
2017-10-16,0.0006,0.0006,0.0006,0.0006,10000
2017-10-17,0.0006,0.0006,0.0006,0.0006,1000000
2017-10-20,0.0009,0.0017,0.0008,0.0017,549900
2017-10-23,0.0017,0.0017,0.0017,0.0017,1
2017-10-24,0.0003,0.0008,0.0003,0.0008,1250200
2017-10-27,0.0008,0.0008,0.0008,0.0008,450004
2017-10-31,0.0002,0.0010,0.0002,0.0008,950000
2017-11-03,0.0008,0.0008,0.0008,0.0008,2431
2017-11-06,0.0008,0.0008,0.0004,0.0008,701430
2017-11-07,0.0004,0.0010,0.0004,0.0010,20000
2017-11-08,0.0010,0.0010,0.0010,0.0010,500000
2017-11-09,0.0007,0.0007,0.0007,0.0007,50000
2017-11-10,0.0007,0.0007,0.0007,0.0007,50000
2017-11-13,0.0007,0.0007,0.0007,0.0007,250000
2017-11-14,0.0007,0.0007,0.0007,0.0007,285000
2017-11-15,0.0007,0.0007,0.0007,0.0007,400000
2017-11-16,0.0007,0.0010,0.0007,0.0010,640002
2017-11-17,0.0002,0.0003,0.0001,0.0002,8974551
2017-11-20,0.0002,0.0005,0.0002,0.0005,805028
2017-11-21,0.0002,0.0004,0.0002,0.0004,1550000
2017-11-27,0.0002,0.0002,0.0002,0.0002,302226
2017-11-28,0.0005,0.0005,0.0005,0.0005,100000
2017-11-29,0.0002,0.0002,0.0002,0.0002,350000
2017-12-04,0.0001,0.0005,0.0001,0.0005,670000
2017-12-05,0.0003,0.0005,0.0003,0.0005,635001
2017-12-12,0.0005,0.0005,0.0005,0.0005,72
2017-12-14,0.0003,0.0003,0.0003,0.0003,268000
2017-12-15,0.0003,0.0003,0.0002,0.0002,4070032
2017-12-18,0.0002,0.0002,0.0002,0.0002,50404
2017-12-19,0.0002,0.0002,0.0002,0.0002,1713852
2017-12-20,0.0002,0.0003,0.0002,0.0002,352181
2017-12-22,0.0002,0.0002,0.0002,0.0002,100000
2017-12-26,0.0003,0.0003,0.0003,0.0003,210
2017-12-27,0.0001,0.0001,0.0001,0.0001,102961
2017-12-28,0.0001,0.0001,0.0001,0.0001,200001
2017-12-29,0.0003,0.0003,0.0001,0.0001,2065027
2018-01-02,0.0003,0.0003,0.0003,0.0003,1735021
2018-01-04,0.0003,0.0003,0.0003,0.0003,874000
2018-01-08,0.0003,0.0003,0.0003,0.0003,575000
2018-01-09,0.0005,0.0005,0.0005,0.0005,101000
2018-01-10,0.0005,0.0005,0.0005,0.0005,5001
2018-01-11,0.0005,0.0005,0.0005,0.0005,1289555
2018-01-12,0.0005,0.0005,0.0005,0.0005,250000
2018-01-18,0.0003,0.0007,0.0001,0.0007,580000
2018-01-19,0.0006,0.0007,0.0004,0.0007,5829999
2018-01-22,0.0007,0.0007,0.0007,0.0007,85000
2018-01-24,0.0007,0.0007,0.0007,0.0007,1
2018-01-25,0.0006,0.0007,0.0006,0.0007,101000
2018-01-26,0.0008,0.0008,0.0008,0.0008,1650000
2018-01-30,0.0002,0.0008,0.0002,0.0008,240000
