date,open,high,low,close,volume
2021-11-05,10.7500,11.2000,10.2000,10.2500,880600
2021-11-08,10.8000,10.8000,9.5100,10.1000,960986
2021-11-09,9.8800,10.0500,8.0100,9.2800,1321694
2021-11-10,8.9100,11.0000,8.7500,8.9400,1989552
2021-11-11,9.1000,9.1700,8.4200,8.6300,632383
2021-11-12,8.6500,10.0100,8.6500,9.7000,644523
2021-11-15,9.6500,9.8500,9.0100,9.4500,1595775
2021-11-16,10.3500,10.3700,9.8000,10.0900,1505700
2021-11-17,9.8000,10.0000,9.3000,9.5700,497440
2021-11-18,9.6700,9.9624,9.0100,9.8700,515189
2021-11-19,9.9100,9.9100,9.3516,9.4900,319739
2021-11-22,9.4100,9.5000,8.3150,8.4000,776830
2021-11-23,8.4000,8.5300,7.6700,8.0600,680168
2021-11-24,7.9800,8.0500,7.5200,7.9500,400599
2021-11-26,7.7000,7.7800,7.5200,7.6400,184780
2021-11-29,7.6300,8.1300,7.1400,7.6700,370696
2021-11-30,7.9200,8.7100,7.5300,8.0000,851375
2021-12-01,8.1500,8.5600,8.0000,8.2500,928381
2021-12-02,8.1400,8.4700,8.0000,8.3500,498732
2021-12-03,8.3900,8.4200,7.8500,8.0200,443908
2021-12-06,7.9600,9.4400,7.8000,8.8000,1014343
2021-12-07,9.0100,9.1820,8.5800,8.8600,306409
2021-12-08,8.8800,9.3300,8.7500,8.9700,329343
2021-12-09,8.8800,9.4800,8.8500,9.0000,454874
2021-12-10,9.0200,9.4500,9.0100,9.0600,328147
2021-12-13,8.9900,9.3100,7.8200,7.9200,434741
2021-12-14,7.9000,8.6500,7.9000,8.1400,291864
2021-12-15,8.0600,8.4950,7.8800,8.1600,343213
2021-12-16,8.1900,8.3200,7.5200,7.7100,446574
2021-12-17,7.6100,8.7000,7.4350,8.5300,5439644
2021-12-20,8.3300,9.0900,8.1600,8.2300,592524
2021-12-21,8.6500,8.7400,8.4000,8.4700,286479
2021-12-22,8.5000,8.9122,8.3101,8.5000,425351
2021-12-23,8.5000,8.7300,8.3287,8.7100,258931
2021-12-27,8.9100,9.5900,8.6500,9.4200,457899
2021-12-28,9.3500,9.5600,9.1160,9.3800,207712
2021-12-29,9.2900,9.4600,9.0500,9.1600,384552
2021-12-30,9.1900,9.4200,8.8910,9.0400,283691
2021-12-31,9.0700,9.5000,8.8920,9.3500,393324
2022-01-03,9.5200,9.5800,9.1600,9.5300,926839
2022-01-04,9.5800,9.6100,8.9100,9.2800,5983976
2022-01-05,9.2200,9.5548,8.7900,8.8900,811339
2022-01-06,8.8200,9.0400,8.5700,9.0100,776703
2022-01-07,9.0500,9.2000,8.7500,8.9500,1199963
2022-01-10,9.0300,9.2800,8.1800,8.5800,787534
2022-01-11,8.5800,8.8900,8.2200,8.2900,677483
2022-01-12,8.2700,8.3800,7.6400,7.9500,1028682
2022-01-13,8.0100,8.2300,7.5000,7.7400,854069
2022-01-14,7.6200,7.7800,7.2600,7.7100,682153
2022-01-18,7.6900,7.6900,7.1600,7.3000,404220
2022-01-19,7.5300,7.7000,6.7700,6.9000,779154
2022-01-20,6.9000,7.2000,6.6700,6.6900,372679
2022-01-21,6.7700,6.8600,6.3600,6.4000,447638
2022-01-24,6.2000,6.7500,5.9600,6.6900,502705
2022-01-25,6.6400,6.9100,6.2900,6.3900,326176
2022-01-26,6.4500,6.5900,6.2400,6.2900,288437
2022-01-27,6.3100,6.3100,5.6300,5.8700,577400
2022-01-28,6.1400,6.5300,5.9600,6.4800,808296
2022-01-31,6.9900,7.1100,6.4800,7.0800,1125727
2022-02-01,7.2000,7.5600,6.7700,7.5300,879319
2022-02-02,7.5800,7.7000,7.0300,7.1600,816988
2022-02-03,6.9900,7.1168,6.7100,6.9600,665268
2022-02-04,7.0800,7.4000,6.6500,7.1900,465139
2022-02-07,7.1900,7.2200,6.8800,7.1300,486345
