date,open,high,low,close,volume
2017-10-16,0.0740,0.0740,0.0740,0.0740,700
2017-10-19,0.0750,0.0750,0.0750,0.0750,5100
2017-10-23,0.0810,0.0840,0.0720,0.0720,2300
2017-10-24,0.0699,0.0699,0.0699,0.0699,1000
2017-11-06,0.0696,0.0707,0.0696,0.0707,1800
2017-11-07,0.0710,0.0710,0.0710,0.0710,220
2017-11-10,0.0709,0.0737,0.0709,0.0737,1900
2017-11-17,0.0706,0.0706,0.0706,0.0706,400
2017-11-20,0.0730,0.0730,0.0730,0.0730,300
2017-11-28,0.0880,0.0880,0.0880,0.0880,1000
2017-11-30,0.0880,0.0880,0.0880,0.0880,69
2017-12-05,0.1230,0.1230,0.1230,0.1230,2500
2017-12-06,0.1567,0.1660,0.1312,0.1312,18584
2017-12-07,0.1400,0.1400,0.1400,0.1400,50000
2017-12-08,0.1470,0.2690,0.1470,0.2480,384451
2017-12-12,0.2840,0.2840,0.2543,0.2590,11100
2017-12-13,0.2590,0.2590,0.2590,0.2590,76
2017-12-14,0.2750,0.2750,0.2620,0.2620,4759
2017-12-15,0.2840,0.3079,0.2689,0.2689,123444
2017-12-18,0.3400,0.3400,0.3400,0.3400,3009
2017-12-19,0.3290,0.3397,0.3281,0.3390,15600
2017-12-20,0.3293,0.3295,0.3293,0.3294,66500
2017-12-21,0.3340,0.3340,0.3000,0.3320,59800
2017-12-27,0.3194,0.3195,0.3194,0.3195,10000
2017-12-29,0.2650,0.2880,0.2490,0.2530,66949
2018-01-02,0.2520,0.2520,0.2520,0.2520,5015
2018-01-03,0.2520,0.2520,0.2520,0.2520,70
2018-01-04,0.2526,0.2526,0.2526,0.2526,403
2018-01-08,0.2768,0.2768,0.2540,0.2540,985
2018-01-09,0.2540,0.2540,0.2540,0.2540,75
2018-01-10,0.2540,0.2540,0.2540,0.2540,70
2018-01-11,0.3140,0.3460,0.3140,0.3460,3225
2018-01-12,0.3416,0.3416,0.3330,0.3330,10650
2018-01-17,0.2720,0.2790,0.2660,0.2756,7024
2018-01-19,0.2756,0.2756,0.2756,0.2756,50
2018-01-26,0.3073,0.3073,0.3073,0.3073,7500
2018-01-29,0.2970,0.2970,0.2970,0.2970,2500
2018-01-30,0.3080,0.3082,0.3080,0.3082,11000
2018-01-31,0.3031,0.3031,0.3031,0.3031,10000
2018-02-02,0.2563,0.2563,0.2523,0.2523,10000
2018-02-05,0.2480,0.2480,0.2394,0.2394,8000
2018-02-06,0.2100,0.2585,0.1380,0.2585,62000
2018-02-07,0.2535,0.2535,0.2240,0.2240,10500
2018-02-08,0.2835,0.2835,0.2835,0.2835,31000
2018-02-09,0.2428,0.2428,0.2379,0.2379,2600
2018-02-15,0.2815,0.2815,0.2774,0.2774,52500
2018-02-20,0.2501,0.2501,0.2500,0.2500,1800
2018-02-23,0.2490,0.2500,0.2490,0.2500,3000
2018-03-06,0.2542,0.2542,0.2500,0.2500,6500
2018-03-07,0.2500,0.2500,0.2500,0.2500,11000
2018-03-08,0.2500,0.2500,0.2130,0.2130,5200
2018-03-13,0.2148,0.2148,0.2148,0.2148,400
2018-03-14,0.2146,0.2146,0.2130,0.2130,934
2018-03-26,0.2112,0.2309,0.2112,0.2309,50000
2018-04-02,0.2040,0.2111,0.2040,0.2111,16630
2018-04-03,0.2200,0.2200,0.2091,0.2091,15400
2018-04-06,0.2091,0.2091,0.2091,0.2091,50
2018-04-18,0.1790,0.1790,0.1790,0.1790,100
2018-04-24,0.2008,0.2008,0.2000,0.2000,13700
2018-05-02,0.1722,0.1722,0.1722,0.1722,2500
2018-05-08,0.1716,0.1716,0.1716,0.1716,1200
2018-05-09,0.1700,0.1700,0.1700,0.1700,5000
2018-05-14,0.1300,0.1300,0.1300,0.1300,3960
2018-05-17,0.1210,0.1210,0.1210,0.1210,400
2018-05-25,0.1210,0.1210,0.1210,0.1210,65
2018-05-29,0.0750,0.0750,0.0750,0.0750,200
2018-05-30,0.0780,0.0780,0.0780,0.0780,111
2018-06-07,0.0780,0.0780,0.0780,0.0780,3935
2018-06-08,0.1010,0.1010,0.1010,0.1010,500
2018-06-11,0.1000,0.1000,0.1000,0.1000,340
2018-06-13,0.1000,0.1000,0.1000,0.1000,84
2018-06-25,0.1033,0.1033,0.1033,0.1033,100
2018-06-26,0.1033,0.1033,0.1033,0.1033,10
2018-07-06,0.1394,0.1412,0.1394,0.1412,310
2018-07-11,0.1190,0.1190,0.1190,0.1190,200
2018-07-12,0.1082,0.1082,0.1082,0.1082,500
2018-07-18,0.1044,0.1044,0.1044,0.1044,10000
2018-07-25,0.0810,0.0810,0.0810,0.0810,120
2018-08-03,0.0810,0.0810,0.0810,0.0810,38
2018-08-14,0.0690,0.0690,0.0690,0.0690,7000
2018-08-15,0.0690,0.0690,0.0690,0.0690,4000
2018-08-20,0.0630,0.0677,0.0630,0.0677,20100
2018-08-23,0.0671,0.0671,0.0671,0.0671,2500
2018-08-31,0.0671,0.0671,0.0671,0.0671,50
2018-09-19,0.0606,0.0606,0.0606,0.0606,250
2018-09-27,0.0560,0.0560,0.0560,0.0560,1020
2018-10-02,0.0600,0.0600,0.0600,0.0600,1000
2018-11-02,0.0510,0.0510,0.0510,0.0510,1000
2018-11-08,0.0370,0.0370,0.0332,0.0332,139930
2018-11-09,0.0367,0.0470,0.0367,0.0470,4580
2018-11-13,0.0365,0.0365,0.0365,0.0365,500
2018-11-14,0.0420,0.0420,0.0420,0.0420,1000
2018-11-26,0.0500,0.0500,0.0500,0.0500,5000
2018-12-17,0.0431,0.0431,0.0431,0.0431,100
2018-12-18,0.0450,0.0450,0.0450,0.0450,2000
2018-12-20,0.0280,0.0280,0.0280,0.0280,600
2018-12-31,0.0310,0.0330,0.0310,0.0330,1350
2019-01-04,0.0362,0.0362,0.0362,0.0362,330
2019-02-06,0.0362,0.0362,0.0362,0.0362,510
2019-02-15,0.0441,0.0441,0.0441,0.0441,100
2019-02-19,0.0420,0.0420,0.0420,0.0420,200
2019-02-20,0.0420,0.0420,0.0420,0.0420,603
2019-02-21,0.0420,0.0420,0.0420,0.0420,15
2019-03-14,0.0325,0.0325,0.0325,0.0325,495
2019-03-15,0.0320,0.0320,0.0320,0.0320,1000
2019-03-19,0.0320,0.0320,0.0320,0.0320,60
2019-03-25,0.0323,0.0323,0.0323,0.0323,600
2019-03-27,0.0310,0.0310,0.0310,0.0310,1000
2019-04-18,0.0310,0.0310,0.0310,0.0310,55
2019-04-22,0.0000,0.0000,0.0000,0.0000,250
2019-04-24,0.0000,0.0000,0.0000,0.0000,10
2019-04-26,0.0440,0.0440,0.0440,0.0440,2500
2019-05-02,0.0400,0.0400,0.0400,0.0400,9000
2019-05-14,0.0284,0.0300,0.0284,0.0300,1065
2019-06-07,0.0243,0.0243,0.0243,0.0243,113
2019-06-26,0.0470,0.0470,0.0470,0.0470,900
2019-07-18,0.0470,0.0470,0.0470,0.0470,15000
2019-07-24,0.0470,0.0470,0.0470,0.0470,60
2019-07-29,0.0437,0.0438,0.0437,0.0438,10000
2019-08-12,0.0290,0.0290,0.0290,0.0290,3225
2019-08-23,0.0310,0.0310,0.0310,0.0310,600
2019-09-04,0.0310,0.0310,0.0310,0.0310,10300
2019-09-05,0.0330,0.0330,0.0330,0.0330,100
2019-09-11,0.0470,0.0470,0.0470,0.0470,5787
2019-09-12,0.0378,0.0378,0.0378,0.0378,6300
2019-09-25,0.0244,0.0244,0.0244,0.0244,12087
2019-10-03,0.0167,0.0167,0.0167,0.0167,500
2019-10-08,0.0220,0.0220,0.0176,0.0176,1944
2019-10-21,0.0330,0.0330,0.0330,0.0330,500
2019-10-23,0.0330,0.0330,0.0330,0.0330,200
2019-10-30,0.0381,0.0381,0.0381,0.0381,300
2019-11-05,0.0381,0.0381,0.0381,0.0381,40
2019-11-06,0.0400,0.0400,0.0400,0.0400,500
2019-11-07,0.0400,0.0400,0.0400,0.0400,500
2019-11-14,0.0400,0.0400,0.0400,0.0400,800
2019-11-15,0.0400,0.0400,0.0400,0.0400,2100
2019-11-18,0.0424,0.0424,0.0424,0.0424,200
2019-11-26,0.0380,0.0380,0.0380,0.0380,500
2019-12-06,0.0380,0.0380,0.0380,0.0380,14
2019-12-09,0.0380,0.0380,0.0380,0.0380,50
2019-12-10,0.0350,0.0353,0.0350,0.0353,2300
2019-12-12,0.0350,0.0350,0.0350,0.0350,500
2019-12-16,0.0350,0.0350,0.0350,0.0350,6000
2019-12-17,0.0300,0.0300,0.0300,0.0300,500
2019-12-19,0.0250,0.0250,0.0250,0.0250,899
2019-12-23,0.0210,0.0210,0.0210,0.0210,389
2019-12-24,0.0241,0.0241,0.0241,0.0241,150
2019-12-27,0.0238,0.0238,0.0218,0.0218,50380
2020-01-22,0.0238,0.0238,0.0210,0.0210,550
2020-01-27,0.0245,0.0245,0.0208,0.0208,6000
2020-01-31,0.0206,0.0206,0.0206,0.0206,600
2020-02-03,0.0206,0.0206,0.0206,0.0206,450
2020-02-06,0.0201,0.0201,0.0201,0.0201,300
2020-02-14,0.0201,0.0201,0.0201,0.0201,10
2020-02-18,0.0170,0.0170,0.0170,0.0170,1050
2020-02-20,0.0196,0.0196,0.0196,0.0196,2500
2020-03-06,0.0100,0.0100,0.0100,0.0100,3000
2020-03-23,0.0119,0.0119,0.0119,0.0119,350
2020-03-31,0.0136,0.0136,0.0136,0.0136,200
2020-04-03,0.0187,0.0187,0.0187,0.0187,200
2020-04-14,0.0187,0.0187,0.0187,0.0187,16
2020-04-16,0.0210,0.0210,0.0210,0.0210,1970
2020-04-20,0.0188,0.0188,0.0188,0.0188,200
2020-04-21,0.0210,0.0210,0.0210,0.0210,20
2020-04-27,0.0184,0.0184,0.0184,0.0184,100
2020-04-29,0.0166,0.0166,0.0166,0.0166,210
2020-05-06,0.0166,0.0166,0.0166,0.0166,12
2020-05-20,0.0318,0.0318,0.0318,0.0318,10000
2020-06-01,0.0189,0.0189,0.0189,0.0189,1000
2020-06-04,0.0192,0.0192,0.0192,0.0192,12700
2020-06-26,0.0226,0.0226,0.0226,0.0226,100
2020-06-29,0.0192,0.0192,0.0192,0.0192,0
2020-07-06,0.0300,0.0300,0.0300,0.0300,100
2020-07-10,0.0300,0.0300,0.0300,0.0300,40
2020-07-21,0.0342,0.0342,0.0342,0.0342,1000
2020-07-22,0.0342,0.0342,0.0342,0.0342,0
2020-07-23,0.0342,0.0342,0.0342,0.0342,1000
2020-07-24,0.0342,0.0342,0.0342,0.0342,0
2020-07-27,0.0342,0.0342,0.0342,0.0342,0
2020-07-28,0.0342,0.0342,0.0342,0.0342,0
2020-07-29,0.0350,0.0350,0.0350,0.0350,1000
2020-07-30,0.0350,0.0350,0.0350,0.0350,0
2020-07-31,0.0350,0.0350,0.0350,0.0350,0
2020-08-03,0.0350,0.0350,0.0350,0.0350,0
2020-08-04,0.0543,0.0543,0.0543,0.0543,700
2020-08-05,0.0543,0.0543,0.0543,0.0543,0
2020-08-06,0.0543,0.0543,0.0543,0.0543,0
2020-08-07,0.0543,0.0543,0.0543,0.0543,0
2020-08-10,0.0543,0.0543,0.0543,0.0543,0
2020-08-11,0.0543,0.0543,0.0543,0.0543,0
2020-08-12,0.0543,0.0543,0.0543,0.0543,0
2020-08-13,0.0460,0.0460,0.0460,0.0460,3500
2020-08-14,0.0460,0.0460,0.0460,0.0460,0
2020-08-17,0.0460,0.0460,0.0460,0.0460,0
2020-08-18,0.0460,0.0460,0.0460,0.0460,0
2020-08-19,0.0460,0.0460,0.0460,0.0460,0
2020-08-20,0.0460,0.0460,0.0460,0.0460,0
2020-08-21,0.0460,0.0460,0.0460,0.0460,0
2020-08-24,0.0460,0.0460,0.0460,0.0460,0
2020-08-25,0.0405,0.0450,0.0400,0.0450,2200
2020-08-26,0.0450,0.0450,0.0450,0.0450,0
2020-08-27,0.0450,0.0450,0.0450,0.0450,0
2020-08-28,0.0450,0.0450,0.0450,0.0450,0
2020-08-31,0.0410,0.0410,0.0400,0.0400,1050
2020-09-01,0.0400,0.0400,0.0400,0.0400,0
2020-09-02,0.0400,0.0400,0.0400,0.0400,0
2020-09-03,0.0400,0.0400,0.0400,0.0400,0
2020-09-04,0.0400,0.0400,0.0400,0.0400,0
2020-09-08,0.0400,0.0400,0.0400,0.0400,0
2020-09-09,0.0400,0.0400,0.0400,0.0400,0
2020-09-10,0.0380,0.0380,0.0380,0.0380,1500
2020-09-11,0.0380,0.0380,0.0380,0.0380,0
2020-09-14,0.0380,0.0380,0.0380,0.0380,0
2020-09-15,0.0380,0.0380,0.0380,0.0380,0
2020-09-16,0.0380,0.0380,0.0380,0.0380,0
2020-09-17,0.0450,0.0450,0.0450,0.0450,10000
2020-09-18,0.0400,0.0400,0.0400,0.0400,2500
2020-09-21,0.0400,0.0400,0.0400,0.0400,0
2020-09-22,0.0401,0.0401,0.0401,0.0401,813
2020-09-23,0.0401,0.0401,0.0401,0.0401,0
2020-09-24,0.0401,0.0401,0.0401,0.0401,0
2020-09-25,0.0401,0.0401,0.0401,0.0401,0
2020-09-28,0.0401,0.0401,0.0401,0.0401,0
2020-09-29,0.0400,0.0400,0.0400,0.0400,1000
2020-09-30,0.0400,0.0400,0.0400,0.0400,10
2020-10-01,0.0400,0.0400,0.0400,0.0400,0
2020-10-02,0.0400,0.0400,0.0400,0.0400,0
2020-10-05,0.0500,0.0500,0.0470,0.0470,8611
2020-10-06,0.0470,0.0470,0.0470,0.0470,0
2020-10-07,0.0470,0.0470,0.0470,0.0470,0
2020-10-08,0.1500,0.1617,0.1500,0.1617,1166
2020-10-09,0.1730,0.1895,0.1563,0.1563,14405
2020-10-12,0.1563,0.1563,0.1563,0.1563,0
2020-10-13,0.1535,0.1573,0.1535,0.1573,6605
2020-10-14,0.1573,0.1573,0.1573,0.1573,0
2020-10-15,0.1573,0.1573,0.1573,0.1573,2
2020-10-16,0.1573,0.1573,0.1573,0.1573,0
2020-10-19,0.1100,0.1100,0.1100,0.1100,675
2020-10-20,0.1100,0.1100,0.1100,0.1100,0
2020-10-21,0.1100,0.1100,0.1100,0.1100,0
2020-10-22,0.0791,0.0791,0.0791,0.0791,4000
2020-10-23,0.0791,0.0791,0.0791,0.0791,0
2020-10-26,0.0791,0.0791,0.0791,0.0791,0
2020-10-27,0.0827,0.0827,0.0827,0.0827,3000
2020-10-28,0.0588,0.0588,0.0588,0.0588,1000
2020-10-29,0.0588,0.0588,0.0588,0.0588,0
2020-10-30,0.0668,0.0668,0.0650,0.0650,11900
2020-11-02,0.0650,0.0650,0.0650,0.0650,0
2020-11-03,0.0650,0.0650,0.0650,0.0650,0
2020-11-04,0.0650,0.0650,0.0650,0.0650,0
2020-11-05,0.0650,0.0650,0.0650,0.0650,0
2020-11-06,0.0717,0.0717,0.0717,0.0717,1376
2020-11-09,0.0717,0.0717,0.0717,0.0717,0
2020-11-10,0.0790,0.0790,0.0780,0.0780,3800
2020-11-11,0.0780,0.0780,0.0780,0.0780,0
2020-11-12,0.0780,0.0780,0.0780,0.0780,0
2020-11-13,0.0780,0.0780,0.0780,0.0780,0
2020-11-16,0.0780,0.0780,0.0780,0.0780,0
2020-11-17,0.0780,0.0780,0.0780,0.0780,0
2020-11-18,0.0780,0.0780,0.0780,0.0780,0
2020-11-19,0.0780,0.0780,0.0780,0.0780,0
2020-11-20,0.1139,0.1200,0.1077,0.1077,15009
2020-11-23,0.1337,0.1580,0.1337,0.1580,285525
2020-11-24,0.1680,0.1876,0.1600,0.1600,39900
2020-11-25,0.1972,0.2500,0.1900,0.1900,44829
2020-11-27,0.2264,0.2264,0.2110,0.2110,32694
2020-11-30,0.2098,0.2200,0.1710,0.1710,63260
2020-12-01,0.1976,0.2046,0.1900,0.1941,23799
2020-12-02,0.1945,0.1945,0.1945,0.1945,55500
2020-12-03,0.1990,0.2000,0.1826,0.1826,95600
2020-12-04,0.1740,0.1900,0.1740,0.1900,6225
2020-12-07,0.2360,0.2486,0.2235,0.2486,32581
2020-12-08,0.2470,0.2470,0.2132,0.2176,44400
2020-12-09,0.2176,0.2176,0.2176,0.2176,0
2020-12-10,0.2107,0.2107,0.1991,0.2000,30150
2020-12-11,0.2693,0.2771,0.2693,0.2771,10010
2020-12-14,0.2721,0.2800,0.2320,0.2771,48700
2020-12-15,0.2208,0.2250,0.2095,0.2250,36410
2020-12-16,0.2250,0.2500,0.2223,0.2235,108500
2020-12-17,0.2500,0.3000,0.2500,0.2700,33070
2020-12-18,0.2776,0.2776,0.2600,0.2600,23055
2020-12-21,0.2990,0.3280,0.2990,0.3280,33190
2020-12-22,0.3182,0.4500,0.3182,0.4500,82684
2020-12-23,0.4226,0.4381,0.3700,0.4381,201424
2020-12-24,0.4381,0.4381,0.4381,0.4381,0
2020-12-28,0.4381,0.4381,0.4381,0.4381,201424
2020-12-29,0.4406,0.5300,0.4406,0.4645,78372
2020-12-30,0.5075,0.6200,0.5075,0.5222,111587
2020-12-31,0.5475,0.5475,0.5000,0.5100,39010
2021-01-04,0.6725,0.6725,0.5800,0.5917,62849
2021-01-05,0.6250,0.6250,0.5925,0.5925,30000
2021-01-06,0.7193,0.7537,0.7065,0.7523,71579
2021-01-07,0.7832,0.8564,0.7747,0.8340,124546
2021-01-08,0.8740,0.8740,0.8070,0.8290,26170
2021-01-11,0.7300,0.7403,0.5898,0.6156,80191
2021-01-12,0.6680,0.7010,0.6469,0.6726,132950
2021-01-13,0.6908,0.7420,0.6906,0.7420,5850
2021-01-14,0.7860,0.7860,0.7053,0.7500,64781
2021-01-15,0.7287,0.7287,0.7181,0.7261,100172
2021-01-19,0.6723,0.6723,0.6223,0.6564,63867
2021-01-20,0.6888,0.6888,0.6673,0.6673,33730
2021-01-21,0.6586,0.6612,0.6537,0.6537,3512
2021-01-22,0.6201,0.6252,0.5921,0.6252,15013
2021-01-25,0.6470,0.6470,0.6440,0.6440,6000
2021-01-26,0.5154,0.6610,0.4985,0.6610,33807
2021-01-27,0.5770,0.6867,0.5500,0.6520,280912
2021-01-28,0.6283,0.7079,0.6283,0.6560,515604
2021-01-29,0.6580,0.8446,0.6420,0.6420,122700
2021-02-01,0.8415,0.8493,0.7500,0.7500,188073
2021-02-02,0.7800,0.7981,0.7620,0.7620,35387
2021-02-03,0.8389,0.8389,0.8036,0.8036,26740
2021-02-04,0.8227,0.8250,0.7359,0.7678,23244
2021-02-05,0.7793,0.8200,0.7750,0.8200,34291
2021-02-08,0.8200,0.9237,0.8200,0.9209,189222
2021-02-09,0.9300,0.9500,0.8731,0.9368,237077
2021-02-10,0.9248,0.9248,0.8479,0.8479,7175
2021-02-11,0.9100,0.9150,0.8900,0.9082,4185
2021-02-12,0.8979,1.4987,0.8901,1.2544,191131
2021-02-16,1.7572,1.9400,1.6552,1.9201,116264
2021-02-17,1.9133,2.0115,1.7200,2.0115,125092
2021-02-18,2.0100,2.2168,1.9500,2.0115,125092
2021-02-19,2.3177,2.4860,2.3177,2.3500,70340
