date,open,high,low,close,volume
2021-06-30,16.6500,18.0100,14.1000,14.1400,288155496
2021-07-01,15.6000,16.9000,15.0000,16.4000,150901887
2021-07-02,14.9600,15.8300,14.6000,15.5300,101314461
2021-07-06,11.7800,12.6300,11.5800,12.4900,225560274
2021-07-07,11.9900,12.1800,11.5000,11.9100,135249379
2021-07-08,11.1800,11.4800,11.0000,11.2100,77653425
2021-07-09,11.7900,12.2500,11.0600,12.0300,109024015
2021-07-12,11.7300,11.9700,11.1200,11.1600,46070471
2021-07-13,11.3200,12.4300,11.2200,12.4200,64419688
2021-07-14,12.5100,13.3500,11.9700,12.6200,99346826
2021-07-15,12.7000,13.4200,12.1700,12.3600,38321924
2021-07-16,11.8600,12.3600,11.7700,11.9700,28660864
2021-07-19,11.5400,11.6200,11.0300,11.0600,37720435
2021-07-20,11.1600,11.3800,10.6900,11.2100,21612112
2021-07-21,11.1800,11.6400,11.0300,11.5000,15378116
2021-07-22,10.8600,10.8601,10.1700,10.2000,59685146
2021-07-23,8.9800,9.0200,7.9300,8.0600,136944893
2021-07-26,7.1800,8.7500,7.1600,8.0400,72846334
2021-07-27,8.0300,8.2400,7.4500,8.0400,57732465
2021-07-28,8.5000,9.2500,8.2500,8.8700,70124162
2021-07-29,10.5000,10.6100,9.1100,9.8600,122870721
2021-07-30,9.7500,10.3599,9.4100,10.3100,44403409
2021-08-02,9.8200,10.4500,9.7500,10.3800,22225620
2021-08-03,10.0100,10.1900,9.6500,10.0800,22022948
2021-08-04,9.8500,10.1900,9.7000,9.7200,12907279
2021-08-05,9.5300,9.5600,9.2800,9.3300,15918867
2021-08-06,9.7000,9.7700,9.2750,9.3100,18211906
2021-08-09,9.3000,9.8000,9.1500,9.5400,15657916
2021-08-10,9.4300,9.6400,9.1600,9.1700,12433578
2021-08-11,9.2900,9.3000,8.8300,8.8300,14791921
2021-08-12,8.8500,8.9800,8.6700,8.8100,10124854
2021-08-13,8.7100,8.8200,7.9250,8.3200,21244414
2021-08-16,8.2700,8.2873,7.9000,8.1100,12880971
2021-08-17,7.9300,8.4900,7.7300,8.4700,20568757
2021-08-18,8.3000,8.3500,7.9000,7.9200,25355034
2021-08-19,7.6800,7.7000,7.1800,7.2000,40774786
2021-08-20,7.5300,7.9800,7.3200,7.4700,37932198
2021-08-23,7.5400,7.7400,7.2300,7.7200,26666083
2021-08-24,8.1300,8.7800,8.1300,8.7000,42159074
2021-08-25,8.4800,8.5100,8.2100,8.2500,17082894
2021-08-26,8.2300,8.7500,8.2300,8.4200,17374772
2021-08-27,8.4400,8.4900,8.1700,8.2200,12428978
2021-08-30,8.2600,8.3199,7.9506,8.1800,11947129
2021-08-31,8.2500,8.3377,8.0400,8.2200,15134741
2021-09-01,8.3500,9.2900,8.2900,9.2000,43888078
2021-09-02,9.2500,9.3300,8.7200,8.8100,25880252
2021-09-03,9.1100,9.6000,8.9300,9.0200,44892392
2021-09-07,9.1600,10.1800,9.1500,9.6900,48289617
2021-09-08,9.5100,9.5350,8.7650,8.9800,36072268
2021-09-09,8.8200,9.1900,8.7900,9.0000,15646030
2021-09-10,9.1050,9.1979,8.5300,8.5500,20258925
2021-09-13,8.5100,8.7500,8.2500,8.6700,16135362
2021-09-14,8.5000,8.6500,8.3800,8.4500,12195003
2021-09-15,8.2800,8.3550,8.1700,8.2800,13986793
2021-09-16,8.1300,8.2800,8.1200,8.1700,10722902
2021-09-17,8.2900,8.3399,8.1100,8.3000,16467309
2021-09-20,8.0000,8.1400,7.5800,7.7500,26276381
2021-09-21,7.8500,7.8800,7.5900,7.6100,18253142
2021-09-22,7.7900,8.0397,7.7000,7.9600,14978908
2021-09-23,8.0000,8.2400,7.8800,8.1800,12149615
2021-09-24,8.0500,8.1700,7.8900,7.9600,10850629
2021-09-27,7.8300,8.3650,7.7000,8.2400,18464246
2021-09-28,8.1200,8.2500,7.9600,7.9800,10149654
2021-09-29,8.0150,8.0400,7.6800,7.7800,12408880
2021-09-30,7.8100,7.9100,7.7300,7.7900,9125543
2021-10-01,7.8500,7.8500,7.4700,7.5800,11035736
2021-10-04,7.5000,7.5200,7.2600,7.2700,13424837
2021-10-05,7.3700,7.6600,7.3400,7.4600,10142558
2021-10-06,7.4150,7.5900,7.3800,7.5800,9937903
2021-10-07,7.8200,8.0500,7.7600,7.8300,17821207
2021-10-08,8.0400,8.2438,7.9100,8.1700,13100383
2021-10-11,8.3800,8.8491,8.2600,8.3800,29426570
2021-10-12,8.3400,8.6689,8.2400,8.4500,14052229
2021-10-13,8.4900,8.5100,8.2500,8.3000,10429440
2021-10-14,8.3100,8.3700,8.1800,8.2700,7530992
2021-10-15,8.3100,8.4619,8.2000,8.2600,10946791
2021-10-18,8.1700,8.4100,8.1500,8.2400,7563752
2021-10-19,8.4001,8.5900,8.2000,8.5600,21489622
2021-10-20,8.7800,8.8200,8.3300,8.6200,15548838
2021-10-21,8.9600,9.8500,8.8500,9.8100,81413480
2021-10-22,9.4800,9.5500,9.0200,9.1900,26166527
2021-10-25,9.2300,9.4800,8.8300,8.8300,19171830
2021-10-26,8.8600,8.9000,8.2300,8.4100,21926910
2021-10-27,8.3300,8.5653,8.1100,8.2100,14611302
2021-10-28,8.2000,8.3600,8.0600,8.2600,10368261
2021-10-29,8.2600,8.3600,8.0100,8.0700,13013340
2021-11-01,8.1000,8.5600,8.0700,8.4600,13030490
2021-11-02,8.3100,8.3400,8.1000,8.2300,9263915
2021-11-03,8.2600,8.3700,8.1600,8.3600,6859144
2021-11-04,8.4000,8.4000,8.1500,8.2400,12037307
2021-11-05,8.2100,8.2200,7.9500,8.1200,16746008
2021-11-08,8.2000,8.5100,8.0600,8.1200,16000717
2021-11-09,8.1700,8.2500,8.0000,8.1200,10270461
2021-11-10,8.1000,9.0000,8.0300,8.9500,46262044
2021-11-11,9.3500,9.5600,8.5000,8.9600,48602607
2021-11-12,8.9500,9.6200,8.9000,9.5100,33640165
2021-11-15,9.4300,9.4700,8.9100,9.0100,19863305
2021-11-16,9.1300,9.2500,8.8500,9.0000,14929392
2021-11-17,8.9800,9.1300,8.5300,8.6400,17060809
2021-11-18,8.5699,8.5699,8.2200,8.4300,14002757
2021-11-19,8.4300,8.6300,8.2100,8.3000,10131641
2021-11-22,8.3100,8.3350,8.0500,8.1300,10600229
2021-11-23,8.1400,8.3267,8.0500,8.1200,13077182
