date,open,high,low,close,volume
2007-02-01,71.1000,71.1000,71.1000,71.1000,100
2007-02-02,71.1000,72.4300,70.6300,72.4300,2600
2007-02-05,72.8000,73.1100,71.8000,71.8000,7000
2007-02-06,72.6000,72.6000,70.9500,70.9500,1500
2007-02-07,72.2800,72.6000,72.2800,72.6000,1200
2007-02-08,70.3200,72.3700,70.2500,72.1300,1100
2007-02-09,71.7600,72.0700,71.3400,71.3400,5100
2007-02-12,70.6500,70.6900,69.6800,69.9600,2100
2007-02-13,70.7000,71.6000,70.7000,71.6000,5800
2007-02-14,72.0500,73.1200,71.4300,72.2500,5800
2007-02-15,71.0000,71.0000,69.9900,70.8000,2100
2007-02-16,70.5500,70.9600,70.5500,70.7480,1300
2007-02-20,69.2900,69.7700,69.0500,69.6260,1000
2007-02-21,69.8200,70.7000,69.8200,70.6500,1400
2007-02-22,71.1900,72.2400,71.1900,72.1400,6000
2007-02-23,72.8000,72.8000,72.1600,72.7300,12100
2007-02-26,73.8000,73.9600,73.2000,73.2800,1800
2007-02-27,70.8000,71.6600,67.1900,68.6000,6200
2007-02-28,68.0000,69.1290,68.0000,68.8000,2700
2007-03-01,65.4500,67.8000,64.7900,67.5800,3500
2007-03-02,67.0000,67.1800,64.6600,64.9600,5500
2007-03-05,63.7000,65.2000,63.6900,64.2100,4300
2007-03-06,65.7700,65.7700,65.3700,65.5001,500
2007-03-07,66.5800,70.0300,66.5800,68.3500,4000
2007-03-08,69.1400,69.4500,68.2560,69.0300,4000
2007-03-09,69.6500,69.6500,68.1100,68.6500,1100
2007-03-12,67.6600,68.3600,67.6300,68.3600,700
2007-03-13,68.4400,69.3900,66.2500,66.4100,2300
2007-03-14,67.2800,67.9400,66.5900,67.9400,800
2007-03-15,67.4600,68.3290,67.4600,67.7600,900
2007-03-16,66.4900,66.4900,65.9600,66.1400,2100
2007-03-19,68.1800,69.1400,67.8100,69.0890,2000
2007-03-20,68.9700,69.7100,68.9700,69.7100,17500
2007-03-21,70.3500,72.5800,70.3500,72.2100,3200
2007-03-22,73.5000,75.4800,73.3000,74.7700,13800
2007-03-23,75.6200,76.0600,74.9000,75.4200,8300
2007-03-26,76.5300,76.7100,74.8201,76.6800,5700
2007-03-27,75.7000,76.9500,75.7000,76.9500,1400
2007-03-28,77.1600,77.4700,75.8501,76.1600,6100
2007-03-29,77.2500,77.8200,76.6800,77.8200,6000
2007-03-30,77.3000,77.3800,75.5100,75.7400,14300
2007-04-02,76.2500,77.5800,76.1500,77.5700,4200
2007-04-03,76.4700,78.1400,76.4000,78.1400,5800
2007-04-04,77.0500,78.9000,76.9001,78.9000,8400
2007-04-05,78.5700,79.4900,78.5700,79.1900,11100
2007-04-09,78.9600,80.5150,78.6100,78.9800,7800
2007-04-10,79.0300,81.3399,79.0300,81.3299,5200
2007-04-11,81.1500,81.6600,80.0000,80.4400,3800
2007-04-12,81.4100,82.0100,79.8470,82.0100,4700
2007-04-13,82.4500,82.7100,81.8800,82.3400,14400
2007-04-16,82.5300,83.4900,81.7800,83.3800,8900
2007-04-17,84.0700,84.2600,82.2101,82.9000,5300
2007-04-18,81.8100,81.9999,80.8300,81.6500,5200
2007-04-19,80.0300,80.5700,79.3200,79.8600,11800
2007-04-20,81.6900,82.9400,81.4300,82.9400,5900
2007-04-23,82.6800,84.2900,82.6800,83.1600,6000
2007-04-24,82.6100,82.9900,81.6900,81.9700,10800
2007-04-25,83.7200,86.6900,82.9599,85.3830,23500
2007-04-26,84.9100,86.1100,84.0700,85.7000,15600
2007-04-27,84.3100,86.4000,84.3100,85.7000,11000
2007-04-30,86.1000,87.0400,83.3800,83.4300,15900
2007-05-01,83.4200,84.3600,82.4600,84.0000,14300
2007-05-02,84.6700,85.6800,84.4500,85.2800,11200
2007-05-03,85.3700,87.5000,85.1900,87.0000,14900
2007-05-04,87.6200,89.1300,86.2600,86.8000,13000
2007-05-07,86.1200,86.9900,85.9000,86.8860,7400
2007-05-08,86.1200,87.2200,84.5900,87.0200,12800
2007-05-09,86.8500,87.3100,84.9641,86.8100,17800
2007-05-10,86.8100,86.8500,83.8400,83.8400,15000
2007-05-11,85.3500,87.8400,85.1000,87.8000,14500
2007-05-14,88.5500,88.8000,87.1900,88.1800,21000
2007-05-15,88.0000,89.5900,87.8000,88.0500,16500
2007-05-16,88.3200,88.8999,86.3800,88.8440,10400
2007-05-17,88.9000,92.5700,88.5300,91.6100,24800
2007-05-18,92.2000,94.4700,92.2000,94.4700,38400
2007-05-21,95.9700,97.5300,94.8000,95.9200,105400
2007-05-22,96.0000,97.1900,94.0700,94.0700,48300
2007-05-23,95.4000,96.8500,94.5500,94.5700,43700
2007-05-24,95.6800,96.4600,90.7500,91.4000,61400
2007-05-25,93.6800,94.1600,92.4700,94.1500,45300
2007-05-29,93.2700,93.7200,91.1700,92.9900,31000
2007-05-30,92.2900,96.3610,91.8700,96.0900,31800
2007-05-31,95.9900,97.2600,94.4500,95.2000,42400
2007-06-01,96.8000,97.5100,96.1100,97.2400,35800
2007-06-04,97.2000,99.9600,97.2000,99.6200,70700
2007-06-05,98.8200,99.6600,97.6200,98.7700,40300
2007-06-06,98.3500,98.3500,95.6701,96.1900,40600
2007-06-07,96.1900,97.8100,92.6300,92.8200,108000
2007-06-08,91.4900,93.8000,90.6700,93.8000,49100
2007-06-11,93.5000,96.5300,93.1500,95.2199,78200
2007-06-12,94.8800,95.8500,92.8700,93.1000,34900
2007-06-13,94.4600,96.8700,94.0900,96.4300,52700
