date,open,high,low,close,volume
2021-04-19,10.6100,10.8900,10.0200,10.1200,1439026
2021-04-20,10.2000,10.2300,10.0000,10.1500,2208254
2021-04-21,10.1500,10.2200,10.0600,10.2200,1901508
2021-04-22,10.2400,10.4200,10.1600,10.2800,1598775
2021-04-23,10.4000,10.4600,10.3140,10.3700,1271516
2021-04-26,10.4200,10.6200,10.2197,10.2600,1031687
2021-04-27,10.3200,10.3700,10.2200,10.3000,1303172
2021-04-28,10.2900,10.3400,10.2300,10.2600,1367315
2021-04-29,10.2400,10.3000,10.2200,10.2800,877472
2021-04-30,10.2800,10.2900,10.1700,10.2400,1046979
2021-05-03,10.2400,10.2500,10.1000,10.1500,1212595
2021-05-04,10.1000,10.1700,10.0300,10.1500,1160648
2021-05-05,10.1000,10.2000,10.0800,10.1500,1181119
2021-05-06,10.1600,10.1600,10.0000,10.0300,2012303
2021-05-07,10.0300,10.0800,9.9900,10.0600,1138131
2021-05-10,10.0400,10.0400,9.9300,9.9400,2006013
2021-05-11,9.9300,9.9600,9.8400,9.8700,24772446
2021-05-12,9.9300,9.9500,9.8700,9.8900,7942410
2021-05-13,9.9200,9.9300,9.8600,9.8800,5742164
2021-05-14,9.8900,9.9425,9.8650,9.9000,7314938
2021-05-17,9.9200,9.9200,9.8700,9.8900,1941479
2021-05-18,9.8900,9.9100,9.8600,9.8700,1609903
2021-05-19,9.8500,9.8800,9.8500,9.8500,1957789
2021-05-20,9.8400,9.8900,9.8400,9.8800,2310347
2021-05-21,9.9400,9.9400,9.8600,9.8900,4245593
2021-05-24,9.9000,9.9100,9.8600,9.8700,1478587
2021-05-25,9.8600,9.9000,9.8500,9.8900,1455758
2021-05-26,9.8800,9.8900,9.8500,9.8900,2001958
2021-05-27,9.8900,9.8900,9.8600,9.8800,757434
2021-05-28,9.8600,9.8800,9.8550,9.8700,1343033
2021-06-01,9.8700,9.8800,9.8600,9.8700,1188207
2021-06-02,9.8700,9.8800,9.8500,9.8700,1101756
2021-06-03,9.8600,9.8700,9.8500,9.8700,1033263
2021-06-04,9.8600,9.8800,9.8500,9.8700,2787380
2021-06-07,9.8600,9.9000,9.8600,9.8900,1802294
2021-06-08,9.8900,9.9600,9.8700,9.9000,3059750
2021-06-09,9.9500,9.9500,9.8900,9.9000,3760596
2021-06-10,9.9500,10.0550,9.9300,10.0000,3732778
2021-06-11,10.0000,10.0350,9.9650,10.0100,2838530
2021-06-14,10.0400,10.0400,9.9000,9.9300,3207429
2021-06-15,9.9200,9.9500,9.9100,9.9300,1685595
2021-06-16,9.9200,9.9399,9.9091,9.9200,1028726
2021-06-17,9.9150,9.9300,9.8800,9.9100,796644
2021-06-18,9.9100,9.9100,9.8800,9.9000,805073
2021-06-21,9.9200,9.9300,9.8900,9.9100,990450
2021-06-22,9.9100,9.9200,9.8900,9.9100,773997
2021-06-23,9.9100,9.9250,9.8900,9.9100,761247
2021-06-24,9.9200,9.9906,9.9100,9.9900,5563245
2021-06-25,9.9817,10.0000,9.9100,9.9300,1665816
2021-06-28,9.9500,9.9800,9.9100,9.9300,2685132
2021-06-29,9.9400,9.9900,9.9250,9.9800,4327248
2021-06-30,9.9900,9.9900,9.9500,9.9600,810051
2021-07-01,9.9700,10.0200,9.9500,9.9600,975527
2021-07-02,9.9900,10.0500,9.9800,10.0300,3237439
2021-07-06,10.0400,10.0500,9.9900,10.0100,1319547
2021-07-07,10.0100,10.0100,9.9600,9.9800,857430
2021-07-08,9.9300,9.9500,9.8900,9.9100,2434155
2021-07-09,9.9300,10.0350,9.9000,9.9900,2620616
2021-07-12,9.9900,10.0000,9.9401,9.9500,824416
2021-07-13,9.9400,9.9800,9.9200,9.9400,755974
2021-07-14,9.9300,9.9500,9.9000,9.9100,2225651
2021-07-15,9.9100,9.9700,9.8900,9.9300,3378815
2021-07-16,9.9200,9.9390,9.8900,9.9100,1668578
2021-07-19,9.8964,9.9350,9.8750,9.9200,2235444
2021-07-20,9.9200,9.9200,9.8700,9.9000,1507534
2021-07-21,9.9200,9.9600,9.9000,9.9400,1119511
2021-07-22,9.9500,9.9700,9.9100,9.9300,2294506
2021-07-23,9.9400,9.9400,9.9000,9.9100,4894377
2021-07-26,9.9200,9.9300,9.8900,9.9000,4291664
2021-07-27,9.8900,9.9000,9.8600,9.8900,2695337
2021-07-28,9.8800,9.8900,9.8586,9.8600,1157545
2021-07-29,9.8700,9.8800,9.8301,9.8500,3325541
2021-07-30,9.8600,9.9150,9.8500,9.8700,1648851
2021-08-02,9.9100,9.9100,9.8600,9.8700,584431
2021-08-03,9.8800,9.9000,9.8700,9.8900,1090518
2021-08-04,9.8800,9.9400,9.8700,9.9000,11405546
2021-08-05,9.9500,9.9700,9.9200,9.9500,9792859
2021-08-06,9.9600,10.0100,9.9500,10.0100,13231228
2021-08-09,10.0100,10.0100,9.9800,10.0000,22695166
2021-08-10,10.0400,10.0600,10.0100,10.0500,13867894
2021-08-11,10.0737,10.2700,10.0500,10.0900,15342059
2021-08-12,10.1200,10.1700,10.0000,10.0300,7220046
2021-08-13,10.0356,10.0400,9.9700,9.9800,7612838
2021-08-16,10.0000,10.0200,9.9600,9.9600,5138090
2021-08-17,9.9800,10.0050,9.9500,9.9700,5267450
2021-08-18,9.9800,10.0000,9.9600,9.9700,4241709
2021-08-19,9.9600,9.9900,9.9500,9.9700,6633020
2021-08-20,9.9600,9.9800,9.9400,9.9500,2336301
2021-08-23,9.9600,9.9750,9.9400,9.9500,4050090
2021-08-24,9.9500,9.9800,9.9500,9.9500,4546458
2021-08-25,9.9700,9.9800,9.9500,9.9800,4335541
2021-08-26,9.9800,9.9800,9.9600,9.9700,1911747
2021-08-27,9.9650,9.9800,9.9600,9.9700,8779248
2021-08-30,9.9600,9.9800,9.9600,9.9600,2058605
2021-08-31,9.9600,9.9800,9.9600,9.9700,6482554
2021-09-01,9.9800,9.9800,9.9600,9.9700,4779474
2021-09-02,9.9700,9.9800,9.9700,9.9750,1249794
2021-09-03,9.9800,10.0500,9.9700,9.9800,6985288
2021-09-07,9.9800,10.0000,9.9600,9.9600,9036106
2021-09-08,9.9600,10.0200,9.7400,9.9300,15323393
2021-09-09,9.9000,10.0100,9.8007,9.9400,4318810
2021-09-10,9.9700,10.0200,9.8100,9.8100,3661119
2021-09-13,9.8800,9.8800,8.9000,9.1500,6504883
2021-09-14,9.2600,10.8200,9.2500,9.8700,10614652
2021-09-15,9.9000,10.3200,9.7500,10.1300,3320249
2021-09-16,10.1900,11.5000,10.0100,11.4200,7596541
2021-09-17,11.1500,14.2500,11.1000,12.1800,19584013
2021-09-20,12.0500,12.5000,10.8000,11.1100,9354611
2021-09-21,11.6000,12.3900,11.3800,11.7000,8749283
2021-09-22,12.1100,12.9600,11.7800,11.8700,7678915
2021-09-23,12.2000,12.7100,11.8500,12.3000,5887227
2021-09-24,12.2300,12.7900,11.9100,12.6000,3967185
2021-09-27,13.0600,13.7400,12.8800,13.2800,6148712
2021-09-28,13.0000,13.1300,12.1500,12.8700,8053891
2021-09-29,13.0000,13.1100,12.0100,12.2000,7505584
2021-09-30,12.2400,12.2900,11.4100,11.5900,7126989
2021-10-01,11.6600,11.7200,11.2000,11.5100,9818501
2021-10-04,11.6500,11.7250,11.2500,11.3800,12101986
2021-10-05,11.6500,12.2700,11.3700,11.9800,6833678
2021-10-06,11.4900,11.7500,9.1300,10.5900,60428425
2021-10-07,10.7200,11.6500,10.5900,11.2200,20946878
2021-10-08,11.1200,11.1500,10.3200,10.3300,9224755
2021-10-11,10.4400,10.4600,9.4400,9.4700,5234218
2021-10-12,9.6800,11.2700,9.6400,10.8300,16754075
2021-10-13,11.1200,11.6800,10.2400,10.2500,4779322
2021-10-14,10.6500,11.8600,10.5700,11.6300,6221365
2021-10-15,11.8000,12.1863,11.3100,11.9100,7825021
2021-10-18,11.7900,12.4200,11.4000,12.3200,6449732
2021-10-19,12.3300,14.8800,12.1700,14.8100,15424778
2021-10-20,14.5900,14.7000,13.1100,13.7700,6934466
2021-10-21,13.7600,13.8300,12.8500,13.2100,6182379
2021-10-22,13.2100,13.8600,12.2000,13.1400,5639000
2021-10-25,13.2600,14.7000,13.0400,14.2800,5973022
2021-10-26,14.2800,15.3500,14.0500,14.4800,4494092
2021-10-27,14.5500,14.7300,13.7300,14.3300,2801007
2021-10-28,14.4200,15.4500,14.0100,14.2800,4867443
2021-10-29,14.2200,14.3700,13.6000,13.8200,1785425
2021-11-01,13.9100,14.1900,13.3500,13.7900,3534343
2021-11-02,13.8600,13.9400,13.0400,13.4000,3550457
2021-11-03,13.3500,14.4186,13.2501,14.1900,4970570
2021-11-04,14.2000,14.7400,14.0900,14.4100,2364024
2021-11-05,14.2700,14.3700,13.5500,13.9500,1747325
2021-11-08,14.0700,15.0300,14.0000,14.9200,2938482
2021-11-09,15.1300,15.8640,14.5200,14.9200,5174748
2021-11-10,14.6400,15.6199,13.6000,13.6200,3293625
2021-11-11,13.9400,14.2200,13.4400,13.4800,2317508
2021-11-12,13.9800,14.4000,12.7401,12.9000,6447069
2021-11-15,12.9500,13.2500,12.2400,12.9700,6061653
2021-11-16,13.0100,14.2000,12.9800,14.0000,6154152
2021-11-17,13.9600,14.1100,13.3000,13.5900,4396064
2021-11-18,13.5600,13.6700,11.9500,11.9800,6796313
2021-11-19,12.2600,13.5400,11.8300,13.4500,9344479
2021-11-22,13.2700,13.7400,12.8600,13.4900,3646736
2021-11-23,12.9600,13.0900,11.8900,12.1000,3637080
2021-11-24,12.0400,12.1100,11.8100,12.0000,3350283
2021-11-26,11.4500,12.3500,11.4500,12.0600,3451289
2021-11-29,12.4700,12.4800,11.6800,12.0400,3476007
2021-11-30,11.8600,12.1100,11.3000,11.8700,5884998
2021-12-01,11.8700,12.1200,11.3900,11.3900,6083280
