date,open,high,low,close,volume
2003-04-14,100.3000,101.0000,100.3000,101.0000,10400
2003-04-15,101.6200,102.5000,101.6200,102.2000,46800
2003-04-16,103.3000,103.8000,103.3000,103.3800,1000
2003-04-17,103.9500,104.1500,103.7700,104.1200,1900
2003-04-21,104.2400,104.2500,104.0000,104.0800,8100
2003-04-22,104.0700,104.4300,103.7500,104.4300,2200
2003-04-23,104.5000,104.9200,104.1500,104.9200,3500
2003-04-24,104.1000,104.1000,102.6000,102.8500,10000
2003-04-25,101.4100,101.4100,101.0000,101.1500,11400
2003-04-28,101.4100,102.8200,101.4000,102.8200,10200
2003-04-29,104.4100,105.8000,104.4100,105.7500,8500
2003-04-30,105.5000,105.5900,105.1800,105.4500,25400
2003-05-01,105.1500,105.5700,105.0000,105.0400,26100
2003-05-02,105.3800,106.6500,105.3800,106.6500,7500
2003-05-05,107.0500,107.8200,107.0500,107.8000,5300
2003-05-06,107.8000,108.4800,107.7000,108.3500,12200
2003-05-07,107.9000,108.1700,107.8100,108.1500,34800
2003-05-08,107.5000,107.5600,107.1000,107.2000,46400
2003-05-09,107.3500,108.5400,107.3500,108.4600,7000
2003-05-12,108.9500,109.9700,108.9000,109.9700,83600
2003-05-13,109.5800,109.5800,109.0500,109.3500,30700
2003-05-14,109.3500,109.3500,108.5900,108.8000,22900
2003-05-15,109.0200,109.0200,108.7500,109.0200,37500
2003-05-16,109.1000,109.5000,108.8000,109.1000,28500
2003-05-19,108.4000,108.4000,106.1000,106.5000,14300
2003-05-20,106.7500,107.1600,106.4500,107.0300,5900
2003-05-21,106.8400,107.1500,106.2800,107.1200,5100
2003-05-22,107.1500,108.0900,107.1500,108.0900,9400
2003-05-23,108.8500,109.4600,108.8500,109.2000,8300
2003-05-27,109.4600,113.1800,109.4600,113.1100,96000
2003-05-28,113.1100,113.7600,113.1100,113.6000,44000
2003-05-29,113.5000,113.9800,113.3000,113.7500,34100
2003-05-30,114.0000,115.0700,113.7700,115.0700,40900
2003-06-02,115.4000,117.2000,115.4000,115.9000,65300
2003-06-03,116.0000,116.0000,114.0700,115.0200,27200
2003-06-04,115.0000,116.5100,115.0000,116.5000,26800
2003-06-05,116.9200,116.9200,115.8600,116.6200,56600
2003-06-06,117.2500,118.9000,117.2400,117.7100,67600
2003-06-09,117.8600,117.8600,116.3300,116.7000,23200
2003-06-10,116.7400,117.9000,116.7400,117.9000,25900
2003-06-11,117.8500,118.0900,117.0000,118.0000,32700
2003-06-12,118.2000,118.8900,118.1100,118.8900,44700
2003-06-13,118.6100,118.9500,118.5200,118.8500,77200
2003-06-16,119.2000,120.1400,119.0500,120.1300,18200
2003-06-17,121.3600,122.7000,121.3600,122.6000,39200
2003-06-18,122.2700,122.8400,121.8800,122.1500,19100
