date,open,high,low,close,volume
2016-01-04,1.1600,1.1600,1.1600,1.1600,154
2016-01-07,1.1500,1.1500,1.1500,1.1500,200
2016-01-08,1.1000,1.1000,0.9100,0.9100,1483
2016-01-11,0.9100,0.9100,0.9100,0.9100,103
2016-01-12,1.1500,1.1500,1.1500,1.1500,100
2016-01-20,1.1500,1.1500,1.1500,1.1500,90
2016-01-22,1.0100,1.0100,1.0100,1.0100,1008
2016-01-25,1.0100,1.0100,1.0100,1.0100,20
2016-01-29,1.0100,1.0100,1.0100,1.0100,90
2016-02-03,1.0000,1.0000,1.0000,1.0000,800
2016-02-04,1.0100,1.0100,1.0100,1.0100,700
2016-02-16,1.0200,1.0399,1.0100,1.0399,955
2016-02-17,1.0000,1.0000,0.8700,1.0000,5174
2016-02-25,1.0200,1.0200,0.9069,0.9069,1600
2016-03-01,0.9069,0.9069,0.9069,0.9069,75
2016-03-02,0.9200,0.9200,0.9200,0.9200,1800
2016-03-04,0.9200,0.9200,0.9200,0.9200,50
2016-03-07,0.9700,0.9700,0.9700,0.9700,1950
2016-03-18,1.0000,1.0000,1.0000,1.0000,100
2016-03-21,1.0000,1.0000,1.0000,1.0000,20
2016-04-04,0.9500,0.9500,0.9500,0.9500,5000
2016-04-07,1.0000,1.0000,1.0000,1.0000,740
2016-04-12,1.0000,1.0000,0.9500,0.9500,2200
2016-04-15,0.8400,0.8400,0.8400,0.8400,850
2016-04-18,0.7900,0.7900,0.7900,0.7900,1000
2016-04-20,0.8000,0.8000,0.7000,0.7000,3350
2016-05-02,0.3600,0.3600,0.3600,0.3600,2500
2016-05-03,0.3010,0.3010,0.3010,0.3010,13663
2016-05-05,0.3200,0.3200,0.3200,0.3200,21000
2016-05-06,0.3100,0.3100,0.3100,0.3100,15000
2016-05-10,0.3100,0.3200,0.3100,0.3100,18980
2016-05-12,0.3100,0.3100,0.3100,0.3100,10000
2016-05-17,0.3100,0.3100,0.3100,0.3100,6000
2016-05-18,0.3000,0.3000,0.3000,0.3000,7600
2016-05-20,0.3100,0.3100,0.3100,0.3100,5000
2016-05-25,0.3300,0.3500,0.3300,0.3500,15000
2016-05-26,0.3300,0.3300,0.3200,0.3200,16800
2016-06-01,0.3300,0.3300,0.3200,0.3300,20063
2016-06-02,0.3200,0.3400,0.3200,0.3300,20090
2016-06-03,0.3300,0.3300,0.3300,0.3300,10000
2016-06-06,0.3200,0.3200,0.3200,0.3200,10846
2016-06-08,0.3900,0.3900,0.3900,0.3900,1000
