date,open,high,low,close,volume
2004-08-02,12.5000,12.6000,12.4500,12.5000,354000
2004-08-03,12.5000,12.5800,12.5000,12.5000,372100
2004-08-04,12.5000,12.5800,12.5000,12.5300,277800
2004-08-05,12.5200,12.5200,12.1000,12.1200,360900
2004-08-06,11.7500,12.2500,11.4500,12.1000,289800
2004-08-09,12.0000,12.0400,11.9500,11.9800,193000
2004-08-10,11.9800,12.0000,11.8000,11.8500,138100
2004-08-11,11.8200,11.9900,11.7600,11.9900,87300
2004-08-12,11.9800,12.2900,11.9800,12.0000,62100
2004-08-13,12.0000,12.1000,12.0000,12.0000,48200
2004-08-16,12.0600,12.3000,11.9500,12.0000,55600
2004-08-17,12.0500,12.0800,12.0000,12.0000,32800
2004-08-18,12.0000,12.0500,11.9100,11.9400,19900
2004-08-19,11.9000,12.0900,11.8900,12.0000,58200
2004-08-20,12.0000,12.6500,12.0000,12.6500,218200
2004-08-23,12.6000,12.7200,12.2500,12.4200,32200
2004-08-24,12.4500,12.5300,12.4500,12.5200,71900
2004-08-25,12.5000,12.6200,12.3500,12.5000,77800
2004-08-26,12.4000,12.6500,12.3500,12.5500,35900
2004-08-27,12.5500,12.6100,12.4500,12.5300,25700
2004-08-30,12.4900,12.6200,12.4700,12.5900,81600
2004-08-31,12.6500,12.7200,12.4800,12.7000,69900
2004-09-01,12.7500,12.8800,12.6000,12.8400,105300
2004-09-02,12.7700,12.9700,12.6000,12.9300,29900
2004-09-03,12.9500,13.2200,12.7700,13.2000,168900
2004-09-07,13.1600,13.1600,12.8300,13.1100,84800
2004-09-08,13.0300,13.2300,12.9500,13.2000,67300
2004-09-09,13.1500,13.4000,13.1400,13.2800,94900
2004-09-10,13.4000,13.4700,13.3500,13.4000,163200
2004-09-13,13.4500,13.5000,13.4200,13.5000,164700
2004-09-14,13.5000,14.2000,13.4100,14.1000,291700
2004-09-15,14.0000,14.4000,13.9000,13.9800,87800
2004-09-16,13.9000,14.2000,13.8300,13.8400,125000
2004-09-17,13.9400,14.1000,13.9000,13.9500,116700
2004-09-20,14.0500,14.4100,14.0000,14.0300,88300
2004-09-21,13.9800,14.0200,13.7000,13.7200,104100
2004-09-22,13.6500,13.6800,13.1800,13.6000,88500
2004-09-23,13.5000,13.5000,13.2300,13.3500,56200
2004-09-24,13.3300,13.3300,12.7500,12.9400,97700
2004-09-27,12.8600,13.1700,12.7700,13.1000,103800
2004-09-28,13.0000,13.0200,12.6500,12.8200,255600
2004-09-29,12.9200,12.9600,12.6400,12.8200,92200
2004-09-30,12.8000,13.0400,12.7600,12.8500,496900
2004-10-01,12.8800,13.3600,12.8500,13.3000,519000
2004-10-04,13.2500,13.4000,13.2500,13.2700,181100
2004-10-05,13.2500,13.2500,13.0000,13.0300,155200
2004-10-06,13.0800,13.4800,13.0300,13.4800,204500
2004-10-07,13.5000,13.5000,12.9000,13.2400,54900
2004-10-08,13.2500,13.2500,12.9300,13.0500,150300
2004-10-11,13.0700,13.1900,13.0000,13.0800,27000
2004-10-12,13.1500,13.1500,12.8400,13.1000,23600
2004-10-13,13.0000,13.0100,12.9000,12.9500,53700
2004-10-14,12.9500,12.9500,12.6600,12.8000,46500
2004-10-15,12.8100,12.9500,12.7000,12.8700,22000
2004-10-18,12.7700,12.8900,12.3000,12.8900,40800
2004-10-19,12.7500,12.9200,12.5000,12.8000,29900
2004-10-20,12.7000,13.2400,12.6500,13.2400,58400
2004-10-21,13.1600,13.4200,13.1400,13.2100,35500
2004-10-22,13.1300,13.6000,12.9800,13.0500,53600
2004-10-25,13.0500,13.1500,12.7500,13.0000,41700
2004-10-26,13.0500,13.1500,12.5500,13.0000,54300
2004-10-27,12.9000,12.9700,12.5000,12.8700,164700
2004-10-28,12.8400,12.9400,12.8400,12.9300,12500
2004-10-29,12.9000,13.2000,12.8500,13.2000,36800
2004-11-01,13.1800,13.1800,12.9500,13.0200,43200
2004-11-02,13.0000,13.1300,13.0000,13.0600,49700
2004-11-03,13.0000,13.6700,13.0000,13.5400,159000
2004-11-04,13.6000,13.6200,13.3500,13.4800,62200
2004-11-05,13.4500,13.6100,13.3200,13.5300,66100
2004-11-08,13.5300,13.9500,13.4000,13.8000,127500
2004-11-09,13.8000,14.0500,13.7200,13.8400,25700
2004-11-10,13.8000,14.1400,13.7200,14.1000,52800
2004-11-11,14.1000,14.6400,14.0500,14.5500,75300
2004-11-12,14.4800,14.4800,14.2500,14.3800,14400
2004-11-15,14.3000,14.4000,14.1500,14.3400,34200
2004-11-16,14.1000,14.2300,13.5100,13.9500,62500
2004-11-17,13.6000,14.3900,13.3000,14.0000,214500
2004-11-18,13.8000,13.9500,13.7400,13.8100,74700
2004-11-19,13.7500,13.7500,13.3800,13.6300,42100
