date,open,high,low,close,volume
2018-03-20,0.0148,0.0148,0.0148,0.0148,4950
2018-03-21,0.0148,0.0180,0.0100,0.0100,160000
2018-03-22,0.0126,0.0126,0.0119,0.0125,1095957
2018-03-23,0.0100,0.0100,0.0100,0.0100,10000
2018-03-26,0.0100,0.0100,0.0100,0.0100,0
2018-03-27,0.0119,0.0119,0.0085,0.0091,25001
2018-03-28,0.0091,0.0091,0.0091,0.0091,0
2018-03-29,0.0196,0.0196,0.0185,0.0185,2000
2018-04-02,0.0090,0.0179,0.0090,0.0179,9950
2018-04-03,0.0180,0.0180,0.0180,0.0180,0
2018-04-04,0.0179,0.0179,0.0179,0.0179,0
2018-04-05,0.0179,0.0179,0.0179,0.0179,0
2018-04-06,0.0179,0.0179,0.0179,0.0179,0
2018-04-09,0.0179,0.0179,0.0179,0.0179,0
2018-04-10,0.0179,0.0179,0.0179,0.0179,0
2018-04-11,0.0179,0.0179,0.0179,0.0179,0
2018-04-12,0.0179,0.0179,0.0179,0.0179,0
2018-04-13,0.0179,0.0179,0.0179,0.0179,2
2018-04-16,0.0179,0.0179,0.0179,0.0179,0
2018-04-17,0.0179,0.0179,0.0179,0.0179,0
2018-04-18,0.0179,0.0179,0.0179,0.0179,0
2018-04-19,0.0179,0.0179,0.0179,0.0179,0
2018-04-20,0.0080,0.0080,0.0073,0.0080,157348
2018-04-23,0.0110,0.0110,0.0100,0.0100,135000
2018-04-24,0.0100,0.0100,0.0100,0.0100,10
2018-04-25,0.0085,0.0085,0.0085,0.0085,50000
2018-04-26,0.0100,0.0100,0.0100,0.0100,60000
2018-04-27,0.0099,0.0100,0.0099,0.0100,130303
2018-04-30,0.0090,0.0090,0.0090,0.0090,312400
2018-05-01,0.0085,0.0085,0.0085,0.0085,0
2018-05-02,0.0077,0.0135,0.0075,0.0135,173685
2018-05-03,0.0135,0.0162,0.0130,0.0150,504685
2018-05-04,0.0130,0.0136,0.0130,0.0130,356675
2018-05-07,0.0140,0.0140,0.0101,0.0101,41100
2018-05-08,0.0086,0.0086,0.0085,0.0085,278360
2018-05-09,0.0080,0.0080,0.0041,0.0060,229800
2018-05-10,0.0060,0.0100,0.0054,0.0054,74900
2018-05-11,0.0054,0.0054,0.0054,0.0054,0
2018-05-14,0.0054,0.0054,0.0054,0.0054,0
2018-05-15,0.0054,0.0054,0.0054,0.0054,0
2018-05-16,0.0054,0.0054,0.0054,0.0054,6
2018-05-17,0.0054,0.0054,0.0054,0.0054,0
2018-05-18,0.0054,0.0054,0.0054,0.0054,0
2018-05-21,0.0054,0.0054,0.0054,0.0054,0
2018-05-22,0.0054,0.0054,0.0054,0.0054,0
2018-05-23,0.0054,0.0054,0.0054,0.0054,0
2018-05-24,0.0054,0.0054,0.0054,0.0054,0
2018-05-25,0.0054,0.0054,0.0054,0.0054,0
2018-05-29,0.0054,0.0054,0.0054,0.0054,0
2018-05-30,0.0054,0.0054,0.0054,0.0054,0
2018-05-31,0.0040,0.0040,0.0040,0.0040,2500
2018-06-01,0.0042,0.0042,0.0042,0.0042,0
2018-06-04,0.0042,0.0042,0.0040,0.0040,114700
2018-06-05,0.0040,0.0040,0.0040,0.0040,0
2018-06-06,0.0099,0.0099,0.0060,0.0060,9700
2018-06-07,0.0060,0.0097,0.0060,0.0097,141650
2018-06-08,0.0098,0.0098,0.0098,0.0098,2000
2018-06-11,0.0098,0.0098,0.0098,0.0098,0
2018-06-12,0.0050,0.0050,0.0045,0.0045,315659
2018-06-13,0.0045,0.0045,0.0045,0.0045,0
2018-06-14,0.0045,0.0045,0.0045,0.0045,0
2018-06-15,0.0059,0.0059,0.0059,0.0059,1000
2018-06-18,0.0059,0.0059,0.0059,0.0059,0
2018-06-19,0.0059,0.0059,0.0059,0.0059,0
2018-06-20,0.0059,0.0059,0.0059,0.0059,4
