date,open,high,low,close,volume
1999-11-01,36.5000,36.6300,35.8100,36.1900,33000
1999-11-02,36.1300,36.6300,36.0000,36.4400,40200
1999-11-03,36.3100,37.0000,36.3100,36.8800,27000
1999-11-04,37.0000,37.3100,36.1900,36.1900,56500
1999-11-05,36.3800,37.0600,36.0600,36.1300,41200
1999-11-08,36.0000,36.3800,35.7500,36.0600,31300
1999-11-09,36.3100,36.5000,35.4400,36.3100,37000
1999-11-10,36.5000,37.0600,36.3800,36.7500,36300
1999-11-11,36.6900,36.8800,36.3800,36.3800,17200
1999-11-12,36.1300,36.1300,34.6300,35.2500,79300
1999-11-15,35.4400,35.4400,34.8800,35.0600,44100
1999-11-16,35.0000,35.8800,35.0000,35.8800,27700
1999-11-17,35.9400,35.9400,35.4400,35.8100,49900
1999-11-18,35.6300,35.8800,35.3800,35.5000,276100
1999-11-19,35.5000,35.7500,35.3800,35.5000,269000
1999-11-22,35.3800,35.5000,35.2500,35.3800,62800
1999-11-23,35.3100,35.5000,34.7500,34.7500,128700
1999-11-24,34.6900,35.1900,34.6300,34.6300,68900
1999-11-26,34.6900,35.0000,34.6900,34.8100,47100
1999-11-29,34.7500,35.0000,34.6300,34.6300,84700
1999-11-30,34.6300,35.1300,34.6300,34.8100,50500
1999-12-01,34.8800,34.9400,34.6300,34.6900,62200
1999-12-02,34.6300,35.5000,34.5000,35.4400,78000
1999-12-03,35.3800,36.0600,35.3800,35.5000,35200
1999-12-06,35.5000,35.5600,34.5600,34.5600,13600
1999-12-07,34.6900,34.6900,34.1300,34.1300,41200
1999-12-08,34.0600,34.1300,33.5000,33.7500,56800
1999-12-09,33.6900,34.2500,33.6900,34.0000,50200
1999-12-10,33.7500,34.3100,32.9400,32.9400,275500
1999-12-13,32.9400,34.9400,32.9400,33.6300,140400
1999-12-14,33.5000,34.1900,33.5000,33.8100,122600
1999-12-15,33.4400,34.8100,33.4400,34.4400,140300
1999-12-16,34.6300,35.3100,34.5600,34.6300,84900
1999-12-17,36.0000,36.0000,34.5000,36.0000,116000
1999-12-20,36.0000,36.0000,34.0600,34.3800,57800
1999-12-21,34.2500,34.5600,34.0000,34.5000,54200
1999-12-22,34.3800,34.4400,33.6900,33.9400,38400
1999-12-23,34.0600,34.1900,33.7500,33.9400,41600
1999-12-27,34.0000,34.0000,33.0000,33.2500,71900
1999-12-28,33.0000,33.8800,32.9400,33.6900,73900
1999-12-29,33.4400,33.8100,33.0000,33.8100,49800
1999-12-30,33.6900,33.6900,32.5600,32.9400,46600
1999-12-31,33.1300,33.4400,32.8800,33.3800,10000
2000-01-03,34.5000,34.5600,32.5600,33.5600,234600
2000-01-04,33.4400,35.3100,33.4400,34.6900,304900
2000-01-05,35.0000,35.5600,34.8800,35.5600,289400
2000-01-06,35.5600,36.5000,35.3800,36.1300,186200
2000-01-07,36.1300,37.0600,36.1300,36.6900,65400
2000-01-10,36.7500,36.9400,35.6300,35.6300,59700
2000-01-11,35.5000,36.0000,35.1900,35.1900,59400
2000-01-12,35.1300,35.2500,34.8800,35.1300,37000
2000-01-13,35.0600,35.6300,34.7500,35.5600,151200
2000-01-14,35.4400,35.6300,35.0600,35.4400,86900
2000-01-18,35.5600,35.6900,35.3800,35.6300,36900
2000-01-19,35.6300,35.7500,35.0000,35.7500,77800
2000-01-20,35.7500,35.7500,35.1300,35.5000,91000
2000-01-21,35.4400,36.5000,35.4400,36.2500,134700
2000-01-24,36.5000,36.6300,35.5600,35.8100,50800
2000-01-25,35.7500,36.0000,34.5000,34.6300,62800
2000-01-26,34.8100,35.1900,34.7500,35.1900,76300
2000-01-27,35.0600,35.1900,34.8100,35.0000,59400
2000-01-28,34.8800,35.2500,34.7500,35.1300,80800
2000-01-31,35.2500,35.3800,34.5000,34.5000,64100
2000-02-01,34.3100,34.5600,34.0000,34.5600,50000
2000-02-02,34.3800,35.1900,34.3800,34.8800,76900
2000-02-03,34.7500,35.3800,34.7500,34.8800,45900
2000-02-04,34.9400,34.9400,34.0600,34.3800,36200
2000-02-07,34.4400,34.6300,33.7500,33.8800,25900
2000-02-08,33.8800,33.9400,33.3800,33.5600,40300
2000-02-09,33.3800,33.5600,32.7500,32.9400,98100
2000-02-10,33.1900,34.3100,32.8800,34.1300,68100
2000-02-11,33.9400,34.2500,32.9400,32.9400,54600
2000-02-14,33.0000,33.8800,32.2500,33.5600,114900
