date,open,high,low,close,volume
2011-05-16,0.0260,0.0400,0.0260,0.0322,4670716
2011-05-17,0.0330,0.0370,0.0280,0.0297,6451402
2011-05-18,0.0290,0.0295,0.0220,0.0260,4666548
2011-05-19,0.0250,0.0286,0.0230,0.0260,4196371
2011-05-20,0.0270,0.0270,0.0250,0.0261,2660375
2011-05-23,0.0265,0.0265,0.0245,0.0245,2390727
2011-05-24,0.0267,0.0267,0.0240,0.0250,3549652
2011-05-25,0.0200,0.0200,0.0150,0.0164,22749781
2011-05-26,0.0169,0.0209,0.0164,0.0194,9662019
2011-05-27,0.0200,0.0230,0.0194,0.0222,4731861
2011-05-31,0.0221,0.0224,0.0190,0.0210,3448677
2011-06-01,0.0199,0.0199,0.0184,0.0197,3897705
2011-06-02,0.0200,0.0250,0.0200,0.0219,2410165
2011-06-03,0.0219,0.0225,0.0210,0.0220,1251494
2011-06-06,0.0200,0.0220,0.0200,0.0211,1454842
2011-06-07,0.0180,0.0217,0.0180,0.0190,2058092
2011-06-08,0.0190,0.0200,0.0181,0.0190,961979
2011-06-09,0.0210,0.0210,0.0185,0.0200,1307692
2011-06-10,0.0200,0.0210,0.0190,0.0200,1309442
2011-06-13,0.0190,0.0200,0.0180,0.0180,2846507
2011-06-14,0.0200,0.0200,0.0160,0.0167,2984283
2011-06-15,0.0170,0.0190,0.0170,0.0190,1122549
2011-06-16,0.0190,0.0190,0.0180,0.0185,989841
2011-06-17,0.0190,0.0190,0.0172,0.0183,499762
2011-06-20,0.0182,0.0182,0.0165,0.0180,1763535
2011-06-21,0.0180,0.0190,0.0167,0.0190,1940548
2011-06-22,0.0200,0.0200,0.0161,0.0177,1347163
2011-06-23,0.0175,0.0190,0.0169,0.0186,2844662
2011-06-24,0.0188,0.0188,0.0169,0.0175,1012314
2011-06-27,0.0169,0.0180,0.0161,0.0161,1430959
2011-06-28,0.0161,0.0171,0.0160,0.0160,924532
2011-06-29,0.0160,0.0160,0.0100,0.0150,4631485
2011-06-30,0.0140,0.0150,0.0135,0.0135,1672810
2011-07-01,0.0135,0.0147,0.0130,0.0136,2803730
2011-07-05,0.0131,0.0145,0.0130,0.0130,1396284
2011-07-06,0.0130,0.0140,0.0129,0.0140,1756411
2011-07-07,0.0140,0.0140,0.0130,0.0130,538963
2011-07-08,0.0130,0.0140,0.0129,0.0130,1035566
2011-07-11,0.0130,0.0130,0.0100,0.0110,6586900
2011-07-12,0.0110,0.0110,0.0100,0.0102,2629982
2011-07-13,0.0105,0.0130,0.0100,0.0119,3120070
2011-07-14,0.0095,0.0130,0.0095,0.0110,3964787
2011-07-15,0.0110,0.0124,0.0099,0.0110,1370945
2011-07-18,0.0105,0.0129,0.0100,0.0129,2653830
2011-07-19,0.0129,0.0139,0.0110,0.0139,1037302
2011-07-20,0.0140,0.0143,0.0111,0.0125,575382
2011-07-21,0.0125,0.0143,0.0125,0.0140,426750
2011-07-22,0.0140,0.0140,0.0126,0.0126,309581
2011-07-25,0.0110,0.0127,0.0110,0.0120,483456
2011-07-26,0.0111,0.0120,0.0110,0.0120,993608
2011-07-27,0.0111,0.0130,0.0111,0.0120,507030
2011-07-28,0.0120,0.0130,0.0120,0.0120,303841
2011-07-29,0.0119,0.0130,0.0119,0.0130,552679
2011-08-01,0.0130,0.0141,0.0122,0.0130,398091
2011-08-02,0.0130,0.0130,0.0110,0.0110,409607
2011-08-03,0.0130,0.0130,0.0109,0.0128,859686
2011-08-04,0.0128,0.0128,0.0115,0.0125,1326345
