date,open,high,low,close,volume
2015-08-08,0.3300,0.3300,0.5000,1.4000,176
2015-08-11,0.6600,1.1400,0.5500,1.1000,251
2015-08-12,1.0500,1.4000,0.9000,1.3800,404
2015-08-13,1.3000,2.1500,1.3000,2.1400,347
2015-08-14,2.1400,2.1500,2.1400,2.1500,24
2015-08-15,1.6250,2.2000,1.1500,1.5000,33
2015-08-16,1.7700,1.7700,1.1100,1.1200,199
2015-08-17,1.7700,1.7700,1.3400,1.5200,26
2015-08-18,1.5650,1.5650,1.0100,1.0100,92
2015-08-19,1.0850,1.4000,1.0850,1.3000,66
2015-08-20,1.2500,1.7300,1.2500,1.7300,360
2015-08-21,1.4410,1.7300,1.4400,1.5000,304
2015-08-23,1.3400,1.5000,1.3300,1.5000,65
2015-08-24,1.3300,1.4000,1.2400,1.3000,148
2015-08-25,1.0510,1.4000,1.0500,1.0500,27
2015-08-26,1.1000,1.1400,1.0000,1.0000,81
2015-08-28,1.1000,1.1000,1.0600,1.0600,1
2015-08-30,1.2300,1.2700,1.2300,1.2700,1803
2015-08-31,1.2800,1.3000,1.2800,1.3000,263
2015-09-01,1.1800,1.3910,1.1800,1.2500,171
2015-09-02,1.2600,1.2600,1.2600,1.2600,38
2015-09-03,1.2600,1.3734,1.2194,1.3700,191
2015-09-04,1.2194,1.2194,1.2194,1.2194,15
2015-09-05,1.3734,1.3734,1.1610,1.3734,45
2015-09-06,1.1610,1.2100,1.1610,1.2100,39
2015-09-07,1.1620,1.3500,1.1620,1.3500,320
2015-09-09,1.3000,1.3000,1.3000,1.3000,18
2015-09-10,1.2000,1.3000,1.1600,1.1600,2348
2015-09-11,1.2820,1.2820,0.8300,0.9999,895
2015-09-12,0.9900,1.2820,0.8700,1.2800,244
2015-09-13,1.0000,1.1900,0.8700,1.1900,95
2015-09-15,1.0290,1.0290,0.8710,0.8885,1
2015-09-16,1.0200,1.0200,0.8885,1.0000,8
2015-09-17,0.8885,0.8885,0.8400,0.8400,99
2015-09-18,0.8700,0.8700,0.8500,0.8500,45
2015-09-21,0.9600,0.9700,0.8915,0.8915,154
2015-09-22,0.8815,0.9350,0.8750,0.8750,195
2015-09-23,0.9350,0.9350,0.8750,0.9000,13
2015-09-24,0.8875,0.8875,0.8300,0.8450,386
2015-09-25,0.8190,0.8190,0.7000,0.8000,193
2015-09-26,0.7000,0.7800,0.6850,0.6900,75
2015-09-27,0.7800,0.7900,0.6900,0.7900,10
2015-09-28,0.7000,0.7890,0.5600,0.5600,16786
2015-09-29,0.6499,0.6530,0.5700,0.5700,279
2015-09-30,0.6000,0.7700,0.6000,0.7400,388
2015-10-01,0.7350,0.7350,0.6727,0.6750,105
2015-10-03,0.6430,0.7100,0.6430,0.6800,6
2015-10-05,0.6477,0.6477,0.6429,0.6429,43
2015-10-07,0.6001,0.7000,0.6001,0.7000,4
2015-10-08,0.6001,0.6286,0.5695,0.5716,114
2015-10-09,0.6700,0.6735,0.6700,0.6700,189
2015-10-12,0.6450,0.6450,0.6000,0.6001,1
2015-10-13,0.6000,0.6000,0.6000,0.6000,76
2015-10-14,0.6000,0.6000,0.4953,0.5200,928
2015-10-15,0.5399,0.6233,0.4801,0.6000,239
2015-10-16,0.5320,0.5320,0.5210,0.5210,142
2015-10-17,0.5210,0.5586,0.5130,0.5586,721
2015-10-18,0.5130,0.5586,0.5130,0.5130,56
2015-10-19,0.5130,0.5130,0.4711,0.4711,916
2015-10-20,0.4711,0.4800,0.4511,0.4511,202
2015-10-21,0.4511,0.5000,0.4195,0.4297,892
2015-10-22,0.4297,0.6233,0.4093,0.6233,503
2015-10-23,0.5500,0.6450,0.5239,0.6450,442
2015-10-24,0.4652,0.4652,0.4652,0.4652,1
2015-10-25,0.6390,0.6735,0.6390,0.6735,429
2015-10-26,0.6700,0.7480,0.6700,0.7297,231
2015-10-27,0.7297,0.8900,0.7297,0.8500,341
2015-10-28,0.8500,1.0000,0.8500,0.8800,1044
2015-10-29,0.7700,1.3500,0.7700,1.2000,159
2015-10-30,1.3200,1.3200,0.9500,1.0154,44
2015-10-31,1.0227,1.0299,0.8913,0.8913,61
2015-11-01,0.9383,1.0723,0.9090,1.0488,185
2015-11-02,1.0304,1.1183,0.9434,1.0221,2555
2015-11-03,0.9899,1.2790,0.9131,1.0005,3141
2015-11-04,0.9923,1.0358,0.6689,0.8549,4578
2015-11-05,0.8913,0.9924,0.8310,0.9200,590
2015-11-06,0.9110,1.0269,0.8456,0.9309,1641
2015-11-07,0.9000,0.9503,0.8432,0.9390,390
2015-11-08,0.9077,1.0358,0.9045,1.0236,591
2015-11-09,1.0250,1.1090,0.9485,1.0100,5783
2015-11-10,1.0102,1.0726,0.9143,0.9143,990
2015-11-11,0.9507,0.9507,0.7278,0.7425,9343
2015-11-12,0.7773,0.9001,0.7773,0.9001,2036
2015-11-13,0.9000,0.9090,0.8475,0.8900,1307
2015-11-14,0.8900,0.9100,0.8802,0.8802,419
2015-11-15,0.9080,0.9167,0.8689,0.9100,241
2015-11-16,0.9100,0.9345,0.8860,0.9323,302
2015-11-17,0.9334,1.0406,0.9151,1.0100,2543
2015-11-18,1.0010,1.0294,0.9600,1.0080,1747
2015-11-19,0.9810,1.0006,0.9314,0.9788,342
2015-11-20,0.9750,0.9750,0.9251,0.9251,29
2015-11-21,0.9300,0.9870,0.9279,0.9464,261
2015-11-22,0.9800,0.9800,0.9512,0.9800,231
2015-11-23,0.9595,0.9664,0.9325,0.9338,815
2015-11-24,0.9664,0.9664,0.9100,0.9100,623
2015-11-25,0.9016,0.9030,0.8600,0.8651,1988
2015-11-26,0.9100,0.9288,0.8023,0.8948,1618
2015-11-27,0.8661,0.9306,0.8600,0.8700,174
2015-11-28,0.8657,0.9361,0.8558,0.9361,971
2015-11-29,0.8982,0.8982,0.8640,0.8640,1959
2015-11-30,0.8889,0.9160,0.8640,0.8700,378
2015-12-01,0.8700,0.9040,0.8601,0.8700,2646
2015-12-02,0.8813,0.9337,0.8307,0.8400,463
2015-12-03,0.8400,0.8472,0.8000,0.8470,485
2015-12-04,0.8466,0.8494,0.8022,0.8415,501
2015-12-05,0.8300,0.8694,0.8300,0.8476,629
2015-12-06,0.8476,0.8759,0.8400,0.8400,796
2015-12-07,0.8400,0.8400,0.7938,0.8300,1336
2015-12-08,0.8046,0.8206,0.7938,0.8206,960
2015-12-09,0.8000,0.8100,0.7500,0.8000,1480
2015-12-10,0.7853,0.8710,0.7851,0.8600,2321
2015-12-11,0.8410,0.9400,0.7500,0.8990,4139
2015-12-12,0.9000,1.0206,0.9000,0.9362,3267
2015-12-13,0.9385,0.9775,0.9300,0.9344,12
2015-12-14,0.9775,1.0168,0.9750,0.9757,296
2015-12-15,1.0000,1.0300,0.9766,0.9960,2010
2015-12-16,0.9966,1.0000,0.9766,0.9766,1055
2015-12-17,0.9761,0.9761,0.8990,0.9307,461
2015-12-18,0.9307,0.9471,0.8990,0.9020,406
2015-12-19,0.9100,0.9200,0.8800,0.8927,2312
2015-12-20,0.9200,0.9200,0.8800,0.8890,171
2015-12-21,0.8942,0.9155,0.8682,0.8771,701
2015-12-22,0.8784,0.9110,0.0050,0.8959,5058
2015-12-23,0.8773,0.8849,0.8100,0.8755,167
2015-12-24,0.8426,0.8780,0.8275,0.8500,179
2015-12-25,0.8555,0.9000,0.8400,0.9000,348
2015-12-26,0.8947,0.9000,0.8500,0.8500,17
2015-12-27,0.8550,0.8550,0.8500,0.8510,76
2015-12-28,0.8588,0.8627,0.8127,0.8127,458
2015-12-29,0.8613,0.8613,0.8127,0.8513,140
2015-12-30,0.8900,0.9400,0.8556,0.9400,3729
2015-12-31,0.9351,0.9700,0.9130,0.9199,650
2016-01-01,0.9145,0.9591,0.9145,0.9591,45
2016-01-02,0.9570,0.9570,0.9570,0.9570,5
2016-01-03,0.9570,0.9745,0.9560,0.9605,482
2016-01-04,0.9605,0.9622,0.9380,0.9622,132
2016-01-05,0.9394,0.9600,0.9394,0.9394,219
2016-01-06,0.9398,0.9398,0.9380,0.9380,71
2016-01-07,0.9555,0.9670,0.9346,0.9665,458
2016-01-08,0.9500,1.0155,0.9477,1.0155,344
2016-01-09,0.9992,1.0090,0.9692,0.9734,145
2016-01-10,0.9744,1.0000,0.9744,0.9744,307
2016-01-11,1.0000,1.0725,1.0000,1.0500,2356
2016-01-12,1.0600,1.2777,1.0600,1.1468,2566
2016-01-13,1.1065,1.1200,1.0731,1.0900,466
2016-01-14,1.1038,1.1520,1.1038,1.1520,53
2016-01-15,1.1346,1.3489,1.1256,1.2093,607
2016-01-16,1.1665,1.2827,1.0750,1.2227,1563
2016-01-17,1.1979,1.3200,1.1979,1.3200,705
2016-01-18,1.3200,1.6000,1.2657,1.3996,7648
2016-01-19,1.3793,1.4466,1.3000,1.4026,572
2016-01-20,1.4069,1.6641,1.3444,1.5000,949
2016-01-21,1.5607,1.5800,1.3550,1.5471,3292
2016-01-22,1.5471,1.6100,1.4500,1.5109,600
2016-01-23,1.4561,2.1200,1.4561,2.0374,4077
2016-01-24,1.9370,2.3221,1.7500,2.1344,2750
2016-01-25,2.0727,2.8200,2.0503,2.4698,6889
2016-01-26,2.5419,2.8500,1.7500,2.2704,4904
2016-01-27,2.2471,2.5375,2.1810,2.4242,2116
2016-01-28,2.3204,2.6500,2.2010,2.5800,1158
2016-01-29,2.5000,2.8000,2.2975,2.5089,2364
2016-01-30,2.5238,2.5857,2.3800,2.4950,144
2016-01-31,2.5098,2.5718,2.1840,2.3700,406
2016-02-01,2.3390,2.3851,2.1100,2.1110,2097
2016-02-02,2.2404,2.4850,2.1110,2.1900,652
2016-02-03,2.3328,2.4850,2.1110,2.4096,5609
2016-02-04,2.4239,2.5801,2.3900,2.4719,5131
2016-02-05,2.5700,2.5990,2.4240,2.5000,2773
2016-02-06,2.5990,2.5990,2.4200,2.4300,48
2016-02-07,2.5800,3.1250,2.4487,2.8686,1699
2016-02-08,2.9832,3.3857,2.8918,3.1050,1043
2016-02-09,3.1200,4.1000,3.0564,4.1000,2972
2016-02-10,4.1000,4.8800,3.2000,4.3351,10435
2016-02-11,4.3351,7.0000,4.2395,6.5000,2849
2016-02-12,6.0000,7.0000,3.8500,5.6500,17108
2016-02-13,5.6500,5.6795,4.1333,5.5000,5725
