date,open,high,low,close,volume
2018-02-16,4.4000,6.6500,4.2300,6.1800,105193
2018-02-20,6.2500,7.0000,5.6580,6.0510,103909
2018-02-21,6.0500,6.1553,5.6372,5.9800,68128
2018-02-22,6.1010,6.4150,5.7600,6.2000,71475
2018-02-23,5.9500,6.4343,5.8600,5.9100,72361
2018-02-26,6.0000,6.6990,6.0000,6.6699,192455
2018-02-27,6.9000,6.9000,6.4256,6.4600,105928
2018-02-28,6.5000,6.5250,6.1000,6.2000,53707
2018-03-01,6.0200,6.4600,5.7500,6.3200,56650
2018-03-02,6.2000,6.5000,6.0010,6.4000,64565
2018-03-05,6.4680,6.5800,6.2510,6.4500,203587
2018-03-06,6.4200,6.5200,6.4200,6.5200,178774
2018-03-07,6.5500,6.5500,6.4700,6.5085,116162
2018-03-08,6.5500,6.6310,6.5200,6.5700,166995
2018-03-09,6.5700,6.6200,6.5100,6.5800,228135
2018-03-12,6.4800,6.7100,6.4700,6.7100,173726
2018-03-13,6.7400,6.7400,6.5100,6.5460,274474
2018-03-14,6.4500,6.5700,6.4310,6.5700,151465
2018-03-15,6.5500,6.6300,6.5000,6.6000,212967
2018-03-16,6.5700,6.7600,6.5500,6.5500,334022
2018-03-19,6.5000,6.6333,6.4500,6.5100,127189
2018-03-20,6.5500,6.5500,6.4200,6.5400,139448
2018-03-21,6.5000,6.6421,6.1400,6.5500,83957
2018-03-22,6.4900,6.6150,6.4500,6.5000,17360
2018-03-23,6.6000,6.6027,6.3500,6.4400,35908
2018-03-26,6.5200,6.5200,6.3218,6.3900,71501
2018-03-27,6.4900,6.5000,6.3500,6.3500,109852
2018-03-28,6.3600,6.3900,6.3000,6.3200,53371
2018-03-29,6.3800,6.5100,6.3000,6.3000,34992
2018-04-02,6.4431,6.4490,6.3078,6.4000,88945
2018-04-03,6.4200,6.6400,6.2500,6.6000,161782
2018-04-04,6.5100,6.7500,6.4200,6.7200,71557
2018-04-05,6.7600,6.7600,6.5000,6.6750,68970
2018-04-06,6.7000,6.7866,6.5900,6.7700,41240
2018-04-09,6.7800,7.0000,6.6822,6.9999,150509
2018-04-10,7.0000,7.5900,7.0000,7.5800,212958
2018-04-11,7.5200,7.8400,7.3985,7.5800,154027
2018-04-12,7.6000,7.8300,7.5610,7.6400,94362
