date,open,high,low,close,volume
2021-03-29,10.4500,10.4500,9.7200,9.9000,33717
2021-03-30,10.0000,10.0000,9.6900,9.8700,10169
2021-03-31,10.0400,10.1450,9.7100,9.8900,100504
2021-04-01,9.8500,10.3700,9.6200,9.8500,67271
2021-04-05,9.8500,9.9887,9.8200,9.8200,34015
2021-04-06,9.7800,9.9500,9.7800,9.8400,34753
2021-04-07,9.8500,9.9000,9.8200,9.8900,131663
2021-04-08,9.8400,9.9000,9.7200,9.8100,100803
2021-04-09,9.8100,9.8800,9.7800,9.8700,133266
2021-04-12,9.8700,9.9700,9.8500,9.9400,23992
2021-04-13,9.9500,9.9600,9.8600,9.9000,16181
2021-04-14,9.9000,9.9000,9.8800,9.9000,25664
2021-04-15,9.8500,9.9400,9.8410,9.9000,25588
2021-04-16,9.9000,9.9800,9.8501,9.9200,25924
2021-04-19,10.0000,10.0000,9.8000,9.8400,116708
2021-04-20,9.8600,9.8900,9.8100,9.8300,17240
2021-04-21,9.8134,9.8134,9.7300,9.7700,15510
2021-04-22,9.7500,9.9000,9.7500,9.8500,15503
2021-04-23,9.9200,9.9200,9.8500,9.8900,13826
2021-04-26,9.7600,10.0000,9.7600,9.8600,294505
2021-04-27,9.8500,9.9356,9.8400,9.8700,23039
2021-04-28,9.8400,9.9800,9.8400,9.8700,96674
2021-04-29,9.8700,9.8800,9.8500,9.8800,173942
2021-04-30,9.8400,9.8600,9.7600,9.7800,204163
2021-05-03,9.8100,9.8800,9.7801,9.8700,49266
2021-05-04,9.7700,9.8600,9.7700,9.8500,25228
2021-05-05,9.9100,9.9100,9.8200,9.8400,8100
2021-05-06,9.8300,9.8800,9.8100,9.8300,27625
2021-05-07,9.8200,9.8500,9.8100,9.8300,10495
2021-05-10,9.8100,9.8300,9.7700,9.8200,17818
2021-05-11,9.7500,9.8800,9.7500,9.8600,22835
2021-05-12,9.8600,9.9050,9.7500,9.7500,25429
2021-05-13,9.8500,9.8600,9.7700,9.7700,16071
2021-05-14,9.7700,9.9000,9.7700,9.8000,20069
2021-05-17,9.8800,9.8900,9.8009,9.8600,20961
2021-05-18,9.8600,9.8805,9.7800,9.8001,5428
2021-05-19,9.7700,9.7997,9.7700,9.7800,3952
2021-05-20,9.7800,9.8001,9.7600,9.7600,4013
2021-05-21,9.7800,9.7800,9.7200,9.7200,12747
2021-05-24,9.7000,9.7900,9.7000,9.7400,74606
