date,open,high,low,close,volume
2017-04-13,10.2700,12.4500,10.2500,12.4500,1476773
2017-04-17,12.5000,13.6856,12.0000,13.0000,302569
2017-04-18,13.1000,14.0000,13.0500,13.9600,247768
2017-04-19,14.0000,14.7200,12.5300,13.9800,334402
2017-04-20,14.0000,14.1700,13.2500,13.6000,133110
2017-04-21,13.8400,13.8400,12.7300,13.2700,64245
2017-04-24,13.0500,13.8052,12.5800,13.4000,114277
2017-04-25,13.4700,13.9100,13.0260,13.7300,108749
2017-04-26,13.8000,13.8001,12.8000,13.3500,209136
2017-04-27,13.3200,13.8800,13.2400,13.3400,153070
2017-04-28,13.3500,14.6400,13.0953,13.9800,193979
2017-05-01,14.2200,15.9800,14.1100,15.4700,273474
2017-05-02,15.6900,16.4000,15.3200,16.0700,268289
2017-05-03,16.2800,16.2800,15.7500,16.1600,140459
2017-05-04,16.2500,17.5000,16.0797,17.3000,198752
2017-05-05,17.5800,17.8290,17.1000,17.4000,245235
2017-05-08,17.6300,17.9528,16.6500,16.9900,266227
2017-05-09,17.0900,17.3000,16.5100,17.0200,118404
2017-05-10,17.1400,17.5000,16.5700,16.6900,130923
2017-05-11,16.4400,17.1500,16.1300,16.5600,203737
2017-05-12,16.6400,16.7622,16.0500,16.2600,81658
2017-05-15,16.0400,16.5829,15.5000,15.8400,111044
2017-05-16,15.7900,15.9700,14.5200,14.6000,103188
2017-05-17,14.4300,14.9000,13.0800,14.5000,183437
2017-05-18,14.4100,15.7500,14.4100,14.8500,32408
2017-05-19,14.7400,16.0000,14.7000,15.6900,83412
2017-05-22,15.8500,16.0200,15.2900,15.9100,76369
2017-05-23,15.5901,16.2500,15.4100,15.9600,67057
2017-05-24,14.9600,16.2500,14.7000,15.9700,79042
2017-05-25,16.0500,16.8000,15.9200,16.6400,84541
2017-05-26,16.9500,17.2000,16.1000,16.3200,118145
2017-05-30,16.2800,16.8950,15.8410,16.3400,62920
2017-05-31,16.9300,17.2500,15.1500,15.9900,129671
2017-06-01,16.0000,16.3600,15.1600,15.9500,97591
2017-06-02,16.0800,16.5700,15.7400,15.8800,109724
2017-06-05,16.0000,16.1300,15.5700,15.9100,62992
2017-06-06,15.9100,16.1400,15.6500,15.9900,50573
2017-06-07,16.0700,16.2300,15.5408,16.0900,73419
2017-06-08,16.3400,16.3400,15.5850,15.8600,56022
2017-06-09,16.0000,16.3100,15.5650,16.0600,45939
2017-06-12,16.0000,16.1100,15.1110,15.1800,77710
2017-06-13,15.3200,15.7750,14.8900,14.9400,156577
2017-06-14,14.9000,15.5000,14.8600,14.9600,136465
2017-06-15,15.1900,15.3956,14.5000,14.5600,163710
2017-06-16,14.5600,15.4900,14.5600,14.9500,599038
2017-06-19,15.4600,15.4600,14.5600,14.9400,197587
2017-06-20,15.0000,15.0000,14.7131,14.9000,136308
2017-06-21,14.9000,14.9599,14.7500,14.8500,77783
2017-06-22,14.9700,14.9800,14.3000,14.5900,87320
2017-06-23,14.6400,14.6400,13.8200,13.9500,965964
2017-06-26,14.0900,14.3000,13.7900,13.8100,144912
2017-06-27,13.7500,14.1100,12.2500,12.5400,153295
2017-06-28,12.5500,12.9400,12.3000,12.6200,84588
2017-06-29,12.5100,12.9176,11.2500,11.9900,238588
2017-06-30,12.0400,12.3100,11.4600,12.0300,118317
2017-07-03,12.0400,12.2500,11.9700,12.1200,61290
2017-07-05,12.2500,12.6100,11.8600,12.2900,86151
2017-07-06,12.1700,12.2165,11.6300,11.6700,62216
2017-07-07,11.5800,12.1950,11.5500,11.7300,82472
2017-07-10,11.8000,12.0200,11.5000,11.7700,45386
