date,open,high,low,close,volume
2008-10-28,0.0200,0.0200,0.0005,0.0010,204683
2008-10-29,0.0010,0.0010,0.0010,0.0010,4530
2008-10-30,0.0010,0.0100,0.0010,0.0080,1063947
2008-10-31,0.0080,0.0080,0.0030,0.0030,503756
2008-11-03,0.0030,0.0090,0.0030,0.0070,442684
2008-11-04,0.0070,0.0100,0.0040,0.0040,470870
2008-11-05,0.0040,0.0080,0.0030,0.0050,727500
2008-11-06,0.0040,0.0040,0.0040,0.0040,62000
2008-11-07,0.0040,0.0040,0.0040,0.0040,41000
2008-11-10,0.0040,0.0040,0.0030,0.0035,229000
2008-11-11,0.0035,0.0070,0.0004,0.0008,286303002
2008-11-12,0.0010,0.0012,0.0006,0.0008,155814601
2008-11-13,0.0008,0.0009,0.0005,0.0008,69519570
2008-11-14,0.0008,0.0013,0.0007,0.0013,72126181
2008-11-17,0.0013,0.0018,0.0013,0.0016,52536199
2008-11-18,0.0017,0.0018,0.0010,0.0017,26556613
2008-11-19,0.0015,0.0017,0.0010,0.0013,21154583
2008-11-20,0.0012,0.0013,0.0008,0.0012,24227869
2008-11-21,0.0011,0.0012,0.0008,0.0010,27435094
2008-11-24,0.0010,0.0010,0.0007,0.0008,22744390
2008-11-25,0.0008,0.0015,0.0007,0.0015,11653658
2008-11-26,0.0014,0.0014,0.0007,0.0009,19873283
2008-11-28,0.0008,0.0008,0.0006,0.0007,3393750
2008-12-01,0.0007,0.0007,0.0005,0.0006,19169122
2008-12-02,0.0007,0.0010,0.0004,0.0010,127890900
2008-12-03,0.0011,0.0011,0.0007,0.0008,22890207
2008-12-04,0.0008,0.0008,0.0006,0.0006,3456100
2008-12-05,0.0007,0.0010,0.0006,0.0009,8349200
2008-12-08,0.0010,0.0010,0.0007,0.0008,6134970
2008-12-09,0.0010,0.0010,0.0005,0.0006,10119827
2008-12-10,0.0009,0.0009,0.0004,0.0005,65851344
2008-12-11,0.0005,0.0005,0.0004,0.0005,13090900
2008-12-12,0.0005,0.0005,0.0004,0.0005,10176578
2008-12-15,0.0005,0.0005,0.0004,0.0005,15702927
2008-12-16,0.0004,0.0005,0.0003,0.0004,14795701
2008-12-17,0.0004,0.0004,0.0002,0.0003,33637930
2008-12-18,0.0003,0.0005,0.0002,0.0005,32717074
2008-12-19,0.0005,0.0005,0.0004,0.0004,2857809
