date,open,high,low,close,volume
2020-06-24,11.0300,11.0800,10.1700,10.7900,3384300
2020-06-25,10.9500,11.0000,9.5200,10.1000,1606000
2020-06-26,10.3500,10.5000,9.2500,9.5500,2040897
2020-06-29,9.5500,9.6000,8.2600,8.5500,3945800
2020-06-30,8.1500,8.6500,7.6500,8.0700,3992700
2020-07-01,7.9500,8.5100,7.8800,8.1500,2116900
2020-07-02,8.2000,8.3900,7.8500,7.9000,1522100
2020-07-06,7.8200,8.0100,7.3600,7.4200,1749100
2020-07-07,7.4700,7.6300,7.0600,7.0600,1370100
2020-07-08,7.0600,7.6200,6.9300,7.5500,1729300
2020-07-09,7.5900,7.7800,7.3400,7.5100,1120300
2020-07-10,7.4000,7.8800,7.3900,7.6000,759500
2020-07-13,7.6600,7.8800,7.6100,7.8000,640900
2020-07-14,7.6400,7.9300,7.4600,7.9000,564000
2020-07-15,7.7300,8.2100,7.6000,8.0300,719400
2020-07-16,8.0500,8.1900,7.6200,7.8400,1122700
2020-07-17,7.8600,8.3200,7.8500,8.0700,1408400
2020-07-20,8.1200,8.2100,7.8600,8.0000,724390
2020-07-21,7.9600,8.1500,7.9400,8.0200,651806
2020-07-22,7.9400,8.0390,7.7000,7.7800,487205
2020-07-23,7.8000,8.0200,7.6100,7.8800,635618
2020-07-24,7.7500,7.7900,7.5000,7.6600,330507
2020-07-27,7.6400,7.6800,7.4200,7.5300,334468
2020-07-28,7.5000,7.6300,7.4800,7.5200,122984
2020-07-29,7.5300,7.6000,7.3900,7.4200,425890
2020-07-30,7.4100,7.4600,7.1700,7.2000,607873
2020-07-31,7.2100,7.3400,6.9300,6.9400,497281
2020-08-03,7.0200,7.5100,7.0200,7.4600,399335
2020-08-04,7.5700,7.6400,7.4200,7.5100,525813
2020-08-05,7.5600,7.5800,7.4100,7.4600,345735
2020-08-06,7.4500,7.6250,7.4500,7.4800,341979
2020-08-07,7.4900,7.5200,7.3400,7.4900,189199
2020-08-10,7.6000,7.6200,7.4600,7.4900,241991
2020-08-11,7.5200,7.5500,7.4000,7.4500,453646
2020-08-12,7.4700,7.6200,7.4020,7.5000,999939
2020-08-13,7.5200,7.8900,7.4700,7.8300,1714248
2020-08-14,6.9200,7.8000,6.9200,7.6800,992842
2020-08-17,7.7500,7.8300,7.5300,7.5600,653923
2020-08-18,7.5200,7.5200,7.0400,7.3000,923691
2020-08-19,7.2700,7.3900,7.2300,7.2900,652824
2020-08-20,7.2200,7.3900,7.1800,7.2200,476523
2020-08-21,7.1800,7.2100,6.9684,7.1700,941531
2020-08-24,7.2900,7.5000,7.1573,7.3900,768741
2020-08-25,7.4100,7.5200,7.3300,7.3900,1067134
2020-08-26,7.6500,7.9900,7.6500,7.9000,585062
2020-08-27,7.9400,7.9800,7.6000,7.7800,575155
2020-08-28,7.8000,7.8000,7.4700,7.7600,511043
2020-08-31,7.7300,8.1900,7.5500,8.0100,554391
2020-09-01,8.0100,8.2950,7.8350,8.1700,846406
2020-09-02,8.1600,8.1600,7.7400,7.9700,1415815
2020-09-03,7.9500,8.2000,7.8300,8.1100,613911
2020-09-04,8.1600,8.4400,7.9400,8.3800,712160
2020-09-08,8.6600,8.6800,8.3900,8.3900,1044424
2020-09-09,8.4400,8.7100,8.4400,8.6800,591558
2020-09-10,8.7000,8.8700,8.6050,8.8100,451007
2020-09-11,8.8200,9.0200,8.7500,9.0100,863546
2020-09-14,9.0500,9.2500,8.6900,8.7400,965364
2020-09-15,8.9700,9.0600,8.5100,8.5700,540085
2020-09-16,8.5600,8.7100,8.4200,8.6000,647509
2020-09-17,8.5300,8.7800,8.4110,8.4900,613932
2020-09-18,8.5100,8.7800,8.4600,8.5900,1419264
2020-09-21,8.4900,8.7000,8.4400,8.5000,427347
2020-09-22,8.4900,8.5240,8.1100,8.2100,811160
2020-09-23,8.1900,8.2600,7.9900,7.9900,378154
2020-09-24,7.9600,7.9600,7.7100,7.8100,312110
2020-09-25,7.7700,8.0550,7.7100,8.0300,432551
2020-09-28,8.0300,8.5000,7.8800,8.4500,265661
2020-09-29,8.4100,8.5900,8.4000,8.4800,233308
2020-09-30,8.5000,8.5500,8.2500,8.3400,449277
2020-10-01,8.3900,8.4950,8.2900,8.4200,335775
2020-10-02,8.3600,8.5100,8.2978,8.4500,216447
2020-10-05,8.5700,8.5900,8.3400,8.4500,527249
2020-10-06,8.4400,8.5200,8.1800,8.3200,444523
2020-10-07,8.3300,8.4000,8.1300,8.3000,492087
2020-10-08,8.3100,8.4500,7.9900,8.0200,693490
2020-10-09,8.0600,8.1200,7.9100,8.0800,508843
2020-10-12,8.1400,8.5400,8.0450,8.2700,430684
2020-10-13,8.2500,8.3600,8.1700,8.3000,401301
2020-10-14,8.2900,8.4500,8.2075,8.3300,327910
2020-10-15,8.2900,8.3200,8.1700,8.2700,163203
2020-10-16,8.3000,8.3300,7.9800,8.0600,226409
2020-10-19,8.0800,8.5000,8.0800,8.2500,425599
2020-10-20,8.3500,8.4900,8.1800,8.4100,440670
