date,open,high,low,close,volume
2019-05-17,21.5000,25.6700,21.4100,23.9900,16102720
2019-05-20,24.7400,25.6100,23.2000,24.2500,2719135
2019-05-21,24.3100,24.5000,22.4000,22.6600,1634900
2019-05-22,22.4200,23.6500,22.1500,22.5200,1105183
2019-05-23,22.1600,23.3800,22.0000,22.5000,1571774
2019-05-24,22.7100,23.0400,21.1000,21.5000,1145523
2019-05-28,21.5100,22.3600,21.5100,21.9800,625769
2019-05-29,21.8100,21.9600,19.7401,21.2600,827329
2019-05-30,21.4100,21.9515,21.2600,21.7900,232488
2019-05-31,21.5800,21.5800,20.3000,20.8000,715941
2019-06-03,20.8000,20.8000,19.3300,20.0400,974095
2019-06-04,20.2600,21.0000,19.5200,20.9200,350583
2019-06-05,20.8300,20.8300,19.5200,19.7700,604417
2019-06-06,19.9300,20.2700,19.4000,20.1300,526290
2019-06-07,20.1800,21.4400,20.1800,21.2400,570589
2019-06-10,21.5100,23.1000,21.5100,22.8600,866001
2019-06-11,22.9000,23.1000,21.0000,22.8700,1150876
2019-06-12,22.8700,22.8700,20.6100,20.6100,755356
2019-06-13,21.0000,21.3300,20.4100,21.0000,477701
2019-06-14,21.0000,21.0600,19.8300,19.8500,417286
2019-06-17,20.0000,20.1000,19.0000,19.2800,540528
2019-06-18,19.3300,19.7010,17.7500,18.0700,985930
2019-06-19,18.4000,19.3650,17.4612,19.1700,973390
2019-06-20,19.2900,19.9500,18.8200,19.4800,537386
2019-06-21,19.8900,19.9400,18.1600,18.2000,1295333
2019-06-24,18.5000,18.8000,17.2600,17.5000,755495
2019-06-25,17.4900,17.9100,16.8100,17.1300,1022788
2019-06-26,17.1800,17.8400,16.8800,17.4800,801467
2019-06-27,17.5900,19.0700,17.5900,18.8600,845732
2019-06-28,19.2200,21.0000,19.0600,20.2800,1088830
2019-07-01,20.5000,21.7400,20.3300,20.4700,842398
2019-07-02,20.6400,21.3500,19.9900,20.1300,601163
2019-07-03,20.2100,21.0000,20.0400,20.5500,396539
2019-07-05,20.5000,21.5000,20.1700,21.1000,311059
2019-07-08,21.0600,21.1000,20.2000,20.3800,386270
2019-07-09,20.2500,20.6200,19.4108,19.5000,675276
2019-07-10,19.6000,20.0000,18.9200,19.4400,454437
2019-07-11,19.4800,20.6500,19.2800,20.0500,648166
2019-07-12,20.0900,21.2000,19.6557,21.0800,409156
2019-07-15,21.2000,22.2300,21.0600,22.1400,495846
2019-07-16,22.3000,22.4599,20.9600,21.2800,566556
2019-07-17,21.2900,21.9000,20.9312,21.6300,380824
2019-07-18,21.5500,21.9200,21.2100,21.3600,205883
2019-07-19,21.5500,22.1200,21.3800,21.8900,533333
2019-07-22,22.0900,22.0900,21.2100,21.5300,375120
2019-07-23,21.8200,22.0000,21.3750,21.7800,367823
2019-07-24,21.9600,22.4500,21.6200,22.0000,478913
2019-07-25,21.9700,23.2198,21.8000,22.9700,766681
2019-07-26,23.1400,24.8300,22.8000,24.6800,894185
2019-07-29,24.9000,25.5500,22.6200,23.3700,934328
2019-07-30,23.2300,23.4400,22.7200,23.1900,553365
2019-07-31,23.1900,23.4200,21.5100,21.7000,1261829
2019-08-01,21.7900,21.8700,19.1500,19.5300,1193758
2019-08-02,19.6000,20.2900,18.7500,18.9400,886943
2019-08-05,18.5000,19.9350,17.5100,19.8000,680156
2019-08-06,20.1300,20.8600,19.9500,20.7400,575979
2019-08-07,20.8000,20.8100,19.0300,19.5800,1140484
2019-08-08,19.8300,21.6200,19.4900,21.1000,1153378
2019-08-09,15.7000,17.9900,15.5000,17.2900,4306822
2019-08-12,17.0600,17.9000,15.7700,16.0200,1273780
2019-08-13,15.8100,16.4800,15.7100,15.9500,947050
2019-08-14,16.4300,16.4400,14.5000,14.8500,934710
2019-08-15,14.9800,15.8300,14.1200,15.7700,670048
2019-08-16,16.2100,17.4900,15.8000,16.3900,1666089
2019-08-19,16.6300,17.7930,16.5300,17.4200,758548
2019-08-20,17.5200,20.0100,17.5200,19.7400,1474146
2019-08-21,20.2400,21.9400,20.1200,21.0000,1920749
2019-08-22,21.4100,24.8200,19.5500,24.5300,4910507
2019-08-23,25.2100,27.9800,24.0000,25.0000,5436148
2019-08-26,26.8600,27.7800,25.3300,27.5600,3486578
2019-08-27,28.0400,29.9700,27.7700,29.4100,3393413
