date,open,high,low,close,volume
2018-10-02,9.6000,9.6300,9.6000,9.6000,62600
2018-10-03,9.6100,9.6100,9.6000,9.6000,529201
2018-10-04,9.6000,9.6000,9.6000,9.6000,0
2018-10-05,9.6300,9.6300,9.6300,9.6300,2000
2018-10-08,9.6300,9.6300,9.6300,9.6300,0
2018-10-09,9.6300,9.6300,9.6300,9.6300,4
2018-10-10,9.6300,9.6300,9.6300,9.6300,0
2018-10-11,9.5900,9.6300,9.5800,9.6300,2104
2018-10-12,9.5801,9.6900,9.5800,9.6500,212401
2018-10-15,9.6400,9.6500,9.6300,9.6500,2100
2018-10-16,9.6500,9.6500,9.6500,9.6500,0
2018-10-17,9.6500,9.6500,9.6500,9.6500,0
2018-10-18,9.6500,9.6500,9.6500,9.6500,0
2018-10-19,9.6500,9.6500,9.6500,9.6500,0
2018-10-22,9.6500,9.6500,9.6500,9.6500,0
2018-10-23,9.6500,9.6500,9.6500,9.6500,0
2018-10-24,9.6500,9.6500,9.6500,9.6500,0
2018-10-25,9.6256,9.6500,9.6042,9.6500,1602
2018-10-26,9.6500,9.6500,9.6500,9.6500,0
2018-10-29,9.6500,9.6500,9.6500,9.6500,0
2018-10-30,9.6500,9.6500,9.6500,9.6500,0
2018-10-31,9.6500,9.6500,9.6500,9.6500,0
2018-11-01,9.6500,9.6500,9.6500,9.6500,0
2018-11-02,9.6500,9.6500,9.6500,9.6500,0
2018-11-05,9.6500,9.6500,9.6500,9.6500,0
2018-11-06,9.6500,9.6500,9.6500,9.6500,100
2018-11-07,9.6500,9.6500,9.6500,9.6500,2
2018-11-08,9.6500,9.6500,9.6500,9.6500,0
2018-11-09,9.6500,9.6500,9.6500,9.6500,0
2018-11-12,9.6400,9.6400,9.6400,9.6400,74210
2018-11-13,9.6000,9.6600,9.6000,9.6500,167505
2018-11-14,9.6500,9.6500,9.6500,9.6500,0
2018-11-15,10.0000,10.0000,9.6500,9.6700,83140
2018-11-16,9.7000,9.7000,9.6600,9.6600,600
2018-11-19,9.7000,9.7300,9.6500,9.6500,700
2018-11-20,9.7000,9.7200,9.6100,9.6700,141157
2018-11-21,9.6700,9.6700,9.6700,9.6700,2
2018-11-23,9.6500,9.6700,9.6250,9.6300,507800
