date,open,high,low,close,volume
2006-06-26,136.4800,136.9999,136.3000,136.7500,26700
2006-06-27,136.4200,136.4200,136.0800,136.0800,34200
2006-06-28,136.2800,136.2800,136.2800,136.2800,100
2006-06-29,135.9400,137.5999,135.9400,137.5999,2000
2006-06-30,138.4100,139.1400,138.4100,139.1400,2700
2006-07-03,138.8100,138.8100,138.8100,138.8100,300
2006-07-05,138.8100,138.8100,138.8100,138.8100,0
2006-07-06,139.0900,139.6100,139.0900,139.5000,1700
2006-07-07,140.3200,140.3200,140.3200,140.3200,300
2006-07-10,138.7700,139.0200,138.7700,139.0200,2800
2006-07-11,138.9000,138.9000,138.9000,138.9000,4000
2006-07-12,138.5800,138.6000,138.5800,138.6000,200
2006-07-13,138.7700,138.7700,138.7700,138.7700,100
2006-07-14,137.6100,137.6100,137.5300,137.5300,600
2006-07-17,135.7500,135.8700,135.7300,135.8700,4100
2006-07-18,135.4500,135.4500,135.0300,135.2300,700
2006-07-19,135.2300,135.2300,135.2300,135.2300,0
2006-07-20,137.0800,137.1599,137.0800,137.1599,200
2006-07-21,137.1599,137.1599,137.1599,137.1599,0
2006-07-24,136.7500,136.7500,136.5900,136.5900,500
2006-07-25,136.6000,136.6000,136.1100,136.1700,900
2006-07-26,136.5800,136.9900,136.5800,136.9900,400
2006-07-27,138.4500,138.4500,137.7400,137.7400,900
2006-07-28,138.2200,138.4300,138.2200,138.4300,200
2006-07-31,138.4300,138.4300,138.4300,138.4300,0
2006-08-01,138.4300,138.4300,138.4300,138.4300,0
2006-08-02,138.4300,138.4300,138.4300,138.4300,0
2006-08-03,139.2600,139.3400,139.2600,139.3400,200
2006-08-04,140.1800,140.1800,140.0700,140.0700,300
2006-08-07,140.2200,140.2200,140.0100,140.0100,2200
2006-08-08,139.9100,139.9100,139.9100,139.9100,100
2006-08-09,140.5000,140.5000,140.5000,140.5000,2200
2006-08-10,139.7000,139.7000,138.8900,139.1800,1300
2006-08-11,139.1800,139.1800,139.1800,139.1800,0
2006-08-14,138.0600,138.0700,138.0600,138.0700,300
2006-08-15,138.8200,138.9800,138.8200,138.9100,4400
2006-08-16,140.0200,140.0200,140.0200,140.0200,100
2006-08-17,140.1300,140.1300,139.9600,139.9600,200
2006-08-18,139.2600,139.4500,139.2600,139.4500,300
2006-08-21,140.5800,140.5800,140.5300,140.5300,400
2006-08-22,139.3500,139.3500,139.3500,139.3500,100
2006-08-23,139.4600,139.4700,139.4600,139.4700,200
2006-08-24,139.4700,139.4700,139.4700,139.4700,0
2006-08-25,137.9900,137.9900,137.9900,137.9900,100
2006-08-28,138.2800,138.2800,138.2800,138.2800,100
2006-08-29,138.7600,138.7600,138.4800,138.4800,2200
2006-08-30,138.8500,139.0000,138.8500,139.0000,200
2006-08-31,138.6000,138.6000,138.1100,138.1200,3500
2006-09-01,137.7800,137.7800,137.7200,137.7200,300
2006-09-05,137.7200,137.7200,137.7200,137.7200,0
2006-09-06,137.7200,137.7200,137.7200,137.7200,0
2006-09-07,136.0900,136.5000,136.0900,136.3500,500
2006-09-08,136.0500,136.1100,135.9800,136.1100,2900
2006-09-11,136.9100,136.9100,136.9100,136.9100,100
2006-09-12,137.3900,137.3900,137.3900,137.3900,1000
2006-09-13,137.2900,137.2900,137.2900,137.2900,1000
2006-09-14,138.0700,138.0700,138.0700,138.0700,100
2006-09-15,138.6300,138.8700,137.4800,137.6200,2600
2006-09-18,137.9300,137.9300,137.9300,137.9300,300
2006-09-19,138.4500,138.4500,138.4500,138.4500,100
2006-09-20,138.4500,138.4500,138.4500,138.4500,0
2006-09-21,137.8400,138.6000,137.8400,138.6000,600
2006-09-22,138.2300,138.2300,138.2300,138.2300,100
2006-09-25,137.2000,137.2000,137.1300,137.1300,2400
2006-09-26,136.6000,136.6300,136.4300,136.4900,8100
2006-09-27,137.0100,137.1260,136.9300,136.9300,400
2006-09-28,137.4200,137.5400,137.4000,137.5400,1600
2006-09-29,136.7000,136.7000,136.7000,136.7000,200
2006-10-02,136.1500,136.4400,136.1500,136.4400,400
2006-10-03,136.4400,136.4400,136.4400,136.4400,0
2006-10-04,136.0000,136.0000,136.0000,136.0000,100
2006-10-05,136.8899,137.0500,136.8899,137.0500,1000
2006-10-06,135.7600,135.9900,135.7000,135.7000,400
2006-10-09,135.7100,135.7100,135.3700,135.3800,600
2006-10-10,135.3100,135.3100,135.2100,135.2100,1300
2006-10-11,135.4000,135.4000,135.4000,135.4000,100
2006-10-12,135.4000,135.4000,135.4000,135.4000,0
2006-10-13,135.4000,135.4000,135.4000,135.4000,0
2006-10-16,135.0500,135.0500,135.0500,135.0500,100
2006-10-17,135.5700,135.7500,135.5700,135.7500,600
2006-10-18,135.7500,135.7500,135.7500,135.7500,0
2006-10-19,135.7500,135.7500,135.7500,135.7500,0
2006-10-20,135.7500,135.7500,135.7500,135.7500,0
2006-10-23,136.4101,136.4101,136.4101,136.4101,100
2006-10-24,136.4101,136.4101,136.4101,136.4101,0
2006-10-25,136.9700,136.9700,136.8100,136.9300,2300
2006-10-26,137.2500,137.2500,137.2500,137.2500,100
2006-10-27,138.4500,138.4500,138.4500,138.4500,1000
2006-10-30,138.1900,138.2800,138.1900,138.2800,200
2006-10-31,138.6300,138.6600,138.6300,138.6600,600
2006-11-01,138.9600,138.9800,138.9600,138.9800,200
2006-11-02,138.8500,139.0100,138.7700,139.0100,700
2006-11-03,138.4100,138.4100,138.4100,138.4100,100
2006-11-06,139.0700,139.0700,139.0700,139.0700,100
2006-11-07,139.9900,140.1700,139.9500,139.9900,1400
2006-11-08,140.0200,140.1500,140.0200,140.1100,300
2006-11-09,140.5200,141.5790,140.5200,141.2100,1600
2006-11-10,141.4900,141.6799,141.3600,141.3600,2100
2006-11-13,141.2300,141.2300,141.0000,141.0700,1200
2006-11-14,141.7200,141.7400,141.4800,141.6101,700
2006-11-15,141.1300,141.8121,141.1300,141.8121,800
2006-11-16,141.6800,141.8200,141.4300,141.6600,6200
2006-11-17,141.8900,141.8900,141.3300,141.4500,3200
2006-11-20,141.4400,141.4400,140.9700,140.9700,3800
2006-11-21,140.7900,141.0001,140.7900,141.0001,1300
2006-11-22,142.5400,143.0500,142.5400,142.9600,1600
2006-11-24,144.9100,145.1400,144.9100,144.9600,600
2006-11-27,145.3100,145.5800,145.3000,145.4400,18600
2006-11-28,145.3300,145.6400,144.9900,145.5300,1500
2006-11-29,145.4810,145.4810,144.9100,145.1100,600
2006-11-30,145.9900,146.7000,145.9800,146.0700,7700
2006-12-01,146.7600,148.0400,146.7600,147.7500,20200
2006-12-04,147.5100,147.9100,147.3500,147.5900,7900
2006-12-05,147.3200,147.5700,146.5400,147.4900,3400
2006-12-06,146.5800,147.1300,146.5800,146.6100,2000
